작성자,내용,별점,작성일
걸어서동네한바퀴,"도심 속 자연, 강동구 길동의 생태공원, 사람이 많지 않아 여유있게 걷기 좋아요. 상당 구간이 데크길로 되어 있어 걷기에 편하고, 새소리에 풀내음까지 맡을 수 있어요. 중간중간 도장인증(6곳), 철새스팟, 반딧불이체험관 등 규모는 크진 않지만 가볍게 가기엔 좋아요. 평일 17시까지만 운영되니 이 점 참고하세요.",별표 5개,1년 전
마이진,강동구 도심지  가까운곳에 숲길이 있어서 좋습니다. 주차는 길건너 길동생태공원 문화센터 주차장에 주차하시고 가세요. 지금 공원은 환경개선 정비작업으로 약간 시끄운데 그래도 맑은 공기 마시며 산책하기 좋습니다.,별표 4개,4년 전
shinjohnss,"서을에  이런 밀림 같은곳이 있다니 놀랍습니다!!  각종  새,  크고 작은 동믈들~~  이런곳에  별장 하나 있다면 하는 생각이 드네요 ㅋㅋ  이와 같은 공원들이  더 많이 생겼으면 좋겠어요^^",별표 5개,수정일: 5년 전
삼부자곤충아빠,서울 숲 자연공원 길동생태공원에서 가보새요 서울특별시 공공서비스예약 들어가셔서 예약하고 가셔야되요,별표 5개,3년 전
이소영,예매를 해야 입장이 가능한지 알고 있었는데 아니였어요. 체온체크. 방문 기록하고 들어갔어요. 간단히 산책하는데 30분 자세히 보려면 시간이 좀 있어야 될거 같아요. 새소리가 들리고 도심속 또 다른 세상을 만날수 있어요.,별표 4개,3년 전
김미카엘라,아이들 생태교육 받았는데 교육내용도 알차고 재미있었어요. 조금만 들어가도 깊은 숲 속 같아요. 밤에 생태교육 받는 것도 색다른 느낌이에요.,별표 5개,5년 전
배태천,자연환경을 직접 볼 수 있어 가족과 함께가기 좋습니다.,별표 4개,수정일: 2년 전
활사모,좋아요 도심속에서 자연을 온전히 느낄수 있어요,별표 5개,3년 전
박승미,점심식사 후 산책코스로 좋아요,별표 5개,3년 전
K BG,1.2km 정도의 아담한 순환 산책로가 있는 공원입니다,별표 4개,5년 전
