작성자,내용,별점,작성일
June,"그리 높지 않은 언덕에 위치한 공원으로, 다양한 풀꽃들이 아기자기하게 자라고 있습니다. 어린이들 교육에도 좋을 장소입니다",별표 4개,2달 전
Godami,강동구 주민이 10여년 전부터 저녁먹고 산책하던곳 하루를 끝내고 일몰을 보기 좋다 화장실 깨끗함,별표 5개,3달 전
찐공주,"작지만 아기자기한 허브조경과 다양한종류의 허브가많아서 산책하기좋고 향기도 좋아요~간간히 쉴곳도 있어서 앉아서 이야기하기도 좋아요~그리고 입장료도 없고 아이들이 뛰어 놀기도 좋아요~근데따뜻하게 차 마실 공간이 없어요~허브공원 나와서 일자산 산책하기도좋구요,근처에  ""달빛정원""이란 커피랑 빵,샐러드,브런치도 파는곳도 있어서 넘좋아요~암튼가을을 맘껏 즐기다 왔어요~~",별표 4개,1년 전
기명신,입장료는 없구요. 규모는 아기자기 하게 작지만 쉬는 곳도 있고 뷰도 이뻐요. 주차 공간이 조금 부족해요.,별표 5개,9달 전
Zhseki,"밤에 산책하러 허브천문공원 다녀왔습니다. 아직 여름이라 더워서 그런지 운동하시는 분들이 많지는 않았습니다. 숲 향기 맡으며 한가하게 산책할 수 있어서 좋네요. 올라오는 길에 화장실도 있고, 허브천문공원내에서 식수도 마실 수 있습니다. 날씨가 좀 더 시원해지면 운동하러 자주 와야겠네요. 오랜만에 풀벌레 소리 들으면서 걸으니까 좋네요.",별표 4개,1년 전
Sung Eon Lee (Musicsin),5월정도 되면 더 예쁠 것이다. 이곳은 서울과 자연의 조화같은 느낌으로 깔끔한 정원같은 느낌이 매력적이다. 길동 생태공원과 세트로 가면 좋다,별표 5개,3달 전
오종현,"강동구 주민 또는 아래 캠핑장에 있으면서 간단히 산책하기 좋습니다. 산위의 작은 정원 느낌의 공간입니다. 길동, 강일쪽 경치를 볼민한 공간도 따로 있습니다. 반려견 동반 환경 강아지 산책하시는분들이 계십니다.",별표 5개,1년 전
전진TV,음 일단 정말 꽃들이 많아서 좋아요 그리고 쉴공간도 있고 돼지랑 소들도 있고 여러가지 볼거리도 있고 특히 산책로도 있어서 정말 좋은데요 벌레가 정말 많네요. 바람불면 나무에서 벌래들이 우수수 떨어져서 별로임,별표 4개,3년 전
케빈신,몇일전 허브공원에 갔는데 허브관련 식물들이 많이 자랐고 이젠 꽃들도 제법 많이 폈더라고요. 허브식물특성인 쌉싸리한 향기도 나고 참 좋았어요. 식구들하고 같이 한번 가보세요. 5시이후에 놀러가면 공원주변에 주차도 가능하고 사람도 생각보다 많지 않아요.,별표 5개,수정일: 3년 전
김민기,허브천문공원 좋아요  꽃도 많고 뷰도 참 좋네요  가족들과 혹은 혼자 방문해도 좋습니다.  그냥 가지 마시고 꼭 책 한권을 가지고 가서 바람을 맞으며 읽으셔요~^^,별표 5개,2년 전
배태천,강동구에서 허브천문 공원에서 도보로 방문하실만한 위치에 계신분이라면 산책코스로도 좋고 아이들과 같이 놀러오기도 좋습니다.  관리도 잘되고 있는 편이라서 휴식 및 주변 전경을 구경하기 위한 장소로 방문해도 좋을 것 같습니다.,별표 5개,2년 전
Sangeon Byun,일자산 꼭대기에 위치한 공원으로 하늘공원이 연상됩니다. 각종 허브식물들이 햇빛을 받으며 잘 자라고 있구요. 자작나무도 많이 있네요.,별표 5개,6년 전
쟌툽,잔잔하고 시원하고 평화로운 달도잘보이고 좋네요,별표 5개,2달 전
Chris Lee,서울의 동쪽 끝에서 서울을 바라보는 풍경 짱이에요! 경치도 좋고 공기도 좋고 아이들과 함께할때 더욱 좋을듯 합니다. 서울에서 꼭 가봐야 할 곳으로 적극 추천 합니다!,별표 5개,3년 전
캠프오막살이,"고즈넉한 쉼터다. 강동이 조망되며  여러 허브식물,정돈된 편의시설,예쁜 돌조각들! 한나절 힐링하기 좋은곳이다.",별표 5개,1년 전
뽀뽀라이프,엄마집 근처라 가끔 산책하러갑니다 규모는 작습니다 그리고 위가 뚫여있어 모자나 양산은 필수여요 주변에 캠핑장도 있고 산책로도 있습니다 주차는 캠핑장 이용객 위주고 나머지는 갓길에 대야하는데 조금 불편합니다,별표 4개,1년 전
원정윤 (유니조아),공사를 1년내내 하는듯  쉴수있는공간이 부족함 코로나때 의자를 전부치우고 이제는 좀 갖다놓을법한데도...참 더딤 ㅜㅜ,별표 3개,1년 전
캠핑마마,다양한 허브화단이 많아 공부도 되고 아름다워서 좋아요. 전망대도 휴식하기에 좋고 탁트인 경관이 좋습니다. 피크닉 구역 데크에서 피크닉하기 좋아요.,별표 4개,2년 전
김경환,뷰가좋아요 허브 향기가좋아요,별표 5개,수정일: 3달 전
여성이옥순,일자산 입구 정상에 있어 바람이 잘 통하여 시원하고 공원 중간중간에    함께 담소를 나눌 벤취와 테이블이 있으며  허브로 조경이 잘 되어 있어 힐링하거나 산책하기 좋은곳 연인과 가족들이 함께 하거나 운동하기위해 자주 찾는곳~^^,별표 5개,4년 전
김혜민,야경뷰도 너무 아름답고 낮에 피크닉하기도 너무 좋아요.,별표 5개,11달 전
