작성자,내용,별점,작성일
Taco Kimchi,"넓고 확트인 숲 공원이다 아이들이 간단히 물놀이도 즐길수 있고, 옆 편의점에서 음식사서 먹을수도 있다. 돗자리 준비해서 어른들도 쉴수 있다 토요일마다 아이들 가드닝 할수 있는 수업도 있어서 참여할 계획이다 더운날 해 피할곳은 없어 아쉬운 부분이다",별표 5개,수정일: 2달 전
oib,"넓은 잔디밭이 인상적인 큰 공원입니다. 미아쪽에서 가는 길은 언덕이 심해서 걸어가긴 많이 힘들어요. 넓은 공터나 잔디밭이 많아서 애들, 강아지들이 놀기 참 좋아보입니다. 의외로 나무 그늘은 많지 않아서 자리 펴고 있을 곳이 마땅찮았어요.",별표 5개,3달 전
전용관,아이들과 자연친화체험.주변 관광.먹거리등이 우월합니다. 다만. 주차공간이 많지않은게 아쉽네요,별표 5개,2달 전
최기훈,예전 드림랜드 시절 가보고 까마득히 지나서 방문. 공원으로 조성되고는 첫방문이다. 전날 우연히 아내가 김밥도 쌌고 무더위도 꺽여서 소풍기분으로 간 김에 전시회 및 공연도 즐겼다. 생각보다 너무 잘 되어 있어서 주변 시민들이 많이 온것 같지만 붐빌정도는 아니라서 산책도하고 휴식도 잘 하고 와서 보람차다. 봄가을에 가끔 소풍하듯 들려야 겠다.  ----------- 구글지도 오류로 이지미 삭제 후 재업,별표 5개,수정일: 4달 전
박기철,느~~~~~무 좋아요 아이들과 놀기 딱 입니다 .,별표 5개,2주 전
NARIN,반려견 동반해서 산책하기 너무 좋은 곳입니다!,별표 5개,2달 전
Kunoo Kim,첫 방문이었습니다.드넓은 터에 북서울꿈의숲  12경을 깨끗하고 단정하게 조성해놓았습니다.첫걸음에 다 보지는 못했지만 서울 외곽에 가지 않더라도 그보다 더 넓고 볼 것 많은 곳이 있다는 것이 좋았습니다. 전망대에 올라 주변 전경을 보며 다음에 저녁때 다시 오겠노라고 다짐하며 돌아왔습니다.드림랜드가 없어져 아쉬운 마음에 한 번도 가볼생각도 안했는데 공원도 괜찮았습니다.,별표 5개,9달 전
Quo Vadis박청윤 (Brown Park),서울시내에 꿈의숲 전망대와 둘레길산책등 잘 꾸며놓았어요,별표 4개,3달 전
박정민,언제 가도 즐겁게 산책할 수 있는 공원입니다. 벚꽃이 피는 시기에는 화려하고 단풍이 들 때도 예쁩니다. 월영지를 중심으로 돌아도 되지만 양쪽의 얕은 언덕 위를 오르면 산 속 깊이 들어온 듯 한 느낌이 나서 더욱 좋아요. 놀이터 서문(후문) 근처에 놀이터와 여름에 열기를 식힐 놀이용 분수가 있어요. 화장실 서문 아트센터 건물 안에 화장실이 있고 동문 방문객센터와 라포레스타 식당에도 화장실이 있습니다. 월영지를 따라 서문에서 동문(정문)쪽으로 내려가다보면 야외카페 근처에도 화장실이 있습니다. 반려견 동반 환경 반려견 산책시키러 많이 오세요. 리쉬 꼭 채우고 용변처리 잘 해주시기 바랍니다. 잔디밭 위에서 혼자 뛰놀게 하지 마세요. 거기는 가족들이 피크닉을 하기도 하니 주의부탁드립니다. 피크닉 구역 잔디밭에 피크닉매트깔고 간단한 도시락 식사도 가능하지만 공원 곳곳에 테이블과 의자가 준비되어 있어 앉아서 취식 가능합니다. 쓰레기처리만 확실하게 해주세요.,별표 5개,1년 전
YO LEE,"서울 강북구 번동에 위치한 대형 공원입니다. 2009년에 개장하였으며, 원래 드림랜드가 있던 장소인데, 시설노후 및 쇠락으로 서울시가 인수하여 운영하고 있습니다. 이곳에는 다양한 산책로는 물론 콘서트홀과 갤러리·다목적홀을 갖춘 꿈의숲 아트센터, 전망대, 숲속문화전시장, 이벤트정원, 거울못 등이 있고 어린이놀이터 및 휴게공간들이 있어 강북지역 주민들에게 생활공원으로서의 역할을 하고 있습니다. 다만 주차공간이 많이 모자라는 불편함이 늘 있습니다.",별표 4개,10달 전
