작성자,내용,별점,작성일
함초롱,가볍게 둘레길 걷기에도 좋고 분수며 되게 잘 해놨어요. 주말에 벼룩시장도 하는것 같아요.,별표 5개,1달 전
winter lion,방화동근린공원 산책하기 좋고 운동하기도 좋은 공원 개화산 밑자락에 위치하고 딨고 산림속에있는 공원,별표 4개,10달 전
아카,"근처 산책이나 아이 놀게 할 수 있는 괜찮은 공원입니다. 이 공원의 최대 매력은 강서구에서 알만한 사람들이 아는 벚꽃 드라이브 코스가 있다는 것입니다. 벚꽃이 필 때, 썬루프를 열고 차로 드라이브하면 정말 좋습니다.  사진 찍은지는 꽤 되었으나, 기록 정리하는 차원에서 올려봅니다.",별표 4개,2년 전
변상언,봄에는 봄꽃들이 아름다운 곳이고 가을에는 아름다운 단풍으로 잘 알려진 곳. 강서둘레길 따라 개화산 산책하기도 좋음. 서남환경공원도 가까이 있어요.,별표 5개,4년 전
녹색걷기,1990년 12월에 공원으로 지정되어 방화택지개발지구 개발과 함께 공원으로 조성되었다.가까이 개화산 과 꿩고개근린이 있다. 건강걷기 산책로 좋아요. *대중교통: 5 방화역 2번출구~500m,별표 4개,수정일: 1년 전
Sangeon Byun,"지하철 5호선 방화역에서 도보로 10분거리에 있는데요. 일요일인 4/21일 갔더니 날씨도좋고 휴일이라 많은 사람들이 나와서 운동, 산책등 여가를 보내고 있는데 몇그루의 벚나무에는 벚꽃들을 아직도 활짝펴있고 길가의 황매화 꽃들도 노란물결을 보입니다.",별표 5개,수정일: 6년 전
Steven Hwang (아쭈s),서울시 강서구 방화동 지하철5호선 방화역  도보 10분거리에 있는 대형공원. 강서구에서 개최하는 계절별 축제가 열리는 지역명소. 개화산과 치현산이 둘러싸고있어서 산책 및 가벼운 등산도 가능한 곳. 남녀노소 많이들 찾는 곳.,별표 5개,수정일: 7달 전
jong kon park,"강서구 방화역 근처 개화산 입구에 있는 공원입니다. 주변에 꿩고개가 있고 꿩고개유아체험원이 함께 있는곳입니다. 공원내에 전통 초가집과 전통놀이를 할수있는 곳도 준비되어 있습니다. 부지가 넓어 이용객이 많은 곳으로 트레킹코소로 약사사나 개화사까지 연결이 되어 있습니다. This park is located at the entrance of Gaehwasan Mountain near Banghwa Station in Gangseo-gu. It is a place where there is a pheasant pass nearby and the pheasant pass infant experience center. There is also a traditional thatched house and a place where you can play traditional games in the park. The site is wide and there are many users, and it is connected to the pharmacist and gaehwasa by trekking course. 놀이터 어린이나 유아놀이터가 있습니다 화장실 화장실이 깨끗하고 잘 준비된곳입니다 반려견 동반 환경 반려견과 동반하여 운동이 가능한곳입니다",별표 5개,2년 전
prtv Kuicat (Kui),"서울 강서구 방화동에 위치하고 있으며 방화동 5호선 근처 이고 이곳 근처의 아파트와 빌라.다세대등등 주택 생활자들의 맑은 공기를 책임지는 곳으로서 정상까지 자동차로 올라갈수도 있고, 자전거 혹은 도보로 이용 하며 여러 둘레길이 있기에 자연과 어울리며 요즘은 도보자들을 위해서 데크작업을 하고 있답니다~!  새해  해돋이와 해넘이를 동시에 한강과 김포들녁을 바라보며 할수 있는 곳이기에 새해 명소로 나름 지역에서는 유명한 곳입니다! 정상에 군부대가 있으나 일반인에게 부담이 없으며 정상 부근에서 한강을 바라보고 바로 아래 천년 사찰에서 고즈넉한 분위기를 즐기신후 하산하여 각종 카페와 식당등을 이용 하셔도 좋으며 방화근린공원과 연결되어 있기에 봄.가을에는 더욱더 아름다운 풍경을 즐길수 있습니다 피크닉 구역 가족단위 이용 하며, 나름 지역에서 유명해서 길거리 노상주차 길이가 벗꽃 시즌에는 엄청납니다.",별표 5개,수정일: 2년 전
이윤성,"방화역 주변의 방화동 주민들의 휴식과 놀이와 힐링 공간으로 활용되고 있는 방화근린공원입니다.. 근린공원 가까이는 한강공원이 있고 주변에는 개화산과 강서둘레길이 있어서, 한적한 분위기와 고즈넉한 분위기를 좋아하신다면 괜찮을 것 같습니다.",별표 4개,5년 전
