작성자,내용,별점,작성일
goyo han,마곡 서울 식물원이에요. 시간이 없어서 식물원 온실만 둘러 보고 나왔는데도 무척 넓고 볼거리가 많아 둘러 보기 좋았답니다. 계절이 좋은 봄이나 가을에 외부까지 둘러 본다면 하루 종일 있어도 좋을 것 같아요. 주말이나 휴일에 방문한다면 주차하기가 무척 힘들수 있을 것 같으니 오픈 하는 시간에 맞춰 방문하시기 추천 드려요. 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,3달 전
인디언옐로우,입장료 5천원에 실내 식물원과 야외 정원 다 볼 수 있습니다. 실내 식물원은 엄청 덥고 습하니 반팔 반바지 입고 야외는 6월 기준 날 이 좋은 때는 그늘이 없어서 해가 그대로 에요. 모자 등 준비하ㅛㅔ요. 실내 정원 입구에 간단히 식물 역사 등 전시 장소 있우니 보고 가세요. 방문일 주말 대기 시간 대기 시간 없음 예약 권장 모르겠음,별표 5개,2달 전
지혜최,"양천향교역에서 걸어서 20분 정도 걸려요. 여름/겨울에는 실내 온실정원만 구경하면 되고, 봄/가을에는 야외정원도 함께 구경하기 좋아요. 입장권은 성인 5,000원입니다. 저렴한 가격에 다양한 식물을 볼 수 있어요. 식물원 안에는 씨앗 도서관, 카페, 기념품샵이 있어서 구경할 거리도 많습니다.",별표 5개,2달 전
Ryu Mr,실내와 실외정원 모두 좋습니다. 실내정원은 각 나라의 식물을 전시하는데 생각보다 규모가 큽니다. 실외정원도 튤립을 너무 이쁘게 관리하고 있더라구요. 주차대기줄이 길면 근처 2주차장에 대고 잠시 걸어오면 됩니다.(식물원 안에 있는 오아시스 카페도 좋았습니다.) 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,3달 전
z_zino,데이트하기에 좋고 부모님 모시고 가도 굉장히 젛은 식물원이에요 야외 꽃들도 이쁘게 관리가 되고 있어서 산책하기에도 좋았습니다 지금도 날씨 좋아서 굉장히 이쁜데 6~7월에 수국이 피면 더 이쁠거 같아요 마곡나루역에서 걸어서 갈 수 있습니다 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 예,별표 5개,3달 전
김성곤,"서울식물원 지하철 9호선 마곡나루역에서 걸어서 10분거리(530m)에 있다. 싱가폴 보타닉 가든을 벤치마킹한 식물원으로 열린숲, 주제원, 호수원 및 온실로 구성되어 있다. 온실은 지중해관과 열대관의 두 곳으로 되었고, 판매시설과 카페가 있어 여유롭게 시간을 보낼 수 있다. 흠이라면 아직 수목이 적어 한여름에는 양산이 꼭 필요하다. 가족 단위 나들이를 하기에 좋다. 월요일 휴관 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요",별표 3개,2달 전
moonseong kwon,"주차공간이 부족해서 인근 도로에 주차하는 차량이 많습니다. 유아동반 및 유모차 등의 불가피한 사유가 아니고 가능한 경우라면 지하철 접근성이 좋아 대중교통 이용도 괜찮습니다. 유료인 실내 온실 등도 좋고, 무료인 공원 산책만 해도 괜찮습니다. 단 야외는 그늘이 부족해 더운 날씨엔 힘들것 같네요. 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,3달 전
Yoonhyung “Yestin” LEE,여지껏 살면서 가장 좋은 식물원이자 야외공원인거 같다  정리가 아주 잘 되어있고 경관을 보니 마음이 후련해지는게 정말 잘 지어놨다  내부에 도서관도 있고 잘 꾸며진 식당/카페도 있고 식물들을 저렴하게 파는 상점도 있다  갔다온 사람들이 다들 너무 좋았대는데 가보면 100% 이해된다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,3달 전
이경은,"25.03.15 방문 봄이라지만 쌀쌀해서 찾은 곳! 언제든 꽃을 볼 수 있는 몇 안 되는 곳! 그래서인지 사람들이 무척 많았고, 인기 있는 곳이 구나 새삼 느꼈다. 주차하는 데 시간이 꽤 걸린. 그래도 항상 가면 좋아서 다시 오고 싶어진다. 다음에 주제정원(야외공원)에 꽃 필 때 오고 싶다. 방문일 주말 대기 시간 10~30분 예약 권장 예",별표 5개,5달 전
인공지능,친절하게 안내해주었고 아이들이 좋아했습니다 다둥이 일 경우 무료 입장 가능하며 유모차 대여 가능합니다. 수유실 있습니다 방문일 평일 대기 시간 대기 시간 없음,별표 5개,4달 전
김멘썩,잘 꾸며진 실내공간과 드넓은 야외 공간  가족들과 주말 나들이 하기 좋은 곳이네요~ 방문일 평일 대기 시간 대기 시간 없음 예약 권장 예,별표 5개,4달 전
INcLine Museum_인클,"양천향교역에서 조금 걷다 보면 서울식물원이 나와요. 북쪽으로 습지생태공원 향해 걷다 보면 한강이 나옵니다. 생태공원과 한강 사이에 전망대 + 엘레베이터가 잘 되어 있어서 낮이나 밤에 방화대교와 가양대교를 전망으로 사진 찍고 산책하며 둘러볼 거리가 많아요.  식물원 안에 호수도 있고, 빌딩이 가리지 않아 하늘 보며 광합성 하기도 좋았습니다. 그리고 노을 맛집이에요 방문일 공휴일 대기 시간 최대 10분 예약 권장 예",별표 5개,5달 전
