작성자,내용,별점,작성일
이원이,우장산 몇번가봤지만 여기는 운동하기좋은곳입니딘 운동기구도중간중간에 놓여있고 걷다보면쉴수있는 의자도 있고 맨발걷기코스도있고 푹신한길도 걷고쭉 걷기 좋은길이라 운동하기 도심에 있는곳이라 너무 좋음 화장실 화장실도 갈끔하니좋음 반려견 동반 환경 반려견. 산책하기도좋음 피크닉 구역 김밥이나. 과일 차 싸들고 운동하로가기 너무좋은곳,별표 5개,8달 전
김은선,"일반평지운동과 우장산을 둘레길처럼 산행할수 있는 산행코스로 잘 만들어져 있어서 운동하기 아주 좋아요 퇴근후 캄캄한 저녁에 운동할때도 가로등 시설이 잘 되어있어서 혼자 운동하더라도 안전하게 운동할수 있어서 좋습니다.. (2018.05.17 수정) 근래들어 우장산 곳곳을 손질해서 산으로 연결된 산책로를 많이 보수했고, 중간중간 예쁜그네를 설치해서 우장산이 더 좋아졌습니다.. 5월에 피는 쪽동백군락지도 아름답습니다",별표 5개,수정일: 7년 전
신재선,산책 코스와 곳곳의 운동시설 그리고 쉼터와 위생시설 등 시설이 잘 돼 있어서 좋아요.. 더군다나 관리도 아주 잘 하는 편이라 정말 살기 좋은 동네인 것 같아요..,별표 5개,3년 전
장데일리,간만에 가본 개화산 근린공원! 날씨가 아직 더웠지만 그래도 약간은 하풀 꺽인 더위를 안고 등산했습니다. 산책길이라도 조금은 비포장에 울퉁불퉁!  샌달을 신고간 동생신발이 홀라당 까져버렸어용! 맑은 하늘! 푸른산!,별표 5개,5년 전
A gold,조깅이나 산책하기에  아주  적합한  공원이라고  생각합니다,별표 5개,1달 전
여행자Dewey,산책하기 좋아요,별표 5개,2달 전
멋진놈,도심속의 숲. 고요함. 산책하기 정말 좋은곳 반려견 동반 환경 목줄 및 기본 애티켓 지면 제약사항 없음.,별표 5개,1달 전
jong kon park,"우장산공원은 강서구 우장산동에 위치한 공원으로 새마을중앙탑이 있는 근린공원입니다 새마을 중앙본부가 있던자리는 롯데낙천대아파트가 들어왔지만 우장산 근린공원은 그대로 존치하고 있습니다. 사계절 꽃이 화려하고 구민들이 운동할수있는 시설과 공간이 있는 곳으로 구민들의 쉼터입니다. Ujangsan Park is a park located in Ujangsan-dong, Gangseo-gu, and is a neighborhood park with the Saemaul Central Tower. Lotte Nakcheondae Apartment moved into the place where the Saemaeul Central Headquarters used to be, but Ujangsan Neighborhood Park remains intact. It is a resting place for residents with colorful flowers throughout the four seasons and facilities and space for residents to exercise.",별표 5개,2년 전
David oh,가볍게 산책과운동하기 너무좋네요,별표 4개,5년 전
서아나TV,힐링하기 딱 좋죠~~ 너무 높지않아서 뒷산으로 적당하니 좋구 포장도로라 편해요 다만 가로등이 좀 더 있었음 좋겠네요! 밤에 여자 혼자가기엔 곳곳에 지뢰가 있네요ㅜ,별표 5개,6년 전
