작성자,내용,별점,작성일
변상언,가양나들목을 나와 한강변 산책로를 따라 야경이 무척 아름다운 방화대교 주변까지 갔다왔구요. 특히 방화대교 남단 바로옆에 있는 투금탄이야기 조형물과 전설은 우리에게 큰 교훈이 되고 있습니다.,별표 5개,5년 전
황종각,강서 한강공원  늘 푸른물결 아름답고요  많은 사람들이 자전거 행열 아름다워요 생태공뭔에는 고란이가 놀고 있네요 가끔 강태공들이 낚시른 즐기고 있네요 즐겁고 아름다운하루,별표 3개,4년 전
shineui mo,김포에서 출발하여 방화대교 / 마곡(철도)대교/가양대교/ 미 개통대교 / 성산대교 그리고 선유도 까지 도보(4월에만 세번째) 하면서 여의도 방향의 국회/쌍둥이 빌딩 그리고 반대편 난지도 하늘공원 등 보면서 그간 서울/한국의 발전과 한강기적의 잠시나미 느껴고 머릿속엔 주마등 처럼 많은 그림이 스쳐간다..…,별표 5개,4년 전
miseon kim,날씨 좋은날 그늘막 하나 가지고 바람쐬면서 휴식하기 좋아요. 잔디밭에 그늘막치고 누워있음 캠핑온것같은 느낌이 드네요. 한강까지는 쪼금 걸어나가면 볼 수 있어요.…,별표 4개,5년 전
jong kon park,한강 하구에 위치한 공원으로 공원내 생태 습지가 함께하고 있어 일반 쉼터공원으로 서의 역할 뿐 만아니라 생태습지공원으로 도 존재가치가 큰곳이다. 또한 맞은 편에 행주산성이 있고 북동쪽 으로는 북한산이 한눈에 들어오는 전망이 좋은 곳이며 자전거도로가 연결되어 바이크 동호인들이 사랑하는 곳이기도 하다,별표 5개,3년 전
Dongmin Lee,뭔가 좀 없지만 넓고 쾌적해서 좋아요,별표 5개,2년 전
DuckWon Kang,나름 괜찮은데... 시골길 같구... 그런데 옆에 올림픽대로 소리가 너무 커서 새들도 날아갈거 같아요.,별표 3개,8년 전
맑음소잉카페 (소잉티쳐/KHDS),시원하고 강바람 완전 좋아요.^^♡,별표 5개,5년 전
Jolie Ahn,생태보전이 잘 되어있는 편이고 사람이 많이 붐비지 않아서 좋다,별표 5개,5년 전
오소풍,강서한강공원 걷지 않으면 볼 수 없는 풍경들,별표 5개,3년 전
개조저항 115편성,전망대도 있고 둘레길도 매우잘만듬,별표 5개,7년 전
랙기,모래놀이 그늘 나들이 촤고.. 주차장 좋고 화장실좋은 넓은 공간.. 한강!!난지2,별표 4개,5년 전
DynamiteKorean,즐겁게 나들이 할 수 있는 곳 시민 공간 좋아요~…,별표 5개,4년 전
백미희,도심속 바쁜 생활중에 40분의 여유~ 참 좋았습니다!!!,별표 5개,7년 전
김영섭,"강서한강공원 풍경, 조류관찰대",별표 4개,3년 전
Sangeon Byun,"강서구 쪽의 방화대교 옆에서 부터 행주대교 근처까지 쭉 길게 이어진 강서습지생태공원. 여러종류의 숲풀과 수양버들이 멋지게 늘어져 있고, 여러종류의 새소리가 아름답게 들리는 곳으로 한강변으로 쭉 늘어진 생태공원길을 한번쯤 걸어보는 것도 아주 유익한 도움이 될 것입니다.",별표 5개,7년 전
윤시영,시원한  바람 과 눈위에 탁티는 하늘 또잘정비된  시설과 목초는 찌든 도시인 들이 쉬면서  가벼운…,별표 5개,5년 전
Sunok Ko,지금츰은꽃풀이잠을깨어공기좋고구경하기좋음,별표 5개,1년 전
안재성,평일에는 주차가 여유롭고 사람이 적음. 매점이나 편의점이 없어서 불편함. 정비를 위해 출입금지된 산책로가 많음.,별표 2개,6년 전
최진종,"강서습지생태공원은 서울 방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이의 한강 둔치에 있는 생태공원이다. 담수지와 저습지 등을 인공적으로 조성하고 습생, 수생식물을 심었다. 갈대밭과 버드나무숲이 어우러져 있으며 탐방로 두 곳과 철새 조망대가 있다.",별표 3개,7년 전
김선영,넘 좋았어요~~~^^,별표 4개,5년 전
함경태,나름 잘 만들었네요 자전거도로. 산책길 수변공원도 분리하고 화장실도 괜찮고,별표 4개,4년 전
J. Hyun Baik,강서에 있는 한강공원이라 매우 한적하고 차가 없으면 못오는 곳이라 장사꾼들이 몰리지 않는 곳이다. 다만 조류 독감이 한바탕 쓸고 가면 생태관찰구역은 출입이 차단되니 유의할 것.,별표 4개,8년 전
Octo S,조용하고 사람들이 너무 많지도 않다. 도심 속 공원 느낌 보다는 정말 교외 지역으로 온 느낌을 준다,별표 4개,9년 전
