작성자,내용,별점,작성일
뭐뇨,올 때 마다 차가 너무 많아서 힘들지만 과학관도 같이 들리면 주차가 좀 편해짐 많이 걸어야 하긴 하지만... 리프트 2회권으로 구매하세요 너무 넒어서 걸어다니기 힘들어요 ㅎ 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,3달 전
Mincho Park,"3살 어린이와 주말에 함께 처음 다녀왔어요. 지금 다녀오기 너무 좋은 계절이네요. 동물원만 다녀왔는데요 그것만으로도 너무 좋았고 산책하기도 참 좋았습니다. 주 출입구에서 코끼리 열차를 타고 가시는걸 추천드려요. 아니면 꽤 걸어가야 해요. 저는 걷는것도 나쁘지 않았습니다. 걸으면서 풍경 감상하기 참 좋았습니다. 동물원은 꽤 널찍해서 많이 걸어야해요. 그만큼 동물들에게는 좋은 환경같아서 마음이 좋았습니다. 다양한 동물군들이 있었고, 치타도 있어요(어린이가 치타를 보고싶어해서 찾아간 동물원이었어요) 동물원 곳곳엔 식당들이 있긴 한데,, 사실 너무 맛이 없어서 식당 추천은 하지 않습니다. 아, 중간에 붕어빵 파는 곳이 있는데 붕어빵이 제일 맛있었네요. 하루종일 있어도 좋을곳이고, 가족단위로 함께 하기 참 좋은 곳이었습니다. 계절마다 가봐야겠어요. 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,9달 전
Sue jin kim,서울에서 가깝고 동물원 미술관 있음 좀 낡긴했으나 리프트 타고 동물원 갈 수 있음 산책로도 있음 그러나 식당이 좀 개선되었으면 좋겠음 스낵코너들도. 리프트 타는 곳의 화장실. 주말에는 여자화장실 줄이 기네요 칸이 2칸 뿐이라. 식당 화장실등을 개선하면 좋을듯 합니다. 넓고 좋은 환경을 갖고있는데 아쉽네요,별표 4개,4달 전
OJ Neo,"리프트권2회+테마가든+동물원 매키지로 쿠팡에서 성인 인당 2만원으로 구매해서 리프트탑승장 정문에서 온라인 구매자 현장쿠폰 교환해서 들어갔어요.  산들주차장이 카카오T주차장으로 제일 가까운 곳이에요.  광장으로 들어가면 그랜드파크 건물 보이고 우측으로 200미터 정도 가면 리프트 탑승하는 곳이 있고 1구간에서 내려서 2구간으로 한번 갈아타야해요. 줄이 길어서 2구간은 입장에 40분 정도 걸렸네요.  제일 꼭대기까지 가서 내려오면서 구경하는게 제일 좋다고 해서 리프트로 정상가서 동물원 구석구석 보면서 내려오니 좋버라고요.  입구에서부터 올라오면서 구경하긴 유모차, 웨건 끌고 올라오시는분들 보니 힘들겠더라고요.  동물원 구역이 엄청 넓어서 다 구경하고 오면 3~4시간 정도 걸리더라고요.  동물이 곳곳에 숨어 있어서 찾는 재미(?)가 있네요.  테마가든은 5시가 입장 마감이라 10분 늦어서 못가봤네요. 어린이동물원이 테마가든 통해서 입장할 수 있는데 공사중이라 운영은 하지 않는다고 해서 못들어가고 남은 티켓은 다음에 써야겠네요. 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 예",별표 5개,10달 전
설맘,아기도 어른도 좋은 산책코스 ( 그런데 동물들은 아닌듯 ㅠ.ㅠ) 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,2달 전
SEAGULL BUSAN,가족나들이 좋은곳 휴식하기 좋아요 동물원 식물원 다있음 아기들과 같이 많이옵니다. 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,5달 전
Isak Gwon,"동물원은 우리나라 대표 동물원답게 좋았습니다 하지만 내부 노점상, 매장, 푸드코트는 가격 대비 질이 정말 실망스러웠습니다😡  좀 더 경제적인 관람을 하시려면 1. 김밥 간식 등을 미리 포장해서 오시고 2. 관람권도 패키지가 아닌 동물원 입장권만 구매(원내 버스는 어차피 무료이니) 이렇게 추천드립니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요",별표 3개,1년 전
김예진,넓은 공원에서 다양한 동물들을 만날 수 있습니다. 식물원도 갖추고 있는 훌륭한 곳입니다. 가족들과 좋은 추억을 만들기에 참 좋은 장소입니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,1년 전
곽경학,"아이와 토요일에 다녀왔다. 아직 겨울이라서 사람은 붐비지 않아서 여유있게 놀고왔다. 다만, 겨울이라 아직 보이지 않은 동물 친구들이 많았고 먹을 곳이 마땅치 않았다. 방문일 주말 대기 시간 최대 10분 예약 권장 아니요",별표 4개,수정일: 1년 전
RainWalker -,"우선 처음 입구에서 갓끼리 열차 타는걸 추천하고 (편도 2천원 탈 때마다 결제해야함) 이걸 타고 동물원에 도착해서  입장권 구매 후 바로 들어가도 되지만 스카이리프트 타고 올라가는거 진짜 강추합니다 안 타면 바보급임 좀 더 자세히 설명하면 갓끼리 열차 타고 내린 곳에서 바로 보이는 입구말고 왼쪽으로 조금 걸어서 올라가면 스카이 리프트 타는 곳 나옵니다 거기 매표소에 가서 입장권+스카이 리프트 올라가는 거 1회 이용권 구매하시면 됨  주의할 점은 리프트 높이가 꽤 높다는 것 가다보면 안전망에 모자나 가방 등 사람들 짐 떨어져있는거 보임 ㅋㅋ 생각보다 타고 올라가는 시간이 길긴한데 풍경 보면서 가면 괜찮습니다 글고 식물원 부근 지날 때 공기내음이 진짜 좋았음 도착해서 내린 다음 팜플렛 하나 챙겨서 대략적인 위치 보며 구경하면 됨  곳곳마다 음식점,편의점,화장실이 다 있어서 불편한 점이 없었다 아 그리고 혹시 나처럼 더위 많이 타는 사람이면 남미관이 좀 더워서 힘들 수 있음 가는 길에 카피바라 있었던 거 같은데 귀여움 겁이 많은지 멀리 구석으로 다 도망가있음 ㅋㅋ  구경 다 하고나서 개인적으로 피날레로 강추하는건 출입구 부근에 있는 '테마가든'이다. 장미원이라는 곳과 어린이 동물원을 구경할 수 있는데 입장료도 2천원밖에 안 한다. 내가 강추하는건 왼쪽으로 조금 가면 바로 나오는 어린이동물원이다. 여기엔 '북극여우'가 있기 때문에 꼭 들러보길 권한다. 내가 갔을 땐 암,수 두마리 다 쪼르르 가까이 와줘서 정말 좋았다. 그 외 토끼랑 양도 귀여웠는데 나머지는 공사중이라 못 들어감 매표소에 있는 직원분도 엄청 친절해서 기분 좋았음 방문일 평일 대기 시간 대기 시간 없음 예약 권장 모르겠음",별표 5개,10달 전
Queen Realty,사자 호랑이 뱀 곰 원숭이 동물 친구들 봐서 너무 행복하고 즐거웠어요 가족들과 함께라서 더욱 소중했어요! 행복한 연휴 동심의 세계에서 잘 놀다 갑니다. 소중한 추억을 남겨주셔서 감사합니다.,별표 5개,1년 전
JaeWoo Kim,서울대공원 처음 가봤는데 너무 좋은 추억들 많이 쌓고 왔습니다.  애들이랑 스카이 리프트 타고 올라가서 동물들 보면서 산책하니 참 좋았습니다.  리프트 탈 때 사람이 너무 많아서 걱정했는데 워낙 넓어서 막상 동물원 구경하고 돌아다닐 때는 복잡한 걸 못 느끼겠더라구요.  너무너무 잘 놀다 왔습니다. 방문일 주말 대기 시간 대기 시간 없음 예약 권장 예,별표 5개,2년 전
Park Chanhyup,"오랜만에 갔는데, 날이 더워서 그런지 동물들이 많이 안나와 있어 아숴웠네요.  저희는 현장에서 표를 구매했는데. 주로 패키지로 많이 삽니다. 코끼리열차(동물원입구까지편도)+리프트이용권(동물원입구이서 동물원 최고점까지)+입장권 의 구성으로 패키지입니다.리프트를 타고 제일 높이 올라가서 맹수사부터 보면서 내려오면 편하게 관람 가능해요. 사진중에 포스투잍 많이 붙어있는것이 호랑이 수호 인가? 그 호랑이가 이번에 하늘나라가서 추모하고 있더라구요. 아쉬운점은 서울대공원은 우리나라에서 가장 유명한 동물원이기도 한데, 국가에서 관리하다보니 상업적인 부분이 너무 약해요. 기념품이라던지 먹거리라던지… 그 두가지만이라도 민간에 위임하시는게 좋을것같아요. 동물원을 대표하는 마스코트가 많은데 관련 굿즈가 하나도 없다니… 아쉬울 따름입니다.",별표 5개,2년 전
