작성자,내용,별점,작성일
꽁쓰이,"운좋게 주차하고, 매점이가깝고 놀이터가있어서 좋았습니다 뙤약볕이긴한데..아이들은 신나게 잘놀았어요 화장실도 깨끗했습니다",별표 5개,2달 전
J Seung,2025.01.10  최근에 간 건 아닌데 자주가요…,별표 5개,4달 전
Chris Kim,천호쪽 광나루 한강은 제 힐링장소입니다 노을 지는 해질녘 방문시 강물도 반짝반짝 넘나 이쁩니다,별표 5개,수정일: 3달 전
Casper,"공원이 넓어 산책하기도 좋고, 가볍게 뛰기도 참 좋습니다.",별표 5개,6달 전
shinjohnss,한강중    아차산을 마주하고 있어 그 풍광이  수려하고    자전거 공원과 강아지들 뛰어 노는  모습을…,별표 5개,수정일: 5년 전
신현길,암사역에서 도보로 10분 가량 걸으면 나오는 공원. 단언컨대 그 어떤 한강공원보다 강물을 가까이서 볼 수 있음.,별표 5개,2년 전
꼬리별,한강을 가까이 볼 수 있어서 좋고 수풀향기도 그대로 맡을수 있어 좋다. 산책로가 잘 되어 있어서 걷기에도 좋다.,별표 4개,1년 전
BORA LEE,아이들 놀기 좋고 놀잇감도 다양해요. 앉아서 쉬기도 좋고 주말에 방문하기에 부담 없이 좋아요.,별표 5개,1년 전
코마월드(comaworld),주차비도 저렴하고 사람도 많이 없네요. 시설은 많은데 이용가능한 시설은 현재 별로없습니다. 잔디는 4월부터 입장가능하구요. 생육중이라 입장불가입니다. 주차장은 3곳 있는거 같네요. 2주차장 가니 잔디밭하고 자전거 렌트하는곳 가깝네요.,별표 5개,4년 전
황지호,야외수영장 아이들 놀기좋음 수심 얕음 수영장 옆 놀이터도 너무좋아요,별표 5개,2년 전
서명준 (MJ_JUNE),한강수영장 중 가장 사람 적은곳 그만큼 시설 규모면에선 크지 않은…,별표 3개,7년 전
Youngea Kim,광진교 부근으로 자리를 잡았는데 체육시설과 치안센터가 있고 음주단속.텐트등 단속이 잘되서 좋았다. 그리고 광진교도 걷기 넘 좋은곳이다,별표 4개,3년 전
황지연,놀이터도 좋고 드론날리기도 좋고 편의점에서 라면 먹기도 좋아요.,별표 4개,2년 전
서순효,한강에 인접한 광나루 주차창과 함께 장미로 인해 야외 결혼식이 자주 예약된다고 한다.,별표 4개,2년 전
임금구,"날씨도 폰근하고 개나리, 벚꽃도 활짝 피어 돗자리 들고 사람들이 많이 나왔네요. 천호역에서 접근성도 좋고 한강뷰도 멋져요.",별표 5개,수정일: 3년 전
SH LEE,저렴하고 외부 음식 반입 가능하니 간단하게 놀기 좋음. 수심도 0.9라서 저학년 아이들도 부담없이 놀수 있음 다만 수질은 좀 아쉬움,별표 4개,1년 전
Tiger Lee,일상 스트레스는 시원한 강바람에 날려가고 한강변 잔디밭에 앉은 가족과 친구와 이웃과는 건강의 자리이자 행복의 광장....…,별표 5개,4년 전
Yun Yun,#광나루 한강공원(10/30) -.사람이 많지 않고 조용히 산책하기 좋은 한강공원. -.자전거도로와 인도가 구분되어 있음.…,별표 5개,3년 전
김영진,놀이터도 너무 좋고 아이들과 놀기에 좋은장소입니다,별표 5개,10달 전
Seoyeon Joy,자전거 타고 힐링하기 좋아요^^ 언제 가도 경치가 좋습니다,별표 5개,1년 전
Dukhun Park (Daniel),"다른곳보다 조용하고, 더 평온한 한강공원",별표 5개,2년 전
강경중,"주차장, 편의점과 가깝지만 땥볕을 피할 공간은 적은편",별표 4개,1년 전
홍,장미꽃들이 만발하여 너무 이쁘구 힐링이 아주 잘되는곳임니다~~,별표 5개,2년 전
잠충이,놀이터가 커요,별표 5개,3달 전
단골집,가족과 연인과 함께 휴식을 취하러 방문하기 좋습니다,별표 5개,1년 전
JI LEE,편의시설이 잘 되어있는 것 같습니다.,별표 5개,5년 전
이효우,산책하기 좋아요,별표 5개,1년 전
spring h,"아이들 놀이터, 매점, 운동기구, 화장실, 그늘막 허용 잔디밭, 드론비행장, 인라인스케이트장, 간이 야구장과 축구장, 무궁화공원, 생태공원 숲 산책로 등이 있어 가족끼리 연인끼리 남녀노소 누구나 힐링하며 시간 보낼 수 있음.",별표 4개,4년 전
러브모드,주말인데도 사람이 아주 많진 않았어요~,별표 5개,2년 전
강철원,드론 날리러 갔는데 예약을 안해서 그냥왔네요 ㅠㅠ,별표 5개,4년 전
창회김,수영장에 선글라스는 당연하고 안경조차 못쓰고 들어갑니다.(수경외엔 금지) 성인풀이라고 하기도 애매한 성인풀엔 아쿠아슈즈도 금지입니다. 그리고 수영모 꼭 착용해야 합니다.(캡모자든 뭐든간에 안쪽에 수영모 착용 후 쎠야합니다.) 다이빙 금지 뛰어들기 금지라고 써놓고 애들이 다이빙하고 뛰어들어도 전혀 제재없습니다.,별표 1개,7년 전
공간올림STSP,서울에서 맘 편히 드론을 날리고 싶다면 이곳 뿐이죠.. 단 비행기를 날리는 사람들과 함께 해야한다는 점이 좀 신경쓰입니다.,별표 4개,5년 전
양창열,추석 연휴에 아이들이랑 같이 갔어요 주차장이 무료로 제공되었는데.. 늦게가서 주차는 못했어요…,별표 5개,1년 전
YongJin Kim,조용조용하고 도심지의 한강보다 공기가 너무 좋음,별표 5개,6년 전
MongRyong Lee (Kris Lee),하남가기전 보급할 수 있는 국토종주코스.. 정신과 시간의 방전에 보급 필수,별표 4개,2년 전
JINs You,"강동구민의 휴식처. 멀리 잠실, 반포 안가도 되겠음",별표 5개,3년 전
최은혁,"아이들 데리고 한번쯤  와볼만한 곳,수영장에 선배드에 누워서 쉬고 옆에있는 공원에서 맘껏뛰어 놀 수 있는곳",별표 4개,7년 전
서호균,"걷고,자전거 타고 시원하고  너무 좋네요~",별표 5개,5년 전
이병국,일출의 한강 VIEW  피곤하고 힘들어도... 나가면 이리 좋은걸...,별표 5개,4년 전
WOORI CHO,깨끗하고 관리 잘 되는 수영장,별표 5개,7년 전
Kyuha Choi (최박사),클레이 코트는 적응이 안돼요. 판교에서는 좀 먼 느낌,별표 3개,6년 전
서대원,바람 쐐면서 산책하기 좋아요,별표 5개,7년 전
Janghwan Wi,산책하기 너무 좋아요,별표 5개,1년 전
황뽀,가족과 함께 물놀이하기에 좋습니다. 사람은 제법 많은 편이고 야외 수영장이라서인지 물은 깨끗하지 않아요.  수영보다는 물놀이를 하러 간다고 생각하셔야 합니다.,별표 5개,수정일: 2년 전
Maekgguk Hong (Dosik King),주차장이 여유있다,별표 5개,3년 전
김도연,한강공원치고 특별한 건 많이 없습니다 다만 자전거 타기에는 환경조성이 잘 되어 있고 부지도 널찍한 곳들이 많아서 시끄러운 거 싫어하고 한적하게 한강 보고 싶으면 상당히 괜찮은 선택지 입니다,별표 3개,1년 전
유영선,암사동으로 올라오시면 축구장 앞 풍경임니다,별표 5개,5년 전
hyun sook Cho,10월 30일인데도 장미꽃이 만발했습니다,별표 5개,1년 전
쌔미세상say_me_world,주차는 힘들어요 텐트치는곳은 그늘없음주의,별표 5개,5년 전
최현석,수심은 낮지만 놀만 합니다.입장료가 너무 싸잖아요ㅎ 휴식타임에 부유물좀 잘 제거하시고 물샤워 안하고 샴푸제품 쓰시는 분들 철저히 단속좀 해주세요.,별표 5개,2년 전
이재인,아름다운곳 숨어있는 놀이터를 찾으삼 ㅋ,별표 5개,4년 전
N mj,"확실히 뚝섬지구에 비해서는 덜붐비는것 같습니다 대신 그만큼 정리된 느낌이 덜하기도 하네요. 가족들과 자전거를 타거나 인라인스케이트, 보드등을 탈 수 있는 전용공간이 있어 좋습니다. 다만 장기주차 차량으로 인해 주말에는 주차하기가 쉽지 않네요",별표 4개,4년 전
JS JUNG,자전거 국토종주 인증이 가능한 곳이에요^^,별표 5개,2년 전
Bong Ha SAH,"잔디 구역이 있어 아이들과 함께 나와 휴식을 취하기 좋습니다. 다만, 사람들이 화장실 시설을 바르게 사용하지 않아 지저분합니다. 아이들 킥보드, 자전거, 스케이트보드, 인라인 등 타기 좋아요",별표 3개,6년 전
김동택,매일 운동하고 산책하기,별표 4개,5년 전
JK P,차대고 한강거닐기 좋아요 화장실도 깨끗하게 관리가 잘 되어있어요,별표 5개,수정일: 6달 전
bear sky,"12개한강시민공원 중 광나루 한강 시민공원은 서울시의 유일한 상수원 볼호구역으로 각종 수상레저활동이 금지되어있는 물이맑고 깨끗한 지역이다.한강 상류로 부터 유입된 토사가 퇴적되어 자연스럽게 형성된 모래톱과 대규모 갈대군락지로 자연 그대로의 한강모습을 잘 유지하고 있는 곳이다. 철새들의 서식지 이기도 하며, 근처에는 암사동 유적이 위치하여 자연과 문화가 잘 조화를 이루는 곳이기도 하다.",별표 3개,2년 전
최인정,놀이기구가 신식이었음 작지만 놀기좋고 물놀이장 공사중임.,별표 5개,1년 전
유대표.민성,넓은 공원과 편안하게 자전거를 즐길 수있고 드론공원도 있어 연습도 할 수 있습니다. 또 인라인스케이트도 탈수있는 트렉이있어 가조기리 레포츠를 즐기기에 좋은 장소입니다.,별표 5개,4년 전
이민호,생각보다 넓고 깔끔했습니다 화장실은 좀 먼듯,별표 4개,5년 전
김정훈,분명히 19시까지만 텐트 운영이 가능 하다고 안내문이 있지만 아무도 지키지 않는 현실. 동네 개새끼들 다 모였는지 벤치근처에 사람이 앉아있든 없든 개새끼가 오줌으로 벤치에 영역 표시하는 민폐를 주인이 막지 않는다. 나무 근처에 참치캔 놔두는 무개념 아지매들까지 관리가 필요한것같다.,별표 3개,4년 전
환이,도시내 간단하게 정서적인 힐링을 하기 좋은곳입니다,별표 5개,1년 전
피루,나날이 업그레이드 되가는 곳이라고 생각됩니다. 그만큼 이곳에 관심과 투자가 이루어지느 것 같다는 느낌을 시간간격을 두고 갈때마다 변화되는 환경과 시설에서 느끼게 됩니다. 드론 비행이 가능하고 시설또한 굉장히 잘되있으며 이용하는 분들이 매너가 좋습니다.,별표 5개,7년 전
bellina Seo,코로나 시대 가족과 나들이 하기 좋은 곳,별표 5개,4년 전
김미영,전망이 좋아요. 야경도 좋고요.  춥지 않으면 돗자리 가지고 김밥싸서 강바람 즐기며 친구들과 이야기꽃을 피울수 있는 곳입니다~,별표 5개,4년 전
keeyoo ahn,시민들의 낭만적인 공원  연인들데이트 가족들 산책  강아지두,별표 5개,7년 전
바람따라서,"한강의 능수버들, 광나루에서 구리, 남양주까지",별표 4개,수정일: 8년 전
정한준,이곳에 가면 자연을 가까이에서 체험하듯 늘 편한 느낌을 받습니다.,별표 5개,1년 전
mipsan ko,"자전거 타다가 쉬기 딱 좋은 자리에 있는데, 쓰레기통이 테이블에서 가까워요. 날벌레와 냄새, 담배꽁초들 아쉬워요",별표 3개,5년 전
이태근,자연을 잘보살피고 있는곳,별표 5개,4년 전
구혜정,아름다운 한강의 봄을 만끽할 수 있습니다.,별표 5개,4년 전
최고시속65마일,아이와 함께놀기 매우 좋습니다.,별표 3개,6년 전
Sungho Ji,"주말에 산책하기 좋아요. 넓고 경치좋고, 잘 정비되어있는 한강공원입니다. 주차장은 일요일에 무료개방입니다.",별표 4개,8년 전
Jiwoong Jang,맘충들과 초딩이 득실대는곳,별표 3개,8년 전
김동오,공원 시설도 다양하고 접근성도 좋아서 좋은데 자전거 도로가 좀 가깝네여,별표 4개,2년 전
