작성자,내용,별점,작성일
мина микки,"여러모로 완벽한 공원. 무료에 전철역에서 하차하고 바로인 공간에 위치. 나무들로 만들어진 곳곳의 그늘과 향기로운 바람, 새소리.  놀이터! 쉽게 찾을 수 있는 화장실, 편의점.    시원하게 물이 뿜어져 나와 바라보기에 좋은 음악분수. 작지만 일행과 둘러보기에 쾌적하고 기존의 대표적인 동물 외에 신기한 동물들이 있는 동물원. 하루를 쓰기게 적당한 넓이! 100점만점!",별표 5개,2달 전
SE KANG,"어린이날에 어린이대공원을 방문했습니다. 휴일 혼잡도를 감안하여, 9시 10분경에 도착했는데 대기 없이 입장할 수 있었습니다. 공원에는 어린이날을 맞이하여 다양한 프로그램과 행사를 진행하고 있었습니다. 동물원과 식물원 페이스페인팅, 가수들의 공연 등등 즐거운 추억을 남길수 있었습니다. 날씨가 화창한 날에는 돗자리 또는 의자를 피고 시간을 보내기에 적합할 것 같습니다. 내부에 이마트24 등 편의점들이 있어서 간식거리를 현장에서 구매할 수도 있습니다. 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,3달 전
INcLine Museum_인클,"동물원 + 놀이기구 어트랙션(청룡열차, 바이킹, 범버카 등) + 식물원 + 풋살장 + 수족관이 모두 이용가능합니다. 식물원, 동물원 등은 모두 무료로 이용가능 해요.  아이들과 함께 오는 관람객이 굉장히 많은데요. 세종대 정문, 어린이대공원역에서 바로 올 수 있습니다. 서울에서 바로 동물원 관람이 가능하고 분수대, 놀이터등 모든 시설이 깔끔하고 분위기가 좋았어요. 정문 입구에는 연못도 있고 분수대 근처에서 인기가요 노래들이 나와 지친 일상에 잠시 힐링 가능합니다. 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,5달 전
H Happy.,진짜20년만에 우연히 칭구가 여기서 기다린다해서 정문으로 들어가서 후문으로 걸어서나왔어요^^초록초록나무들보며 산책하니 힐링이 저절로되더라구요~ 벚꽃필때오믄 정말 더 좋을것같아요♡ 무료입장이라그런지 시설이 노후된느낌이 있는데 서울시직원분들 여기 동물우리에 페인트칠좀 새로해주세요~~~!! 방문일 평일 대기 시간 대기 시간 없음,별표 4개,2달 전
wongyu lee,"무료 입장이라 큰 기대는 안 했는데, 동물 종류도 다양하고 볼거리도 많아서 즐거웠어요. 동물원은 일찍 닫으니 시간 확인하고 가세요 방문일 평일",별표 5개,1달 전
Goodwill동영,아이와 함께 나들이 하기좋아요 무료인것도 장점입니다 동물이 엄청 많지는 않지만 어느정도 구색은 갖추고있어요,별표 5개,2달 전
정나니 (나니로움),"아이와 부모님과 왔는데, 어릴 적 생각나고 너무 좋았어요. 점점 관리도 잘 되어지는 듯 잔디가 푸릇해요.  소풍오니까 신나네요!^^ 맛있게 먹고, 즐겁게 놀고, 깨끗히 치우고 가기로 해요 ~ 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,3달 전
JONG MUN RYU,무료인데 너무좋아요 벛꽃명소 후문근처 서부면옥 평양냉면 맛집 추천요 방문일 평일 대기 시간 10~30분 예약 권장 아니요,별표 4개,4달 전
와사비삼겹살,"무료인데 생각보다 볼께 많고, 서울에서 이곳만큼 나들이 할 수 있는 곳이 없습니다.",별표 5개,3달 전
최두렬 Choi Du Ryeol,주차는 동물원인지 정문말고 다른데 했다. 가족 단위 방문객이 많아서 유모차 끌고다니기 편하다. 오랜만에 동물 봐서 재밌다. 동물원 설명도 아이들 수준에 맞춰져있어서 좋았다. 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,9달 전
마지마타,"서울 도심 속에 자리잡은 오랜 역사를 자랑하는 유원지 겸 공원. 옛 유적지 위에 지어져 공원 한쪽에 유강원이 있다. 나무들도 울창하고 녹지도 상당하여 돌아다니면 제법 시간이 걸리는데다 동식물원, 음악분수, 놀이동산 등 다양한 즐길 거리가 준비되어 있어 가족이나 연인이 함께 가면 매우 알찬 시간을 보낼 수 있다. 공원 가운데 팔각당은 전망대 역할을 하며 이 건물 안에도 아이들이 놀 수 있는 놀이방 같은 공간이 있다. 공원 남쪽에는 야외수영장, 눈썰매장도 있으니 계절에 맞게 이용할 수 있어 좋음. 오래되었지만 주기적으로 새 단장 및 보수를 하여 여전히 보기 좋고 시설도 괜찮은 추천하는 공원. 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,수정일: 10달 전
Andy Kim,"도심속의 넓은 공원으로 개설된지 수십년이 지나 나무들도 크고 동물원, 식물원, 지금도 명칭이 동일한지 모르지만 청룡열차를 비롯한 놀이기구 등이 여전하다. 주변에 사는 사람들에게는 쉽게 접근할 수 있으니 그야말로 소중한 공원이겠다. 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요",별표 5개,8달 전
지둥이,금요일에 갔는데 줄 안서고 이용했어요 직원분들도 다 친절하시고 너무 무섭다 싶은 놀이기구는 없어서 잘 용했습니당 ^^( 회전그네는 생각보다 많이 어지러워요 ) 어릴때 방문했다가 성인되고 방문하니 옛추억도 생각나고 좋았습니당 동물원이랑 식물원은 무료관람 가능해요! 방문일자 (2024년 11월 1일) 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,9달 전
misun kang,무료입장에 꽤 많은 동물과 키즈카페까지 있고 무엇보다도 차가 안다니니 아이를 그 넓은 곳에 풀어놓을수 있는게 참 좋은것같아요 물론 사람이 별로 없을때이지만요. 아이가 뽀로로 좋아해서 더 좋아햇어요 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,3달 전
