작성자,내용,별점,작성일
SEUNG JOON LEE,"고척근린공원은 서울특별시 구로구 고척2동에 있는 근린공원이다 ‘고척’이라는 지명에 대해서는 두 가지 유래가 전해 오고 있는데, 그중 하나는 옛날 고좌리, 즉 높은 곳에 생긴 마을이라는 데에서 연유되었다는 설이다. 또 경기도 부천과 인천 강화 사람들이 안양천을 경계로 하여 서울 지역 사람들과 생필품 및 농산물을 교환해 왔는데, 당시 계량기가 없어 측정이 곤란하자 긴 자로 재서 서로 교환 측정하던 것을 ‘고척(高尺)’이라고 칭한 데에서 동명이 유래되었다고 한다. 고척근린공원은 1988년 12월에 건립되었다. 고척근린공원 내에 있는 고척도서관은 1988년 12월에 개관하였으며, 구로구민체육센터는 1993년 12월에 개원하였다. 고척근린공원의 총면적은 104,142.15㎡로, 이 중 약 25,000㎡가 임야 상태로 보존되어 있다. 고척도서관에는 156,000권의 장서와 408개의 좌석이 마련되어 있으며, 구로구민체육센터에는 실내수영장, 체력단련장, 에어로빅장, 체육관 등이 갖추어져 있다. 어린이놀이터, 배드민턴장, 테니스장, 운동장, 조깅 트랙, 축구장, 광장, 야외무대, 농구장, 경로당 등이 조성되어 있으며, 산책로 주변에는 운동 시설이 갖추어져 있다. 조경수는 소나무, 섬잣나무, 계수나무 등 약 36종 16,462주가 식재되어 있다. 2010년 현재 고척근린공원은 구로구의 유일한 다목적 공원으로서, 연평균 5만여 명이 이용하고 있다. 고척근린공원 내에 있는 구로구민체육센터는 지역 주민들의 건강 증진과 생활 체육 활성화 공간으로 이용되고 있다.",별표 5개,4년 전
신순덕,이곳의 자연과 분의기가 정말기분 짱 이 되네요.정말 우리 동래  살고있는 분들은 특펼한 행운이 있는분들이라고 생각됩니다. 공기좋코. 운동할수있는 공원 체육시설 동양의 체대형 구립 수영장이있고.구립 도서관이 들어있는 구립  근린공원 이 있어 구민들 축제인 구민잔치가 자주 있는 즐거운마을 재래시장도있어 다른 지역보다 물가도 싸고 저렴해서  서민들 살기엔 딱  좋은곳 이라고생각듭니다.,별표 5개,7년 전
이은옥,가을에는 단풍이 아름답고 겨울은 소나무위의 눈꽃송이가 보석처럼 빛나고 봄에는 관리자들에 의해 잘 가꾸어진 철쭉 꽃들 여름에는 분수대가 시원하고 땀흘려 운동하며 가족들과 함께 여유있는 시간을 갖기에 딱 좋은 구로구의 멋진 공원입니다. 근린공원 가을단풍이 참아름답습니다.,별표 5개,6년 전
여행책방,가을이 물들어 이쁘네요! 화살나무가 빨갛게 매력적으로 물들었구요 기타 다른 나무들도 알록달록 이쁘게 물들고 있어서 산책하기 딱 좋아요!^^,별표 5개,6년 전
Do Hyun Kim,지역주민의 훌륭하고 넓은 공원굠 운동장. 대운동장은 건조한 날씨에 너무 먼지가 심함. 물이나 음료 자판기가 더 많이 설치되면 좋겠음.,별표 4개,1년 전
김태연,"저는 항상 이 공원 갈때마다 생각합니다 : -) 고척근린공원이 제 집 근처 있어서 참 좋다 , 다행이다 라는 생각들이 나곤합니다 ❤ 저녁에 공원 가면 선풍기가 필요없죠 ㅎㅎ 바람이 선선하게 불어옵니다 공원안에는 축구장 , 농구장이 당연히 있구요 체육센터도 있어요 ! 피아노 , 요가 , 베드민턴 , 농구등 여러가지있어서 좋더라구요 : ) 운동기구도 여러가지 있고 공연장도 있답니다 ~ 공연장에서 여름엔 에어로빅도 해요 ㅋㅋㅋ 놀이터도 참 좋더라구요 👍 또 공원 안에 걷기길도 있어서 걷기 참 좋아요 !! 그리고 도서관도 있는데 넓고 참 좋아요 책도 많구 매점도 있구용 ㅎㅎ 공원 입구 건너편에는 ' 두둥 ' 소공원도 있어요 ~ : - ) 소공원안에는 배드민턴장과 놀이터가 있는데 놀이터 새로 만들었더라구요 ㅎㅎ 고척근린공원 참 좋은거같아요 !! 👍❤ 엄청 자주 가고있어요 ㅋㅋㅋ 토 , 일에는 더 ... ㅋㅋㅋ 한번 가보세요 〰️ 추천추천 !! ㅋㄷㅋㄷ",별표 5개,5년 전
전혜원,운동하러 자주 아용하는데 주택가 주변이라 이용하기 좋아요.,별표 5개,3년 전
gayageum love_가야금고은,"운동장, 넓은광장, 도서관, 체육관 등등 인접해있어 아주좋아요.",별표 5개,6년 전
LULU,나무가 많아 계절의 변화를 느낄 수 있어요~산책로가 잘 되어있어 운동할 수 있습니다. 도서관과 체육센터가 있습니다.,별표 4개,8년 전
HyunSang Jeon (쌍이),옆에 봄날카페에서 커피한잔해보시면 더좋아요,별표 5개,5년 전
GAIA NATURE,도서관도잘도있고 산책로도좋네요,별표 4개,7년 전
P Grace,큰 공원은 아니지만 남녀노소 다양한 체육활동과 놀이를 즐길 수 있는 공원으로 동네 명소같은 곳입니다.,별표 4개,4년 전
정기쁨희망,"가까운곳에 공원이 있어서 참 좋고 깨끗하고 여러 운동기구도 있고, 농구, 축구, 배드민턴, 테니스장도 있어 다양한 운동 하기 편하고 걷기운동하는 둘레길이 잘 되어있어서 아주 좋은 공원입니다. 도서관도있어서 더~더 좋아요",별표 5개,1년 전
구고은,서울시 도서관은 다공유되서 강아지산책겸 고척도서관에서 책 빌리고 좋네요,별표 4개,5년 전
김준영 (준혜영원),이렇게넓은공원이있는줄오늘첨알았네요 뜻깊은행사에참여해서인가보람찬하루였습니다,별표 5개,6년 전
UG K,"초딩땐 놀이터로, 중딩땐 축구 농구하러, 고딩땐 공부하러, 대딩-취준땐 면접이미징트레이닝으로 늘 좋은 장소를 제공해줌 ㅎ",별표 5개,8년 전
Ho young lee,시설관리가 잘되고 있으며 주차시설(유료) 도 있어 이용이 편리합니다. 동네 주민들에겐 아주 좋은 복지 인듯 합니다.,별표 4개,1년 전
김길성,공원내 편안한 분위기 너무 좋아 요~𝕙𝕒𝕡𝕡𝕪🍀 휴일𝆸⃟⃙𝆶̿ 𝆸֟𝆸𝆸⃟⃙𝆶̿ 𝆸֟𝆸⃟⃙𝆶̿ ⊰✦⊱ 𝆸⃟⃙𝆶̿⊰✦⊱⊰✦⊱ ⃟⃙𝆶̿감사하는~ 𝆸֟𝆸⃙𝆸֟𝆶⫷🤗⫸ 마음으로 보내기욧 ~~~~~~~~~~,별표 3개,3년 전
Digital Nomad,"고척동의 최고(?) 명소이지 않나 싶습니다. 도서관, 넓은 광장과 산책로, 놀이터까지 쉼과 가벼운 운동에 적합한 공간입니다.  타 지역에서 살다 왔는데, 동네에서 가장 마음에 드는 곳입니다.",별표 3개,2년 전
홍쏘v,공원돌기가 너무 조아요. 놀이터도있고 축구장도있더라고요~~,별표 5개,5년 전
Narha Dh,얼마 전에 유퀴즈에도 나왔어요~체육센터도 있고 운동 시설도 있고 도서관도 있고요. 사는 동안은 좋은 줄 몰랐는데 이사오니까 이렇게 한 부지 안에 한 번에 다 모여있는 곳이 잘 없더라구요. 진짜 좋은 시설이에요!,별표 5개,4년 전
Uncle Jedi (엉클 제다이),조용하고 세대를 아울러 휴식과 운동을 즐길 수 있는 곳,별표 5개,7년 전
