작성자,내용,별점,작성일
이니스리아 (카를리안),"작은 공원+놀이터 겸 문화원(문화회관) 쪼그만 졸이기구랑 공원, 정자가 있는 작은 공원입니다.  다만, 큰길쪽에 대형 폭포 및 통로가 있어 매우 시원한 기분이 듭니다.(공원 위쪽에서는 보이지 않음)",별표 4개,2달 전
J A,금천구 시흥3동 주민들을 위한 소소한 폭포공원입니다. 일부러 보러 오실만한 곳은 못 되구요. 하지만 주민들에게는 무더위를 식힐 수 있는 시원하고 편안한 공간이 될 수 있을것이라 보입니다.,별표 3개,수정일: 4년 전
"Chang-Yong Park,",폭포 물줄기가 시원하게 해주네요. 바로 옆 문화원 공원도 있어요.,별표 3개,4년 전
사랑,할게 없긴 하지만 애들과 만날때 유용합니다.,별표 4개,6년 전
BC J,여기를 공원이라고 이름붙인게 유머....ㅋㅋ 그래도 여름에 지나가다 물 떨어지는거 보면 시원하긴 함,별표 3개,4년 전
다섯가지감각,그냥 인공폭포.위 공간은 문화원도 있슴.각종강좌 개설돼어 있슴,별표 3개,7년 전
DS Kim,뭐 볼거리는 없고 여늠에 가끔 물넘어오는것 볼수 있는데 그다지..,별표 1개,5년 전
서세영,한여름 지나면서 느낀점은 시원해서 넘 좋습니다.,별표 5개,4년 전
Kim Brian,여름에 시원한 인공폭포수가 쏟아져내리는곳,별표 4개,8년 전
남탱,앞쪽에 큰 도로가있어 시끄럽고 매연이 많음,별표 2개,8년 전
양용석,도시에서 만날 수 있는 폭포입니다. ㅎ,별표 5개,6년 전
신경철,조용히 쉴수있는공간 간단한스트레칭하면서 쉬는공간,별표 4개,4년 전
이용우용 우,잠시 아이들하고 놀만한 장소여요^~^,별표 5개,수정일: 4년 전
손용찬,친구랑앉아서 놀기좋음 근데 벌레가좀많다,별표 4개,7년 전
정문근영,폭포공원이에요... 시흥동 성당 바로 옆에 폭포공원 잇네요...,별표 4개,5년 전
마담실크,가끔 폭포수 틀어줘요 아주가끔!,별표 3개,6년 전
가오뜸,주인이 바뀌었나 봐요 맛이 너무 없어요,별표 1개,4년 전
STARTIELD,여름에는 아주 시원합니다,별표 4개,6년 전
JUJU뚜루,"그냥 폭포일뿐, 지나는장소일뿐, 지나갈뿐",별표 3개,7년 전
신경철,시원한 전망과 휴식공간을 제공해줘서,별표 5개,8년 전
JJ (제제),굳이 안찾아가는게 남...걍 지나가는 길에 보세요,별표 2개,7년 전
정공균,지나가다 잠시 쉬여 가는곳 입니다.,별표 1개,6년 전
유경수,노래교실 다녀왔읍니다 놀이터 앉져서 담소도하고 편이 쉴수있는 공간이 있읍니다 화장실 깨끗하고 청결한 화장실을 이용 할수있읍니다,별표 4개,2년 전
life insurance,가던 길 쉬어 가기 좋습니다.,별표 4개,5년 전
도담,벽화좋아요.,별표 4개,7년 전
문예진,화장실이닫혀잇음,별표 5개,8년 전
몸매착한언니,폭포가 안나와요ㅠ,별표 5개,4년 전
Bright Renderbeam,밤에는 무섭다,별표 5개,7년 전
Jongkeun Ahn,보이는게 다..,별표 2개,6년 전
쁘띠맘petitmom,동네 폭포공원...작다,별표 3개,7년 전
박박선규,ㅍ,별표 5개,3년 전
최윤찬,앵간,별표 5개,7년 전
김진용,깔끔합니다,별표 4개,4년 전
Christy Cho,,별표 5개,수정일: 9달 전
이강풍,세금낭비,별표 1개,6년 전
손태익,금천문화관,별표 4개,7년 전
Martins Berzins,전망이 좋았어요,별표 4개,2달 전
яна колесникова,특별한 것은 없습니다,별표 2개,2년 전
바보헬멧,좋은,별표 5개,3년 전
