작성자,내용,별점,작성일
마지마타,서울에는 많은 공원이 있지만 그중에 최고를 꼽으라면 난지한강공원을 뽑겠다. 규모부터 비교할 곳이 없을 정도로 크고 시설들도 끝내주며 볼거리도 다양하고 자연과 어우러져 큰 한강을 끼고 있는 난지공원은 그냥 거닐기만해도 힐링이 되는 최고의 공간이다.…,별표 5개,10달 전
휘자,주차하기가 매우 힘들어서 겨우겨우 주차하면 쉴공간은 많은 공원 상암이랑 이어져있어서 왔다갔다하기 좋음 반려견 공원도있어서 같이 오면 반려견공간에서 시간보내도 됌 젊은 애들 어린애들이 얼마 없어서 술판분위기는…,별표 5개,10달 전
시진,주말에는 형형색색 의 텐트가 쳐지고 푸른잔디 위에 뛰노는 아이들과 애완견의 모습을 지켜보면 평화롭고 여유롭게 삶을 즐기고 있다는 생각이…,별표 4개,1년 전
소소한한라봉 (소소),도보로 올 수 있으면 산책하기 좋은 장소입니다. 주변 경관을 보면서 여유있게 다닐 수 있다는게 정말 행복한 거 같아요. 사람들도 많이 있어서 위험한 부분은 없지만 외곽으로 나갈 수록 위험할 수 있으니 주의해서 산책하세요.,별표 4개,수정일: 1년 전
강성현,가족들과 함께 방문하여 좋은 추억을 가질수 있는 멋진 장소 입니다. 매우 사람들이 많으나 편의점도 있고 편의시설이 잘 가꾸어져 있습니다.,별표 5개,수정일: 1년 전
솔랑솔랭,공원은 항상 좋은 느낌을 준다. 근처에 있는 하늘공원에서 일몰을 즐기다 와도 괜찮은듯,별표 5개,9달 전
조용철,주일을 맞아 가족과 방문했는데 마침 롹페스티벌도 하고있고 야구동호회에서 경기도 하고있고 주변 산책로엔 운동하러온 사람들과 쉬러온 사람들이 잘 어우러진 좋은곳 이더라구요…,별표 5개,6년 전
홀로서기,더크라이그라운드 공연을 보고 왔어요. 스탠딩으로 나가서 봐도되고 잔디에 돗자리 깔고 앉아서 봐도 되고 넘 좋더라구요ㅎ 사람들도 매너들도 좋고 스탠딩에 서있다가 빠지는 사람들이 있으면 편히 들어가 즐기고 또 나와서 쉬면 뒷사람이 들어가고 신기하게 싸움하나…,별표 5개,1년 전
Kyungmin Ko,"잔디밭이 넓게 있고 한강변으로 자전거 도로도 잘 되어있다. BMX 연습장, 농구 연습장, 작은 축구 연습장이 있고 주말마다 공연도 있다. 매점 등 편의 시설이 없는 점은 아쉽다. 주차요금은 미리 정산기로 하는 것이 좋다.",별표 4개,2년 전
여니,공연보러 왔는데 하늘도 너무 이쁘고 날씨도 좋고 넓고 깨끗하고 공연도 잘 즐기고 갑니다!! 소중한 사람과 함께 오면 더 좋아요~ 올 때는 당산에서 빨간색 광역버스 타고 오거나 근처 역에서 내려서 걸어오면 됩니다!,별표 4개,5년 전
정수재,"억새풀축제 넘쳐나는 인파로 어쩔 수 없이 찾게된 난지한강공원 중앙에 넓은 잔디밭에 텐트 그늘막 설치 가능하고, 놀이터 농구장 풋살장 등이 있고, 자전거도로 따라 한강둘레길 정말 좋았다 코스모스길은 환상~~ 억새풀 축제 못 간게 하나도 아쉽지 않았다 다만 이젠 주차장 요금을 일요일에도 낸다는 것 쓰레기를 많이 버려서 관리가 안되서 그런지 ㅠㅠ 다둥이카드 50% 할인 됩니다~~♥",별표 5개,6년 전
김동욱,"20년 넘게 다니지만 잘 돌아다니다보면 내가 못가본곳이 또 나오더라, 그만큼 넓고, 항상 가도 좋은곳.",별표 5개,수정일: 1년 전
김민정,갈대보러 친구들과 갔는데 4시에 도착해서 걸어 올라가면 정말 노을까지 딱이에요!!!! 그리고 이마트24 앞에서 사진찍으면 전체가 내려다 보여요~,별표 5개,1년 전
Kylian,넓고 탁트인 하늘과 땅이 참 시원한 곳 입니다. 미개통된 월드컵 대교 북단에서 강변북로 진입 램프를 통해 난지 한강 공원 주차장으로 들어 갔습니다.…,별표 4개,4년 전
홍PD파이팅,하늘공원 억새 축제를 갔는데 재밋고 좋았으며 매점 가격도 적당해 기분 좋은 하루가 됐습니다.,별표 4개,9달 전
j.c Ryu,"도심속 한강변을 따라 산책 할 수 있는 곳, 캠핑장 생태공원 자전거도로 등 정비가 잘되어 있으며 특히 야경은 예술임",별표 4개,2년 전
변상언,"가양대교 북단에 있는 난지생태습지원 그리고 한강의 야경, 난지물놀이장, 난지한강공원등을 돌아봤는데 생태습지원이 아주 잘돼있네요.",별표 5개,6년 전
Slowlife Juju,우리모모콘 콘서트 보고 피크닉도하고 즐거운 시간을 보냈어요.,별표 5개,10달 전
황종각,난지한강공원 무더위에도 강바람이 부니 시원하네요  자전거타시는 분들이 많네요 그늘밑에 삼삼오오 모여서즐겁게 담소하시는 분들 오늘도 멋진하루 되셔요,별표 4개,수정일: 4년 전
sugil kim,"방문하는게 힘들지만, 깔끔한 공원을 느낄 수 있어요",별표 4개,9달 전
정정종혁,난지생태 습지원을지나 난지 한강공원에 ~ 푸르름이 더해가고 세월도 잘도가니  즐기며 살아보자구요~♡♡,별표 4개,수정일: 4년 전
