작성자,내용,별점,작성일
SJ Yoo,정상까지 쉽지는 않지만 갈만하다. 등산 1시간20~30 하산 40,별표 4개,2달 전
신정명,아차산 졸업(?)하고 다음 코스였던 걸로...ㅎㅎㅎ 처음 두어번은 길 때문에 좀 힘들었는데 몇번 오르다 보니 수월했음.ㅎㅎ 이젠 길도 제법 정비가 되어 있으려나?  그냥저냥 갈만했었음. 힘든건 당연한거고...ㅎㅎㅎ 세상에 쉬운 산은 없음.;;;  그나저나.. 산 중간에 파전이랑 막걸리 파는 집 아직도 있는지 궁금하네요. 불암산 정상 부근에 아이스크림 파는 아저씨도 있었는데..ㅎㅎ 이젠 없겠죠? ㅎㅎㅎ,별표 4개,7달 전
Vincent “Vicente” 정 Jeong,아랫 등산로 관리가 안되서 초행길에 피곤하리만치 길을 잘 잃네요. That is not national park so the preservation management is not properly applied thus the very confusing path way. What a trouble,별표 3개,1주 전
도회,불암산 공영주차장에 주차하고 올라갔습니다. 계속 오르막이라 힘들긴 했지만 적당히 쉬면서 간다면 1시간 15분 정도 걸려 정상까지 갈 수 있습니다~!  초반 코스는 가파르지만 그늘이 있어 시원하게 갈 수 있었고 중간부터는 거북산장이라는 막걸리 파는 곳도 있고 풍경 보는 재미가 있었습니다. 정상 부근부터는 줄을 잡고 올라가는 코스가 있어 조금 위험할 수 있지만 오르는 재미가 있는 산이라고 생각합니다! :)  정상에서 만난 강아지는 불암산에 자주 오는 강아지라고 하는데 너무 귀엽습니다 ㅎ,별표 4개,10달 전
김원선,상계역 하차 여름에 야간등산이 멋진산 조망이 최고죠 2023.4.2.진달래가 만개한 불암산 예쁜 산행했네요 2023.9.2 하늘 구름도 예쁜날 힐링 산행 했어요 2025.1.1.해맞이 산행 해가 구름에 가려서 못보고 왔네요,별표 5개,수정일: 7달 전
김동욱,원자력 병원 앞 백세문쪽에서 출발해서 상계역쪽으로 내려오는 코스를 선택했다. 백세문쪽에서 올라가는 길은 마지막 정상부근 을 제외하면 대체로 완만한 코스였다. 5.2km정도의 코스였지만 마지막 1km를 제외하면 무리하지 않고 걸어도 1시간정도 면 됬던것 같음. 마지막 1km는 꽤나 험하고 손짚고 올라가야 하는곳도 있었음. 전날 비가 꽤 많이 와서 정상에서 보는 경치는 정말 훌륭했음.,별표 5개,1년 전
Kong King,곳곳의 바위가 멋있는 산. 상계역쪽에서 올라가면 왕복 2시간 이내에 정상 다녀올 수 있습니다. 중계동쪽에서도 불암산 힐링타운에서 출발해도 2시간이면 하산까지 가능합니다.  서울노원교회 쪽에서 출발하여 학도암을 지나 불암산성을 거쳐 정상까지 55분이 걸렸습니다. 천천히 가신다면 1시간 조금 더 잡으시면 될 것 같습니다. 전망 좋은 곳이 많이 있으니 즐기시길 바랍니다. 다만 바위가 많고 바위 위에 돌가루가 많이 있어 방심하면 미끄러질 수 있으니 등산화 착용이 권장되는 산입니다.,별표 4개,수정일: 1년 전
돌담,불암사~천보사~불암산성~거북바위~정상~석천암~불암폭포~불암사. 4.6km. 중간중간 아이스링크에 준할 만큼 땅이 언 곳이 있어 놀며 쉬며 천천히 다녀왔어도 3시간이면 충분하네요. 등산초보자들도 충분히 다녀올 만한 코스입니다. 도전하세요.,별표 5개,1년 전
Chan Kim,"아이들과 비교적쉬운 불암산 코스로 산행을 함 불암사까지 차량진입이 가능하여, 주차후 석천암까지 30~40분,이후 20분 정도면 정상에 도착(쉬엄쉬엄) 자주다닌 산인데, 2018년도가 마지막,그때에는 추모탑이 없었는데, 최근에 추모탑이 생겼다. 1950년 6.25전쟁때 육사 1기 생도들+7사단(?)일부 군인들 이 도봉구(창동)&진접읍 내각리 일대에서 인민군들에게 생포되어 북으로 끌려가는 무고한 시민 100명 이상을 구출, 진지폭파등의 큰전과를 세우고, 인민군들에게 끝까지 투항하다, 1950년 9월 전원 사망,육사 2기 및 일부 군인들은 이름도 확인이 안된 암호명 ""호랑이 유격대"" 내용이다.  이름 모를 그분들이  계시어 자유대한민국에서 자유 롭게 살아갈수 있어, 와이프&자녀들과 묵념후 산행을 하였다.  예전과 변함없고, 정상에는 아이스께끼 파시는 분또한 변함이 없으시다. 정상의 태극기에 다시한번 호국영령께 감사의 말씀을 전한다. 본인또한 적들이 자유를 억압 한다면, 한 목숨 바칠준비가 되어있다.  호국보훈의 달을 맞이하여, 다시한번 호국영령의 넋을 기립니다.",별표 5개,수정일: 1년 전
치우,강북오산의 출발점이자 종착점이 되는 공릉산 백세문에서 출발 하는데 암벽이 멋진 산이다. 이곳에서의 야경은 환상의 절정을 맛 볼 수 있다.,별표 4개,2년 전
