작성자,내용,별점,작성일
창스,조금만 올라도 서울 시내가 내려다보이고 산세가 수려하고 경치가 좋으나 상계동에서 시작해 매월정 쪽으로 가는 등산로는 가파른 암벽의 연속이고 다소 위험한 구간도 있으며 시간도 꽤 소요되니 유의하시기 바랍니다(다른 등산코스들도 있음) 남양주 별내면 쪽 등산로는 그리 험하지 않고 계곡을 따라 무난하게 오르내릴 수 있습니다.,별표 4개,3달 전
신정명,불수사도북 해 보겠다고 나대다가... 불암산 수락산까지 갔는데 너무 힘들어서 포기..ㅎㅎㅎ 많이 힘들었음. 역시 장거리는 나랑 안 맞음.;;,별표 4개,수정일: 4달 전
라후파,"온갖 기암괴석이 즐비한 정상부의 암릉구간이 멋지다. 유명한 외계인바위, 철모바위만이 아니라 남근바위, 종바위, 코끼리바위, 하강바위, 물개바위, 독수리바위, 배낭바위, 버섯바위 등등. 도솔봉 앞의 탱크바위도 멋있다. 높이도 적당. 수락산역이나 장암역에서 대중교통으로 오르기 좋다.",별표 5개,1년 전
1301 taiji,평일 오후여서 입구 찾느라 조금 헤맸습니다. 주말이라면 등산객들 따라 쉽게 찾았을 텐데 평일 게다가 오후여서 하- 아무 생각 없이 수락산역에서 내렸는데 출구가 엄청 많더라구요. 예전에 몇 번 온 적이 있어서 대충 올라갔다가 큰 낭패를 봤네요. 여하튼 이리저리 헤맨 끝에 무사히 정상까지 찍고 왔네요. 수락산 깔딱고개가 이렇게 빡쎘었나 싶을 정도로 힘든 산행이었습니다. 며칠 전 내린 눈이 아직까지 녹지 않아서 예쁘긴 했는데 살짝쿵 위험하기도 했습니다. 나이키였는지 아디다스였는지 등산화 아닌 보통 운동화 신고 정상을 향해 미끌미끌 위캐위태하게 올라가는 학생들을 뒤로 하고 먼저 정상에 올라갔는데 아니나 다를까 엉덩방아를 찧었는지 바지 뒷쪽이 엉망이 돼서 올라오더라구요. 겨울 산행에는 아이젠이 필수인 듯. 여튼 서울 하늘이 뿌연 게 시야도 안 나오고 좋았네요. 꼭대기에서 맥심 커피 타마시려고 수락산 입구 포장마차에서 세 봉에 천 원인가 주고 샀는데 하필 보온병이 고장 이 난 건지 아님 애초부터 찬 물을 넣어왔는지 정신이 가물가물 .. 추워죽겠는데 냉커피 타서 한모금 마시고 버리고 왔네요..,별표 5개,1년 전
치우,멋진 산. 산세가 수려하고 등로를 따라 멋진 조망과 기기묘묘한 바위들은 산행의 즐거움을 배가 시켜 줄 것이다. 도솔봉에서 도장봉 까지의 구간이 절정이다.,별표 4개,2년 전
박진수,서울 10대 명산중 하나로 적당한 운동량 의 산행을 즐기기 좋은 산입니다. 정상으로 가는 산행코스는 여러개가 있는데자신에게 맞는 적당한 난이도를 찾아 산행할 것을 추천합니다. 시원하게 펼쳐지는 풍경을 조망하는 즐거움을 선사하고 바위산의 아기자기함도 맛볼 수 있습니다.,별표 5개,2년 전
jounghun ha,수락산 디자인거리주차장에 주차한후 정상까지 원점회귀 4시간이 걸렸습니다  오늘은 날씨도 맑고 바람도 시원해서 정말 상쾌했습니다 아짐 7시에 산행해서 내려오는데 올라오는 사람들도 엄청 많네요 일찍오길 잘했네요,별표 4개,1년 전
youngki jang (JangVideo),"높이 637.6m의 산으로,  북한산, 도봉산, 관악산과 함께 서울 근교의 4대 명산으로 불리는 곳으로여름철에는 시민들의 휴식처로 유명한 청학계곡과 아름다운 등산로를 따라 수락산주봉까지 높지는 않지만 정상에 오르는 성취감을 느낄 수 있다.",별표 5개,2년 전
김윤석,장암역에서 출발하여 기차바위거쳐서 수락산역 쪽으로 내려오는 코스를 선택했습니다 .날씨는 많이 무더웠지만 개울가에 물이 약간있어서 작은 청량감을 눈으로만 느낄수 있었네요...,별표 4개,7년 전
Sangeon Byun,어제 수락산역 1번출구를 나와 한참 걸어가서 생태연못 있는곳에서 부터 수락산 등산로 서울둘레길을 따라 올라가면서 수락산 정상이 아닌 벽운유원지 쪽으로 갔다왔는데 계곡물도 맑고 이주 좋더군요.,별표 5개,7년 전
Timmy Lim,암벽구간이 몇군데있지만 대체로 잘정비된구간들이많아 크게 간행이 어렵지는않지만 등산장비를 갖추지않은 초행자는 기차바위등 일부구간은 선회하시는게 좋을듯합니다. 휴일에 들르기 좋은 경관이 수려하고 볼것도 많은곳입니다^^,별표 5개,7년 전
와인향기속,수락산 정상은 사람이 많지만 도솔봉은 상대적으로 한적합니다. 수락산 정상만 고집하지마시고 가끔 들려보세요 탁트인 전망만큼이나 가슴속까지 시원함을 느끼실수 있습니다~^^,별표 5개,6년 전
taehee won,"서울근교에 있어 편하게 다녀올수있다 자암역에서 왕복 3시간.. 멋있는 바위와 암릉이 멋있다.  높이 638m문화재 쌍암사, 석림사, 내원암, 석조미륵입상, 흥국사위치 서울 노원구 상계동, 경기 의정부시, 남양주시 별내면(別內面)의 경계 지도  서울의 북쪽 노원구 상계동과 경기도 남양주시 그리고 의정부시와 경계를 이룬다. 서쪽에는 도봉산을 마주보며 남쪽에는 불암산(佛岩山, 높이 508m)이 위치한다. 수락산(水落山)이라는 이름은 거대한 화강암 암벽에서 물이 굴러떨어지는 모습에서 따온 것이다. 암벽이 많이 노출되어 있으나 산세는 그리 험하지 않다. 주말이면 도심에서 몰려온 산악인들로 항상 붐비는 산이며 북한산(北漢山), 도봉산(道峰山), 관악산(冠岳山)과 함께 서울 근교의 4대 명산으로 불린다. 높이는 638m이다.  수락산 정상에서 남쪽에 있는 불암산(佛岩山)으로 능선이 이어지며 동쪽에 금류계곡(金流溪谷)이 있다. 서쪽 비탈면에 쌍암사(雙岩寺)·석림사(石林寺), 남쪽 비탈면에 계림암(鷄林庵)·흥국사(興國寺), 동쪽 비탈면에 내원암(內院庵)이 있고, 내원암의 법당 뒤에는 고려시대 이전의 것으로 추정되는 높이 2m의 석조미륵입상이 있다. 조선시대 수양대군이 계유정난(癸酉靖難)을 일으켜 조카인 단종을 죽이고 왕이되자, 매월당 김시습(梅月堂 金時習)이 속세와 인연을 끊고 이곳 석림사계곡에서 은거하였다고 전해진다. 김시습을 존경하던 박세당(朴世堂)은 석림사계곡에 김시습을 기리는 청절사(淸節寺)를 세웠는데 청절사는 없어지고 그자리에 노강서원(鷺江書院)이 세워졌다. 노강서원은 숙종의 계비인 인현왕후 폐위를 반대하다 죽은 박태보를 기리는 서원이며 박태보는 박세당의 둘째아들이다. 남쪽 불암산과 사이에는 선조의 부친인 덕흥대원군(德興大院君)의 묘가 있다. 사찰로는 흥국사(興國寺), 학림사(鶴林寺), 내원암(內院庵), 도안사가 있다.  수락산의 식물상은 신갈나무가 많고 소나무 상수리나무 아까시나무가 자란다. 1977년 도시자연공원으로 지정되었으며 1989년 수락산이 시민의 휴식공간으로 본격 개발되기 시작했다. 계곡유원지가 지정되고 체육시설과 삼림욕장이 조성되었다.  등산코스는 경기도 남양주시 별내면 청학리에서 올라가는 코스가 가장 경치가 좋고 수락산의 진면목을 감상할 수 있다. 사기막 버스정류소에서 매표소를 지나 약 1.3km를 올라가면 은류폭포를 만나고 우측으로 거대한 암벽의 소리바위가 나온다. 은류폭포에서 다시 300m를 올라가면 금류폭포를 만나고 약 100m를 더가면 내원암이 나온다. 다시 서쪽으로 오르며 약 650m를 더가면 수락산 정상부에 이른다. 사기막에서 오르는 또다른 길은 향로봉을 지나 영락대, 칠성대, 기차바위를 지나는 등산로가 있는데 가파른 암벽능선을 타고 가는 험로이기 때문에 초보자는 위험한 길이다. 그외 상계동 은빛아파트에서 물개바위를 지나 정상으로 오르는 등산로가 있고 의정부시 장암동에서 시작해서 노강서원과 석림사를 거쳐 오르는 등산로가 있다. 출처 두산백과",별표 4개,7년 전
김남식 (무명지산),덕릉고개에서 오르는 길은 심심하다싶었으나 정상부는 암릉의 재미가 어둠속에서도 전해진다. 석림사 코스의 계곡 물소리는 어둠속에서 더 청량하다.,별표 5개,2년 전
Massoud JUN,"산은 언제나 아름답습니다. 새벽 네시부터 산행했는데도 수락산 일출은 보지 못했습니다만 아무도 없는 산길, 호젓하게 정말 좋더군요~ 오늘 아침도 가보려 했는데 배가 고파 포기했습니다~ 내일은 불암산과 수락산 둘다 가보려합니다~",별표 5개,7년 전
이수언,도심에서 지하철로 연결된 가까운 산 계곡이 아름답고 물도 풍부하다 홈통바위가 유명하고 경기도 방향등 여러 방면에서 등반가능 눈을 밟으며 산행을  즐길 수 있는곳으로 그리 어렵지 않은 산행 코스,별표 3개,8년 전
Terry Kang,"높이는 638m이다. 블랙야크 명산100. 바위가 멋진 산이다. 청학리계곡 유원지에서 등산을 했다. 이 코스가 가장 짧은것 같다. 이재명도지사님 덕분에 계곡에 평상이 없다~^^. 토요일 아침 6시에 산행을 시작했다. 등산로 초입에서 내원암 쪽으로 가지 않고 능선을 탔다. 예상대로 완만해서 옆지기가 편안해 했다. 정상까지 내내~완만하다. 정상에서 내려오는 길은 내원암 코스를 탔는데 11시가 넘어서인지 사람들이 많았다. 계곡에 들어서니 눈살이 찌푸려질 정도로 인산인해다~--;;. 여름이니 이해해야지~^^ 그래서 새벽산행이 좋다~.  서울의 북쪽 노원구 상계동과 경기도 남양주시 그리고 의정부시와 경계를 이룬다. 서쪽에는 도봉산을 마주보며 남쪽에는 불암산(佛岩山, 높이 508m)이 위치한다. 수락산(水落山)이라는 이름은 거대한 화강암 암벽에서 물이 굴러떨어지는 모습에서 따온 것이다. 암벽이 많이 노출되어 있으나 산세는 그리 험하지 않다. 주말이면 도심에서 몰려온 산악인들로 항상 붐비는 산이며 북한산(北漢山), 도봉산(道峰山), 관악산(冠岳山)과 함께 서울 근교의 4대 명산으로 불린다.  수락산 정상에서 남쪽에 있는 불암산(佛岩山)으로 능선이 이어지며 동쪽에 금류계곡(金流溪谷)이 있다. 서쪽 비탈면에 쌍암사(雙岩寺)·석림사(石林寺), 남쪽 비탈면에 계림암(鷄林庵)·흥국사(興國寺), 동쪽 비탈면에 내원암(內院庵)이 있고, 내원암의 법당 뒤에는 고려시대 이전의 것으로 추정되는 높이 2m의 석조미륵입상이 있다. 조선시대 수양대군이 계유정난(癸酉靖難)을 일으켜 조카인 단종을 죽이고 왕이되자, 매월당 김시습(梅月堂 金時習)이 속세와 인연을 끊고 이곳 석림사계곡에서 은거하였다고 전해진다. 김시습을 존경하던 박세당(朴世堂)은 석림사계곡에 김시습을 기리는 청절사(淸節寺)를 세웠는데 청절사는 없어지고 그자리에 노강서원(鷺江書院)이 세워졌다. 노강서원은 숙종의 계비인 인현왕후 폐위를 반대하다 죽은 박태보를 기리는 서원이며 박태보는 박세당의 둘째아들이다. 남쪽 불암산과 사이에는 선조의 부친인 덕흥대원군(德興大院君)의 묘가 있다. 사찰로는 흥국사(興國寺), 학림사(鶴林寺), 내원암(內院庵), 도안사가 있다.  수락산의 식물상은 신갈나무가 많고 소나무 상수리나무 아까시나무가 자란다. 1977년 도시자연공원으로 지정되었으며 1989년 수락산이 시민의 휴식공간으로 본격 개발되기 시작했다. 계곡유원지가 지정되고 체육시설과 삼림욕장이 조성되었다.  등산코스는 경기도 남양주시 별내면 청학리에서 올라가는 코스가 가장 경치가 좋고 수락산의 진면목을 감상할 수 있다. 사기막 버스정류소에서 매표소를 지나 약 1.3km를 올라가면 은류폭포를 만나고 우측으로 거대한 암벽의 소리바위가 나온다. 은류폭포에서 다시 300m를 올라가면 금류폭포를 만나고 약 100m를 더가면 내원암이 나온다. 다시 서쪽으로 오르며 약 650m를 더가면 수락산 정상부에 이른다. 사기막에서 오르는 또다른 길은 향로봉을 지나 영락대, 칠성대, 기차바위를 지나는 등산로가 있는데 가파른 암벽능선을 타고 가는 험로이기 때문에 초보자는 위험한 길이다. 그외 상계동 은빛아파트에서 물개바위를 지나 정상으로 오르는 등산로가 있고 의정부시 장암동에서 시작해서 노강서원과 석림사를 거쳐 오르는 등산로가 있다  출처:네이버",별표 5개,5년 전
김원선,"7호선마들역,수락산역,장암역과 4호선당고개역에서 내려서 등산할수있고 그외등산코스가 많아 접근이 쉬운산이다. 물개 아기코키리 종 백곰 투구 치마 철모 기차(홈통)바위가 있어 찾아가는 즐거움이 있다. 2022.9.7. 정상에서 장암역으로 하산하는데 바위가 많은 부분이 데크계단으로 길이 새롭게 정비되어 비온뒤라 폭포들이 즐비하게 있어서 힐링 제대로하며 하산하였어요",별표 5개,수정일: 2년 전
이종록,서울근교에아름다운산 정말멋지네요~~ 기암절벽과오르네리는 등산로 정말스릴있고 명산중에명산 수락산 자주가곤하지만 갈때마다설레이고 힘은들어도자주오고싶은산 ㅎ,별표 5개,4년 전
GAMGO,하다하다 이젠 산 리뷰까지한다.  해당 산 사진은 2014년 모습이다. 한줄평 - 살려줘.  학교에서 하는 이상한 행사중 하나가 등반대회. 일단 완주하면 상준다 하니 완주까지 기꺼이 해줬다.  너무 힘들어서 하산할 엄두가 나지않아 그 산에 눌러붙어 속세로부터 자유로워져 개그맨 윤택씨나 조승운씨를 기다리며 자연인 생활을 해볼까라며 발칙한 생각도 했다.  장점 건강에 좋으니 오르자 산 공기 끝내준다.  단점 306보충대가 고딩때 증발해서 갈 일 없다. 올라갈 수록 힘들다.  2015년 이후. 이 이후로는 나는 다른 지역으로 이사해 가지도 않는데다가 이때쯤이면 민락2지구가 번화가로 탈바꿈하고 가게들이 들어서기 시작하는 역사적인(?) 시기여서 수락산은 산을 즐길 줄 아시는 분들만 가는 곳으로 치부되었다.,별표 4개,7년 전
Charo kim,산이 높지 않아 초보등산객이 도전하기 딱인듯.. 630여 고지 넉넉잡아 왕복 3시간! 정상에서 바라보는 경치도 멋짐~~ 당분간 헬쓰장 대신 다이어트 코스로 수락산 등반 을 선택함....,별표 5개,3년 전
김은옥,2023.11.11  빼빼로데이 ㅋ 암릉구간은 힘들었지만 그래도 종주완료. 중간중간 위험곳들이 존치하여 무섭네요.,별표 4개,1년 전
박기철,아주 좋은 등산 코스 입니다. 서울근교의 산중에서 손꼽히는 곳이죠. 다만 당고개역에서 오르는 코스가 처음 찾는분들은 헤매기 딱 좋습니다. 안내판이 잘 준비가 되어 있지 않습니다. 학림사를 찾아 오르기에도 만만치 않아요. ㅠㅠ 학림사부터 수락산 정상까지 오르는 코스는 아주 좋아요. 경치도좋고 다만 많이 미끄러울수 있습니다. 파이고 부스러진 모래?? 등이 있어 가급적이면 등산화와 스틱은 꼭 준비 하시는게 좋을듯 해요.,별표 4개,6년 전
