작성자,내용,별점,작성일
時節因緣,창포원에 오랫만에 들려보았다. 비가 많이오고 난뒤에 습지는 매우 건강해보이고 기대를 저버리지 않은곳이다. 추억을 되씹으며 살짝 내리는 비를 바라보며 '아~아'를 마시며 하염없이 전화기만 바라보았다.,별표 5개,1달 전
렛츠 (Lets),"총 거리 157km <서울둘레길>의 시작점이자, 완주 인증서 발급 등 방문자 센터가 있는 곳 입니다. 바로 북쪽 방향으로, <평화문화진지> 라고 독특한 분위기의 문화 시설 등이 있고요, 동쪽으로는, 중랑천 산책길이 있어요.  연못 습지가 구불구불하게 되어있는 등 공원 규모가 크지는 않지만, 뭔가 아기자기하게 잘 꾸며져 있습니다. 여름에 돗자리 하나 가지고 힐링 하기에 좋아요. (텐트는 안됨) 일부러 멀리서 찾아오기에는 별로지만, 근처에 볼 일이 있으면, 쉬어가기 괜찮습니다.",별표 4개,6달 전
김경실,부분 재정비 하여 더 깔끔하며 푸른 잔디밭 여러종류 꽃과 식물들을 곳곳에 꽃밭으로 꾸며져 있어요 물놀이 시설은 아직 미개방 다음주 쯤이면 개방이 될것 같아요 이렇게 아름다운 공원으로 재탄생 만들어 주신 분들과 관계자분들 날씨가 많이 더운데 오랜 시간  수고하셨어요 감사합니다 꾸벅꾸벅,별표 4개,수정일: 1달 전
sh Byun,동네에 잇어 너무좋아요 사계절이 아름다운곳,별표 5개,1달 전
Youngin Park,"2009년 도봉산역 바로 옆 15,000제곱미터의 공간에  붓꽃을 주제로 하는 생태공원을 만들었다. 그렇게 크지는 않으나 30분정도 꽃들을 감상면서 산책하기 좋다.  나는 강북에 40년 가까이 살면사 이 공원의 길 건너쪽에 있는 도봉산은 100번도 더 갔었던 것같고 근처 중랑천 변 도로도 여러번 도보로 지나갔으나 여기에 창포원이 있다는 것을 이번에 처음 알게 되었다.  같이 갔던 일행들중 틈만있으면 맨발로 걷는 친구가 있었는데 맨발로 걷기 좋은 곳이라면서 나에게도 권했지만 황토길도 아니고 안해본 사람이 맨발로 걷다가 상처날까봐 사양했다.  요즘 황토길 걷는게 좋니 나쁘니 말이 조금 있는데 이 친구왈 당연히 좋은 영향이 있다고 한다. 황토길 걸은 후 무좀 옮았다는 사람도 있다는 전해들은 이야기도 했더니 황토길도 비가와서 진득진득할 때 걸으면 그럴수도 있을 거라고한다. 땅이 그정도가 아니면 괜찮다고한다.  그 말이 그럴듯하다.  전망대에 오르니 사방의 경치가 볼 만하다. 도봉산,수락산,불암산,중랑천등.. 전망대옆 공원내 2층 북카페에 들러 커피한잔하고 도봉산 쪽 음식점으로 이동했다.",별표 4개,11달 전
김성기,도심속에서 조용하고 고즈넉한 생태공원멋쪄요 피크닉 구역 정원안에 정자가 있어서 휴식하기 좋음,별표 1개,4달 전
Chris JEON,"생긴건 오래전부터 알았지만 오늘 방문해 보았습니다, 창포원은 조금 어르신들이 많이 계시고 즐기시는 분위기이고 옆에 있는 공간은 젊은 사람들이 많은 느낌입니다, 이런 힐링공강 들이 많아지는건 반가운 일이지만 어떤곳은 추억이 송두리째 사라지는것 같아서 아쉽습니다, 이곳도 일부의 존취와 공존올 하였지만, 조금 아쉽네요 놀이터 아이들이 좋아하는 물분수 놀이터가 있어요 화장실 깨끗하고 잘관리되는 화장실 반려견 동반 환경 목줄만 잘 채우면 동반 가능 합니다 피크닉 구역 가족단위 피크닉 나온 분들이 많아요",별표 4개,1년 전
MS SHIN (뽈뽀리),연두연두안 나무에 생기오른 다양한 철쭉 잔치! 붓꽃과 솜사탕 민들레  거기에 검붉은 할미꽃까지 봄 향기에 흠뻑 취했어요! 고즈넉한 장소에서 만남 선물같은 경험! 창포가 피면 또 갈 예정!,별표 5개,1년 전
Lu pin,서울 근교에 있어 접근성도 좋고 계절 느끼면서 걷기에 더없이 좋은 곳 입니다. 적당히 벤치도 있어서 사색하기에도 추천 드릴 수 있는 곳입니다. 계절마다 방문해보고 싶네요 그리고,별표 5개,1년 전
Si Hyeon Nam,"5월에 오면 꽃창포, 붓꽃을 많이볼 수 있다. 7호선 종점 도봉산역에 걸쳐있어 접근성이 좋고, 주차장은 다락원에 주차하면 3시간까지 무료다. 자리가 없어도 도로쪽 혹은 건너편 중랑천변에 주차할 수 있다.",별표 5개,수정일: 2달 전
