작성자,내용,별점,작성일
예니밍,"낮은 산이지만 사방이 ㅌ여있어 정상의 전망이 좋다. 데크길이 잘 되어있음, 주차는 다른곳에 해야함 방문일 주말 대기 시간 대기 시간 없음",별표 5개,4달 전
JongWon Han,그늘이 많아 산책하기에 좋습니다. 계단을 피해 휠체어를 이용하여 산책이 가능합니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,수정일: 3달 전
Shinho Lee,총 둘레 약 4킬로미터. 넉넉히 1시간. 약간의 오르막 내리막. 하지만 힘들지는 않은 정도. 무장애길로 휠체어도 가능하게 만들어 두었다. 둘레길로 도는 방법이 있고 산 정상 쪽으로 갈 수도 있다.,별표 5개,7달 전
안창환,집근처에 이렇게 좋은 동산이 있었다니 정말 좋네요 금방 올라가서 멋진 경치를 볼수있고 공중 화장실도 많고 너무 잘되어 있어요 둘레길도 잘되어있네요,별표 5개,1년 전
김순엽,산책하기 넘좋아요- 황토길 걷고 발 닦고몸까지 시원하죠 운동기구도 다있고 아주 좋아요-   😀…,별표 5개,수정일: 1년 전
joy8690,데크길도 아주 잘 만들어져 있고 곳곳에 화장실도 있습니다. 자주 산책하는데 경치도 좋고 4계절을 잘 느낄 수 있는 작은 산입니다. 관리가 잘 되었습니다. 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,별표 5개,1년 전
냥냥펀치,"등산가기전 워밍업으로 다니거나 산책용 코스로 다니기 좋다. 데크를 새로 깔아 정상까지 오리기 편하고, 옛길은 흙과 나무로 계단이 되어있어 운동하러 가기 딱 좋다. 정상에 올라가면 파노라마뷰로 동서남북 다 한 눈에 볼 수 있어 좋다.",별표 5개,6년 전
Angela SEONG,"배봉산 둘레길을 걸었습니다. 5킬로의 숲 데크길, 휠체어로도 산책이 가능하도록 잘 만들어진 길은 남녀노소 누구나 접근 가능합니다.  유모차, 휠체어로도 함께 산책할 수있는 동행길! 연육교를 지나 중랑천으로 청계천까지 12킬로를 또 계단없는 평지(약간의 오르내림이 더 좋다)로 이어지니 더없는 긴 산책길이 될 수 있어요.  배봉산 어느자락으로도 오르고 내릴 수 있게 데크 중간중간 곳곳으로 연결된 산행길, 숲속땅을 밟고 길을 걷을 수 있어 더 멋지네요.  황토길, 곳곳의 시, 마음글 또한 눈길을 끕니다. 만드신 분들의 마음과 정성이 느껴져요.♡ 둘레길을 만들어주신 모든 분들의 노고에 감사드립니다. ^^  최근 유아숲체험장도 완성되었습니다. 어린이들을 위한 보호받는 놀이터, 훍길이 없는 도시에 사는 어린이들을 위한 서울시의 배려깊은 정책이 뜻있는 일을 해냈네요. 어린이들과 그 가족을 배려하는 지속적인 지원으로 더욱 발전되길 기대합니다.",별표 5개,수정일: 6년 전
DASIT,서울시 동대문구 휘경동과 전농동에 위치한 약 110m 의 낮은 산. 전체적으로 조성된 둘레길은 약 4.5km로 산책 겸 가벼운 등산 하기 좋은 곳이다. 산 정상에는 삼국시대의 관방유물인 보루가 발견되어 서울시 기념 유물로 지정 되기도 하였다. 또한 최근 까지도 군부대가 주둔했던 것을 보면 낮은 산이지만 전체적인 조망이 가능하여 역사적으로도 중요한 군사 요충지였다는 것을 알 수 있다. 둘레길은 나무 데크로 경사를 최대한 완만하게 하여 걷기 편하게 만들어져 있어 휠체어로도 갈 수 있게끔 잘 조성되어 있다. 또한 중간에 약 350m의 맨발로만 다닐 수 있는 황토길을 만들어 놓았고 길이 끝나는 지점에는 발을 씻을 수 있는 쉼터가 있어 신발을 벗고 느긋하게 걸으며 자연을 느낄 수 있다. 전체적인 둘레길 중간 중간 쉼터도 있고 운동 기구들도 많아 많은 지역 주민들이 이용하고 있다.,별표 5개,6년 전
박수한,"잘 정비된 둘레길과 운동기구들, 도심속 녹지공간 비오는 날 우산쓰고 가도 운치있어 좋아요",별표 5개,수정일: 2년 전
