작성자,내용,별점,작성일
렛츠 (Lets),"피자 조각 모양의 작은 공원이라, 산책 하기엔 적합하지 않습니다. 공원 입구에 용 대가리 동상 등이 있긴 한데, 그리 볼거리도 없으니, 굳이 멀리서 찾아오실 필요는 없어요. (길 건너 바로 청계천이라, 청계천에서 산책 하시기를 추천 합니다.)",별표 3개,4달 전
Kevin Ko,"2호선 용두역 4번출구로 나오면 바로 연결되어 있는 공원입니다. 북쪽에는 홈플러스 동대문점과 동대문구청이 있고 남쪽으로는 청계천과 인접해 있습니다. 간단한 운동기구들과 놀이터, 잔디밭, 분수, 실개천 그리고 시가 적힌 돌들이 있으며 가볍게 쉬고 산책하기 좋은 곳입니다.",별표 4개,6년 전
yhy고란초,청계천옆에 위치하고 지하철 용두역이 있네요. 동대문구청이 보이고 근처 주민의 산책로와 야외공연장이 있어 구민의 행사장으로 이용하겠어요.,별표 3개,6년 전
Chan Young Lee,"동대문 구청 근처의 도심 공원. 비교적 자그마하지만 삼각형 형태의 지대에  아기자기하게 잘 꾸며 놓았음. 분수광장도 여름철엔 가동하는 듯하고 잔듸광장이나 간이 무대가 있어서 행사도 하는 듯합니다.  옆의 홈플러스, 용두 지하철 역과 바로 이어집니다.  강아지 끌고 산책하시는 분도 좀 되고 옆의 병원에서 산책 나오시는 분도 있는 듯 합니다.",별표 4개,6년 전
김민기,매년 10월 넷째주 토.일 양일간에 걸쳐 동방청룡문화제가 열린다. 금년에 벌서 29회째가되는 문화제가 성대하게 치루어졌다. 청룡문화제는 전야제 콘서튼를 비롯하여 어가행렬. 동방제향 및 각종 공연과 이벤트가 이루어진다!,별표 4개,수정일: 5년 전
sun didi,"좀 작지만 동네, 도심속에 적당히 좋아요. 아이들 놀이터 있고 적당히 쉴수있는 벤치도 좀 있어요. 애견산책가능, 잔디 운동장 좋고 봄에는 벚꽃나무 소소하게 볼만합니다.",별표 5개,수정일: 3달 전
윤치운,봄은 봄인가 보네요. 아직 코로나로 다들 숨죽이고 있는데 초등생 어린이들이 공원에서 노는 모습이 천진난만 하네요,별표 3개,4년 전
김광휴,매화꽃 피어난 용두근린공원과 둘레길이 아주 멋있습니다. 가족들과 함께 걸어 보세요.,별표 5개,4년 전
빈터의 삶의 여정,중랑천에서 청계천 진입로에 있는 공원으로 분수쇼가 인상적임. 낙엽지는 가을날 가볍게 다녀오심은 좋을듯,별표 5개,4년 전
FlatB,역 근처의 작고 아담한 공원 앞에 홈플러스가 있다,별표 3개,5년 전
Jason Lee,도심 청계천 옆에 있는 중형공원입니다. 산책 여가 운동 모두 가능해요. 사람이 많지 않아 조용합니다.,별표 5개,4년 전
정훈변,"작은 놀이터 3개가 모여있어 아이들 놀기 좋아요. 화장실, 급수대 있고 쓰레기통 없어서 가져온 쓰레기는 가져가야 해요.",별표 5개,4년 전
강영호,공원관리가 자되고있어요,별표 4개,수정일: 5년 전
정병숙,그린공원 너머 청계천은 이름모를 야생화와 새들의 천국이다.  조팝은 묵은 칡넝쿨과 썪은 물냄새의  굴레를 벗어나지 못 한 채 굽은 허리를 펴지 못한다.,별표 4개,수정일: 6년 전
BYUNG DOO CHOI,詩비가 있는 공원입니다.,별표 4개,6년 전
박선강,중풍으로 잘못걸으시는 엄마를 휠체어로모시고 언니와 셋이서 산책을 갔었다 조용하고 깔끔하게 잘 관리된 공원을 걸으니 마음마져 편안해졌다,별표 5개,3년 전
박찬숙,도심 한가운데서 잠시 쉬어가기 좋은곳 분수대 아이들 놀이시설 반려동울이랑 산책하기 좋아요,별표 5개,3년 전
fastbreak33 2020,"그나마 동네에서 가까운 공원입니다. 코로나 때문에 집앞 마실 가능한 장소가 용두 공원, 청계천 정도 네요.",별표 4개,4년 전
Julia kwon,조용하고 화장실도 공원에있고 작은분수 . 조경. 운동기구 ...오밀조밀 정겨운 장소,별표 5개,3년 전
Jonghee KIM,가족나들이 각종행사로 좋은 곳♡ 바로 옆에 홈플러스가 있어서 편리성도 최고♡,별표 4개,5년 전
박찬숙,동대문 구청과 청계천 중간에 있으며 애견산책 어린이 놀이시설 애어로빅 간단한 공연장 하절기 분수가동 버스 정류장 용두역이 있습니다,별표 4개,7년 전
이덕영,요소요소 벤치  설치를 많이 해주십시오. 화장실에 화장지좀 비치해주시구요.화장지값이  많이 비싼가요.,별표 1개,5년 전
Ellen Lee,너무 옛날 생각그대로의 즉석떡볶이^^ 가격도 착하고 맛도 좋아요 사장님 친절함은 최고♡,별표 5개,4년 전
하늘을보자,깨끗하고 운동할수도 있고 강아지산책하기도 좋구요~ 에어로빅하시는분들도 있네요^^,별표 4개,3년 전
Sue H,청계천 옆쪽에 탁트인 공원,별표 4개,6년 전
한동우,좋은곳일까? 아님 나쁜곳일까? 환경자원센터와  공원 둘의 콜라보 냄새와 악취가 있다는게,별표 3개,6년 전
S.H Yang,장점 역에서 가까움 포켓스탑이 여서일곱개 있음 청계천과 가까움  단점 공원치고 작음 길가에 있어 소음이있음,별표 4개,8년 전
송기,용두근린공원은  화장실 뿐만아니라  홈플러스 마트가 있고 5분거리에 청량리 경동시장 있습니다,별표 5개,4년 전
남최용재,지하철역  옆이지만  사람들이  분비지않구  쾌적해요  화장실도  깨끗하구,별표 4개,4년 전
JONGDAE HEO,가끔다니던곳인데요.여러가지운동기구들도.설치되어있어요.,별표 3개,5년 전
YOUNG SOO CHOI,한때 포켓몬 둥지로 명성을 날리던 곳이죠 가까이 홈플러스도 있고,별표 5개,7년 전
Daeyeon Lee,언제나 산책과 간단한 운동을 즐길 수 있는 공간입니다,별표 5개,4년 전
강욱진,반려동물 동반이 가능한데 풀어놓고 놀수 있게 안잔막이 있으면 좋겠다,별표 3개,6년 전
권오근,작은 공원이지만 운동기구도 있고 좋아요,별표 4개,4년 전
김창길,그늘이 없어 좀 더워요.그러나 한가하게 사색하기엔 좋아요,별표 4개,6년 전
아띠,분수대 도 있고 식수대도 있고 아이들과 산책하기 좋아요,별표 5개,6년 전
김재우,본관이라 그래야하나? 분수대 뒤에 건물 지나갈때마다 냄새나요 ㅜㅠ,별표 1개,6년 전
HJ Aiden,애견과 산책하기 좋음 개를 싫어하면 비추 가끔 공원에서 냄새남 지하에 쓰레기 처리 시설 있는듯,별표 3개,8년 전
홍숙연,꽃도 이쁘고... 좋았당.... 음료수나 물💧먹을때가없당…,별표 4개,3년 전
톰마트,작지만 지하철용두역에 있어 조용하고 청계천하고도 가까움,별표 4개,5년 전
손석진,행사날이라서 그런지 볼것도 많고 좋았습니다,별표 5개,5년 전
권경환,편하게 산책할 수 있는 공간입니다,별표 5개,4년 전
daeyang kim,지하에 쓰레기 소각장이 있어 냄새도 나고 아이들한테 안좋을것같음,별표 1개,5년 전
doorup,반려견과 함께할수있는 곳,별표 5개,7년 전
김정순,아담한 공원으로  산책하기 좋다,별표 3개,6년 전
유선우,가족이 쉴수있는곳이네요,별표 5개,4년 전
dukyu6341,청계천 끝자락...도심 한가운데 있는 멋진 휴식처 ㅎ,별표 5개,5년 전
이지현,용두동에서 젤 깨끗하구 잘가꿔진곳!,별표 5개,4년 전
金珍姫,운동 기구도 있고 좋아요,별표 5개,3년 전
정선주,포켓몬고 커뮤니티 데이 즐기기 좋은 곳,별표 5개,5년 전
손장호,강아지 산책시키기 좋은곳!,별표 5개,5년 전
KAIROS,청룡문화제를 한 곳이다. 다음에 한번 더 들려야지.,별표 3개,5년 전
윤영노,나무와 숲이  있고  지하어 주차 시설이 있음.,별표 5개,7년 전
이굴굴,냄새가 조금 나는 작은 공원,별표 3개,4년 전
