작성자,내용,별점,작성일
안성균,"7월의 국립서울현충원입니다  원래는 6.25 전쟁 때 전사한 군인 등을 모시는 곳이였지만 점차 호국영령들을 모시는 시설로 변화되었어요  초등학생 때 이후로 한번도 가지 않다가 어느 순간 가봐야지 하는 생각이 들어 오랜만에 국립서울현충원으로 출발했어요. 6.25때 전사하신 군인들의 묘가 대다수 였지만 경찰과 국가유공자 그리고 전직 대통령의 묘들이 모여있는 구역도 존재하더라고요.  각 비석마다 태극기가 비치되어 있으며 국가유공자 구역으로 진입시 양옆 태극기가 배치되어 있어 개인적으로 뭉클했어요. ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ Originally, it was a place to enshrine soldiers who died during the Korean War, but it gradually changed to a facility to enshrine patriotic spirits.  I haven't been there since I was in elementary school, but I thought I should go at some point, so I left for the Seoul National Cemetery after a long time. Most of the tombs of soldiers who died during the Korean War were the tombs of the police, national merit, and former presidents, but there are also areas where the tombs of the police, national merit, and former presidents are gathered.  Each monument is equipped with a Taegeukgi, and when entering the area of national merit, Taegeukgi is placed on both sides, so I personally touched it.",별표 5개,3달 전
인공지능,"현충일 당일에는 현충원 내에 주차 불가했습니다 유모차대여, 수유실, 매점, 식당, 카페등이 있어 아이와 함께 방문하기 좋았습니다",별표 5개,2달 전
BKstrawberry,"현충원에 가면 마음이 자연스럽게 차분해지고 숙연해지는 느낌이 들어요. 넓고 정돈된 묘역을 걸을 때마다 과거의 역사와 그 속에 담긴 희생을 깊이 되새기게 되더라고요. 특히 조용한 아침 시간에 방문하면 새소리와 나뭇잎이 흔들리는 소리만 들려서 더욱 고요한 분위기를 느낄 수 있어요. 바람이 살랑살랑 불어오는 길을 따라 걷다 보면, 마음 한켠이 뭉클해지고, 감사한 마음이 저절로 생겨나요. 꽃들이 피어 있는 묘역을 보며, 이렇게 아름다운 일상 뒤에는 누군가의 희생이 있었다는 걸 다시 한번 깨닫게 돼요. 현충탑 앞에 서서 묵념하는 순간은 말로 표현하기 어려운 깊은 울림이 있었어요. 경건한 분위기 속에서 스스로를 돌아보는 시간, 그리고 감사의 마음을 담아 조용히 걷는 시간이 참 의미 있었어요.",별표 5개,6달 전
마지마타,대한민국을 위해 자신을 희생한 많은 애국지사와 순국선열 및 호국영령들이 안치된 국가 시설인 현충원은 상시 개방되어 많은 방문객을 맞이하고 있다.  거대한 국립묘지인 이곳은 목적대로 부지의 대부분이 묘지로 활용되고 있으며 잘 포장된 도로가 구역 사이사이를 연결하고 몇 개의 기념관과 조형물들이 나머지 자리를 차지하고 있음. 중간 중간 쉴 수 있는 휴식터와 나무 그늘이 진 잔디밭에는 돗자리를 펼친 가족들이 모여 담소를 나누는 모습이 드문드문 보인다.  각종 행사가 상시 치러지는 장소다 보니 유명인과 정치인들도 자주 찾는 곳인데 정치 단체들도 간간히 찾아와 조금은 소란스럽다.  워낙에 넓은 장소라 한여름에 방문할 경우 걸어 다니기만 해도 땀으로 온몸을 적시는데 다행히 내부를 순환하는 버스가 있어 편의를 제공. 정문 한편에 위치한 만남의 집에는 식당과 편의점도 있으니 편하게 이용하자.  현충원 내에 여러 건물들은 대부분 개방되어 관람이 가능하며 구성도 잘 갖춰져 있어 평범히 구경을 하기에도 나쁘지 않다. 한번쯤 방문해 시설을 둘러보며 생각을 가다듬기 좋은 장소.,별표 5개,수정일: 2달 전
노시경 TRAVEL,한국전쟁 당시 돌아가신 순국선열들의 묘역이 잘 정비되어 있는 곳입니다.,별표 5개,수정일: 4달 전
Ken Lee,국립묘지라 불리우는 민족의  얼이  서린곳 !!!! 대한민국 🇰🇷과 영원히 가시는 분들이  모셔져 있는곳 입니다.  서울  한가운데  위치하여  접근도 편하고  근처  주민분들도  운동하러들  많이 오시는 장소입니다. 특히나  봄 💐 🌼 꽃 시즌엔  더더욱 많은분들이  오셔서  📷사진도 찍으시고  ㅎㅎ 동작역 에서  가깝고  🚌 🚍 버스도 많고 자차 이용시  주차도 편하고  👍 좋아요. 한국 여행 오시는  외국인분들에게  꼭 추천드리는 곳  입니다.,별표 5개,1년 전
Happy Moon,"국립서울현충원 안장자 참배/찾기현충원 소개알림마당 신청마당찾아오시는 길조직 및 업무 국립묘지 역사, 묘지 현황, 현충일 참배, 묘소, 위패 인터넷 검색 국립서울현충원 단풍 현황 특별군악 의장행사 장병묘역 한바퀴 쭉 돌고 다시 현충지로 돌아국립현충원 단풍 국립현충원 식당박정희 대통령 묘소 현충원을 둥글게 감싸고 있는 서달산동작동 국립현충원의 가을  #동작동 서달산 '국립현충원' #가을 산책대전 현충원 단풍 #대전 현충원역 #대전 현충원 둘레길 #대전 현충원 근처  국립서울현충원은 순국선열과 호국영령을 기리며 8만 6,500여 기가 안장된 대한민국의 대표 상징 공간입니다.  현재 전국 국립묘지는 국립서울현충원과 국립대전현충원 등 총 12곳이다.  국립횡성호국원은 강원권에 처음 조성되는 국립묘지로,  개원 기준 국립연천현충원(2026년 개원)에 이은 14번째 국립묘지가 된다.  국립서울현충원 (國立-顯忠院, Seoul National Cemetery )은  대한민국 국가보훈부의 소속기관이다. 설립 대한민국 국군이 창설된 뒤,  조선민주주의인민공화국과의 대치로 전사한 장병들은 서울 장충단공원 내 장충사에 안치되었으나  전사자의 수가 많아져 대한민국 정부에서는 육군묘지의 창설을 논의하기 시작하였다.  전 국립묘지소재지 서울특별시 동작구 현충로 210 (사당동)  설립일 1996년 6월 1일호국추모공원 국립서울현충원에 오신 여러분들, 환영합니다!  The 顯 National Cemetery will be the 14th national cemetery after the National Cemetery (opened in 2026).Currently, there are a total of 12 national cemeteries nationwide, including Seoul National Cemetery and Daejeon National Cemetery. Jeon the site of the National Cemetery 210 Hyeonchung-ro, Dongjak-gu, Seoul (Sadang-dong)  Date of establishment Welcome to Seoul National Cemetery on June 1, 1996!Seoul National Cemetery Introduction to the Ancestral Temple for the Elderly Organization and work to visit the application yard National Cemetery History, Cemetery Status, Memorial Day Visits, Graves and Statues Internet Search National Cemetery Maple Status Special Military Music Presentation Event After going around the Jangbyeongmyo Station, go back to the Memorial Park, and the autumn leaves of the National Cemetery  the National Cemetery Restaurant",별표 5개,9달 전
Stella,벚꽃이 한창이다. 입구는 차량이나 사진찍는 사람들로 다소 복잡하지만 조금만 올라가면 제법 한산해서 조용히 새소리 들으며 산책하기 좋다. 들어가는 차량이 많아 주차걱정이 될 것 같지만 들어가면 주차할 곳도 넉넉하고 주차비도 무료다. 서울에서 산책하기 좋은 곳~,별표 5개,1년 전
Marzo Soo,"할아부지 없이 맞이한 첫 추석이네요. 생전에 같이 와봤으면 얼마나 좋아하셨을까 생각하니 아쉬운 마음이 듭니다. 그나마 집에서 가까운 곳에 계시게 되어서, 그리고 이 공간이 너무나 잘 관리되고 있어서 위안이 됩니다. 할아부지 보고싶어요. 할무니랑 행복하게 지내고 계시길🩷…",별표 5개,11달 전
렛츠 (Lets),"순국선열 분들이 계신 곳이라 그런지, 현충원을 조용히 걷다보면, 다른 어떠한 산책에서 경험할 수 없는, 마음의 평온함이 느껴지는 특별함이 있는 곳 입니다.  현충원 주변에 편의시설이 없지만, 입구쪽에 ""만남의 집"" 이라고 있는데, 꽃집, 카페, 편의점 그리고 2층에는 식당도 있어요.  정문 쪽에는 4,9호선 동작역이 있고, 충혼당 뒷길에서 반시계방향 (박정희 대통령 묘소 쪽) 으로 가다가 보이는, 솔냇길로 쭉 가다가 우측 언덕길 (유턴 느낌으로 꺾어서)로 올라가면, 사당동 롯데캐슬 아파트 쪽 (4,7호선 이수역) 으로 나갈 수 있습니다.",별표 5개,1년 전
