작성자,내용,별점,작성일
UngBae Ben Kim,"뚝섬한강공원은 서울 도심 속에서 자연과 여유를 만끽할 수 있는 최고의 장소 중 하나입니다. 한강을 따라 펼쳐진 넓은 잔디밭은 피크닉이나 산책에 안성맞춤이며, 자전거 도로도 잘 정비되어 있어 라이딩을 즐기기에도 좋습니다.  특히 여름에는 야외 수영장과 다양한 수상 스포츠를 즐길 수 있어 가족 단위 방문객들에게 인기가 많습니다. 겨울에는 눈썰매장과 같은 계절별 놀이 시설도 운영되어 사계절 내내 즐길 거리가 풍부합니다.  공원 내에는 전망 좋은 카페와 편의점, 음식점들이 있어 간단한 식사나 음료를 즐기기에 편리합니다. 문화 복합 공간에서는 전시와 공연 등 다양한 문화 행사가 열려 색다른 경험을 할 수 있습니다.  대중교통으로의 접근성도 뛰어나며, 지하철 7호선 자양역에서 도보로 쉽게 이동할 수 있습니다. 다만, 주말이나 공휴일에는 방문객이 많아 혼잡할 수 있으니 이 점 참고하시기 바랍니다.  자연과 도시의 조화를 느끼며 힐링할 수 있는 뚝섬한강공원, 서울을 방문하신다면 꼭 들러보시길 추천드립니다!",별표 5개,2달 전
Anthony G,서울의 대표적인 한강 주변의 공원으로 지하철 7호 선 자양역 앞에 있어. 이용하기 편리하고 다양한 행사들이 수시로 열리는 곳입니다. 다양한 먹을거리가 볼거리가 있습니다.,별표 5개,2달 전
J. H. Park,"뚝섬한강공원에서 본 한강 드론쇼 너무 멋지다 ! 13분 정도로 짧지만 강렬했다. 다시 호텔로 나가는 길이 좀 험난하긴 했지만, 그만큼 괜찮았다 ㅎㅎ  사람이 너무 많아 통신이 잘 안 터졌다. 엘지유플러스 통신 중계기 차량이 와 있던데 엘지유플러스는 잘 터졌을려나 ...ㅎㅎ",별표 5개,3달 전
오준영,어느곳이든  한강을곁에두고있는 공원들의 모습은  시원하게 트인 주변경관부터가 시민들의발길을잡는것이 특징일것같다.지역마다 색다른모습을 보는재미도있지만 시기적으로 잘 조화된 모습들을 배치하는것같다.이번이곳뚝섬도 국제정원박람회로 많은시민들의발길을 같이하여 지금도 찾아와 숲과 강속에 꽃을보면 여가를즐기는모습이 자연스럽다. 주차장시설도 잘되여 있지만 보다 대중교통편으로지하철7호선으로 자양역에내려서면 다양하게볼거리가 눈에들어오니차근하게 다녀보면 아쉬움없는 일정이될것같다.,별표 4개,1년 전
Mincho Park,"아이와 산책하기 참 좋음. 널찍한 잔디 마당도 있고, 기차(지하철) 지나가는 것도 구경할 수 있고, 급하게 필요한게 있으면 편의점 찾아가면 됨. 야외에서 맥주에 치킨 먹는 사람들 정말 많음. 놀이터 아이와 함께 놀 수 있는 놀이터가 있음.",별표 5개,1년 전
SEH,정원박람회 하고 있어 주말에 사람 많음. 관광버스로 오시는 분들도 많음. 꽃화분 판매도 저렴하게 하고 있어 구경하고 구매하기 재미있음. 채소 모종도 판매함.  걸으며 산책하기 좋음,별표 5개,1년 전
David Kim,마라톤대회를 종종 하는곳이라 그때마다 가게되네요. 코스가 좋아요. 다만 자전거타는 분들이랑 자주 만나게 됩니다. 서로 조심하는 수밖에는 없어요,별표 5개,5달 전
김원선,2024.6.27. 서울국제정원박람회가 10월까지 상시전시된다고하는데 7호선 자양역2번출구로 나가면 공원과 바로 연결되요 강아지산책은 목줄착용 배변봉지 현재 수영장개장 화장실 장애인전용 화장실도 있어요 놀이터 보드타는 시설도 있어요,별표 5개,수정일: 1년 전
김문숙,"지하철 7호선 자양역 2번 출구로 내려오면 바로 앞이 뚝섬한강공원 입니다  한강 따라 산책, 걷기운동, 달리기, 자전거, 주변 잔디밭에 돗자리 깔고 한강 내려다 보면서 도시락 먹는 기분 참 좋았습니다  도시락 준비 안됐을 땐 선상 편의점 라면, 교촌치킨 먹는 맛도 재밌습니다.  곳곳에 정원도 꾸며져 있습니다  바람  부는 날에는 윈드써핑 하는 모습 보는 것도 또다른 볼거리입니다.  야간엔 강 건너편 롯데타워, 잠실, 청담동... 야경은 덤 입니다",별표 5개,1년 전
오렌지우비,정원 전시회가 열렸던 기간에 방문했는데 흥미로운 전시물과 다양한 행사가 진행되어 매우 즐거운 시간을 보낼 수 있었습니다. 지하철 7호선에서 내리자마자 갈 수 있어서 교통도 아주 편리했습니다 화장실 자유롭게 이용할 수 있는 화장실 반려견 동반 환경 반려 동물의 출입과 산책이 자유롭습니다 피크닉 구역 정해진 구역에서 그늘막과 가지고 온 음식을 취식할 수 있습니다,별표 5개,1년 전
이지영,2024 서울국제정원박람회 에 다녀왔어요.  @seoulinternationalgardenshow  식물의 녹색을 보는 것 만으로도 마음이 편안해지죠. 식물에는 불가사의한 힘이 있죠. 예쁜 꽃과 녹색식물에  둘러싸여 행복한 시간을 보냈어요. 식물도 판매하고 있어서 전 다육이를 저렴하게 구입했어요. 무료로 이런 행복한 시간을 보낼 수 있다니 최고네요. 10월까지니 여러번 더 방문하려고 해요.  📍장소: 뚝섬한강공원 📍기간: 2024년5월16일～10월 8일  📍개장시간: (5~8월 ）12:00~19:00 （9~10월 ）11:00~18:00 📍가는 법 7호선 자양역 2번출구 (도보 2분,별표 5개,1년 전
홍모니카,세계  국제정원박람회 를 개최한다기에 주말을 이용해 방문.규모는 크지않지만 좋은 날씨에 멋진나들이었습니다 한강은 참 멋진 장소같아요. 반려견 동반 환경 모든장소동반 피크닉 구역 편의점 주변이 좋아요.,별표 4개,1년 전
오대교,"서울 시민이 자랑하는 최고의 휴식처. 가족, 연인이 즐겨 찾는다. 지하철 7호선 이용 주차장 완벽 텐트 존 이용 가능 잔디 마당에서 아이들이 뛰어놀고 치킨 맥주 배달... 강바람은 무료 ㅎ 자벌레(서울생각마루)강추!  2024서울국제정원박람회 5.16~5.22 뚝섬한강공원 일대에서 놀이터 오리배를 탈 수 있는 곳. 강바람을 맞으며 산책 또는 명상하는 곳. 반려견 동반 환경 반려견과 산책... 강추! 피크닉 구역 음식을 준비해 와서 취식하는 센스!",별표 4개,1년 전
Didion,"정원박람회전시중입니다. 일부러 가보실건 없구요. 특히 휴일에는 안가시는게 좋을듯요. 앉을곳도 그늘도 없고, 인산인해 엉망진창입니다. 장소는 좋지만.... 이제 가을에나 가볼까해요. 놀이터 유아용입니다. 화장실 바글바글해요.",별표 2개,1년 전
BORA LEE,저녁에 가면 시원하고 청량해서 좋아요. 한강라면까지 먹으면 완벽 그 자체네요.,별표 5개,2달 전
