작성자,내용,별점,작성일
양미숙,경의선숲길공원은 봄꽃이 활짝피었고 초록 숲이 우거져 걷기 명상 산책하기 좋아요,별표 4개,3달 전
James,사람이 많아서 비좁지만 그래도 도시 한 가운데 공원이 있다는 것에 대해서 긍정적인 마음입니다. 사진은 지나가는 사람들 초상권 때문에 자연부분만 찍었지만 거닐기 좋습니다.,별표 4개,1년 전
SunMo Yang,철길의 변신이 무죄이고 변화무쌍하다. 철길 변 아파트와 분위기가 마치 뉴욕의 센트럴파크 주변처럼 새롭게 단장 중이다. 외국관광객이나 내국인 산책자들이 나날이 늘어가고 주변 먹거리 음식점도 다양해지고 있다.,별표 5개,1년 전
최민석,"☆☆☆ 공덕~연남까지는 자전거 통행 안 되므로 주의. 말해주는 사람이 없어서 타고 들어갔다가 통행금지 표지판 보고 조용히 끌고 갔습니다;; 공덕에서 연남, 어쩌면 홍제나 상암까지 길게 길게 산책 즐기시는 분들이라면 추천합니다. 마포시민 워크온 깔아서 누가누가 더 많이 걷나 경쟁하는 것도 재밌고 가끔 날 좋을 때 하천길에서 자전거 타면 그날은 유산소 끝입니다. 저도 신나게 달리다가 ""벌써 여기까지 왔어?"" 맨날 이럽니다.",별표 5개,2달 전
조영진,"날씨 좋은 오후에 산책하기에 딱 좋은 것 같습니다. 주변에 먹을거리, 쇼핑, 볼거리가 있어서 좋습니다. 숲길 공원이 있어서 여유롭게 앉아 쉴 수도 있고 좋네요.",별표 4개,3달 전
Sangeon Byun,"어제 처음으로 경의선숲길 여러구간중 홍대입구역에서 홍제천까지의 연남동구간을 갔었는데, 휴일이라 수많은 사람들이 공원에서 휴식과 산책을 즐기고 있던데 아주 좋네요.",별표 5개,수정일: 6년 전
rowheart c,길고 걷기 좋은 공원. 특색있다기보다는 인파많은 홍대에서 유유히 쉴 수 있다는 점이 베스트입니다. 겨울이라서 그렇다 쳐도 주변을 둘러싼 식물들도 조성이 잘 되어있는 것 같습니다. 화장실 중간에 화장실 가는 표지판이 나옴,별표 5개,1년 전
넷워커,"근처 직장인들의 심신을 잠깐이라도 달래줄 수 있는 아주 고마운 공간. 나무와 잔디, 산책로가 잘 어우러져 있고 주변에 카페가 많아서 인테리어 구경하는 재미도 있다. 특히 봄이되면 만개하는 벚꽃으로 운치가 절정이 됨.",별표 5개,6년 전
김정완,주택가 사이로 난 철길을 숲으로 조성한 결정에 있어서 이곳만큼 눈부신 곳이 있을까 싶습니다. 정겹게 걸을 수 있는 길이 많지 않은 도심에 보석과 같은 세례라는 생각이 자주 듭니다. 최근에 숲길이 끝나는 지점에 특색있는 가게들이 들어서면서 운치를 더하고 있는데요. 작은 서점이 들어오면서 가을을 더 풍요롭게 해주고 있어 무착 반갑더군요. 기회가 되면 한 번 더 가 보시라고 권헤 드립니다.,별표 5개,1년 전
YJ JUNG,도시에 철길을 따라 꾸며진 공원이 색다른 분위기고 양옆으로 이쁜카페도 있어 여유 있다면 커피한잔 하며 시간보내기 좋을 것 같습니다. 화장실 중간에 공중화장실 있습니다.,별표 5개,2년 전
여행백수,서울 하늘 아래 이렇게 여유로운 곳이 있는 줄 오늘 처음 알았다. 유럽의 한적한 도시가 생각나는 곳 이었다.,별표 5개,9달 전
DanHalang,산책하기 좋은 곳입니다. 옆에 물길이 있어 시원한 느낌도 주고 길을 따라서 개성있거나 예쁜 상점들이 많아서 걸어갔다 오기도 좋았습니다.,별표 5개,10달 전
박세원,"산보하기 좋은곳! 옛날 철길이 숲길로 새롭게 탄생한이곳 효창공원역에서 가좌역까지 산보하기 너무 좋아요 각종 조형물도 훌륭하고 다양한 볼거리(책거리, 수변공원, 정자, 간이역, 조형물 등)가 많이 조성되어 멋진곳입니다. 봄에 벚꽃이 만발할 때면 또다른 장관을 연출합니다. 정말 좋더라구요! 그래서 저는 개인적으로 산보를 자주 아니 거의 매일 합니다.",별표 4개,5년 전
becky kim,"밤 늦게도 정말 많은 사람들이 숲 길을 즐겨요, 운동하는사람, 산책하는사람, 즐기는사람., 모두 편안하고 즐거워보여요 :) 밤늦도록 잔디밭에 모여 앉아서 이야기도 하고, 맥주도 마시고, 모두의 안전하고, 즐거운 숲!  아, 이곳은 귀요미 강아지들도 산책을 많이 나와 있어요♡",별표 5개,5년 전
김효진,아주 사랑스런 장소예요~~~ 여유와 바쁨과 즐거움이 동시에 공존한다고 할까요?^^ 실시간으로 변하는 서울의 따뜻한공간이 아닌가 생각되어요~~  따뜻한 햇살이 있는 날~~ 책구경가기도 좋고 나만의 책만들기샵도 정겹고  멀리지방에서 1박2일이나2박3일와도 내짐을 보관해주는 짐보관소도 보이고  전철역에서 내리면 바로 꽃향기가 가득한 꽃가게에~~ 소녀가 되어가는느낌이 들어요^^  가까이살면 꽃다발 사가고 싶었어요^^★ 또 놀러가고 싶어요^^★,별표 5개,수정일: 6년 전
카리스마,공원이 너무나 아름답네요. 일명 연트럴파크라고 하죠. 주변의자에 앉아서 커피나 맥주한잔해도 좋구요. 주변환경이 너무 좋은거 같아요. 맛집 등 음식점도 많고. 구경거리도 많아서 좋네요. 풀과 나무도 많구요. 4계절 모두 좋은거 같아요.,별표 5개,6년 전
TY,크지 않지만 인근에 산책할 수 있는 이런 공원이 있으면 무척 좋을 듯하다. 중앙로도 걷기 좋지만 한 블럭 안쪽으로 가도 걷기 좋다.,별표 4개,수정일: 6년 전
홍성란,매일 산책하는 길 입니다 도심속에있는 공원이 아주좋아요 길옆으로 예쁜 거피숍 등 도 있는 아주 재미있는 장소랍니다,별표 5개,2년 전
Rosa Kim,"-길게 늘어진 공원으로 구경하기도 좋은 상점과 카페, 식당 들이 곳곳에 있다. -평지라 러닝하기도 좋다. -봄에는 벚꽃, 가을에는 은행과 단풍을 보기에도 좋다 그러나 요즘은 사람이 더 많아짐.",별표 5개,4년 전
시진,용산역에서  가좌역까지 이어지는6.3KM의 용산선이 지하화되면서 옛 철길에 숲길이 조성되었다. 이  숲길을 따라서 사람들이  모여들고 주변에 다시 예쁜찻집과 음식점이  생겨나서 더욱 유명해졌다. 요즘 젊은이들의 데이트 코스로 많은 각광을받고있다.,별표 4개,수정일: 6년 전
