작성자,내용,별점,작성일
T.B All,"독립공원은 1945년 8월 15일 광복이 될 때까지 수많은 애국지사와 1960년대 정치적 변동을 겪으면서 많은 시국사범들이 수감되었던 서울구치소가 있었던 곳이다. 서울구치소가 1987년 11월 경기도 의왕시로 옮겨감에 따라 감옥 7동, 사형장, 지하여자감옥 등을 복원하고, 탑골공원에서 3·1운동기념탑을 이전하였으며, 1992년 영은문 주초와 연계하여 1992년 8월 15일 독립공원으로 조성하였다. 독립협회에서 건립(1895년)한 독립문(사적)이 있으며 조선시대 중국사신들을 영접하던 독립관(당시는 모화관이라 하였음)을 복원(1996년)하여 그 내부에 순국선열위패 2,327위가 봉안되어 있고, 독립문 바로 앞에는 영은문주초(사적 제33호)가 자리하고 있다. 그 외 순국선열추념탑, 3·1독립선언기념탑, 서재필박사 동상 등이 있다. 또한 일제의 침략에 맞서 빼앗긴 나라를 되찾기 위해 독립운동을 하다 순국하신 애국지사들의 고귀한 넋을 기리고자 서대문구에서 서대문형무소역사관을 별도로 관리·운영하고 있다.(참조, 지식백과)",별표 4개,11달 전
김영은,매번 마음이 아플 것 같아 발길을 선뜻 내딛지 못하던 장소 큰 맘 먹고 가족들을 이끌고 찾아간 곳 입구에서의 엄청난 혼잡함에 놀라기도 했던 이 곳 맞은 편에 임시정부기념관이 있구나 하며 간신히 안내원의 안내에 버스 주차장에 슬쩍 주차  주위를 둘러보다 수많은 수형표가 있는 공간에선 눈시울이 뜨겁더라는 ....  바른 어른이 되고 싶으나 여전히 아직도 철부지 같아지는 공간이다 이곳은.....,별표 5개,1년 전
이득준,독립문과 참배할수 있는 독립관 서대문형무소 유관순 동상 서재필동상 순국선열추념탑등과 주민이 쉴 수 있는 녹지공간 뒤로는 안산자락길이라는 산이있어서 한 번 쯤 가 볼만합니다,별표 5개,1년 전
namyounglee,"역사적인 곳이고, 안산과 인왕산을 같이 하고 있어서 산책 혹은 트레킹도 좋은 곳이라 생각되요!",별표 4개,3년 전
박기철,서대문형무소 가는길에 잠시 들리거나 독립문역에 오는길에 잠시 들렀던 공원 입니다.. 그런데 분양소가 있는건 오늘 처음 알았습니다. 순국선열분들의 위페가 모셔져 잇더군요. 경건한 마음으로 향 하나 정중히 올리고 왔습니다.,별표 5개,6년 전
Photowriter (Photowriter),"서대문형무소, 독립문과 함께 방문하기 좋다  산책길로도 훌륭하고  한국사람들에게는 의미있는 공원이다. 화장실 무료 공중화장실이 있다.",별표 5개,1년 전
Kevin Ko,"서울구치소가 1987년 의왕시로 옮겨감에 따라 1992년 8월 15일 독립공원으로 조성하였습니다. 연중무휴로 개방하고 있습니다. 독립마당, 독립문, 서재필 동상, 3.1운동기념탑, 독립관, 순국선열추념탑, 이진아기념도서관 등이 있으며, 일제에 맞서 독립운동을 하다 순국한 애국지사들의 넋을 기리고자 서대문형무소역사관을 운영하고 있습니다. 독립문과 서대문독립공원을 지나 안산자락길은 가족들과 함께 할 수 있는 좋은 산책 코스입니다.",별표 5개,7년 전
신해기,촬영차 방문. 공연하러 간 이후로 10년만. 계속해서 발전하고 방문객도 많아지는게 보입니다. 역사적인 장소로서 아직 보여줄수 있는게 더 많기에 프로그램이 다양해질거라 생각됩니다.,별표 5개,1년 전
shinjohnss,일제 강점기를  다시 한번 생각해  볼수 있는~~~~  서대문 형무소가  있는  곳이다~~~  형무소를  중심으로  공원이 조성 되어 있다~~~~~~~  산책 할수 있고~~~~ 역사를  돌이켜 볼수 있는 ~~~  유일한  동네  공원 인거  같다~~~~  독립문의  우아한  자태가 아주 인상 적이며~~~~~  간혹  영화  촬영도  하는  공원 이다~  여백의 풍요!!!!!!!  앞으로도  이런 공원이  많이  생겼으면 좋겠다~~~~~  사진  올리니  함들  보셔요^^,별표 5개,4년 전
June “어리버리” H,"서대문 독립 공원은 우리 나라 독립운동의  상징적인 곳으로 서대문구 현저동에 있다.  1987년 서대문 형무소의 이전 이 후 옥사와 담장 망루 등을 철거하고 독립공원을 조성, 1992년 광복 제47주년에 서대문 독립공원으로 개원하였다.  오래 전 아이들과 처음 왔을 땐 독립문 주변에 꽤배기 공장과 떡 공장 등 허름한 집들이 얽혀있었는데 독립 공원 조성 후 다시 와 보곤 많은 변화에 깜짝 놀랐다.  현재의 독립공원은 2008년 현상 공모를 통해 선정된 작품을 바탕으로 새롭게 조성한 것이라 한다.  서대문 독립공원 관람은 독립문에서 시작하여 동선을 따라 좌우로 배치된 독립관 기념탑 추념탑 형무소역사관의 순서로 관람하면 좋을 것 같다.  독립문 마주보고 왼쪽에 화장실과 방문자 센터가 있고 서대문 형무소 역사관 입구 바로 전 오른쪽에 편의점이 있다.  ★독립문 독립협회가 세운 독립문은 독립협회가 전국민을 상대로 모금운동을 벌여 1897년에 완공하였다.  청나라 사신을 영접하던 영은문 자리에 한국의 영구적인 독립을 선언하기 위하여 만들었으며 서재필님이 프랑스의 개선문을 본떴다고 한다.  독립문은 원래 종로구 교북동에 있던 것을 1979년 이곳 서대문구 현저동으로 옮겨왔다.  ★영은문 초석 조선시대 때 명나라 사신을 맞이하기 위한 영은문과 모화관이 서대문 근처에 있었다. 이것이 명나라가 청나라로  바뀐 이 후 까지 이어져 왔었는데 서재필님은 이 영은문과 모화관을 헐고 그 자리에 독립문과 독립관 건설을 주장하였다. 현재 독립문 앞에 남아 있는 두 개의 돌기둥이 남아 있는 영은문 주초석이다.  ★서재필님 동상 독립협회를 창설한 서재필님을 기리기 위해 세워졌다. 서재필님은 한국 최초 민간 신문인 독립신문을 발간하였고 중국 사신을 영접하던 영은문을 헐고 독립을 상징하는 독립문을 건립하였다. 또한 만민공동회를 조직하여 우리나라의 독립과 개혁을 위한 공동 토론회를 여는 등 국민의 민권 신장과 개화운동에 앞장섰으며 임시정부의 워싱턴 구미위원회의 위원장을 맡아 평생을 조국의 독립을 위하여 헌신하였다.  ★독립관 중국 사신을 영접하던 모화관을 고쳐서 독립관이라 이름을 바꾸고 독립협회의 사무실로 사용하였다. 지금은 독립선열들의 추모관으로 사용하고 있다. 현재 독립관은 1997년에 새로 지은 것이다.  ★3.1 독립선언 기념탑 1919년 태화관에 모인 민족 대표들은 독립 선언식을 거행하고 독립만세를 삼창함으로써 전 민족적인 3.1독립만세운동의 불을지폈다.  1963년 국민의 성금으로 탑골공원에 건립되었던 것을 1992년 독립공원 안으로 옮겨왔다.  ★순국선열추념탑 국내외 각처에서 조국 광복을 위하여 일제에 항거하다 순국하신 선열들의 얼을  되새기며 원혼을 추모하고자 1992년에 건립하였다.  ★서대문 형무소 역사관 일제가 1908년에 만든 경성감옥이 시초이다. 1923년  서대문 형무소 1961년 서울교도소 1967년 서울 구치소로 이름이 변경되었다.  이 곳에서 1945년 해방까지 수많은 독립운동가들이 수감되어 고초를 당했으며 1987년까지도 서울 구치소로 이용되면서 민주화 운동 관련인사들이 옥고를 치룬 곳이다.  이에 서대문 형무소의 역사적 의의를 밝히고 독립과 민주의 이 현장을 대 국민 교육의 장으로 만들고자 옥사 원형 전시 및 서대문 형무소에 투옥되었던 독립운동가들의 각종 자료와 유물을 전시하여 서대문 형무소 역사관으로 재 탄생하였다...고 역사관 소개에 소개되어 있다.  독립공원내 유일한 유료 관람 시설이다. 각종 할인 혜택도 있으니 참고 하시길~  관람료 비싸지 않으니 절대 아깝다 생각 마시고 자주 자주 그리고 오래오래 마음으로 머물렀다 가시길..",별표 5개,6년 전
ks shin,오늘아침 출근길은 서대문 연희숲속쉼터 에서 서대문독립공원을 거쳐 종로3가 낙원동 도착코스중에...,별표 4개,2년 전
BONG,버스 주차장 말고 일반 차량 주차장은 따로 어딨는지 매번 못 찾겠다.  공원 경계를 따라 산책로가 마련되어있어서 빙글빙글 돌며 경사로와 평지를 반복하여 산책하기 좋다. 도로 소리가 좀 시끄러운 편이나 산책 하고 운동하기엔 불편함이 있는 정도는 아니다.,별표 5개,1년 전
김상범,새롭게 바꿔 광장처럼 넓고 께끗하게 봐뀌고 독립운동가에 대한 형무소도 독립관도 있어 배울점이 많습니다  위로 한바퀴 돌다보면 도서관이 나오고 계단 으로도 네려오면 다른곳으로 둘러 볼수도 있고 지하철 타고 갈수도 있읍니다  위치 : 3호선 독립문역,별표 5개,6년 전
Hakgyu Lee,역사적인 장소.... 월요일은 휴관~~ '닥터룸' 이라는 드라마촬영을 하고 있네요~~,별표 5개,6년 전
SA P,독립문도 좋지만 조금 더 올라가면 서대문형무소가 있음. 혼란스런 격정기에 나라의 안위를 위해 죽음을 두려워 하지않고 싸우다  감옥에 갇혀 옥고를 치른 선열들을 다시 생각하고 숭고한 정신을 고취하게 하는 장소,별표 5개,6년 전
Hyun Chul Kim,서울 도심의 쉼표같은 공원. 일제시대에 서대문형무소였던 이곳이 과거에는 순국선열의 피로 물들었던 곳.,별표 5개,2년 전
TOMMY HAN,사대문 내 산책하기 좋은 곳이고 이진아 도사관은 꼭 들러보세요.,별표 5개,4년 전
정창욱,어려운 시기를 이겨낸 선조들의 의기를 기리기 위한 곳. 비극의 장소이자 희망의 장소,별표 5개,8년 전
JY CHUNG,역사적인 장소. 일본의 악행이 얼마나 잔인했는지.. 우리 선조들의 투쟁의 역사가 있는 곳.,별표 5개,6년 전
Chulhee Park,밤 산책 또는 데이트 코스로도 좋은 곳. 여기서 와인을 즐겨먹는다는 그녀가 생각난다.,별표 5개,4년 전
이젬마,역사적인 독립문이 위치해 있고 연계하여 서대문형무소도 인접해있으며 찻길을 건너면 다양한 먹걸이가 있습니다,별표 3개,5년 전
Jong-mi Anna Park,이곳을 다닐때마다 조국을 위해 몸 바친 젊은 넋들에 대한 묵념을 합니다,별표 4개,1년 전
무천,"일제강점기에 의병투쟁, 3·1독립만세운동, 항일투쟁 등으로 투옥되어 옥고를 치르다 순국한 선열들을 기리기 위하여 조성되었다. 이곳의 옥사는 1908년 일제가 침략을 본격화하기 위하여 지은 근대식 감옥으로, 경성감옥이라는 명칭으로 문을 열었는데 항일투사들이 늘어나자 일제가 마포구 공덕동에 새로 감옥을 지어 1912년에 서대문감옥으로 명칭을 바꾸었다. 그후 1923년에는 서대문형무소로, 1946년에는 경성형무소로, 1950년에는 서울형무소로 바뀌었고 1961년에는 서울교도소로 개칭되었다가 1967년 7월에 서울구치소로 바뀌는 등 여러 차례 그 명칭이 바뀌었다.  건립 당시에는 감방 480평, 청사 및 부속건물 80평으로, 500명 정도를 수용할 수 있었다. 당시 전국에 있는 8개 감옥의 총수용인원이 300명이었는데 그에 비하면 엄청난 규모였다. 4·19혁명, 5·16군사정변 등 정치적 변동을 겪으면서 많은 시국사범들이 수감되어 있던 이곳은 도시의 발달로 인하여 구치소 위치로는 적당하지 않아 1987년 11월 15일 경기도 의왕시로 옮겨갔다. 이때 서울시가 법무부로부터 이곳을 매입하여 1988년 조성공사를 시작하였고, 1992년 8월 15일 광복절 제47주년을 맞이하여 독립공원으로 개원하였다.",별표 4개,수정일: 6년 전
sunghee kang,우리나라의 독립운동사를 알 수 있는 역사 적인 곳,별표 5개,5년 전
김병우,잘보존 되어 있고 선조들에 얼이 깃든 장소 다시 한번더 생각들게 하는곳,별표 5개,5년 전
나야나,대한민국 국민이면 꼭 가봐야 할 곳 가족과 함께라면 더욱더... 친일파 후손은 제외...,별표 5개,6년 전
jeongtae lee,서대문 형무소 옆에는 또 무언가를 짓는(복원) 중이었다,별표 4개,3년 전
한경훈,도심 속에 이런 친환경 공간이 있다니 귀한 곳 입니다.,별표 5개,5년 전
송일범,서대문 형무소가 있는곳. 공원 잘 구성되었고 역사교육에도 좋아요,별표 5개,6년 전
한석주,아이들과 함께하기 좋아요.,별표 3개,4년 전
박효숙 (수기박),남녀노소 가리지않고 운동과 산책을 즐길수 있는곳이며 역사공부를 할수있는 곳이다.,별표 5개,4년 전
신미영,공간도 넓고 바로 옆에 서대문 형무소 가 있어서 관람하기 편했어요 화장실 조금 멀었어요,별표 5개,10달 전
김헤레나MY,천천히 산책하기 좋아요^^,별표 5개,2년 전
햇살쨍 (햇살쨍),산책하기 좋눈 공원 이진아 도서관도 좋아요,별표 5개,4년 전
J Doya,"서대문독립공원은 외부에서 멀리 찾아오는 사람들이 있다보기는 동네 주민들이 즐겨 이용하는 장소입니다. 그래서 낮 시간엔 '독립문'을 보러온 사람들이 있고, 저녁 시간엔 공원에서 운동을 즐기는 사람들이 많습니다. 최근엔 안산 자락길 조성에 따라 초입으로서 등산객들이 많이 찾고 있기도 합니다. 일부러 방문하지 않더라도 형무소역사관과 함께 둘러보면 아주 좋은 장소입니다.",별표 5개,4년 전
K글라라,오랫만에 친구들과 만나 점심먹고 산책하기 참좋은장소 복잡한 찻집보다는 한두시간 산책하며 돌기좋은것같해요. 도심속에 이런 공원 있다는것도좋고 조금 여유를 가지고 ᆢ,별표 5개,5년 전
Gregory P.,역사적 의미도 있고 시설도 좋아요.,별표 5개,4년 전
푸드북TV,활엽수가 울창하고 북향이어서 여름인데도 땀을 흘리지 않을 정도로 시원했습니다. 데크가 잘 조성돼 있어서 산책길로 최고예요.,별표 5개,5년 전
WY Han,"우리나라 근대사의 살아있는 현장으로 독립문, 서대문형무소(경성감옥) 등이 있던 자리이며 형무소가 이전 한 후(1992년) 서대문독립공원으로 조성되었다.  특히 학생들에게 우리나라의 힘겨웠던 역사를 되돌아보는데 좋은 장소이다.   인근 안산자락길을 따라 산책로가 조성되어 가족과 함께 부담없는 야외활동을 할 수 있다.",별표 5개,5년 전
Richard Lee,역사적 의미가 있으나..조금더 규모를 키우고 스토리텔링을  잘해야,별표 4개,3년 전
Jisu Jeong,안산으로 가는 길이 잘 정돈되어있습니다. 초록 풀밭이 펼쳐져 있고 나무가 많아서 그늘도 많습니다. 가벼운 산책으로 좋습니다,별표 5개,6년 전
박종서,산책하기 좋아요. 편의점 1개 있고 서대문형무소 교육차 관람하면 좋습니다. 31절 815에는 무료입장 화장실 깨긋 반려견 동반 환경 편하게 산책가능,별표 5개,2년 전
