작성자,내용,별점,작성일
고기킹,여유를 즐기기 좋은 곳 아름답고 나무 그늘덕분에 시원해,별표 5개,2달 전
렛츠 (Lets),"피자 조각 모양의 공원 이에요. 가벼운 산책을 하기에 괜찮습니다. 재작년 찾아왔을 때보다 그 길지않은 시간 동안, 눈에 띄게 좋아졌어요. 그렇다고, 일부러 멀리서 오시는 건 비추에요.  공원 중간에, 찻길이 있어서 횡단보도로 건너야 되는데, 기둥에 있는 버튼을 눌러야만, 보행자 파란불이 들어와요 (그것을 몰라서, 한참을 기다렸네요 ㅠㅠ)  공원 중앙에, 윤봉길 의사 기념관이 있고, 남쪽으로는, 대한항공 희생자 위령탑과 삼풍 백화점 참사 위령탑이 있습니다. 삼풍 위령탑 위치가, 연관없는 위치에 있어서, 왠지 씁쓸한 마음이 들더라고요.",별표 4개,수정일: 3달 전
Hawk Kim,"시민을 위한 다양한 편의 시설과 , 농구, 배구 , 테니스장이 있어요. 세월의 흐름에 따라 외국의 유명한 공원 느낌도 나요.",별표 5개,수정일: 9달 전
Alexander,도심 속 여유를 즐기기 충분한 곳. 사계절의 변화를 뚜렷하게 감상 할 수 있고 잘 꾸며 놓은 숲과 정원 운동시설 뭐하나 빠짐 없이 휴일의 여유를 만끽할 수 있는 곳 놀이터 어린이용 큰 모래 놀이터가 있습니다. 화장실 곳곳에 배치된 화장실은 매우 깨끗하고 좋아요 피크닉 구역 취사는 당연히 안되고 가져온 음식을 즐기기엔 더할 나위 없이 좋습니다.,별표 5개,2년 전
Andy Kim,"양재천과 경부고속도로가 교차하는 곳에 두개의 숲 공원이 있다. 고속도로의 동편에 있는 매헌시민의숲은 양재시민의숲에서 윤봉길 의사의 호로 근래에 변경하였다. 조성된지 오래되어 나무들이 우거지고 크고 굵다. 윤봉길 의사의 동상과 기념관, 체육시설, 산책로와 화단 등을 잘 조성해 놓아 시민들의 휴식 공간으로 좋다.",별표 4개,1년 전
Elegance,"윤봉길의사기념관이 생겼네요♡ 이름도 매헌 시민의숲으로 바뀌었어요.  윤봉길의사의 호가 매헌이라, 신분당선 전철역 이름 보면서 매헌시민의숲역이 왠지 낯설지 않다고 생각했더니 역시 윤봉길의사와 연관된 장소네요.  이번에 일본여행 가면서 오사카성 제4사령부 형무소 터에도 다녀오고, 가나자와 윤봉길의사 암장지와기념탑에도 다녀왔습니다.  오사카와 가나자와에선 많이 슬펐는데, 그래도 선조들의 희생에 힘입어 지금의 대한민국이 있다는 생각에 힘이 납니다.  문화의 힘을 가진 대한민국을 위해 후대들에게 보탬이 되는 세상을 만들어 가야겠다는 다짐을 한번더 하게 됩니다.  늘 감사합니다. 잊지 않겠습니다.",별표 5개,2년 전
낭자객,교통 수단도 좋고 편안함을 주는 공원입니다 지금이 딱 좋은 계절이구요,별표 4개,1년 전
A Y,교사야유회를 가면서 아주 오랜만에 가게 되었습니다. 근 20년이 넘은거 같은데 한적하고 좋습니다. 다만 앞에 주차장은 햇빛이 강해서 더위에 조심하셔야 합니다 피크닉 구역 가족. 지인. 동호회등 찾기 쉬운 공간입니다.,별표 5개,1년 전
반경식,큰 나무가 많아서 여름에도 산책하기 좋아요,별표 4개,3주 전
권순주,벚꽃을 원없이보고 사진찍었음 엄마랑 좋은추억 쌓고 커피숍도있어서 시원하게마시고 의자도 있어서 편함 화장실도 깨끗함,별표 5개,1년 전
여행책방,"언제가도 좋은 시민의숲, 가을 분위기 물씬 나구요 청솔모도 만나게 되요. 진짜 도심속 힐링공간 숲이에여^^",별표 5개,1년 전
­김문식 | 국제관광대학원 국제관광학과 | 겸임교수 | 한양대(서울),서울에서 평지 공원중 아름다운 경관과 넓이를 자랑한다.,별표 5개,1년 전
Shadrack Tab,도심속 넓고 시원한 공원,별표 5개,1년 전
윤연승,조용하고 깨끗한 공원입니다,별표 5개,2년 전
이광수,산책 및 운동하기 좋아요,별표 5개,2년 전
김상국,오랜만에 다녀왔어요 좋습니다.,별표 5개,1년 전
Emilly Kim,강아지산책시키러자주가요.새벽시간에풀어놓고산책시키기조아요.밤11시12시부터는조용하고애들뛰어놀기최적~!!!,별표 5개,1년 전
greg 94,단풍이 예쁜 양재시민의숲,별표 4개,2년 전
James K L,"숨쉴 때 상꽤한 공기 좋고, 평온하며, 조용한 숲이 행복을 주는 공원.!.",별표 5개,1년 전
선우재경,깨끗한숲 정리잘된시설 (테이블 의자)놀이터 화장실,별표 5개,1년 전
김상욱,나무그늘 아래서  시원한  여름을 보낼 수 있어  너무 좋았습니다,별표 1개,1년 전
오대양,가족들과 나들이 데이트 너무 좋아요^^,별표 5개,1년 전
심인섭,가족과 함께 산책하기 좋아요,별표 4개,1년 전
임삐,늘 깨끗하고 맑은 공원이예요. 반려견 동반 환경 반려견 에티켓 잘지켜주세요.,별표 5개,1년 전
녹색걷기,2024 산림청선정 아름다운숲 50선,별표 4개,1년 전
하루천도사,넘좋아요,별표 5개,2달 전
Junsung Lee,숲속 넓고 산뜻.오솔길,별표 5개,1년 전
게임권용현,사람이많이오면좋겠다,별표 5개,1년 전
준형오,농구장 감사합니다.,별표 5개,1년 전
선정수,청설모가 많습니다,별표 5개,1년 전
양순혜,추웠어요,별표 3개,1년 전
김하용,좋아유!!,별표 5개,2년 전
Ben Yung,"지하철로 쉽게 갈 수 있으며, 강과 다리를 배경으로 한 아름다운 벚꽃 풍경",별표 5개,1년 전
Michael Hoon,마치 공원과 같습니다.,별표 4개,수정일: 4달 전
