작성자,내용,별점,작성일
James,최곱니다. 이유는 직접 보신 분들은 압니다. 서울 야경  구경을 간단하게 연인과 함께 즐길 수 있는 소소한 장소라 아주 좋습니다. 반려견 동반 환경 강아지와 함께 즐길 수도 있어요!,별표 5개,9달 전
Kong King,"도로에서 오르든 인근 아파트에서 오르든 5분이면 달맞이봉까지 오를 수 있습니다. 조망점이 위, 아래로 2개가 있습니다. 윗 조망점이 공원에서 보이는 조망점입니다. 아래 조망점은 조금만 돌아서 내려가면 나옵니다. 둘다 똑같이 한강 파노라마 뷰를 감상할 수 있는데 다만 2023년 10월 18일에 아래 전망대는 공사중이네요. 그리고 이 공사로 인해 도로에서 진입하는 입구 두 곳 중 하나가 공사 기간 중 폐쇄돼었으니 참고하세요. 매봉산 팔각정보다 여기가 한강뷰는 훨씬 더 좋습니다. 미취학 어린이에게 어울리는 놀이터도 있어 지루해할 아이들을 신나게 할 수도 있는 공원입니다.",별표 5개,1년 전
변상언,9/10일 추석 당일에 방문했어요. 올해 추석에는 100년만에 가장 동그란 보름달을 볼 수 있다고 해서 저녁 7시에 옥수역 4번출구 나와서 달맞이하러 올라갔는데 날씨가 흐려서 잠시만 보았지만 의미있는 날이었어요.,별표 5개,수정일: 2년 전
조석래,관리가 섞 잘되는 편은 아니지만 그럭 저럭 손질은 되고있고 옥수동 한강고수부지 강변4로와 연결이 수월하고 강남권이 한눈에 들어와 전경이 수려하며 공기맑고 번잡하지 않으며 깨끗해서 산책코스로는 딱인곳 입니다. 동산이므로 계단이 많으니 독서당로 272 대우아파트 옆길로 걸어올라 고수부지나 옥수역쪽으로 걸어내려가면 상당한 경치구경을 할 수 있는 좋은 곳이랍니다.,별표 4개,6년 전
jangwon choi,아내가 일찍 출근하면서 아파트 입구에 내려줬음. 그래서 달맞이공원을 오름. 날씨가 좀 궂었지만 전경은 좋았음. 10분이면 오를만한 공원으로 계단을 오르면 전망대도 있고 포토스팟도 있고 운동기구도 있어서 여러 사람들이 올라와서 즐길 수 있는 달맞이공원임. 자주는 아니지만 가끔 오르면서 공원을 잘 활용하면 좋을 것 같음. 가까이 동호대교와 강변북로가 멀리 롯데타워도 보인다. 밤에 가면 달도 볼 수 있을 듯 싶다. 가보리라.  2024년 봄에 날씨 좋아 올랐더니 개나리가 피기 시작했다. 예쁘다.,별표 4개,수정일: 1년 전
Good Vibe,서울야경 보는곳 명소입니다 옥수역 바로 옆 에있어서 접근성도 좋습니다  Located on Near oksu stn  where is enjoying the night view im hangang river and have some photo shoot zoon in there,별표 5개,7달 전
권순용,한강의 멋진 야경과 일출을 볼 수 있는 곳입니다. 지하철을 타고 옥수역 4번 출구를 이용하면 편리하게 갈 수 있으며 계단과 데크가 잘 설치되어 있습니다.,별표 5개,3년 전
박은양,임원 항 마을 뒤 산 해발 약 220m 해맞이 공원 날씨가 좋을때는 울릉도 까지 보이는 동해바다. 뷰 정말 끝내 주는군요.노약자 분 들 께서는 엘레베이터 를 타고 올라갈수도 있서 서 좋습니다.,별표 3개,7년 전
이동현 (커넥터리),서울 야경 매우 좋습니다. 공원 불은 11시에 꺼지는듯 합니다. 산책로라기 보단 한강 야경을 보러 가길 추천합니다. 사진 잘 나와서 연인끼리 가면 좋은 데이트 공간입니다.  Insta. connector_lee,별표 5개,3년 전
Woojin Lee,"서울 야경, 해돋이/해넘이 보기 정말 좋은 곳입니다. 옥수역 2, 3번 출구로 나와서 아파트 단지 쪽으로 걸어가다 보면 진출입로가 나옵니다. 5-10분 정도 올라가면 산 중턱의 전망대, 정상에는 운동시설과 정자가 설치되어 있습니다.",별표 5개,2년 전
이시영,응봉란과 더불어 빼어난 경치를 볼 수 있는 곳입니다.,별표 5개,10달 전
BeomJoo Park,계단 좀 있는데 그래도 올라가면 예쁘네요,별표 5개,4주 전
김기범,여름에 간단히 산책하러갈겸 오르거나 들리기 좋은 곳 입니다! 야경이 너무 예쁜곳이에요!,별표 5개,3년 전
최윤전,"멀리롯데타워와 동호대교까지한눈에보이는 뷰가 장난아님 가을햇쌀좋은날 ,흐린날 ,눈오는날,모든날이 좋은 풍경입니다",별표 5개,3년 전
TL,야경 촬영하기 좋은 장소인것 같아요. 날씨만 좋으면 달과 함께 촬영할수있어요,별표 5개,2년 전
김태훈,금호동과 옥수동 주민들에게 운동할 수 있는 좋은 공원으로 전망도 좋고 운동시설도 잘 갖춰져 있습니다 그리 높지 않아 오르내리기 좋아요,별표 4개,5년 전
HEON,지나다니면서 와봐야지 하다가 이번에 방문했는데 높지 않으며 전망이 좋은 곳. 해지는 거 보러 한 번 와 볼 예정.,별표 5개,수정일: 2년 전
햇살쨍 (햇살쨍),야경이 아름다운 공원 봄에는 개나리가 활짝피어서 상춘객이 많아요,별표 5개,4년 전
김상길,야경 맛집 큰힘 들이지 않고 멋진 야경을 보고 적당히 산책이 가능하다.,별표 5개,2년 전
장은미,"낮은 언덕으로 체력이 약한분들이나 어린이도 쉽게 오를수 있고, 산책하기 좋은 곳이며, 한강 전망이 좋습니다.",별표 3개,8년 전
김민정,개나리가 피는 3ㅡ4월 꽃구경하며 산책하기 좋은 공원 내려보면 한강이 보이고 이따금씩 지나가는 전철이 이뻐보이네요,별표 4개,5년 전
김병수,밤에도 산책가능하도록 잘 정비되어 있고 금호동 대우아파트쪽으로 진입하면 유모차로도 전망대까지 다녀올수 있음,별표 5개,4년 전
yj s,별 기대 안하고 갔는데 정말 야경이 아름다웠다는.. 옥수역 3~4번 출구에서 내려서 가시면 빨라요,별표 5개,수정일: 3년 전
헌중,서울 최고의 뷰,별표 5개,3달 전
Dong Gil Lee,뷰가 끝내준다... 5분코스인데 50분있게만듬,별표 5개,5년 전
대박황성,너무 멋진 경치 운동하기 딱 좋은 높이 나만의 산책코스,별표 5개,1년 전
