작성자,내용,별점,작성일
Karolina Krzemińska,Olympic Park is my favorite park in Seoul. Even on the weekend you can find places full of peace and quiet. Perfectly marked paths allow for active recreation adapted to people of all ages. 올림픽 공원은 제가 서울에서 가장 좋아하는 공원입니다. 주말에도 평화롭고 조용한 곳을 찾을 수 있어요. 잘 정비된 산책로 덕분에 모든 연령대의 사람들이 활동적인 레크리에이션을 즐길 수 있어요.,별표 5개,3달 전
Jess K,시민들의 소중한 휴시처에요 요즘은 관광객들도 많이 오는것같애요 도싱속에 스위스 부럽지 않은 아름다운곳이라 생각합니다,별표 5개,1달 전
먹죽귀,"올림픽공원은 1988년 서울 올림픽을 기념해 조성된 대형 공원으로 평화의문과 호수 올림픽경기장 호수공원, 88잔디마당 등 다양한 명소가 있어 산책하기 좋습니다  특히 평화의문은 올림픽의 평화적 의미를 담고 있어 멋진 사진 촬영지로도 유명하죠  겨울 저녁에 방문하니 차가운 공기 속 평화의문이 더욱 고즈넉하고 신비롭게 느껴졌어요  호수공원을 걸으며 바라본 고요한 물결은 마음을 편안하게 해주었고 공원 곳곳에 산책로가 잘 정비되어 있어 걷기 좋았어요  올림픽경기장 근처의 넓은 잔디밭은 여유로운 분위기를 더해 주고정원에서는 다양한 식물과 꽃들을 볼 수 있어 자연 속에서 힐링할 수 있습니다  넓은 공간에 잔디 밭고 정원에서 가족 연인 친구 등 봄이 되면 피크닉을 즐기기에도 좋아요",별표 5개,수정일: 3달 전
Tommy LEE,"1. 몽촌토성역 1번 출구로 나오면 서울의 대표공원인 올림픽공원이 있음 2. 여러 조경공간, 호수, 산책로 등이 있으며, 전체를 한바퀴 도는 것은 약 4~50분 소요됨 3. 가을 단풍도 잔잔하게 즐길 수 있으며, 전구역에 Wi-fi 서비스가 됨 4. 공원내 2군데 카페가 있으며, 미술관( 소미미술관)도 있음... 입장료는 따로 없음  (2025.04월 Update) 1. 올림픽공원의 봄은 가을과 또다른 풍경 2. 특히 이른 아침의 낮은 햇살이 어울어진 여러 스팟의 광경은 환상적이기까지 함",별표 5개,수정일: 3달 전
권예슬,내일부터  3일동안   비내려서 올해 마지막 벗꽃보러옴  걷기좋음 유료입장료가  없다!!!좋네  ㅋㅋ 대신  그만큼   볼건없음,별표 4개,4달 전
moonduck,가까이 있어서 지친 일상에 휴식이 되는 곳입니다 정말 좋아요 ㅎㅎㅎ,별표 5개,4주 전
TAEWON KIM,산책하기 진짜 좋아요 어릴때부터 왔지만 지금도 참 크다라는 생각은 여전해요 잡생각있을때 생각없이 걷다보면 기분이 좋아지는 좋은 장소에요~,별표 5개,2달 전
나름의이유,송파구에서 아이와 산책하기도 좋고 날좋은날 안심하고 자전거타기에도  좋은 곳입니다. 주차장은 서울시민뿐만 아니라 경기도민도 경기똑D 도민카드의 다둥이 할인 50% 됩니다. 소마미술관 주차장방향에 주차하시고 돗자리를 가지고와서 그늘에자리차지하고 피크닉하기에도 좋습니다.,별표 5개,9달 전
lala Kim,살짝 흐린 주말 오후에 방문했더니 선선하고 걷기에 넘 좋았어요. 장미꽃도 제법 폈어요.,별표 5개,2달 전
신정명,몇 번 갔었는데 사진을 못 찾겠네. 찾아 봐야 사진을 제대로 담았을리도 없겠지만..ㅎㅎ 더울땐 밤에 나들이 가면 괜찮았던 기억도 있고.. 주차요금 너무 부담스러웠던 기억도 있고...;; 뭐 겸사 겸사 그랬음.;;;,별표 4개,3달 전
지둥이,집 근저라 생각보다 자주오는 편인데 산책하기도 좋고 자전거 타기도 좋아요! 따릉이 타고 한바퀴 돌아보세여 단돈 이천원의 행복^^♥ 근처에 소마미술관도 있어서 다방면으로 문화생활 하기 좋습니당 아래는 평화의 문 + 나홀로 나무 (방문일자 2024년 10월 31일),별표 5개,9달 전
BRIANNA “소피” Sopi,"몽촌토성길  둘레길 좋아요,재즈음악회가 열려서 , 공원안에 음악이 들려서 좋았어요#",별표 4개,수정일: 2달 전
토토로,생각없이 걷기 좋은 장소입니다. 공원이 커서 넉넉히 시간 잡아야해요. 저는 3~4시간 정도 걸린다 생각하고 걸어요. 지금같은 날씨에는 양산이나 모자 꼭 챙기시길요. 간단한 음료도 잘 정비하고 다니세요,별표 5개,1년 전
Sue Jeong Lee,원데이뚜벅챌런지 걷기하러 간만에 갔네요. 가보지못했던 나홀로 나무있는 잔디밭이랑 언덕 등 고즈넉하고 좋네요. 산책하다가 쉴만한 벤치가 많아서 좋아요 화장실 공연장 부근은 붐비지만 더 걸어서 산책로 피크닉존 부근은 한가한 편이에요. 오래되고 낡은 편이고 사람이 많아서 여성분들은 힘들 수 있어요. 반려견 동반 환경 강아지 운동시키는 분들 많아요 피크닉 구역 잔디밭 벤치부근 피크닉 할만한 곳 많아요. 카페는 없고 군데군데 자판기만 있더라구요. 작은 카페부스나 카페트럭같은거 있음 좋겠다 싶던데요~,별표 5개,1년 전
charly stein,공원 규모도 매우 넓고 돗자리깔고 피크닉  하기 좋네요  사람이 많은데도 워낙 넓어서 복잡하 않았네요. 산책하며 쉬기 좋아요.,별표 5개,9달 전
national_jiographic,"말 그대로 88올림픽을 준비하며 만든 기념공원이며, 이 올림픽과 더불어 개발도상국에서 중진국으로 올라갔고, 현재는 선진국 반열에 오르게 된 그 과정이 묻어있는 곳입니다. 과거 백제 초기의 수도가 이곳 근처에 있었습니다.",별표 5개,1년 전
김예진,아름다운 공원입니다. 밤에 방문하는 건 처음인데 롯데타워의 야경과 어울어져 멋진 풍경을 방문객들에게 선사합니다. 조용하고 평화로우며 도심과 가까워 안전한 공원입니다. 곳곳에 지도가 있어 처음 방문하는 사람들도 공원을 오롯이 즐길 수 있다고 생각합니다. 공원에 있는 유명한 장소들을 찾으며 스탬프를 찍는 것도 또한 즐거운 경험이 될 거라 확신합니다.,별표 5개,1년 전
Jungbai Park (Chungbae PARK),"👉일년 내내 행사와 공연이 끊이지 않는 올팍♡  🌐광활하고 아름다운 조경! 금요일~일요일마다 잔디광장, 체조경기장 & 호수수변무대 등 3~4곳에서 공연이 진행되는 K-문화의 중심👍…",별표 5개,수정일: 11달 전
Yongku Kim,"정말 서울 내 최고 명소 중 하나!!  전체 공원을 천천히 돌면 총 3시간 정도 걸린다고 하는데, 원하는 코스나 spot 중심으로 산책해도 좋음…  9가지 유명한 Spot을 다 방문하면 기념품을 주는 스탬프 투어 이벤트를 진행하는데, 아이들 있는 집에서는 참여 강추!!  - 평화의 문 - 엄지손가락 - 음악분수 - 대화 - 몽촌토성 산책로 - 나홀로 나무 - 88호수 - 들꽃마루 - 장미광장  공원관리사무소에서 종이로 스탬프를 주기도 하지만, 앱스토어에서 “올림픽공원 앱”을 다운 받는 걸 추천~ (기념품은 올림픽공원 관련 자석…. 냉장고 부착용)  개인적으론 몽촌토성 산책로, 들꽃마루, 조각공원은 꼭 방문하는 걸 추천함…  차를 가지고 오기 보다는 지하철로 방문이 편할 듯..",별표 4개,4년 전
ᄋ음파,그냥 넓고 큰 공원. 집 근처라면 자주 산책할듯 해요. 하지만 굳이 갈 이유는 딱히 없음. 아이돌콘서트를 많이 하는것 같더라구요. 넓어서 한바퀴 돌면 진짜 운동될 듯.,별표 5개,6달 전
하지영,"안녕하세요. 올림픽공원 쭉 한바퀴 돌았습니다. 역사박물관,미술관,흰 모래,숲의 다체로움 보고 느끼다. 걷고 후 따릉이 자전거 빌렸습니다. 언제나 힐링이 되는 이 곳! 강추",별표 5개,1년 전
Sanwo,"규모가 엄청나게 큰 공원입니다. 피크닉, 반려견과 산책, 운동, 사진 촬영 등등 전부 다 할 수 있습니다. 일몰 일 때 맞춰서 가면 언덕에서 인생샷 건지기 가능, 그 외 볼 것도 많고, 입구 쪽에 음식점과 투썸플레이스도 있습니다. 반려견 동반 환경 산책하기 너무 좋음. 피크닉 구역 공원 언덕에 앉아서 시원한 바람과 해질녘을 감상 가능",별표 5개,1년 전
배태천,사울에서 이만한 공원이 없다고 생각합니다.  도심한가운데 쉼터겸 편의시설을 잘갖추고 있고 공연장 운동시설을 있고 주변에 식사하기 좋은곳도 많습니다.,별표 5개,1년 전
Ji Hoon Lim,"한줄평: 서울에서 보기 힘든 대형 공원  장점 서울에서 보기 힘든 대형 공원이다. 뷰민라, 백예린 콘서트 같은 음악행사가 주최되기도 한다. 무료다. (주차는 무료 아님. 주차비는 단점) 잘 가꿔져 있다. (조금 인위적인 느낌이 나긴함) 여러 편의시설이 공원 내에 위치해있다. 대중교통으로 접근가능하다. 자전거 이용이 가능하다.  단점 주차비 실화냐? 사람이 많다… 특히 주말에 좀 더 자연스러운 느낌이었으면 더 좋았겠다.  감상평 서울숲, 북서울꿈의숲은 못 비비는 스케일의 대형 공원이 되겠습니다. 좋았어요. 대형견 데리고 산책, 러닝도 가능했구요. 다만 주차비 넘나 비싼것… 큰 만큼 이런저런 시설이 많았습니다. 그렇다보니까 공원이라기보다는 그린스페이스가 많은 유휴시설 느낌이 들기도 했습니다. 그래도 이런 공원이 집 주변에 있다면 큰 행운일 거 같군요.  재방문 의사 매우 있음! 화장실 깨끗. 한국 공중화장실 아시죠? 반려견 동반 환경 30키로짜리 대형견 데리고가도 눈치 그렇게 안봐도 될 정도로 공간 많음~ 뛰놀기 좋았슴다. 목줄 필수! 피크닉 구역 딱히 정해진 건 없지만 피크닉 하기 좋음!",별표 4개,2년 전
Kevin P,"추운겨울날씨 가운데 잔설가지 아직 토성위 덮고, 차가운 대기는 자연스레 시야를 맑게하는 아침,  X-mas! 넓은 공원길 위 점점이 모든것에 햇빛 쫘아~내리쬐니, 올림픽9경길따라 동서남북, 오르내림길을 쬐끄만 그림자 달고들 건강하게 나아간다. 때론 넘어지고.. 얼마나 귀여웠을까?!!",별표 5개,수정일: 2년 전
이정식,올림픽 공윈은 서울에서 보기 드문 훌륭한 공원이다,별표 5개,1달 전
Curio 0414,"서울에서 가장 큰 도심 공원입니다. 공원내 토성이 있어, 성 위를 거닐어볼 수 있습니다. 여유있게 산책을 하시거나 자전거를 타며 공원을 돌아보는 걸 추천드립니다. (봄과 가을에는 축제나 콘서트 등이 많이 열림.)",별표 5개,수정일: 10달 전
변상언,"사시사철 산책하기 좋은곳인데요. 평화의 광장, 몽촌호, 야생화학습장, 몽촌토성, 나홀로나무, 피크닉장, 송파둘레길, 성내천, 88호수, 들꽃마루, 장미광장, 위례성길.. 핑크뮬리, 황화코스모스 모두 다 좋습니다.",별표 5개,수정일: 2년 전
나윤채,역사적으로도 큰 의미가 있는 올림픽공원은 시민들에게 너무나 소중한 공간입니다. 산책로와 다양한 편의시설은  잘 관리되고 있으며 오늘도 수 많은 시민들이 찾는 곳입니다,별표 5개,2년 전
Flynn,평일 낮에 갔는데도 날씨가 좋아서인지 사람이 많았다. 공원 가운데에서는 유적 발굴이 진행중이라 들어갈 수 없었다. 두시간 반정도 둘러보았다.,별표 5개,2년 전
YeauNam Kim,도심 내 유산소 운동 하고 건강한 몸 관리 하고 자연과함께 할수있게 배려해준 88 올림픽공원  입니다 ㆍ,별표 5개,1년 전
최현정,정말 좋은 곳입니다. 서울에 이런 곳이 있었다니 입을 다물지 못할정도였어요. 공원을 떼어다 으리 동네에 가져다 놓았으면 했어요.아이들이 뛰어놀기도 좋고 산책하기도 좋고 곳곳에 구경할 꺼리도 있어서 아침부터 밤까지 충분히 즐길 수 있는 곳이었어요. 저는 딸아이의 콘서트 구경 때문에 갔는데 아이가 없었던 4시부터 10시까지 혼자 여기저기 구경다니며 행복했습니다. 다시 가보고 싶은 곳이예요.,별표 5개,5년 전
SungKun Lee,"1988년 제24회 올림픽을 한국에서 개최하였다. 성공적인 개최를 기억한다. 개회식을 본다고 잠실 근처로 버스를 타고 가서 폭죽이 오르는 것을 보았다. 본 경기는 볼 수 없었지만, 장애인 올림픽 수영경기를 직접 보았다. 다른 장애자들은 수영을 마치고 나갔는데, 팔이 하나인 선수는 한참 동안 수영을 하여 결승선을 터치하였다. 모든 참관자들이 한소리로 함성을 지르고 박수로 격려하는 모습에 나는 크게 감동을 받았다. 놀이터 눈썰매장을 만들고 있었습니다. 기대가 됩니다. 화장실 깨끗하게 유지하고 있습니다. 피크닉 구역 연못의 물을 겨울이라 빼놓았고, 만국기는 바람에 힘차게 펄럭이었습니다.",별표 5개,8달 전
박정식,도심 속 이만한 공원이 어딨겠어요...사시사철 다른 모습과 편안한 공간이죠... 코로나때 직원분들 감염돼서 통제되었을 때 빼고는 늘 휴식처로 최고입니다,별표 4개,1년 전
miwave,"- 2022년 4월 현재, 코로나로 인하여 폐쇄했던 놀이터는 다 개방되어 있음. 사람들 상당히 많음. - 2020년 5월 현재, 코로나로 인하여 애들 놀이터 및 상당수가 띠로 막혀져 있음. - 사계절 모두 풍경도 뛰어나고 야외에서 콘서트도 자주 열려서 좋은곳입니다.",별표 5개,수정일: 1년 전
Samuel Han,비가 조금 내려서 그런지 산책 나온 분이 많지 않네요.  온전히 공원을 느낄 수 있어 좋아요.,별표 5개,1년 전
시가 아름다운 우리 가곡-Shine,"넓고 쾌적하여 도심의 오아시스같은 공원. 걷다보면 여기 저기 보이는 야외예술품들도 녹색과 함께 감성을 자극한다. 도심의 공원이라고는 믿기지않는 오솔길과 언덕길, 그리고 호수. 서울에 오는 분들 모두에게 강추. 한가지 아쉬운 점은 근처에 식사할 곳이 그다지 많지않고 그나마 있는 몇 곳은 브레이크타임으로 인해 시간놓치면 점심먹기 힘들다.",별표 5개,5년 전
이인수 (스포츠지도자),"올림픽공원은 바로 앞 아파트에 부모님이 거주하셔서 자주 들리는 곳입니다. 저 역시 송파구에 살고, 자전거로 5분 이내 접근이 가능한 곳에 있어서 더더욱 운동삼아 들리기도 합니다. 사계절 많은 사람들이 찾고 있는데,  운동, 산책, 식물탐사, 공연관람, 수영,테니스 등등 여가 선용에도 도움이 됩니다.",별표 5개,2년 전
Raymond Park,서울의 좋은 자리에 이만한 규모와 퀄리티를 갖춘 공원을 찾아보기 어렵다고 생각됩니다. 근교 외각으로 나온것같은 여유와 휴식을 주네요. 연인들의 데이트 장소로도 딱이네요!,별표 5개,5년 전
