작성자,내용,별점,작성일
The Fantasy,"간단히 한 바퀴 돌거나 산책하면 좋은 곳이다. 넓고 쾌적한, 도심 한가운데 있는 공원이다. 오목공원보다는 크고 양천공원보다는 작다. 운동도 할 수 있게 운동기구도 설치되어 있고 놀이터도 있고 좋은 공원 같다.",별표 5개,2달 전
낄낄빠빠,첫째 아이의 학원이 근방에 있어서 둘째와 자주 가는데 관리도 잘되있고 아이와 할게 많다 그물망도 있고 넓은 공터가 있어서 자전거나 공놀이도 할수있다 여름에는 물놀이까지 할수있고 더우면 들어가서 쉬면서 무료로 보드게임까지 할수있는 곳도 있다 도서관도 있어서 하루종일 놀수있는 곳~~!!,별표 5개,1년 전
Lisa J,산책하기 좋고 살롱에서 장기까지 하면 굿 !,별표 5개,5달 전
요즈,이번에 다시 리모델링해서 재개장 했습니다 파리공원은 물놀이 시간 때 방문하면 가족들끼리 물놀이 할수 있습다 중앙광장에 도서관과 화장실 파리공원을 설명하며 문화 교육을 할 수 있는 실내 휴게공간등을 잘 갖추고 있는 공원입니다 공간공간이 잘 설계되어 보는 눈이 즐거우며 산책하기 깔끔한 공원입니다,별표 5개,3년 전
Productive Minho,"# 어쩌다 들를 만한 장소  나들이로 들를 만한 곳은 아니고 한번 쯤 산책해볼 만한 공원이에요. 한국 - 프랑스 수교 100주년 친선 목적으로 조성한 곳이라, 에펠탑 조형물과 화단 등 현지를 일부 수용한 시설이 보입니다. 조명이 잘 돼있어 밤에 봐도 예쁩니다. 전에는 개선문도 있었다고 하는데 2022년 공원이 리뉴얼되면서 없어진 건 아쉽습니다 ㅠ  중앙에는 아늑하게 쉴 수 있는 책 쉼터가 있는데, 컨셉에 충실하게도 프랑스 영화가 틀어져 있었어요. 입구 쪽엔 ‘살롱 드 파리’라는 어르신들이 시간을 보낼만한 센터도 있습니다. 여름에는 아이들이 물놀이를 할 수 있게 호수처럼 물이 고이는 바닥 분수를 운영해요! 그밖에 다양한 운동기구들도 보이네요.  시민 권리에 오랜 역사가 있는 프랑스를 기념하는 공원인 만큼, 여러모로 시민에게 다가가는 듯한 구성이 돋보이는 공원이었어요.",별표 3개,1년 전
미르타임즈,리뉴얼 후 모던한 분위기로 탈바꿈하였습니다. 벤치와 파라솔 테이블 등 편의 시설들도 추가되고 야간에도 조명 시설 변경으로 인해 기존의 어두운 사각지대를 많이 줄였습니다.,별표 4개,2년 전
환환,Paris park. 파리공원.  새롭게 조성된 파리공원. 파리공원은 프랑스 파리와 수교를 기념하며 만들어진 공원이다.(프랑스에도 서울 공원이 있다고 한다.) 파리공원 양쪽으로 한 쪽은 절이 그 반대편에는 성당이 있다. 기묘하다. 여름에 멀리는 못 가더라도 여기서 물놀이를 구경해도 좋다. 여름 날 분수쇼는 오후 2시반에 시작한다.  (Ps. 자전거 타고 지나가는 아이들을 조심하자.)  재방문 의사) 있음.  2022.07.14 - 방문,별표 4개,2년 전
최명옥,여름에 특히 조아요. 분수가 형형색색 춤춰요. 리뉴얼되어 운동기구가 최신형으로 운동하기 좋아요. 청소년 농구장과 탁구대등 .,별표 5개,수정일: 3년 전
seongho lee,잘 정비가 되어 아이들이 뛰어 놀기 좋아요 파리 올림픽을 기념하여 파리공원에 놀러가는것도 재미 있습니다,별표 5개,1년 전
SEUNG JOON LEE,"서울시 양천구 목동에 있는 파리공원입니다. 오래된 공원이라 수목이 울창하고 소나무들도 멋지지만 관리가 너무 소홀한곳입니다. 한국과 프랑스의 수교 100주년을 기념하여 1987년 7월 1일 문을 연 공원이다. 총면적 29,618㎡이다. 한국과 프랑스는 1886년에 수교했는데, 1986년 파리에 서울광장을 세우고 서울에는 파리광장을 세우기로 함에 따라 목동 신시가지 제2근린공원을 개조하여 만들었다. 주요 시설로는 서울광장과 파리광장·한불마당·야외무대광장·연못·분수대 등이 있다. 또 농구대와·철봉·역기 등 체육시설과 산책로도 갖추어져 있다. 이 중 서울광장은 삼태극무늬로 꾸미고 파리광장에는 프랑스식 화단을 조성하는 등 양국의 전통양식을 조화롭게 반영했다. 야외무대광장에서는 인근 주민들을 위한 공연이 펼쳐지며 야외결혼식도 열린다. 인근에 양천도서관이 있고, 공원 근처에 노변 주차장을 갖추고 있다. 참고로 프랑스 파리에는 코로니 아파트단지 내에 서울광장이 들어서 있다.",별표 4개,4년 전
이남희,멋져브러~ 한국과 프랑스는 사이가 좋은 혈맹관계이다. 감사한 일이다. 하지만 프랑스의 타국에 대한 식민지 역사는 기억해야 한다. 그래도 영국보다는 나았을 듯...,별표 5개,1년 전
유혜령99,지난봄 파리공원 산책로에서 밤에 성당의 모습은 최고예요 사계절이 모두 아름다운 역시 오랜시간 조성된 공원이라 으뜸입니다,별표 5개,4년 전
김영섭,"도심속 작은 공원, 파리공원 양천구 목동에는 우리나라와 프랑스 수교 100주년을 기념하여 만든 파리공원이 있습니다.  29,618㎡로 공원 크기는 크지 않지만, 목동 아파트 단지 사이에 있어 시민들의 휴식처로 사랑받고 있는 공원입니다.",별표 4개,2년 전
KYOUNGTAE MIN,"파리공원은 목동 2단지, 목동 3단지, 목동 5단지와 접하고 있으며 주변에 학원가와 도서관까지 있어서 그런지 산책하는 주민들도 많고 학생들도 많은 편이에요 파리공원 주변으로 산책로가 잘 조성되어 있어서 개를 산책시키는 주민들도 심심찮게 볼 수 있어요 파리공원 노상공영주차장은 평일 19시 이후, 토요일 15시 이후에는 무료이며, 공휴일과 일요일에는 무료로 개방되요 또한 파리공원에는 운동기구도 많고 바닥분수도 있어서 가족단위로 운동과 산책을 즐기기에 좋은 것 같아요",별표 3개,2년 전
커노(kerno),"리뉴얼 후 운동하기 더욱 좋아졌고 깔끔하니 좋습니다, 일주일에 3번 이상 방문하고 있어요",별표 5개,1년 전
Bart Chang,"주차공간은 없지만, 아파트숲에 작은 공원이 있어 좋습니다.  에펠탑이 잘 세워져 있습니다.",별표 5개,2년 전
행복한 남자,가을 단풍이 하늘을 친구 삼았네요. 분수에서는 물을 뿜으며 여름을 아쉬워  하지만 또하나의  계절  앞에서 예쁜 춤으로 내년을 기다리며 숨어버립니다. 아이들과 카메라를 찍는 아가씨가 오늘따라 정감있게 다가옵니다. 내나이 어느 틈인가 소녀를 기다리며 가슴으로 품어내던 옛 추억이 생각납니다. 파리공원 사곁에 30년전 추억이 있슴은 오늘의 아련함으로 다가옵니다. 가을. 그 문턱에 공원은 나의 사랑의 놀이터 였네요. 그 소녀는 빈 자리만  남겼어도 소중한 추억을 간직한 내가 그저 행복합니다.,별표 5개,6년 전
DH,깔끔하고 시설이 잘 정돈되어있음. 탁 틔여있어서 산책하기 좋다.,별표 5개,2년 전
Jeoni,새로이  정비된 모습이 너무 보기 좋네요 우선 앉을 수 있는 다양한 공간이 너무 인상적 입니다,별표 5개,2년 전
Kim Romeo,"오랜만에 찾은 공원. 새로 공사를 해서 많은 것들리 생겼습니다. 그런데 뭔가 어수선해진 느낌. 운동 기구며 테이블이며, 아이들 놀이터, 탁구대, 분수대 등 편의 시설을 많은것은 좋은데, 사람이 넘 많고, 테이블에서 술을 먹는 사람도 있고, 이래저래 뭔가가 아쉬운 느낌이 드네여. ㅜㅜ 2023년 06월 06일 : 요즘 분수도 나오고 해서 막내랑 다시 찾은 파리 공원. 분수때문에 아이들이 많네여",별표 4개,수정일: 2년 전
jeongtae lee,아이들 어렸을 때 바닥분수에서 즐겁게 놀던 기억이. 리뉴얼 후 공원이 조금 더 세련되고 모던해졌다.,별표 4개,3년 전
Krakatoa XC,리모델링 했다는데 그다지 안 바뀜.. 누가 중간에 슈킹한 느낌.. 5월현재 아직도 공사중..  길막고 포크레인이 지나가며 공사 중인데 오픈은 왜 한거냐,별표 3개,수정일: 3년 전
온즈코코,"외부활동과 실내활동이 적절히 이루어질 수 있는 여건이 갖추어진 곳이 드문데, 화장실에 인접한 실내공간에 도서방이 있어 잠시 쉬며  독서도 할수 있어요.  다양한 행사들이 열려 문화적인 측면에서도 풍부한 활동이 재공되는 공간입니다. 유료이긴 하지만 인근에 주차 가능 공간이 있고, 지자체 이용 주차구역의 경우 비용도 부담없내요.",별표 5개,5년 전
Hyun-jae Park,최근에 리뉴얼을 한걸로 아는데 많이 새로워 졌네요. 오늘 비가 와서 그런지 사람이 많지 않습니다.,별표 5개,수정일: 3년 전
Seoul Fisherman서울어부,"바닥분수가 참 인상적인 공원입니다. 관리도 아주 잘 되어 있구요.  한국과 프랑스의 수교 100주년을 기념하여 1987년 7월 1일 문을 연 공원이다. 총면적 29,618㎡이다. 한국과 프랑스는 1886년에 수교했는데, 1986년 프랑스 파리에 서울광장을 세우고 대한민국 서울에는 파리광장을 세우기로 함에 따라 목동 신시가지 제2근린공원을 개조하여 만들었다.  주요 시설로는 서울광장과 파리광장· 한불마당· 야외무대광장· 연못· 분수대 등이 있다. 또 농구대와 게이트볼장·철봉·역기 등 체육시설도 갖추어져 있다. 서울광장은 삼태극무늬로 꾸미고 파리광장에는 프랑스식 화단을 조성하는 등, 양국의 전통 양식을 조화롭게 반영했다. 인근에 양천도서관이 있고, 공원 근처에 노변 주차장을 갖추고 있다.  참고로 프랑스 파리에는 코로니 아파트단지 내에 서울광장이 들어서 있다. 파리공원은 반년 정도 공사하고, 2022년 4월 23일에 재개장을 하고 개장식을 열었다.여러가지 행사도 하였다. 분수대의 형태가 바닥형 분수로 바뀌고 들어가서 놀 수 있게 되었다. 바닥도 다 갈아엎고 야외 운동시설도 새로 바꿨다. 농구장이 2개로 늘어났으며 에펠탑의 위치도 바뀌고 훨씬 커졌다. 파리공원을 소개하는 새로운 건물도 생겼다. 작은 도서관도 바뀌었다.",별표 5개,3년 전
김현정,산책하기 좋고 아이와 같이 놀기 좋아요,별표 5개,수정일: 8달 전
Ho young lee,한불수교 기념 명명된 파리공원 커뮤니티센터에서 보드게임과 책보기도 가능합니다 주차가 불편해요 걸어가거나 대중교통 이용하심 좋습니다.,별표 4개,4달 전
앤디_Andy,목동 파리공원 책쉼터 파리공원내에 있는 책쉼터는 뛰놀던 아이들이 책을 읽으며 쉴수 있는 좋은 공간이에요.,별표 4개,2년 전
Dongjoo Lee,더운 계절에 아이들 물놀이 장소로 매우 좋네요 리모델링이 매우 성공적이네요 물놀이 계절이 아닐때도 활용도가 높으면 더.좋을 것 같습니다,별표 4개,수정일: 3년 전
David S,새롭게 단장해서 깔끔합니다.. 아직 그늘은 충분하지 않지만 분수도 운영해주고 좋네요,별표 5개,3년 전
Sangwoong Joh,"목동 주민들의 문화와 생활이 공유되는 공원으로 프랑스 수교 100주년을 기념해서 건립되어 에펠탑과 개선문이 축소모형으로 전시되어 있다. 공원 전체를 두르는 산책길과 원형공연장, 연못, 농구장, 운동시설 등이 잘 갖춰져있어 가벼운 산책이나 배드민턴 같은 운동을 즐기기에도 좋고 개들을 데리고 산책하는 주민들도 많다.",별표 5개,수정일: 3년 전
박인아,나무와 그늘이 있어서 점심시간에 여유롭게 산책했어요~,별표 4개,4년 전
최콩깜앗또,"산책하기좋은곳.운동하기 좋은곳 (다양한운동기구,농구대 있음) 봄벚꽃,여름분수,가을단풍,겨울...도 이쁜 공원.아이들 강아지들 모두 놀기 좋음. 공원주변 공영주차장 이용가능. 밤에도 운동하는사람 많음.",별표 5개,수정일: 6년 전
SEO DJ,정말 잘 리뉴얼 한듯.. 인기만점에 미어터짐 5월이 이정도인데 여름되면 ㅎㅎ 건너편 아파트분들 밤늦게까지 주무시길 힘드실듯.ㅡㅡ;,별표 5개,수정일: 3년 전
김수진,동네공원이라 접근성도 좋고 깨끗하며.가까이 카페도 많아서 자주가요,별표 5개,1년 전
Aiden Kim,최근 전체적으로 리모델링해서 아주 좋아졌어요. 편히 앉아서 즐길 공간도 많아졌습니다.,별표 4개,수정일: 3년 전
조팔색,럭셔리하게 새단장 했습니다. 어린이 청소년 가족나들이 하기에 좋은 곳입니다.,별표 5개,3년 전
인공지능,산책하거나 쉬기에 좋았습니다,별표 5개,11달 전
Jeizin Lee,겨울에는 빛축제도 하고 계절마다 꽃축제도 있어요.,별표 3개,1년 전
김건수,아기자기한  파리공원입니다. 시민의휴식처  아이들함게  걸어요.,별표 4개,5년 전
박영자,11월이 되니 가을이 한층 더 깊어졌어요~ 낙엽도 많이 떨어지고..,별표 5개,수정일: 2년 전
장성주,밤12시쯤도착현대월드타워앞도착문제는그앞에서많은분들이담배피우고있고.학원이많아서인지아버지들이차타고많이들기다리고계시네여..공공장소에서애정행각도보이고그냥썩좋지만은안아요..학원다니시는분들아범니들생각해서좋은성적거두세요..화이팅입니다,별표 1개,4년 전
Ej Lee,산책하기 너무 좋고 시설관리 굿,별표 5개,1년 전
알파카,2024년 10월 5일 재즈 공연이 있네요~~!^^,별표 4개,10달 전
이미애,애가너무좋아하고 물도시원하고넓고좋아요,별표 5개,3년 전
RIDERMIN,좋은곳. 더 넓다면 더 좋았을텐데 아쉬움뿐,별표 4개,2년 전
popo 최 (popo),분수쇼에 아이랑 가서 놀기 좋아요 아쉬운점은 분수쇼 하는 곳에 킥보드 자건거 들어오지 말라고 되어있는데 막 들어오고 아이 부모들이 지도를 안하는게 아쉽네요,별표 3개,3년 전
장인석,깨끗하게 잘정돈되어 있고 공영주차장도있고 쉬기좋은 그늘이 있고 북카페가 있어 어린아이들과 와서 쉬기좋은곳,별표 5개,5년 전
JEONG ILHWAN (마커스),운동과 휴식하기 좋은 곳,별표 5개,수정일: 2년 전
재채기,별하나뺀건 주차하기가 어렵다!! 그외에는 너무너무너무좋아요 여름엔 물놀이도 할수있게 개장합니다^^,별표 4개,3년 전
최영일,수영장인줄 알았는데 '분수대에 들어가지 마세요' 라고 써있네요,별표 5개,6년 전
힘찬해피강사,하늘색도 예술 단풍도 예술 행복한 파리공원입니다^^~♡,별표 5개,4년 전
박종수,다양하게 편하게 즐겁게 쉴 수 있는 공원입니다.,별표 4개,3년 전
김철우,산책로도 잘 되어있어 산책하기 좋아요,별표 4개,8년 전
허종구,어린아이와 함께 휴식과 간단한 운동을 즐기기에 좋은 장소. 요즘 중앙 무대를 리모델링하는 공사가 진행되고 있음,별표 3개,6년 전
J.I. Son,파리공원 음악분수나 바닥분수도 보기좋고 공원 둘레를걷거나 산책길 걷기 좋습니다 나무가우거져 그늘이 많아 낮에 걸어도 좋아요 농구대 아이들 놀이공간 앉을수있는 벤치 테이블이 많아 쉼터로 좋아요 운동기구있어 남녀노소 즐기기 좋습니다 화장실 화장실 깨끗하고 이용하기 편리합니다 반려견 동반 환경 반려견 산책하기 좋아요,별표 5개,1년 전
Woohyuk Shim,아이들 놀기 좋고 분수시간대가 아니더라도 물이 고여있어 더좋음,별표 4개,3년 전
