작성자,내용,별점,작성일
홍모니카,선유공원 한강중 가장 아름다운거 같아요,별표 4개,2달 전
유레카,"양화한강공원은 서울특별시 영등포구 노들로 221 (당산동 98-1번지)에 위치한 공원 및 스포츠 시설입니다. 1 주경기장 시설은 토사 필드가 갖춰진 경기장이며, 1988년에 준공되었습니다. 양화한강공원은 여의도 샛강 하구에서 강서구 가양대교까지로 한강남단에 위치하고 있으며, 둔치에 넓게 조성된 잔디밭에서 바라보는 탁 트인 전망이 다른 곳에서 쉽게 보기 힘든 풍광을 제공합니다.",별표 4개,수정일: 9달 전
아스라이,■ 서울 수변공원중 으뜸  ㆍ 아마도 내가 아는한 서울의 수변공원중에서는 양화한강공원이 필드뷰와…,별표 5개,2년 전
반창민,"사람이 많은 여의도보다 벚꽃을 구경하기에 더 좋은 것 같습니다 국회의사당 쪽으로 가면, 벚꽃 사진을 찍기 좋은 장소가 있습니다. 차량은 통제되니 택시나 대중교통을 타고 가시면 좋을 것 같습니다.",별표 5개,1년 전
Origin,"선유도와 근접해서  좋음. 선유도를 가지 않아도 공원 폭이 넓고 잔디가 잘 깔려있어서 피크닉하기 좋음. 중간중간 편의점도 있고 공중 화장실도 있으며 양화대교 아래에는 운동기구들이 있어서 유용함. 축구골대와 농구 골대도 있어서 운동하기도 정말 좋음. 양화대교를 통해서 선유도로 갈 수도 있음. 2, 9호선 당산역과 9호선 선유도역이 근접해 접근성도 좋음.주차공간도 몇군데 있고 주차면수도 많음. 봄 여름 가을 데이트나 피크닉 장소로 아주 좋은듯.",별표 5개,1년 전
Eunhwa Ryu,걷기 운동하기 좋아요. 가던 곳이라 편해요.,별표 5개,5달 전
gee Lee,저녁먹기전 산책 다녀왔는데 예전에 비해 많이 가꿔지고 쉴곳이 많이 생겼네요.주차도 편리해서 자주 갔었는데 차 말고 걸어서 다녀야겠습니다.,별표 5개,1년 전
웁스당근,아이들놀이터가있어서밤에산책하기좋았어요~벌레들있는시기이니뿌리는모기약같은걸챙기면더좋을듯.. 자전거를태우려했으나8시까지밖에대여안해준다고해서이용못한게아쉬움,별표 5개,4년 전
변상언,선유도공원 가는길에 잠시 들어가 보았고 장미단지에 피어난 아름다운 장미🌹꽃들과 함께 주변에는 다양한 동물 모형의 조형물도 있어서 가족나들이도 좋을 것 같습니다.…,별표 5개,3년 전
올때소고기,24.04.17 현재 양화한강공원 상태. 홀씨가 눈처럼 날림. 매우매우... 최고기온 23도래서 가볍게 입고 나갔는데 그늘에선 선선~쌀쌀했고 햇빛도 구름이 가리니까 안따뜻... 오늘 나들이는 날을 잘못 잡은 걸로. 까치가 식빵꼬다리 물고가는거 보고가세용,별표 4개,1년 전
SeungHoon Lee,산책하면서 강가에서 조용히 멍때리기도 좋고 편의점도 가까워 편리하다.,별표 4개,1주 전
KYUNGHO KIM,선유도에 과거 정수처리장을 공원으로 만든  멋진곳입니다. 사시사철 느낌이 저마다 다른 한강 휴식공간이죠,별표 5개,4년 전
이윤배 TV,삼겹살 먹고 한강공원 산책중.. 사람 많타..,별표 5개,3달 전
Jaebong Jang,사람이 붐비지않아좋습니다 주차장과 편의점 그리고 자전거 대여점이 시설의 전부인지라 한적한가 봅니다 자전거 타러 오기엔 아주 적합한곳입니다,별표 4개,6년 전
donhee yoon,관리가 잘 되고 있네요.. 강쪽으로 가면 시멘트로 둑이 있는게 보통인데 이쪽은 강물쪽으로 바로 가 볼 수 있어요 좋아요. 주변 공원도 넓찍하구요.   양화대교우에 까페가 있는데 문을 닫은지 오래되어 주변이 보기가 좋질 않네요. 새로 개점하기 어려우면 정리라도 깨끗히 해 놓았으면 좋겠습니다.,별표 4개,6년 전
Eun Yu,밤산책하기 좋았어요 다들 돗자리 깔고 밤바람을 즐기네요 강아지들도 많이 보이고요 하지만 곧 벌레가 창궐할 듯 합니다,별표 5개,1년 전
Stone White,양화한강공원에서 선유교를 건너 선유도의 가을을 살피다,별표 5개,10달 전
남진경,나무 그늘과 잔디가 조화롭게 잘 조성되어 있습니다  여름엔 수영장도 있고…,별표 5개,5년 전
장유나,선유도공원 처음가본 오늘!!! 선유교로 넘어가서 만난 자연속 쉼터 >_<! 어쩜 이렇게 잘되어 있는지 외국에 유명한 공원들에 온듯했어요+.+ 한강공원의 매력을 완전 느낄수있는 휴식을위한 최고의 장소에요~,별표 5개,5년 전
Jason Park,선유도까지 다녀올 수 있네요.,별표 5개,4달 전
최윤석,평일 낮에 조용하고 화장실도 깨끗하고 좋았습니다 편의점이 있어서 더 편리했어요,별표 5개,2년 전
P J,한강공원 중 한적하고 평화로운 스팟 단 강북에서 보는 뷰를 좋아하는데(노을때문) 그게 아니라 별한개 깎음,별표 4개,4년 전
Byoung Ho Kim,자전거 타기 좋아요.,별표 5개,10달 전
Ds1scp Kim,자전거도로및 공원시설이  잘 되어 있는곳.,별표 5개,4년 전
Jonathan Lee,한강공원 중 가잘 배스가 잘 잡히는 곳. 그리고 아이들데리고 산책나오기 가장 좋은 환경.,별표 5개,2년 전
Aileen Choi,풍경좋고 노을 좋고 넓고 좋지만 벤치나 도보길(성산대교쪽)이 잘 되어있지않아 아쉬웠어요,별표 4개,4년 전
Himummu Y,장미공원? 터널? 을 기대하는 마음으로 방문했는데 생각보다 자그마하네여 ㅎㅎㅎㅎ 많은 분들이 사진찍기 위해 줄을 서계셨구…,별표 5개,3년 전
