작성자,내용,별점,작성일
Angi S,여의도공원 산책하기 너무 좋네요. 연휴에도 생각보다 사람이 엄청 많지 않아서 여유롭고 좋았어요. 즐길거리가 예전에 비해 더 생겼네요.,별표 5개,2달 전
ᄎ기적의 사나이,서울 서남부의 허파같은 곳이다. 봄의 벚꽃부터 지금의 수국까지 계절마다 피는 꽃을 보는 맛이 있다.,별표 5개,1달 전
201,숲속 산책의 한가로움과 기구 체험의 즐거움을 동시에 느낄 수 있도록 하는 공간이 여의도 한가운데 있는 게 고맙다.,별표 5개,2달 전
마지마타,"여의도에서 자연을 만끽할 수 있는 공간. 공원이 굉장히 긴데도 잘 갖춰진 시설과 다양한 볼거리들이 있다. 피크닉을 즐길 공간도 있고 행사가 진행되는 넓은 광장도 있으며 길이 여러 갈래로 나뉘어 있어 런닝, 자전거를 즐기기에도 좋은 공원. 곳곳에 카페부터 화장실까지 여러 시설들도 마련되어 있어 공원을 이용하는데 불편함이 없다. 바로 옆에 IFC몰, 더현대서울이 있고 한강쪽으로는 여의도 물빛광장이 있어 주말이면 찾는 사람이 많은 공원.",별표 5개,10달 전
SEUNG JOON LEE,"서울특별시 영등포구 여의도동에 위치한 공원.  개설 시민공원으로 자연생태의 숲, 문화의 마당, 잔디마당, 한국 전통의 숲으로 구분되어 있다. 면적 약 22만 9,539㎡(약 7만평).  1968년에 시작된 여의도 개발계획에 따라 여의도 주변에 둑이 축조된 후 1972년에 광장이 조성되었다. 1997년부터 여의도광장의 공원화사업을 추진하여 1999년 1월에 여의도공원으로 개장하였다. 공원 안에는 자연생태의 숲, 문화의 마당, 잔디마당,한국 전통의 숲 등 4개의 공간으로 이루어졌다. 섬의 중앙을 남북으로 종단하여 마포구와 영등포구를 연결하는 도로축이 형성되었다.  명칭 유래 조성 당시에는 5 · 16광장이라고 불렸다가, 뒤이어 여의도광장이라 고쳐 부르게 되었으며 1998년 공원으로 조성하면서 여의도공원으로 불리게 되었다. 국군의 날에는 이곳에서 육군 · 해군 · 공군의 최신무기가 선보이며 행진하는 행사가 있으며, 각종 종교집회나 정치적 집회와 강연회 등이 열리기도 한다.  형성 및 변천 한강 하류의 하중도(河中島)로 홍수에도 침수되지 않는 두 개의 섬이 밤섬(栗島)과 여의섬(汝矣島)이었다. 『신증동국여지승람(新增東國輿地勝覽)』에 의하면 밤섬에 관하여 “뽕나무를 심고 누에를 친다”는 기록은 남아 있지만, 여의섬에 관한 기록은 전해지는 것이 없다.  조선시대에 밤섬은 행정구역상 한성부에 속하여 서강방(西江坊) 율도계(栗島契)였는데, 여의섬은 금천현(衿川縣) 하북면(河北面)에 속해 있었기 때문이다. 1914년 행정구역 개편에 따라 여의섬은 고양군 용강면 여율리(汝栗里)가 되고, 뒤이어 1936년 경성부는 행정구역 확장을 위해 경성부로 편입시켰다. 1920년 대에 이곳은 활주로 시설만을 갖춘 초기 비행장이 건설되었다. 해방 후에는 한국공군의 발상지가 되면서 공군본부가 여의도기지에 자리잡게 된다.  본격적인 여의도 개발은 1966년 대규모의 수해로 인한 여의윤중제 건설과 김수근의 도시 선형계획(線形計劃)과 함께 착수되었다. 1970년대 이후에 들어서 윤중제(輪中堤) 안을 매립하여 국회의사당과 아파트건설, 5 · 16광장과 공원이 들어서면서 제2의 도심(都心)으로 변화하게 되었다.  현황 공원에 인접한 한강 둔치의 체육 · 오락 · 휴식 시설이 함께 갖추어져 있는 까닭에 서울시내 유수의 청소년 모임의 장이 된다. 공원 주변에는 KBS · 동아일보사 · LG사옥 등의 방송과 증권업무의 특화된 건물들이 모여 있으며, 여의도의 한강유람선이 발착하는 노들나루, 63빌딩 등과 더불어 서울의 관광명소의 한 곳으로 정착해 가고 있다.  1984년 5월 6일 교황 요한 바오로 2세가 이곳에서 김대건 신부를 비롯한 한국인 순교자 103위를 시성하기도 하였다.  자연생태의 숲, 문화의 마당, 잔디마당, 한국 전통의 숲 등 4개의 테마로 구성되어 소나무 등 121종을 이식하였으며, 주변에는 폭 4∼6m와 2.4㎞의 자전거도로, 폭 2m와 3.9㎞의 산책로가 조성되어 시민의 휴식공간과 문화행사의 공간으로 이용되고 있다 [한국민족문화대백과]",별표 5개,5달 전
구기모,"빌딩 숲과 정신없는 도시의 공간에 이런 공원이 있다는 것만으로도 행복한 일입니다. 아주 크지는 않지만 적당하게 산책할 수 있고, 특히 근처 식당에서 점심 식사 후 짧게 들릴 수 있어서 참 좋네요.",별표 5개,11달 전
먹죽귀,영등포구에 위치한 여의도 공원 다녀왔습니다  현재 여의도 공원 내 서울달 이라는 헬륨기구가 운영되고 있었고 월요일을 제외한 요일에 탈 수 있어요  가격은 성인 2.5만원으로 다소 비싼 편 이지만 가을이나 여름에 탄다면 단풍과 숲을 구경 할 수 있어요  특히 야경을 감상하려고 저녁시간에 많이 타시는데 130m 상공까지 올라간 서울달에서 바라 보는 야경이 굉장히 예쁠거 같아요  날이 추운대도 런닝을 즐기는 분들이 많았고 시국이 시국인지라 각종 집회와 행사가 많아 복잡했습니다,별표 5개,7달 전
Se Kweon Roh,"'비행장에서 도심속 쉼터로' 넓은 건 좋은데, 가진 잠재력을 충분히 활용하지 못하고 낭비하는 것 같아 아쉬움이 남는 곳.  먼저, 공간이 넓은데 그냥 방치된 것 같다. 공간은 음악과 비슷하게, 단조롭거나 단일한 것은 긴장을 불러오지 못해서 어떤 감흥을 주기 어렵다.  따라서 기본적으로 공간이 나뉜 곳은 합침으로서, 기본적으로 공간이 트인 곳은 나눔으로써 공간에 리듬감을 주어 사용자에게 감동을 줄 수 있는 기본 조건을 갖춘다.  그 다음 각 공간에 개념을 부여하여 공간에서 행위를 자아냄으로써 사람과 공간이 어우러지면서 공간이 자기역할을 다 하게끔 한다.  게다가 그렇게 쓸모있게 된 공간이 더 효과적으로 기능발휘 할 수 있도록 마감재 등 각종 장치가 더해졌을 때, 우리는 비로소 좋은 공간을 만나게 된다.  그런데 여의도 공원은 기본적으로 공간이 아주 넓은데 적절히 나뉘어 있지 않아서 공간에 리듬감이 없다.  그렇게 공간이 통으로 덩그러니 놓이다 보니 여러 행위가 생기다가도 연속성과 다양성을 갖춘다기보단 애매하게 겉도는데 그친다.  게다가 공간이 나뉘지 못하여 그저 회색빛 아스팔트로 마감되고 말았다. 공간을 잘 나누고, 개념을 부여하고, 마감을 그에 맞게 바꾸면 훨씬 좋은 공간이 될 것 같다.  기본적으로 넓은 공간을 서울 한복판에서 구하긴 어렵다는 점에서, 조금만 손보면 정체성 짙은 희소한 공간이 될 수도 있을 것이다.",별표 4개,수정일: 6달 전
YJ K,산책하고 운동하기 좋은곳.,별표 5개,2달 전
David Kim,"뉴발란스 런유어웨이 참가했는데, 대회준비도 운영도 너무 매끄럽게 잘해서 역시 뉴발대회구나~~하는 생각이 들었네요. 여의도공원에서 좋은 추억만들고 갑니다.",별표 5개,10달 전
