작성자,내용,별점,작성일
지혜최,국립중앙박물관 갔다가 산책하기 좋은 공원이에요. 고려시대나 통일신라시대 석탑이 있어서 역사나 유물에 관심 있는 사람들한테도 좋을 것 같아요. 전반적으로 깨끗하고 정갈하게 조경도 잘 되어있어요. 반려견 동반 환경 가능,별표 5개,2달 전
Si Hyeon Nam,"국립중앙박물관 옆에 있는 가족 공원, 가족공원인 만큼 아이들이 같이 놀만한 공간이 많고, 한강변과 다르게 젊은 사람들이 놀기는 조금 애매하다. 제2광장으로 이동하면 조용하고 한적하게 있을 수 있다. 주차공간이 한 40자리 정도 뿐이라서 1시간까지도 기다려야할 수 있다. 국립중앙박물관과 이어져있으니(500미터) 그쪽에서 오는 것도 괜찮더",별표 5개,2달 전
김설아,풍광이 좋고 아이들 놀기에도 좋아요. 도심에서 숲을 느낄 수 있습니다. 다만 주차가 매우 힘들 수 있으므로 짐이 너무 많지 않다면 택시를 추천합니다,별표 5개,1달 전
Claire Park,"용산에서 벚꽃을 볼수있는 장소  찾아보니 가족공원으로 나와서 강아지랑 산책하고 왔습니다. 개구리 소리도 듣고 벚꽃도보고 강아지랑 잔디밭에서 뛰기도 하고 좋았네요. 5월말 용산가족공원은 온통 꽃입니다. 물위에는 연꽃, 길을 따라서는 나팔꽃인지 페츄니아. 수퍼스타라고 손바닥만큼 큰 장미꽃. 흰장미, 넝쿨장미.  날씨도 많이 덥지않고 바람도 적당히부는 날 잔디에는 피크닉 매트를 깔고 여유있게 즐기는 모습들. 더 더워지기 전에 가족들과 돗자리, 캠핑 간이 의자. 간식거리 챙겨서 다시 방문하고 싶다는 생각이 들었습니다. 놀이터 아이들이 놀기 좋아요 반려견 동반 환경 잔디가 잘 깔려있고 산책하기 좋은 환경입니다. 그리고 혹시 잊으신 분들을 위해 배변봉투가 준비되어있습니다. 피크닉 구역 잔디에 나무 그늘 아래에서 피크닉 즐기는 분들이 많습니다",별표 5개,2달 전
Chul,서울에서 제일 쾌적하고 아름다운 공원입니다. 주차장 공간은 별로 없어서 줄 서서 들어가는 경우가 많고 그래서 저는 국립중앙박물관을 이용하고 있습니다. 주차장으로서.,별표 5개,3달 전
BKstrawberry,"서울 도심 한가운데 위치한 공원이지만, 마치 자연 속에 들어온 듯한 한적하고 평온한 분위기를 느낄 수 있는 곳이에요. 넓게 펼쳐진 잔디밭과 울창한 나무들 덕분에 가벼운 산책을 즐기기에 좋고, 가족 단위 방문객들이 돗자리를 깔고 피크닉을 즐기는 모습을 자주 볼 수 있어요. 공원 곳곳에는 오리와 물고기가 노니는 작은 연못도 있고, 돌다리를 건너며 자연을 가까이에서 감상할 수 있어요.  특히 아이들이 뛰어놀 수 있는 공간이 많아서 가족 나들이 장소로 인기가 많고, 조용한 분위기 덕분에 혼자 사색을 즐기기에도 좋아요. 가을에는 단풍이 아름답게 물들어 낭만적인 분위기를 자아내고, 봄에는 벚꽃이 피어 또 다른 매력을 느낄 수 있어요. 공원 근처에는 국립중앙박물관과 전쟁기념관이 있어서 함께 둘러보기에 좋고, 도심 속에서 자연과 여유를 느끼고 싶을 때 방문하면 힐링이 되는 공간이에요.",별표 5개,6달 전
Eun Yu,국립중앙박물관과 이어져 있어 잠시 들러 둘러보기 좋습니다. 연못과 조경이 잘 관리되어 있고 잔디밭도 넓습니다.,별표 5개,3주 전
Lena,웨딩촬영하는 커플들도 많고 동상이나 석탑같은 유물과 호수 그리고 산책로가 잘 조성되어 있었습니다.,별표 5개,3달 전
Deramer Diary,"용산공원에서 제일 가까운 주차장이에요. 가격도 서울 기준으로 저렴하고 화장실도 있어요. 반환부지와 가장 가까워서 매번 이용합니다. 놀이터 용산공원 내에도 있고 10분거리의 용산공원 반환부지 안에도 있어요. 화장실 주차장 바로 옆에 있어요. 반려견 동반 환경 목줄만 있다면 반려견도 함께 올 수 있어요. 용산공원이 넓어 강아지 산책, 피크닉 하기 좋아요. 피크닉 구역 봄부터 가을까지 인기가 많아요. 넓은 잔디밭에서 자유롭게 피크닉 할 수 있어요.",별표 5개,6달 전
been KIM,"이촌역에서 걸어서 갈 수 있는 거리에 있습니다. 피크닉 하기에도 좋고 가족 단위로 방문하기에 좋은 곳입니다. 바로 옆에 국립중앙박물관과 한글박물관이 있어 피크닉 후 공원 가기에도 너무 좋습니다.  다만 주차장이 협소해서 이른 시간에 이용하는 게 아니면 차량 가지고 가기에는 조금 불편합니다.  내부에는 어린이 놀이터, 가족 텃밭, 맨발걷기 황토 등 다양한 장소가 있고 피크닉을 즐길 수 있는 잔디마당과 정자, 연못, 벤치가 있어 산책하기에도 너무 좋습니다. 근처에 음식 파는 곳이 없어서 음식은 미리 준비해오면 좋을 것 같아요.  반려견들도 많이 이용하더라고요. 건물 앞에 반려견 대기할 수 있는 곳도 따로 있었어요.  내부 시설이나 화장실도 너무 잘 되어 있어서 편하게 잘 이용할 수 있었어요. 놀이터 어린이용 놀이터, 모래놀이터 있음 화장실 입구 쪽, 놀이터 뒤쪽에 있음. 내부 깨끗하고 휴지 구비되어 있음. 어린이용 낮은 세면대 있음. 반려견 동반 환경 반려견 동반 가능, 반려견 친화적인 분위기 피크닉 구역 손 모양 설치작품 근처 잔디마당에서 돗자리 깔고 피크닉 할 수 있음",별표 5개,1년 전
