작성자,내용,별점,작성일
렛츠 (Lets),"일제강점기 때 나라의 독립을 위해 희생하신 애국지사 분들의 유해를 모신 공원 입니다. 규모가 크지는 않지만, 조경이 아름답게 잘 되어 있어요. 산책로도 오르락내리락 지루하지 않게 되어 있습니다.  같이 붙어있는 <백범김구 기념관>은, 24년 12월까지 디지털 시스템 구축으로 휴관 이에요. (컨벤션홀, 대회의실은 정상 운영)",별표 4개,8달 전
ILGI BAEK,"오늘날 대한민국을 있게 한 독립운동가들의 묘역이 있는 공원이다. 백범 김구 선생을 비롯하여 안중근,윤봉길,이봉창,백정기 의사들의 묘역과 백범기념관까지 있어 다시 한 번 나라의 소중함을 깨닫게 되고 의의 의미를 되새기는 계기가 될 것이다. 지하철 효창공원역 1번출구에서 650m 정도 걸어가면 된다.",별표 5개,1년 전
- “‪R‬”,동네 강아지들의 산책 공간 및 러닝하시는 분들이 많이 계시는 곳입니다. 멀리서 굳이 오시기보다는 근처에 계시면 방문하기 좋은 곳입니딘. 놀이터 어린이 놀이터가 있습니다. 반려견 동반 환경 반려견에게 좋습니다.,별표 3개,1달 전
환환,효창공원.  대한민국 자주독립과 나라의 건국을 위해 생을 바치신 위인들이 계신 곳이다. 개개인의 신념과 이념이 어떻든 간에 사람이라면 자신이 받은 은혜와 은덕에는 마땅히 감사해야 한다고 믿는다.  2023.10.03 - 방문,별표 5개,1년 전
기분좋은 날,아주 큰 규모의 평지 공원은 아니지만 지형을 그댜로 살려 공원을 조성해 산책로의 높낮이가 있어 신책하면서 지루하지 않아 좋고 도심속 여유로움을 느낄 수 있어 쉬엄쉬엄 걸으면서 생각하기 좋은 공원인듯,별표 4개,2년 전
BONG,"참 기분 좋은 공원.  넓고 쾌적하고 조용하고, 의미까지 깊게 담겨있어 곁에 두고 오래오래 함께 하고 싶어지는 도심 속 공원  산스장 수준도 꽤 수준급",별표 5개,1년 전
이효우,"김구의사 묘가 있는 효창공원입니다.  삼의사 묘에는 아봉창 윤봉길. 백정기 의사가 묻혀있구요. 삼의사 묘의 봉분은 총 4개인데 나머지 한 곳에 안중근 의사 유해를 찾으면 모시려고 가묘를 만들어 놓았지만 아직 못 찾았죠.  김구가 일본인을 처단했다는 이유로 사형이 집행되기 직전 고종이 직접 전화하여 사형집행을 중지한 전화기 모형도 전시되어 있습니다.  저기 전시물의 백범일지는 친필이랍니다. 당시 종이값이 너무 비싸 글자 한 칸에 3자씩 적어 완성했다네요.  그외 귀한 사진들과 김구가 안두희에게 총을 맞고 사망할 때 입었던 옷도 전시되어 있습니다.  윤봉길이 거사 직전 김구와 바꾼 유명한 시계도 볼 수 있습니다.  효창공원이 있는 곳은 조선시대 정조의 아들 문효세자와 사랑했던 의빈 성씨의 무덤이 있던 곳이기도 합니다. 일본이 우리나라를 식민지로 삼은 후 그 곳에 골프장을 만듭니다.  그래서 정조의 사랑하는 가족은 멀리 파주로 강제로 이장됩니다. 옷소매붉은끝동에 나오는 성덕임의 무덤을 정조는 친히 이곳으로 정하고 그리 슬퍼했던 곳입니다. 여기에 김구. 윤봉길. 이봉창. 백정기뿐 아니라 대한민국 임시정부 요인인 이동녕, 조성환, 차이석의 유해가 안치되어 있는 것은 뜻이 깊다고 할 수 있습니다.",별표 5개,1년 전
김성근,마침간날이 23년12월19일 매헌윤봉길의사순국91주년추념식이 있었네요 김구선생님의묘.의열사.이봉창열사동상등 김구선생님기념관 애국열사분들을 뵈며 다시한번 그분들께 감사드립니다,별표 5개,1년 전
한재빈,"순국열사들의 묘와 얼이 모셔진 공간에 현재를 살아가는 후손들이 함께 있을수 있다는,도심속에 이렇게 산책하기 좋은 곳이 있다는게 얼마나 감사한 일인지 자녀들 교육에도 참 좋은 곳이다 숙대입구역,남영역등(기사식당거리,용문시장등) 접근성도 먹거리도 플러스",별표 5개,3년 전
YJ Oh,"조국의 독립을 위해 몸 바친 애국지사들의 유해를 모신 유서 깊은 장소. 원래 조선 정조대왕 시기에 왕가의 묘를 모신 '효창원'이었는데, 일제가 훼손하고 일반공원화했다. 광복후 1946년에 김구선생의 주도로 일본에 있던 이봉창, 윤봉길, 백정기의사의 유해를 모셔와서 안장했고, 안중근의사는 유해를 향후 찾으면 안장하기로 하고 가묘를 만들었다. 이후 임시정부 요인들의 유해를 추가로 모셔 안장했다고 한다. 1998년에 정부 주도로 공원 재정비공사를 시작해서 의열사와 창열문이 세워졌고, 선열들의 영정을 모셨다. 우리나라의 독립운동을 대표하는 문화재로써, 공원내에 백범김구선생의 묘소와 기념관, 의열사, 의열문, 사의사묘, 임정요인묘, 이봉창의사의 동상 등이 설치되어 있다. 도시 한복판에 위치해 있고 공원도 잘 꾸며져 있어 한번쯤 방문을 권장하고 싶은 장소이다.",별표 5개,2년 전
