작성자,내용,별점,작성일
작을소진 (Littlesojin),"일을 마치고 휴식을 하기위해 잠깐 들렀다. 괴생물체가 널 반겨줬다. 주차도 편하고 공원 정비도 매우 잘되어있어 마음 편히 쉴 수 있다. I stopped by to relax after work. The monster welcomed you. Parking is easy and the park is well maintained, so you can relax.",별표 5개,2주 전
masizzung chocowooyoo,다른 한강공원에 비해 존재감이 없어서 있는줄도 몰랐던곳. 그러다 최근 방문했는데 나름 있을만한건 다 있어서 괜찮았다. 하지만 평일인데도 피크닉가는 사람보다 의자가 적어 앉아서 쉴곳이 부족하다.,별표 4개,3달 전
Mark HONG,"잠실 한강공원은 서울에서 가장 인기 있는 한강 공원 중 하나로, 자연과 여유, 다양한 활동을 즐길 수 있는 완벽한 도심 속 힐링 공간입니다. 가족, 연인, 친구와 함께 방문하기에 최적의 장소이며, 혼자만의 시간을 보내기에도 좋은 곳입니다. 1. 아름다운 풍경…",별표 4개,7달 전
Tommy LEE,"1. 잠실대교와 종합운동장 측에 위치한 한강변 공원 2. 트레킹, 산책, 자전거 타기 등의 환경이 매우 좋은 곳이며, 잠실선착장도 면해 있는 곳",별표 5개,8달 전
SJ Yoo,넓고 시설도 괜찮고 피크닉 하기에도 좋다. 벌레도 많지 않았으며 드론라이트쇼도 예쁘게 잘 보임. 나무가 많아서 가려진거는 조금 아쉽다. 잠실역에서 접근성이 좋다고 하진 못함,별표 5개,1년 전
stella,따릉이 타고 한강보기 좋다 돗자리 깔고 쉬어도 좋은 곳,별표 5개,4달 전
miwave,2024년 5월 잠실한강공원에서 드론쇼를 4 차례나 해서 좋네요. --------------------------------------------------…,별표 4개,수정일: 1년 전
Jay,피크닉과 데이트 그리고 운동하시는분들에게는 런닝과 라이딩에 최적의 공원입니다. 그리고 수상버스 정류장도 있으니 여의도와 잠실사이 왔다갔다하기 좋습니다,별표 5개,수정일: 1달 전
Doo,"여기 있는 동안 내내 편안한 힐링을 할 수 있었어요. 탁 트인 시야, 높은 나무 그늘 아래에서 의자 하나로 이 모든 경치를 가질 수 있었고 그 안에서 대단한 무언가를 얻었습니다",별표 5개,1년 전
Ohsung Dong,자전거 타고 가면 쉬기 좋은 곳이에요.  편의점도 있고 잔디위에 올라갈 수 있어서 가볍게 쉴 수 있어요.…,별표 4개,수정일: 3년 전
홍정원,"여름에 나오기엔 너무 덥긴하지만 적당히 나무그늘아래서 텐트치고 여유롭게 쉬기좋아요, 그늘막설치장소가 따로있기때문에 지정장소에설치해야하고 바로앞에 gs편의점이 있어 편해요. 한강하면 끓여먹는 라면과 맥주한잔이면 행복한하루를 보낼수있어요",별표 5개,5년 전
박찬빈,낮에 가서 자전거를 타려 했지만 부득이하게 늦어지고 해도 짧아져서 자전거도 마감되고 아쉬웠지만 야간에 간 한강은 처음이었는데 한강 대교들도 반짝이는게 이쁘고 공원 산책로를 걷는데 야경이 정말 아름다워서 야간에도 갈만한 한강입니다,별표 5개,4년 전
