작성자,내용,별점,작성일
Korea Jay. C.,낙산공원은 대학로 뒤길과 이어지며 역사와 문화를 함께 즐길 수 있는 공원. 낙산공원에 올라오면 파노라마처럼 펼쳐진 서울전망을 볼 수 있다는게 가장 큰 매력. 낮에도 좋지만 저녁시간이 더 좋은것같음. 언덕 정상부위에 밀집한 주택과 벽화가 있는 이화동 벽화마을로 이동 가능. 흥인지문(동대문)에서 한양도성길을 따라 올라가는 동대문 코스는 성곽 을 따라 성곽 숲길을 걸을 수 있음. 한성대 입구 방면으로부터 올라 가는 길은 외부 성곽 벽면 전체를 보면서 걸으면 오랜 과거로의 여행같은 느낌을 줌.,별표 5개,1달 전
BRIANNA “소피” Sopi,"대학로 연극보고나서, 오래간만에 올라가본 낙산공원,.성곽이 멋지고, 중앙공원등 편이시설도있고 약간가파르긴한데, 걷기에좋아요, 해질녘뷰추천!^^",별표 4개,1주 전
Yoo Youngkeun,오늘도 낙산공원 넘어 개뿔있는 곳 까지 운동을 열심히 하고 한성대 입구역방향으로 되돌아온 성곽의 매력도 있지만 항상 멀리 보이는 서울의 멋진 산자락들이 매력적이다 오늘은 삼색이와 그친구 야옹이는 안보였는데 잘 살고 있길 화장실 정상에서 동대문방향 내려가는 길에 발견 반려견 동반 환경 많이들 데려오시더라는 하지만 그곳 야옹이들이 있으니 개들 잘 단속하기,별표 5개,2달 전
BKstrawberry,"낙산공원은 서울 도심 속에 있지만 한적하고 여유로운 분위기를 느낄 수 있는 곳이에요. 낮에는 성곽길을 따라 걸으며 시원한 바람과 탁 트인 전망을 즐길 수 있고, 곳곳에 자리한 벤치에 앉아 잠시 쉬어가기에도 좋아요. 특히 해 질 무렵에는 붉게 물든 노을과 서울 시내의 불빛이 어우러져서 정말 아름다운 야경을 감상할 수 있어요. 성곽을 따라 걸을 때마다 역사의 흔적과 현대 도시의 풍경이 함께 어우러져서 묘한 감동을 느끼게 되더라고요. 사진 찍기 좋은 포인트가 많아서 친구들과 함께 가도 좋고, 혼자 조용히 산책하기에도 딱 좋은 곳이에요. 바람이 얼굴을 스치며 불어올 때, 일상의 스트레스가 조금씩 사라지는 기분이 들었어요. 높은 곳에서 내려다보는 서울의 야경은 언제 봐도 마음이 뻥 뚫리는 느낌이에요.",별표 5개,6달 전
national_jiographic,"서울 도심의 모습을 내려다볼 수 있는 완만한 경사의 성벽 공원입니다. 걷기도 좋고 경치도 좋고, 약간의 음식점과 카페도 있습니다.",별표 5개,4달 전
Jiwon Choi (Jin),동네 산책 겸 걷기 좋은 곳. 밤에 가면 야경도 아름답다. 오르막길이 가파르니 운동화 신고 가는 걸 추천! 커플 천국^^ 화장실 초입에 화장실 있음,별표 5개,4달 전
유녹두,서울시내 야경을 큰 어려움없이 보기 가장 좋은 방법이에요. 시끄럽지않고 북적대지 않아서 좋아요.,별표 5개,2달 전
Taco Kimchi,대학로 근처 가볍게 오르내릴 수 있는 공원이다 후덥지근한 여름날씨에 땀 반바가지 흘렸지만 도심 속에 예쁜 서울 장관을 볼 수 있어 좋았다 화장실 중앙광장에 있어요,별표 5개,1달 전
Hyoung Jae Jeong (RedLemon),서울의 명소입니다. 성곽은 동대문까지 연결되어있습니다. 계속 가다보면 서울을 한바퀴 돌지요!,별표 5개,1주 전
박준용,동대문~돈암동~혜화동(대학로) 근처에서 러닝하다보면 한양도성길이 나옵니다 야경보러 꼭!! 가보시길 추천합니다^^,별표 5개,2달 전
이경재,대학로와 동대문으로 이어지는 산책하기 좋은 공원,별표 4개,2주 전
Admin Mi Ko,좋은 곳입니다. 사진기만 좋으면 멋진 장면도 나올 수도 있겠죠. 다만 왕복2차선인데 몰지각한 사람들이 불법주차를 많이 해서 한번 동선 꼬이면 양쪽 모두 빠져나가지를 못해서 난리가 납니다. 불법주차가 있을 경우도 꼭 대비하세요. 삼십분 기다리는건 일도 아니니... 외국인도 남산타워 배경으로 사진 찍으러 많이 오더라구요.,별표 5개,9달 전
하하하호호호,연극 보고 나서 산책겸 가기 좋아요! 밤 야경이 너무 예뻐요,별표 5개,2달 전
Juy,"서울 도심을 바라보며 산책하기 좋습니다. 날이 좋으면 잠실 롯데타워와 남산타워, 동대문 디자인 플라자 건물을 한 눈에 감상할 수 있습니다. 실거주민 분들을 위해 큰 소리는 자제하실 것을 권유합니다.",별표 5개,5달 전
my life,저녁무렵오면 더 좋은곳 동대문역이나 혜화문에서 올라가면 됨 1시간정도 소요. 늦은시간에 올라가 야경까지 구경 추천  대학로나. 동대문역 또는 창신동쪽으로 내려와서 부근에서 식사,별표 5개,9달 전
최영걸,주말 오후에 다녀왔습니다. 낙산성곽길의 정상에서 보는 풍경은 정말 좋았습니다. 이날은 특히나 날씨가 좋아서 사진을 찍는 보람이 있었습니다. 산을 오르기 힘드신분들은 마을버스를 타고 손쉽게 오를 수 있으니 추천 드립니다.,별표 5개,1년 전
TV 당 (당뇨걸린헐크),혜화역에서 대학로를 지나 조금만 걸어올라가면 이렇게 이쁜 성곽길이 나오고 이쁜 카페와 아기자기한 가게들이 모여있더군요 사람들도 많았지만 저녁에 가보니 야경이 진짜 예술입니다 꼭 저녁에 가보는걸 추천드려요 그리고 내려오는 길이 여러군데 있는데 이화벽화마을 쪽으로 내려가시면 옛날 집들을 볼 수 있어서 좋았어요 적극추천!!,별표 5개,2년 전
Jinwook Kim,서울의 과거와 현재가 공존합니다. 전망 좋은 산책길이 있고 옛 산동네의 가파른 골목길도 있고 루프탑 카페 같은 전망좋은 카페도 몇개 있습니다. 뺑 둘러 구 도심의 서울 풍경이 현재와 어울려 멋진 뷰가 펼쳐집니다.,별표 4개,1년 전
렛츠 (Lets),"<수원 화성>처럼 규모가 크진 않지만, 트레킹도 가능하고, 전망도 좋으며, 젊음의 메카인 혜화역 대학로와 동대문 디자인 플라자 (DDP)가 있는 동대문역 흥인지문공원과 연결이 되어있어서 맛집, 카페, 트레킹, 도시뷰 감상, 옛 성곽뷰 등 (벚꽃피는 시기에는, 벚꽃놀이도~) 이 공원과 연계하면, 알찬 힐링 여행&데이트코스를 즐길 수 있습니다.  ※ 추천 카페 대학로 쪽 : <학림다방> 낙산공원 : <개뿔> 낙산공원 정상 : <테르트르> 뷰 초강추!! 동대문 쪽 : <차차티클럽 창신한옥>",별표 5개,수정일: 2달 전
최기훈,집에서 가까운 곳이지만 안가보다가 날씨도 시원해지고 가시거리도 좋아서 산책다녀옴. 장소도 장소지만 오늘은 살짝 먹구름이 있었지만 날씨가 다했다.,별표 5개,10달 전
J.n Lee,"만약 외국인친구가 서울여행을 한다면 꼭 추천할 10 가지 명소 중 하나라고 생각합니다. 낮에 가도 이쁘지만 밤에 낙산공원 전망대에 올라 마주하는 풍경은 정말정말 예쁩니다. 탁트인 풍경 속 여러 건물들도 보이고 저 멀리 산을 따라 이어지는 산성길이 웅장하고 멋있습니다. 전망을 보러 올라가는 길도 쾌적하고 산책하는 사람들도 많아서 놀러온 느낌이 확 납니다. 혜화역에서 20분 동안 걸어올라가면 멋있는 전망을 볼 수 있는데 가는 길 중간중간에 아기자기한 상점들, 카페들도 많고 연극로도 있습니다. 강추! 유일한 단점이 있다면 공원 벤치에 앉아있으면 모기나 날파리가 많이 꼬이는 것 입니다. 모기퇴치제 뿌려가세요~ 화장실 산책로를 따라 전망을 보러 올라가기 전에 공용화장실이 있습니다.",별표 5개,1년 전
