작성자,내용,별점,작성일
national_jiographic,"많은 서울 시민들의 추억이 담겨 있는 상징적인 장소입니다. 외국인들도 정말 많이 방문합니다. 타워를 올라가지 않아도 멋진 조망을 볼 수 있고, 이곳까지 제법 높이 올라가지만 시내버스가 다닙니다.",별표 5개,4달 전
Cho앤디,"서울의 대표적인 공원..다양한 코스로 트래킹이 가능한 곳..벚꽃. 팥베. 라일락, 아카시아, 찔레꽃, 베롱나무들..한국을 떠나면 가장 그리운 곳",별표 5개,2달 전
ong H,탁 트인 서울 시내를 내려다볼 수 있는 곳입니다. 남산이 한양 당시 남쪽 끝이었다는 사실을 알게 되었습니다. 버스를 이용하지 않고 걸어서 올라왔는데 시원한 바람과 함께 기분 좋은 땀을 흘릴 수 있었습니다. 정상에 배치된 여러 벤치에서 서울 시내를 보며 여유를 만끽할 수 있습니다.,별표 5개,11달 전
도사아몬드,바람이 불지만 사진촬영하기 좋은 코스입니다. 둘레길 오르기에도 편안하고 서울의 야경과 경치를 한눈에 볼수 있습니다. 순환버스들도 다양해서 버스로 쉽게 오르기에도 좋고 케이블카를 이용하기에도 편리합니다. 개인적으로 힐튼호텔에서 오르는길이 예쁘게 단장되어 있어서 추천드려봅니다. 40분정도의 도심속하이킹 코스를 느낄수 있습니다.,별표 5개,1년 전
권예슬,"추억의장소 퇴근하고  매일올라갔음  주차장  있음 올라가는 길 2군데 있음  계단식 ㅡ시티뷰,밝음 ,왕복 힘들지  않음 옛날길 ㅡ나무숲 ,약간어두움 ,살  쫙쫙  빠짐  일주일  이상  한국에 있을 경우  남산공원 가보는거 추천 , 내려가서 근처 하얏트 호텔 가서 차마시고   입구 앞에서   사진찍는거  추천 ,밤에찍어야  예쁘고   실제로  봐도   정말 예쁨",별표 5개,1년 전
블루보넷,"남산 국립극장 입구에서 남산타워로 올라갔습니다. 남산타워 올라가기전 봄꽃들의 향연이 펼쳐질정도로 아름다운 꽃동산을 만들어 놓았답니다. 남산타워까지 2km 거리로 서서히 언덕으로 걸어 올라가면서 다양한 색상의 튜울립을 볼 수 있고 탐방로가 있어서 자연보는 재미가 있답니다. 벚꽃은 다 졌지만 진달래, 철쭉, 조팝 등이 꽃을 피웠네요. 공기도 좋고 산책하기 좋은 장소입니다. 남산타워 정상에 올라가니 산으로 둘러쌓인 서울시가 내려가 보이고 한국 산세가 아름답다는걸 새삼 느끼게 되네요. 서울의 명소인 만큼 외국 관광객들이 70프로 이상으로 많이 보이네요",별표 5개,2년 전
정용현,일요일 오전 눈모자를 쓴 남산쪽으로 사모님을 모시고 다녀왔습니다. 그래드하이야트쪽으로 해서 가보자해서 걸어갔는데 이게 눈발이 가늘게 지속되고 있었죠. 호텔쪽에서 산으로 올랐는데 지난번 폭설로 소나무들이 많이 상해있었어요. 길 따라 올르는데 점점 설경이 좋았습니다. 웬일인지 눈발이 점점 굵고 세지더라고요. 날씨도 그렇게 춥지 않아서 천천히 올랐는데 복숭아 꽃잎은 아니지만 눈송이가 정말 조용히 사방에서 내리니 별유천지 비인간이 아니네... 사모님께서 천국같다 하시네요,별표 5개,1년 전
남정희,도심 한 가운데에서 차 없는 도로에 겨울 경치 고즈넉하게 산책하기 넘 좋음,별표 5개,7달 전
강승철,서울에서 교통이 편리(충무로역 2번출구 남산타워행 버스)하고 여름철에 도심지에서 한강보다 시원하게 즐길 수 있는 무료 공원(>산),별표 5개,1년 전
POLLY TUI,"언제나 주말이면 운동삼아 오르고 있는 남산. 남산 근처에 사는 특권으로 벌써 20년 넘게 주말마다 오르고 있지만 언제나 오를때마다 새롭고 좋다높은 산은 아니지만 관리가 잘된탓에 심심치않게 보이는 야생동물(야생꿩,다람쥐 등등)들 보는 재미도 있다.  곳곳에 편의 시설도 잘되어있어 방문하여 가벼운 운동도 즐길수 있다",별표 5개,2년 전
EJ K,오늘은 장충단에서 버스길을 따라 올라가는 코스를 선택했습니다. 아이와 오르는 길이 힘들었지만  N타워를 마주하고 나면 역시나 그 기분은 말로 표현 할 수 없이 좋습니다. 봄비가 내리니 꽃과 나무들이 좋아하는 느낌이라고 아이도 예쁜 말을 해주네요~,별표 5개,4년 전
Byung Eun Choi (니콜키드몽),오랜만의 남산나들이.. 한양도성길 동대문~남대문 구간 중에 걸었던 남산길. 도로도 깨끗하고 트래킹을 위한 별도의 성곽길도 있어 좋았습니다. 길가에는 야생화들도 이쁘게  피어있고 사람들도 질서있게 남산을 이용하는 모습이 인상적이네요. 날씨 좋은 날엔 꼭 다시 방문하고 싶습니다.,별표 5개,4년 전
Larry Mun,혼자 처음으로 자전거 남산 업힐 7분 50초,별표 4개,3달 전
