작성자,내용,별점,작성일
이영진,서울로-주변 상가와 다리나 엘리베이터로 이어지는 접근성이 떨어지기 때문에 할 게 없는 게 단점. 여름에 가면 카페도 아닌 작은 책방 휴게소가 하나 있는데 이걸로 뭘 하라는건가 싶음.. 좀 더 발전시키면 좋은 랜드마크가 될 수 있을 거 같은데 개인적으로는 아쉬웠다 반려견 동반 환경 좋음 피크닉 구역 없음,별표 3개,1달 전
Sepia Hh,"서울로7017 인근에 위치한 운영본부 주소로,  실제 서울로7017의 주소는 공원 특성상 서울로7017에 위치한 건물별로 주소가 다르다.  지리상으로는 남대문시장에서 시작하여, 서울역을 거쳐 서울역 동부 지역인 회현동과 서부 지역인 중림동을 이어주고 있으며  , 공원 중간중간에 나있는 17개의 보행길로 접근할 수 있다.  서울역에서 이 길을 따라 퇴계로 쪽으로 쭉 가면 끝부분에 남산육교는  물론 회현역으로도 엘리베이터가 있어 남산과 회현동으로도 쉽게 연계된다.  서울교통공사가 1호선과 4호선을 운행하는 전동차 각각 1편성씩 가장자리 칸에 한해 서울로 7017밤에 가면 서울역 환승센터와 숭례문 야경, 서울스퀘어 미디어 파사드가 보인다.  서울역 2번 출구 엘리베이터 옆에 1년 내내 피아노가 놓여있으며, 총 9대의 피아노가 봄부터 가을철에 걸쳐 서울로 곳곳에 있다 . 아무나 연주가 가능하다서울특별시 중구 퇴계로 18, 8층 (남대문로5가, 대우재단빌딩 조감도로 꾸민 도색을 한 적이 있다.",별표 5개,4달 전
박재성,이전 차량고가도로를 보행자도로로 만든 산책로입니다. 여름엔 덥지만 봄가을엔 산책하기 좋습니다.,별표 4개,2달 전
SSING,서울역 고가를 철거하지않고 공원으로 만들어 아주 좋습니다. 연결성이 좀 더 확장된다면 더 많은 사람들이 찾을 것 같아요,별표 5개,2달 전
Productive Minho,"# 한번 쯤은 가복 만한 장소  만리동과 회현동을 연결하는 고가도로를 활용한 공원이에요. 국내에선 새로운 시도라 눈여겨봤는데 공원보다는 구름다리에 가깝지 않나 싶었네요. 1970년 개통해 2017년 공원으로 개장, 높이 17m, 17개 통행로라고 해서 7017 입니다.  뉴욕의 더 하이라인을 모티브로 만들었어요. 위와 같은 이유로 방문객 평가가 일부 좋지만은 않은데 가보니까 어느정도 알 것 같습니다. 그 이유가  1. 하이라인과 달리 명소간 또는 상권간을 잇지 않음 2. 폭이 좁아 사람이 많아지면 휴식은 물론 걷기에 답답함 3. 고가도로 아이덴티티 활용 요소가 부족함 4. 조망이 좋지 않음. 전체 코스중 2/3가 선로와 도로뷰  시작 지점인 만리동 광장에는 윤슬이라는 공간 조형물이 있는데 이색 사진 포인트라 한번쯤은 갈만 해요. 반려견 동반 환경 동반 가능합니다. 피크닉 구역 딱히 없습니다.",별표 3개,9달 전
daniel,요즘 한창 장미가 예쁘게 피어 있는 계절이라 더 걷기 좋습니다..,별표 4개,2달 전
마지마타,"서울역에 가게 된다면 들리길 추천하는 잘 만들어진 관광 코스. 다리의 폭과 길이가 제법 크고 다양한 식물군의 화단이 잔뜩 배치되어 도심 속 자연을 걷는 기분을 느끼게 해준다.  걷다 보면 주변의 도시 풍경이 가깝게도 멀게도 보여 이색적이며 중간 중간 들어가 햇빛을 피해 쉴 수 있는 쉼터도 있어 좋다. 서울로를 통하면 이동 중 숭례문, 남대문 시장, 남산쪽으로 빠지기도 편해 관광에도 도움을 줌.  소란스러운 서울의 시내가 다리 위를 걷는 것 만으로 훨씬 조용하게 된다는게 인상적임. 반려견 동반 환경 반려견 동반이 가능하지만 딱히 반려견을 위한 무언가가 준비되어 있지는 않다.",별표 5개,수정일: 10달 전
신아루,250216 여기가 어딘지도 모르고 서울역 가는 길에 그냥 거쳐간 곳이었다. 쭉 걷기 심심하지 않게 나름 잘 꾸며놓은 것 같았고 밑에 기차가 지나가는 것도 봐서 신기했다.,별표 5개,6달 전
CHAN SONNY,"매일 출퇴근 할때 다니는 길이다. It's my way to and from work every day  1.서울에서 걷기에 꽤 좋은 길이다. 1.It's a pretty good way to walk in Seoul.  2.관리직원이 항상 있어 안전하고 깔끔하다 2. There is always a maintenance staff, so it is safe and clean  3. 시간대를 잘 맞춰야 기분좋은 구경을 할 수 있다. 로맨틱한 야간산책도 권장 3. You have to set the right time for a pleasant sightseeing. Romantic night walks are also recommended  4.걸으면서 보이는 도시 풍경이 꽤 괜찮다.(특히 야경) 4. I like the view of the city while walking (especially the night view).  5.의자가 많아서 쉬면서 구경하기에 좋다 5. There are many chairs, so it's good to relax and watch  6. 봄,여름,가을이 걷기에 좋다. 겨울은 식물이 모두 말라서 볼 것이 도시뷰 밖에 없다. 6. Spring, summer, and autumn are good for walking. In winter, the plants are all dried up, so there is only a city view to see.  7. 산책로와 연결된 화장실, 건물들이 있다. 7. There are toilets and buildings connected to the promenade. 화장실 가는 길 중간 중간에 무료 화장실 안내가 되어있음. 건물안 화장실인데 자유롭게 사용 가능 Free bathroom in the middle of the street. It's a bathroom in the building. You can use it freely",별표 4개,수정일: 1년 전
완두콩,서울역 근처에 위치한 서울로 7017. 원래 도로였던 길을 다시 활용하여 도심속에서 산책하며 나무들과 함께 산책할 수 있는 산책로이다.낮에 이길을 따라 걸으면 서울역 근처의 전경을 시원하게 내려다볼 수 있다. 서울역 근처의 크고 세련된 건물.스타벅스.서울역과 그풍스런 건축미를 느낄 수 있는 옛 서울역사와 수많은 차들을 볼 수있다.중간에 작고 아담한 커피숍이 있는데 풍경을 내려다보며 간단히 커피한 잔 할 수 있는 공간이다.서울로 7017은 낮과 밤 모두 산책하며 걷기 좋다.밤에 7017에 조명이들어오면 낮과는 새로운 느낌으로 산책할 수 있는 도심속에 산책로이다.,별표 4개,1년 전
