작성자,내용,별점,작성일
서명준 (MJ_JUNE),"서울 시내 도심 속 캠핑장. 사이트 간 데크사이즈 크기 편차가 있는 편.  서울 시내 공원에 위치한 캠핑장, 시설도 좋고 관리도 잘 되는 편. 매점동은 사이트와 거리감은 있는 편, 가까운 쪽은 당일 바베큐만 즐기고 가는 당일 피크닉용 공간입니다. 사이트 안쪽에도 화장실과 개수대 시설은 추가로 있으며, 올해 리모델링해 시설도 깨끗합니다.  검색 시 데크사이트 사이즈 정보가 명확하지 않은데 같은 라인에서 데크 크기 차이가 나는 편입니다. 이 점은 유의해주세요. 마사토 사이트는 우중 또는 설중 시 최악의 사이트 조건입니다. 사이트 간격은 좁은 편이나 바로 옆 주차 가능하며 도심속 공원 등의 이유로 장작사용은 불가능합니다.  매너타임 관리가 안되고 서울 근교 특성으로 기본개념 탑재 안된 객들이 가끔 늦은 밤 고성방가나  좀비처럼 돌아다니는 경우도 있습니다.  매점 물가는 꽤나 높은 편으로 미리 준비가 안된 물품이 있다면 차라리 캠핑장 밖에 나가 근처 마트를 이용하세요.",별표 4개,5달 전
eun jung lee,"감성 셀프 바베큐 이용 평일 80. 금토일 100.  장작사용 금지 대여 용품에 숯불이 없고 직접 작업해야한다 식기류와 토치, 설거지용품이 있다 화장실 청결했고 개수대 무난함  11시 - 21시 이용 시간은 장점이다 기준인원 4인,  최대 6인 가능 (추가 5. 현장 결제) 매점은 20시까지  텐트 상태 우린 뽑기를 잘해서 청결했다  양원역 앞이라 뚜벅이도 접근이 쉽고 오토 캠핑이 가능",별표 5개,1년 전
박은혜,감성캠핑 하기 좋았던 중랑캠핑숲! 캠핑 장비없어도 안에 캠핑의자 테이블 그릴 버너 다 있어서 편하게 다녀왔어요! 감성셀프바베큐 좋아서 다음번엔 이지캠핑도 해보려구요~전반적으로 관리 잘되고 매점도 있어서 좋았어요! 놀이터도 있어서 아이랑 피크닉하기도 좋아요 서울셀프바베큐장 좋았어요~,별표 5개,1년 전
SH LEE,"서울에 있고 25,000원으로 비교적 저렴하지만 사이트가 작고 모기가 너무 많아 쉽지 않음.. 그리고 경사도 급하여 평지가 없음.. 그래도 이 가격에 서울이라면 오케이",별표 3개,10달 전
심옥분,서울에이런캠핑숲이있다니놀라워요.패미리5만예약.4인까지.1인추가시5천원추가..장비대여비포함이라는데 바베큐그릴딱하나뿐..관리동서대여하던지.갖고가셔야해요.암튼가까운거리에잘놀다왔어요.^^,별표 5개,1년 전
인디언옐로우,서울에 위치해 비교적 조용하고 주변이 정말 산으로 돼있서 편리. 특히 대중교통으로 접근도 나쁘지않고 택시도 오기좋음. 사이트가 다양하게 있음. 구리시민공원 캠핑장 대비 가격과 서비스 만족함. 모든 캠핑장 그렇듯 주말 예약은 어려움. 평일은 여유있는 편 관리자 분도 비교적 여유있음. 설거지장 넓음. 들어가서 주차하고 데크 사용 편리함. 다만 좀 다닥다닥한 면은 있으나 서울 캠핑장치거 괜찮음.,별표 4개,3년 전
sang jin song,이곳은 서울시내에 있는 중랑구에 있는 오토캠핑장이다. 바로 근처에 전철역 양원역도 있구 아담하고 하루 쉬었다가기 좋다. 캠핑하는 사람들한테 물어보니 1일 사용료는 25000원이구 화롯불은 장작은 안 되지만 숫은 가능하다고 한다. 서울시내라서 그런지 평일날도 사람들이 많다.,별표 5개,5년 전
hg Ro,중랑캠핑장 도심속에 캠핑을 즐기기에 너무나 훌륭합니다. 9-3 사이트는 입구 초입으로 화장실과 계수대 거리는 좀 먼 편입니다 하지만 앞쪽으로 길이 쭉 나있는 3거리 형태로 뷰는 시원시원 합니다. 일방통행 구조라서 귀가 차량이 무조건 지나가야 하는 구조로 나홀로 조용히 이용하기를 원하시는분들에게는 조금 비추입니다. (조용하고 아늑한 곳은 7구역이 최고) 인기가 많아 예약이 어렵긴 하지만 계속 시도해 봐야겠네요. 1~9구역마다 특색이 있어서 같은 캠핑장이지만 다른 느낌으로 즐길 수 있을 듯 하네요,별표 4개,5년 전
모야모,서울에서 이만한 숲을 보기도 쉽지 않은데 캠핑장까지라니 궂이 캠핑이 아니라도 나들이겸 나와서 서늘한 그늘에 시원한 바람이 좋으니 즐기시는 동네분들도 많은듯 합니다.,별표 4개,7년 전
Guy Lucky,서울시내에 이런 캠핑장이 있는 줄 처음 알았네요 캠핑장 마트에 없는 건 가까운 마트에서 살 수 있어 좋네요,별표 4개,3년 전
