작성자,내용,별점,작성일
Wooper,좋아요! 여태까지 가본 한강 중에 여기가 제일 괜찮은 것 같습니다! 사람도 적당히 있습니다! 불편할 정도로 사람이 많은 것은 아닙니다!,별표 4개,1달 전
꽃보라,"여기 정말 예뻐요. 제가 지금까지 본 한강공원 중에 TOP1이에요. 파라솔 있는 테이블과 벤치도 있고 화장실도 깨끗하고 쓰레기 분리수거장 있고 편의점은 7분 거리 였는데 세븐일레븐에 한강 라면이 없었던 것만 빼면 완벽했어요. 날이 따뜻해서 강 앞에 앉아도 춥지 않았습니다. 피크닉 매트는 근처 '피크닉109 잠원' 이용하면 좋아요! 놀이터 아이들 놀이터가 따로 있어요. 나무로 되어있어서 예뻤어요. 화장실 안내센터 앞쪽에 있어요. 깨끗하고 옆에 쓰레기 분리수거장도 있습니다. 피크닉 구역 잔디 위에 테이블, 의자, 파라솔 있어서 매트 없어도 앉을 수 있고 매트 깔면 편하게 있을 수 있어요. 앉아서 한강도 보이고 좋아요.",별표 5개,2년 전
Juhyeon Park,"잠원한강공원 세븐일레븐 앞, 자전거 대여할 곳이 있다. 1인용이나 2인용, MTB 등 다양한 자전거 이용할 수 있고, 최대 3시간까지 빌릴 수 있다! 주중에는 교차 반납이 가능해서 여기서 빌리고 다른 한강공원 대여소에 반납할 수 있다고 하는데, 주말에도 가능하면 좋겠다.",별표 5개,1년 전
이국,"한강의 야경과 함께 산책하기 좋은곳, 계절과 온도에 따라 바뀌는 저녁 노을 그리고 밤이 깊을 수록 강 넘어로 선명하게 보이는 남산타워와 아파트 조명이 한것 정취를 느끼게 합니다.",별표 5개,4년 전
Key Kim,여기 자전거 타기도 좋고 강가에 있는 스타벅스에는 힝상 시람이 많아요 놀이터 농구장도 축구징도 운동기구들도 읶어요 화장실 곳곳에 있어요 특히 편의점 근처 맥주를 먹을수 있어서 그런기? 반려견 동반 환경 가능해요 목줄과 배변봉투 필수,별표 5개,1년 전
유연,"기본적으로 길이 깨끗하게 잘 관리되어있습니다. 편의점도 여럿 있고, 편의점/배달이 많은 것 치고 깨끗해서 놀랐습니다. 아마 시민들도 각자 잘 치워주시지만 한강 치우는 인력은 많이 들 것 같습니다. 요즘같은 여름에는 초저녁부터 돗자리깔고 한강을 즐기는 사람도 많고, 저녁에도 운동하러 오는 사람들도 많아, 시민 모두가 즐길 수 있는 좋은 곳입니다!!",별표 5개,6년 전
차예홍,"먼저 들어가보시면 잔디가 펼쳐져있습니다. 나무와 잔디가 어우러져서 놀기가 좋습니다. 또한 마트가 있어서 원하는 것을 살수도 있습니다. 참고로 마트에서 라면 끓이는 곳이 있어서 라면 드시기에 적합한 곳입니다. 멋진 한강뷰와 밤이되면 보이는 시내뷰도 예술입니다. 그리고 돗자리, 텐트를 가져가서 필 수 있습니다. 반포한강공원과 달리 농구장이 좀 멀리있습니다. 좀 걸어야되지만 농구골대는 4개가 있습니다. 현재 운동장과 농구장을 공사중이지만 거의 다 끝났기 때문에 놀수있으실 겁니다.",별표 4개,3년 전
횬스토리(효은),한강 공원 중 깨끗한 편인 것 같은 잠원공원입니다만 날이 좋아지며 이리저리 쓰레기들이 널려있는 걸 보면 맘이 아파요~ 오면 행복한 곳인만큼 함께 아껴주면 좋겠어요! 신사 근처 오면 이곳 주차장이 가장 저렴하기도 해 볼 일 보기 전 후로 공원 산책을 즐깁니다.,별표 4개,3년 전
suho ko,"시설은 좋은 편은 아니지만 한가하고 넓어서 여유롭게 아이들과 물놀이 하면서 즐길수 있는곳 간단한 음식과 음료수는 미리준비해가면 편하게 먹을수 있음. 주류는 반입금지. 튜부 바람넣는 에어컴프레셔 무료, 다둥이카드 소지시 50%",별표 3개,6년 전
上善如水,큼지막한 지방에게 자리를 양보한 작은 근육들이 깜짝놀란듯... 그나마 아름다운 풍광을 접하는 네 눈과 선선한 가을 바람을 받아들이는 온몸이 구석구석 놀란 근육들을 위로해준다.,별표 5개,5년 전
cheezee치이즈네 집사와 대두냥이들 (치이즈네),서울에서 그래도 숨쉴만한곳. 밤에 가도 안전하고 특히 라면맛집. 야경도 너무 이뻐서 가끔 방문하는곳,별표 5개,3년 전
Yun-Mi Yi,"잠원 한강 공원에서는 수시로 안내 방송이 나오는데 휴식을 장시간 취할 때 그게 살짝 거슬리기도 하지만 캠핑, 산책 운동하거나 피크닉하기에 참 좋습니다. 안내 센터 2층 화장실은 깨끗한 편이더군요.",별표 4개,8년 전
나윤채,탄천과 한강으로 자전거 타면 중간에 쉬었다 가는 곳입니다. 많은 사람들이 여유로운 시간을 보낼 수 있는 곳이며 편의점과 화장실 등이 있어서 좋습니다. 다만 많은 사람들이 오는만큼 화장실이 지저분한 경우가 많아 관리가 필요합니다.,별표 4개,5년 전
