gu,park_name
강남구,도산공원
강남구,율현공원
강동구,길동생태공원
강동구,허브천문공원
강북구,북서울 꿈의숲
강북구,북한산국립공원
강서구,방화근린공원
강서구,우장산공원
강서구,서울식물원
관악구,서울대공원
관악구,관악산공원
광진구,어린이대공원
광진구,아차산 생태공원
구로구,고척근린공원
구로구,푸른수목원
금천구,금천체육공원
금천구,금천폭포공원
노원구,수락산
노원구,불암산
도봉구,서울창포원
도봉구,북한산국립공원
동대문구,용두근린공원
동대문구,배봉산근린공원
동작구,국립서울현충원
동작구,보라매공원
마포구,문화비축기지
마포구,경의선숲길공원
서대문구,서대문독립공원
서대문구,북한산국립공원
서초구,청계산 매봉
서초구,매헌시민의숲
성동구,서울숲공원
성동구,달맞이공원
성북구,천장산
성북구,북한산국립공원
송파구,올림픽공원
송파구,석촌호수공원
양천구,서서울호수공원
양천구,파리공원
영등포구,선유도공원
영등포구,여의도공원
용산구,용산가족공원
용산구,효창공원
은평구,구파발폭포
은평구,북한산국립공원
종로구,북한산국립공원
종로구,인왕산
종로구,낙산공원
중구,남산 공원
중구,서울로7017
중랑구,사가정공원
중랑구,중랑캠핑숲 중랑가족캠핑장
