Park_nm,Topic,Count,Name,Representation,Representative_Docs
용산_효창공원,-1,227,-1_장소_역사_공기_시설,"['장소', '역사', '공기', '시설', '김구', '선생', '사람', '백범', '나무', '분위기']","['산책하고 놀라운 자연을 즐길 수 있는 멋진 장소', '산책과 역사를 공부하는 것은 매우 좋은 장소입니다', '조용하고 역사적인 장소']"
용산_효창공원,0,239,0_화장실_효창_반려_관리,"['화장실', '효창', '반려', '관리', '놀이터', '동네', '코스', '놀이', '근처', '운동장']","['할 것도 많고, 운동 공간도 있고, 앉을 곳도 있고, 멋진 역사 이야기도 많고, 농구장도 있고, 놀이터도 있고, 산책로도 있고요 놀이터 네, 어린이와 성인 모두 이용 가능합니다 :-) 화장실 풍부함 반려견 동반 환경 목줄을 매고 똥을 주워라', '관리가 잘 되는 운동이나 산책하기 좋은 집앞 공원 화장실 여러군대에 있고 관리가 잘 되어있음 반려견 동반 환경 반려견 반려묘 동반 가능', '이용은 안해봤지만 접근성은 좋아요 반려견 동반 환경 반려견을 데리고 산책 나오는 주민들이 정말 많습니다 피크닉 구역 공원 중간중간에 사람들이 앉아서 쉴 수 있는 밴치가 있어요 놀이터 숙명 여자대학교에서 올라오는 입구에는 농구, 베드민턴을 위한 공간과 어린 애들이 놀 수 있는 공간이 있어요 화장실 화장실에 3개 정도 있는것 같아요 퇴근하고 종종 산책하러 갔던 공간인데 낮에 다녀와도 좋은 공간입니다']"
용산_효창공원,1,64,1_나무_김구_기념관_효창,"['나무', '김구', '기념관', '효창', '선생', '오래', '역사', '시설', '백범', '느낌']","['숲도 좋고 운동하기좋은곳 역사가 있고(윤봉길) 김구선생님 기념관도 있고', '도심속의 작은 공원이지만 오래된 나무로 이루어진 울창한 숲과 연못이 있어 산책하며 휴식을 취하기에 좋은 장소이다 공원안에 백범기념관과 여러 독립운동가(이봉창,김구,차리석,김동녕 등등) 분들의 묘소가 있어 역사적으로도 중요한 곳이다 35종 이상의 운동기구들도 있어 지역두민들의 체력단련을 위한 공간으로도 유용하다', '공원 내에 김구 선생님 기념관도 있으니 같이 보면 더 좋을듯 하다 공원으로서도 좋지만 의미를 생각하며 다니는것이 더 좋을듯 하다 많은 공원중에 하나로 볼 수도 있지만 독립운동가들의 묘소(무덤)가 있는 장소다']"
용산_효창공원,2,43,2_역사_심속_의미_오래,"['역사', '심속', '의미', '오래', '여유', '휴식', '집기', '벌레', '최적', '청파동']","['걷기와 휴식 역사가 있는 편안한 공원', '역사적 의미가 있는 공원', '여름철 벌레 채집기 운영하는 공원']"
용산_효창공원,3,25,3_의사_김구_선생_윤봉길,"['의사', '김구', '선생', '윤봉길', '효창', '대한민국', '묘역', '이봉창', '기념관', '열사']","['백범김구선생 묘, 삼의사(윤봉길', '지하철 효창공원역 1번출구에서 650m 정도 걸어가면 된다 백범 김구 선생을 비롯하여 안중근,윤봉길,이봉창,백정기 의사들의 묘역과 백범기념관까지 있어 다시 한 번 나라의 소중함을 깨닫게 되고 의의 의미를 되새기는 계기가 될 것이다 오늘날 대한민국을 있게 한 독립운동가들의 묘역이 있는 공원이다', '광복후 1946년에 김구선생의 주도로 일본에 있던 이봉창, 윤봉길, 백정기의사의 유해를 모셔와서 안장했고, 안중근의사는 유해를 향후 찾으면 안장하기로 하고 가묘를 만들었다 우리나라의 독립운동을 대표하는 문화재로써, 공원내에 백범김구선생의 묘소와 기념관, 의열사, 의열문, 사의사묘, 임정요인묘, 이봉창의사의 동상 등이 설치되어 있다 1998년에 정부 주도로 공원 재정비공사를 시작해서 의열사와 창열문이 세워졌고, 선열들의 영정을 모셨다']"
용산_효창공원,4,16,4_방문_아름답_시내_최고,"['방문', '아름답', '시내', '최고', '한국', '조성', '괜찮', '추가', '완벽', '다시금']","['아름답고 잘 관리된 공원 그런데 제가 서울에서 방문한 모든 공원은 완벽하게 관리되어 있습니다', '여러 산책로와 운동 공간이 있는 아담하고 예쁜 공원입니다 서울에 오래 머물지 않는다면 꼭 가봐야 할 곳 목록에 꼭 추가하지는 않겠지만, 근처에 사신다면 꼭 시간을 내서 방문해 보세요 도시에서 잠시 벗어나 휴식을 취하고 싶다면 좋은 곳입니다', '서울에서 손꼽히는 지역민들의 공원 도심 속에 이런 숲이 조성되어 있다는 건 용산 최고의 축복 그러면서도 이 공원에 조성된 순국선열들의 정신을 다시금 뒤돌아보자']"
종로_낙산공원,-1,347,-1_올라가_대학_데이트_주차,"['올라가', '대학', '데이트', '주차', '날씨', '경치', '버스', '예쁘', '마을버스', '도심']","['가족들, 연인들 산책겸 데이트겸 가기 좋은 경치 좋은 공원~', '고도가 높지 않아서 가볍게 오를수 있고, 마을버스가 있어서 버스를타고 공원까지 가기 좋음(종로03번 버스/종로5가역, 동대문역, 동묘앞역, 창신역에서 탈수있음) 전망대들이 서울시내를 보기 좋았고 한양도성성곽길이 있어서 복원된 성벽을 따라 걷기에도 좋음 낙산공원 근처에는 이화동벽화마을이 있고, 따라서 내려가면 대학로가 나와서 서울여행시 방문하기 좋은곳', '서울중심에서 높디 높은 산꼴대기 올라가는 기분 헐 정상에 공연장이 있다 둘레길을 잘 만들어놓았다 대학로왔다가 연인들 산책하기에 딱이다 어르신들은 올라가기 힘들다 ㅋㅋ 가파른 경사에 헐 주차한 차들이 밀려올까봐 무섭다 가는길이 어렵지 올라가면 걍 좋은 동네와 공원']"
종로_낙산공원,0,581,0_올라가_데이트_사람_예쁘,"['올라가', '데이트', '사람', '예쁘', '경치', '힘들', '주차', '화장실', '도심', '저녁']","['정상에 올라가면 나름 운치있고 성곽도 있고ㅎㅎ 예쁨^^ 사진찍기좋음ㅎㅎ 데이트 코스로도 좋음 주차장도 있고 운동삼아 올라가기 좋음', '올라가는데 힘들지만 경치가 좋습니다', '올라가긴힘들었지만 경치가 너무 이뻤어요']"
종로_낙산공원,1,180,1_카페_도심_올라가_주차장,"['카페', '도심', '올라가', '주차장', '경치', '대학', '바라보', '공간', '남산', '운동']","['걸어서 성곽길을 걷다보면 아름다운 카페들도 나오고 운치있는곳들이 너무많은곳 연인들 친구들 산책하면 딱좋을 공간이다~ 낙산공원 20대때부터 야경이 보고 싶으면올라가는 낙산공원 성곽으로 보이는 야경은 남산 못지않는 아름다운 뷰를 자랑하는곳이다', '도심에서 바로 인접한 자연을 품은 역사문화공원 대학로 마로니에공원에서 바로 이어지는 코스 올라가는 길에 다양한 맛집과 개성적인 공간을 가진 카페 즐비 공원주차장입구에는 옥상테라스에서 도심전경을 감상할 수 있는 카페와 재즈카페도 있어 젊은이들 및 중장년층에게도 인기있는 명소 지역주민들의 건강유지를 위한 산책코스의 기능까지 갖추었으며 성곽을 따라 아래 동대문방향과 성북까지도 이어진다 (안내표지있음) 사진은 여름밤야경으로 겨울의 낙산공원전망은 또 어떨지 궁금하다 지하철, 버스로 혜화역2번출구 및 마로니에공원하차 후 아르코예술극장 뒷편으로 올라갈 수 있다', '걷기도 좋고 경치도 좋고, 약간의 음식점과 카페도 있습니다 서울 도심의 모습을 내려다볼 수 있는 완만한 경사의 성벽 공원입니다']"
종로_낙산공원,2,23,2_종로_출구_거리_둘레길,"['종로', '출구', '거리', '둘레길', '바라보', '올라오', '저녁', '종종', '동부', '인증']","['동묘역 10번출구에서 종로03마을버스타면 숨안차고 오를수 있는 낙산공원^^ 사계절 낮과밤 언제나 아름다운 그곳', 'DDP, 두산타워 ~ 동대문 ~ 낙산공원 ~ 한성대입구 ~ 성북천 ~ 고려대 코스를 추천한다 데이트코스로도 유명한 곳답게, 야경이 상당하다 북쪽을 바라보고 서면 좌측에는 광화문-종로-을지로의 고층 오피스들이, 우측은 한양도성이 아름답게 조화되어 보인다', '걷기 좋은 서울명소로 꼽히는 낙산공원 서울성곽길 지하철 4호선 혜화역 1번출구로 나와서 마로니에 공원을 가로질러 이화벽화마을쪽으로 올라오면 낙산공원 이정표가 보입니다 그 언덕길로 쭉 올라오면 서울시내가 한눈에 내려다보이는 낙산공원서울성곽길이 나옵니다 그 성곽길을 따라 쭉 걷다보면 예전에 이대부속병원이 있었던 동대문이 내려다보이는 곳까지 걸을 수 있습니다 가볍게 산보하듯 서울시내를 내려다 볼 수 있는 서울성곽길 꼭 한번 걸어보시면 좋을거예요']"
