Review,Topic_ID
"많이 힘들지 않고, 시간도 많이 들이지 않고 경치 좋은 국립공원 산을 오를 수 있는 곳 북한산 국립공원 추천합니다 (사진에 얼굴바위, 오리바위, 인수봉 철모바위) 오늘코스는 북한산+스타벅스 북한산점+두꺼비집 24/11/8 우이역으로 해서 구파발쪽으로 나오는 코스로 9시에 출발했습니다",0
대한민국의 대표적 국립공원으로 서울과 경기도 고양시에 걸쳐져 있어 접근성이 좋으며 4계절 각기 아름다운 자연경관을 즐길 수 있습니다 등산코스도 매우 많으므로 본인의 체력과 상황에 맞는 코스를 잘 선택하면 다양한 등산의 즐거움을 경험할 수 있습니다,0
서울에 이런 아름다운 산이 있어 너무 좋아요 😍 화장실 깨끗한 화장실이 도선사입구 코스쪽에 있고 재래식 화장실은 여러곳이 있습니다 서울의 명산 북한산 초보부터 중상급자 코스까지 너무 다양한 등산코스가 너무 매력적인 산입니다,-1
총 소요시간 식사 및 사진 휴식 포함해서 3시간 40분 소요되었네요 풍경이 너무 아름답고 즐거웠던 코스였습니다 진관사 - 응봉 - 비봉 - 향로봉 코스로 다녀왔습니다,5
길이 잘 정비되어있어 즐겨찿기 좋은곳 화장실 잘되어있다 북하한 국립공원 도선사에서 새벽4시30분에 출발해서 일출산행에 성공 ㅎ 일출산행으로 강추합니다,5
북한산국립공원 입구부터는 직접 두 발로 등산을 해봤는데 산이 정말 알록달록해서 올라가는 맛이 쏠쏠했어요 북한산국립공원은 올라가는 입구부터 단풍으로 가득해요 저는 자전거를 타고 이 길을 올라가봤는데 너무 분위기 있고 좋더라고요,0
"산성입구에서 백운대로 가는 길이 가장 대중적이지만 사실 생각보다 그리 추천하지는 않습니다 북한산 진짜 최고의 뷰 맛집은 의상능선따라 나한봉에서 바라보는 비봉능선 / 불광역쪽 족두리봉 ~ 비봉 ~ 승가봉 / 문수봉에서 바라보는 북한산 전경 정도겠네요 즉, 북한산 국립공원 지도를 보면 동쪽보다는 서쪽이, 북쪽보다는 남쪽이 대체로 힘들고 재밌고 풍경이 멋있습니다",0
"보통 등산객들은 지하철 북한산우이역에서 우이동 방향으로, 불광역에서 내려서 비봉방향으로 걸어가거나 연신내역에서 내려서 버스를 타고 북한산성 쪽으로 간다 북한산은 수많은 등산로가 있는데, 가장 쉬운 등산코스는 북한산성과 우이동 방면이다 반면 가장 어려운 등산코스는 숨은벽 능선, 의상 능선, 비봉 능선 등이 있다",2
*힘들지만 가장 좋은 코스:북한산입구부터 백운대까지 오르는 길 *되도록이면 등산객들이 몰리지 않도록 일찍 오르는 것이 좋다 *주차장 유료 이용,-1
집 뒷산이 북한산이에요 산책하듯 주말에 다니는 북한산 👍 높이는 못올라감 ⚠️,4
