Park_nm,Topic,Count,Name,Representation,Representative_Docs,sentiment_label,sentiment_score
용산_효창공원,1,64,1_나무_김구_기념관_효창,"['나무', '김구', '기념관', '효창', '선생', '오래', '역사', '시설', '백범', '느낌']","['숲도 좋고 운동하기좋은곳 역사가 있고(윤봉길) 김구선생님 기념관도 있고', '도심속의 작은 공원이지만 오래된 나무로 이루어진 울창한 숲과 연못이 있어 산책하며 휴식을 취하기에 좋은 장소이다 공원안에 백범기념관과 여러 독립운동가(이봉창,김구,차리석,김동녕 등등) 분들의 묘소가 있어 역사적으로도 중요한 곳이다 35종 이상의 운동기구들도 있어 지역두민들의 체력단련을 위한 공간으로도 유용하다', '공원 내에 김구 선생님 기념관도 있으니 같이 보면 더 좋을듯 하다 공원으로서도 좋지만 의미를 생각하며 다니는것이 더 좋을듯 하다 많은 공원중에 하나로 볼 수도 있지만 독립운동가들의 묘소(무덤)가 있는 장소다']",긍정,0.5985565781593323
용산_효창공원,2,43,2_역사_심속_의미_오래,"['역사', '심속', '의미', '오래', '여유', '휴식', '집기', '벌레', '최적', '청파동']","['걷기와 휴식 역사가 있는 편안한 공원', '역사적 의미가 있는 공원', '여름철 벌레 채집기 운영하는 공원']",긍정,0.9711437821388245
용산_효창공원,4,16,4_방문_아름답_시내_최고,"['방문', '아름답', '시내', '최고', '한국', '조성', '괜찮', '추가', '완벽', '다시금']","['아름답고 잘 관리된 공원 그런데 제가 서울에서 방문한 모든 공원은 완벽하게 관리되어 있습니다', '여러 산책로와 운동 공간이 있는 아담하고 예쁜 공원입니다 서울에 오래 머물지 않는다면 꼭 가봐야 할 곳 목록에 꼭 추가하지는 않겠지만, 근처에 사신다면 꼭 시간을 내서 방문해 보세요 도시에서 잠시 벗어나 휴식을 취하고 싶다면 좋은 곳입니다', '서울에서 손꼽히는 지역민들의 공원 도심 속에 이런 숲이 조성되어 있다는 건 용산 최고의 축복 그러면서도 이 공원에 조성된 순국선열들의 정신을 다시금 뒤돌아보자']",긍정,0.6162185668945312
종로_낙산공원,0,581,0_올라가_데이트_사람_예쁘,"['올라가', '데이트', '사람', '예쁘', '경치', '힘들', '주차', '화장실', '도심', '저녁']","['정상에 올라가면 나름 운치있고 성곽도 있고ㅎㅎ 예쁨^^ 사진찍기좋음ㅎㅎ 데이트 코스로도 좋음 주차장도 있고 운동삼아 올라가기 좋음', '올라가는데 힘들지만 경치가 좋습니다', '올라가긴힘들었지만 경치가 너무 이뻤어요']",긍정,0.8242989778518677
종로_낙산공원,1,180,1_카페_도심_올라가_주차장,"['카페', '도심', '올라가', '주차장', '경치', '대학', '바라보', '공간', '남산', '운동']","['걸어서 성곽길을 걷다보면 아름다운 카페들도 나오고 운치있는곳들이 너무많은곳 연인들 친구들 산책하면 딱좋을 공간이다~ 낙산공원 20대때부터 야경이 보고 싶으면올라가는 낙산공원 성곽으로 보이는 야경은 남산 못지않는 아름다운 뷰를 자랑하는곳이다', '도심에서 바로 인접한 자연을 품은 역사문화공원 대학로 마로니에공원에서 바로 이어지는 코스 올라가는 길에 다양한 맛집과 개성적인 공간을 가진 카페 즐비 공원주차장입구에는 옥상테라스에서 도심전경을 감상할 수 있는 카페와 재즈카페도 있어 젊은이들 및 중장년층에게도 인기있는 명소 지역주민들의 건강유지를 위한 산책코스의 기능까지 갖추었으며 성곽을 따라 아래 동대문방향과 성북까지도 이어진다 (안내표지있음) 사진은 여름밤야경으로 겨울의 낙산공원전망은 또 어떨지 궁금하다 지하철, 버스로 혜화역2번출구 및 마로니에공원하차 후 아르코예술극장 뒷편으로 올라갈 수 있다', '걷기도 좋고 경치도 좋고, 약간의 음식점과 카페도 있습니다 서울 도심의 모습을 내려다볼 수 있는 완만한 경사의 성벽 공원입니다']",긍정,0.9423468708992004
종로_낙산공원,2,23,2_종로_출구_거리_둘레길,"['종로', '출구', '거리', '둘레길', '바라보', '올라오', '저녁', '종종', '동부', '인증']","['동묘역 10번출구에서 종로03마을버스타면 숨안차고 오를수 있는 낙산공원^^ 사계절 낮과밤 언제나 아름다운 그곳', 'DDP, 두산타워 ~ 동대문 ~ 낙산공원 ~ 한성대입구 ~ 성북천 ~ 고려대 코스를 추천한다 데이트코스로도 유명한 곳답게, 야경이 상당하다 북쪽을 바라보고 서면 좌측에는 광화문-종로-을지로의 고층 오피스들이, 우측은 한양도성이 아름답게 조화되어 보인다', '걷기 좋은 서울명소로 꼽히는 낙산공원 서울성곽길 지하철 4호선 혜화역 1번출구로 나와서 마로니에 공원을 가로질러 이화벽화마을쪽으로 올라오면 낙산공원 이정표가 보입니다 그 언덕길로 쭉 올라오면 서울시내가 한눈에 내려다보이는 낙산공원서울성곽길이 나옵니다 그 성곽길을 따라 쭉 걷다보면 예전에 이대부속병원이 있었던 동대문이 내려다보이는 곳까지 걸을 수 있습니다 가볍게 산보하듯 서울시내를 내려다 볼 수 있는 서울성곽길 꼭 한번 걸어보시면 좋을거예요']",긍정,0.8143057227134705
종로_낙산공원,3,20,3_전망대_언덕_혜화문_대학,"['전망대', '언덕', '혜화문', '대학', '벽화', '정상', '성지', '성북', '순성', '남산']","['이화동벽화마을과 같이 있어 좋음 남산과 북한산이 보이는 전망대', '주로 산책길 + 운동기구, 전망대, 성곽, 공연장 전망대는 전망범위가 그리 넓진않음(산이 얕아서) 대학로에서 가까운 얕은 산(언덕) 위 공원', '4호선 동대문역 역사 내 화장실을 이용하거나 낙산공원 전망대까지 10분-15분 정도 걸어서 올라가야 한다 전반적으로 오르기 쉬운 언덕같은 느낌이지만 드문드문 경사가 조금 가파른 구간이 있습니다 산책로를 따라 걸으며 동대문과 DDP, 두타(DOOTA)및 남산타워 건물 등을 내려다 볼 수 있습니다']",중립,0.6447203755378723
마포_경의선숲길공원,2,63,2_아름답_예쁘_낭만_가볍,"['아름답', '예쁘', '낭만', '가볍', '도시', '사진', '기분', '다니', '코스', '발전']","['아름답고 상쾌한 곳', '아름답고 낭만이 있는곳', '도시 한가운데서 산책하고 휴식을 취하기에 너무 아름답고 기분 좋은 곳이에요']",긍정,0.9890853762626648
마포_경의선숲길공원,3,42,3_아침_장소_데이트_산책로,"['아침', '장소', '데이트', '산책로', '날씨', '친구', '코스', '일찍', '일어나', '최적']","['날씨좋을때 데이트하기 좋은곳', '산책하고 데이트하기 좋은 장소', '데이트하기 좋은 장소']",긍정,0.9866226315498352
마포_경의선숲길공원,4,34,4_숲길_쓰레기_연남동_주민,"['숲길', '쓰레기', '연남동', '주민', '경의선', '사람', '겨울', '화장실', '지역', '도시']","['경의선 숲길 산책하기 좋습니다 경의선 산책할 때 화장실가기는 힘듭니다 주변거주하시는 분들도 두루두루 산책하기 좋은 거 같아요', '연남동 뒷길을 숲길로 만들어 다양한 상권이 형성될 수 있도록 한 점은 좋았습니다 하지만 무분별하게 버려지는 쓰레기와 담배꽁초들, 연남동 고유의 특색을 가진 상권들의 몰락, 천편일률적인 상점들로 인해 연남동이 가진 개성들이 사라져버린 점은 매우 아쉽습니다', '한 동안 저녁에 술 판이 벌여지고 버스킹에 동네 주민으로써 너무 불편했지만 사람들이 몰이기 전 시간에 가면 너무 평화로운 경의선 숲길 이다 토박이기도 하지만 내가 이곳을 좋아하는 이유이기로 하다~^^ 연트럴파크란 촌스러운 이름 말고 경의선숲길 이라 불리길^^ 개인적으로 이상한 연트럴 파크가 아닌 경의선숲길 이라는 이쁜 공원 명칭으로 불렸으면 하는 바램입니다']",중립,0.6999222040176392
