District,eco_score,z,cdf,eco_score_std,순위
광진,828.6429365575312,4.611638246393936,0.9999980024609014,99.99980024609015,1
동작,284.422117198507,1.2132620327832915,0.8874851730455412,88.74851730455411,2
동대문,198.4535516276956,0.6764330141908624,0.7506171188627635,75.06171188627636,3
종로,134.45178444186845,0.2767752365087587,0.6090236514847827,60.90236514847827,4
강서,96.47892528176308,0.03965446357604019,0.5158156970499264,51.58156970499264,5
etc,86.67952876091003,-0.02153767545941346,0.4914083748777645,49.14083748777645,6
도봉,82.245270550251,-0.04922731373135557,0.48036907221952807,48.03690722195281,7
송파,78.0979119701819,-0.07512541289709666,0.4700574641934463,47.00574641934463,8
영등포,75.30571369826794,-0.09256124014481772,0.46312606869377143,46.31260686937714,9
중구,66.16405729147104,-0.14964613396135706,0.4405219041698518,44.052190416985184,10
강동,55.09443134367466,-0.2187701956958296,0.4134145324391288,41.34145324391288,11
용산,38.31056033074856,-0.3235767484657433,0.3731292468538579,37.31292468538579,12
중랑,35.03258806467056,-0.34404598187551094,0.3654058529669259,36.54058529669259,13
양천,32.81674701637692,-0.3578827577646293,0.3602155272970454,36.021552729704545,14
관악,32.651961175931824,-0.3589117597075686,0.3598305510044093,35.98305510044093,15
성동,30.064085739851,-0.3750716970214745,0.35380357278305286,35.38035727830528,16
금천,26.26418895274401,-0.39880007784800964,0.3450202598478714,34.50202598478714,17
구로,25.8845540029662,-0.4011707008328115,0.34414722525823854,34.414722525823855,18
서대문,25.00459575653076,-0.4066655828132157,0.34212681095434005,34.21268109543401,19
마포,24.648432743549346,-0.40888963574987014,0.34131032765095803,34.1310327650958,20
서초,24.001056380569935,-0.4129321647288132,0.33982815725411103,33.9828157254111,21
강북,22.203848989804587,-0.4241547909688304,0.33572646449197197,33.572646449197194,22
강남,21.21151176095009,-0.4303514212969228,0.33347001354971517,33.34700135497152,23
노원,18.72421585023403,-0.44588329174087976,0.32784077600287675,32.784077600287674,24
성북,0.2445494681596756,-0.5612792053743709,0.28730360758615914,28.730360758615912,25
은평,0.2445494681596756,-0.5612792053743709,0.28730360758615914,28.730360758615912,26
