Topic,Count,Name,Representation,Representative_Docs
-1,224,-1_안창호_도심_선생_장소,"['안창호', '도심', '선생', '장소', '화장실', '공간', '관리', '기념관', '역사', '나무']","['도심에 이런 휴식공간이 있어서 좋고 깨끗하게 관리가 되어 좋음', '화장실 공원 내 안창호 기념관 건물 내 깨끗한 시설 독립정신을 되새기고 역사적 장소로 도시 위치좋은곳 숲속 느낌 산책하고 도산 안창호 묘역도 참배해주세요', '도산 안창호선생에 대해, 그리고 도산 공원 설립 과정을 잘 알 수 있는 장소였어요']"
0,334,0_도심_주차_사람_주차장,"['도심', '주차', '사람', '주차장', '근처', '허브', '화장실', '선생', '안창호', '여유']","['조용하니 애들과 걷다 가기 좋습니다 주변에 캠핑장이 있어 활기차고 좋네요 다만 주차공간이 협소하고 불편합니다', '집 근처 여유로운 산책하거나 돗자리 펴고 쉬기 딱 좋습니다 다만 주말에도 주차단속 심하니 근처 공영주차장에 주차하세요', '도심속에 이렇게 좋은 산책코스와 안창호선생을 생각할 수 있는곳이 있다는것이 너무 좋았다']"
1,143,1_허브_천문_식물_주변,"['허브', '천문', '식물', '주변', '향기', '자산', '강동구', '관리', '사람', '사진']","['5시이후에 놀러가면 공원주변에 주차도 가능하고 사람도 생각보다 많지 않아요 몇일전 허브공원에 갔는데 허브관련 식물들이 많이 자랐고 이젠 꽃들도 제법 많이 폈더라고요 허브식물특성인 쌉싸리한 향기도 나고 참 좋았어요', '허브 공원 자체는 넓지는 않지만, 일자산 둘레길 등 허브 향기가 진하고 관리가 잘되어있습니다', '아래 사진들을 보시면 한 겨울에 허브를 어떻게 관리하는 지를 잘 보여주고있습니다 국내에서 강동구 허브천문공원처럼 허브 월동 관리를 잘하고 있는 곳을 보지 못했습니다 강동구 소재 허브천문공원은 보물이네요']"
2,125,2_전망_저녁_도심_코스,"['전망', '저녁', '도심', '코스', '장소', '보이', '공기', '가볍', '운동', '축복']","['전망도 강이 보이거나 멀리까지 내다 보이는게 아니라서', '편안하게 걸을 수 있고 전망이 좋음', '전망이 좋아요, 잘 꾸며 놓았고요']"
3,100,3_평화_도시_도심_역사,"['평화', '도시', '도심', '역사', '공간', '심속', '이름', '박물관', '시설', '생각']","['도심속 평화로운 공원', '도시 속 오아시스, 규모는 크지 않지만 편안하고 여유로운 곳, 역사적 인물을 기념하는 공원도 있어 방문할 가치가 있음', '평화롭고 역사적으로 의미가 있으며 영감을 주는 도시 공원']"
4,20,4_강남_복판_기리_도심,"['강남', '복판', '기리', '도심', '강동구', '자연', '패션', '보석', '위치', '일자']","['강남에서 산책하기 좋은곳', '강남 한복판에 공원', '도산안창호 선생님을 기리는 강남에 있는 조용하고 작은 공원']"
5,18,5_조용히_규모_이용_공간,"['조용히', '규모', '이용', '공간', '교통', '그만큼', '가보세요', '계단', '스팟', '부족']","['강남에서 조용히 산책할수있는곳', '아이들과 조용히 산책하기 좋습니다', '조용히 산책하기 좋은곳']"
6,18,6_운동_올라가_장소_스트레칭,"['운동', '올라가', '장소', '스트레칭', '한가로이', '공용', '개인', '가볍', '코스', '조깅']","['산책하기 좋고, 운동하기도 좋고', '산책하러 오거나 공용 운동 기구를 이용해 운동할 수 있어요', '걷기 및 조깅 운동코스로 최적화된 장소입니다']"
7,17,7_강남_안창호_출구_버스,"['강남', '안창호', '출구', '버스', '생태', '대중교통', '힐링', '기념관', '복판', '심속']","['강남의 한가운데에 안창호 선생님의 기념 공원이 존재하다니 뜻밖의 발견, 간김에 참배도하고, 오늘은 압구정로데오 축제도 구경하고~', '강남 도심 한복판에 있는 도산 안창호 기념 공원', '운영시간: 매일 ~ (동절기 , 매주 월요일 휴관), 인터넷 사전예약 필수 (일 총정원-400명: 범위 내에서 당일 현장접수 후 입장 가능) 전화: 02 472 2770 *대중교통:둔촌역2번출구 바로뒤 3412번 버스 10분이내 서울시가 ‘공원녹지 확충 5개년 계획’의 일환으로 조성한 환경친화형생태공원 1998년에 준공되었으니 더욱 무성할 따름이다 *대중교통:9호선 중앙보훈병원역 2번출구~20분거리 *길동자연생태공원(25182/25183) 버스정류장 : 342 길동생태공원에서 가장 매력적인 지역은 산림지구다']"
8,16,8_허브_냄새_향기_가을,"['허브', '냄새', '향기', '가을', '예쁘', '정말로', '멋있', '런닝', '코스', '들어오']","['갖가지 허브향이 정말 좋은곳입니다', '봄에 오면 허브향이 정말 좋습니다', '멋진뷰와 잘 꾸며놓은 허브 산책할만합니다']"
9,14,9_동반_반려_환경_강아지,"['동반', '반려', '환경', '강아지', '오전', '평일', '주차', '동물', '화장실', '아침']","['화장실 공원에는 화장실이 있습니다 반려견 동반 환경 사람들은 공원에서 개를 산책시킨다 이 지역에는 박물관과 역사관이 있고, 운동하고 산책할 수 있는 휴식 공원이 있으며, 아침에 방문하기 매우 평화로운 곳입니다', '주차는 어렵지만 산책하기는 좋음 화장실 깔끔한 화장실 반려견 동반 환경 반려견과 산책을 많이 와요', '가족끼리 강아지 산책하고 걷기 좋음 반려견 동반 환경 강아지들 많이옴']"
10,10,10_안창호_선생_기념관_기념,"['안창호', '선생', '기념관', '기념', '동상', '교육', '정신', '조성', '독립운동', '탄생']","['도산안창호 선생의 기념관이 있는 도산공원입니다', '도산 안창호 선생님의 동상과 기념관 등 여러 볼거리가 있으니 꼭 방문하시길 바랍니다 도산 안창호 선생님을 기념하는 공원입니다', '도산선생의 기념관과 묘, 동상이 있고 산책하기 좋아요 도산 안창호선생을 기념하는 공원']"
