Topic,Count,Name,Representation,Representative_Docs
-1,1124,-1_도심_허브_공간_안창호,"['도심', '허브', '공간', '안창호', '사람', '장소', '선생', '화장실', '힐링', '시설']","['도심 속에 있는 너무 좋은 힐링의 공간', '최고의 나들이 장소🌸 벚꽃의 성지👍 화장실 입구쪽 관리사무소 화장실 이용 여자화장실 4칸 정도 반려견 동반 환경 짱귀 멈머들 가득 피크닉 구역 그늘 아래면 모두 오케이', '도산 안창호 선생님의 동상과 기념관 등 여러 볼거리가 있으니 꼭 방문하시길 바랍니다 도산 안창호 선생님을 기념하는 공원입니다']"
0,271,0_주차_괜찮_가족_사람,"['주차', '괜찮', '가족', '사람', '동네', '다니', '만들', '매일', '아기', '여유']","['주차는 10분에 300원 이었습니다', '사람이 너무많고 주차하는데 애를 먹었네요', '날이 좋을수록 사람미워터짐 주차공간점 늘려야할듯']"
1,93,1_북서울_강남_기리_독립,"['북서울', '강남', '기리', '독립', '주민', '선생', '복판', '도심', '대한민국', '한국']","['저처럼 뜨거운 여름날에 이곳을 찾았다면, 무료 입장으로 시원하게 휴식을 취할 수 있는 좋은 장소입니다 공원에는 헬스장 수준의 운동 기구가 있을 뿐만 아니라, 도산 선생을 기리는 박물관도 있습니다 한국의 독립운동가 도산 안창호 선생을 기리는 아주 멋진 공원입니다', '도산공원이라는 이름에 걸맞게 도산 안창호의 기념관 뿐만 아니라 안창호 선생의 동상, 민족을 위한 도산의 말씀, 도산과 함께 독립 운동을 한 선인들의 사진 등 도산 안창호 선생을 기릴 수 있는 것들이 많아 이 공원 근처 주민이나 공원을 찾는 많은 사람들은 절로 애국심이 생길 것 같다 강남 도심 한가운데 위치한 도산공원은 적당한 크기의 공원이지만 공원의 조성이나 관리가 정말 잘 되어 있어서 주민들에게 기막힌 환경을 제공한다 또헌 공원 내부엔 주민들의 건강을 위한 운동기구들이 놓여 있다', '도산안창호 선생님을 기리는 강남에 있는 조용하고 작은 공원']"
2,79,2_올라가_주차_입구_주차장,"['올라가', '주차', '입구', '주차장', '불편', '힘들', '편의점', '운영', '들어가', '야경']","['아래 문화센터 주차장에 대고 계단으로 올라가도 공원에 금방 도착합니다 주차는 차로 위로 올라가면 입구 근처에 다들 대더군요', '전망대는 생각보다 볼거 없음ㅋㅋ올라가는데 너무 오래 걸린다ㅋㅋ한번쯤 가보기는 추천ㅎ 야경이 예쁘다 넓고 걸을 곳이 나름 많은 편', '전망대 카페는 현재 주말에만 운영한다고 하네요, 전망대 올라가는 경사로 엘리베이터 재밌습니다 그러나 만약 방문일에 경사로 엘리베이터가 점검중 이라면 전망대는 다음에 올라가세요 산책로 조성 잘 돼있습니다']"
3,71,3_점심_커피_식사_코스,"['점심', '커피', '식사', '코스', '데이트', '안창호', '생각', '선생', '가족', '붐비']","['산책하기 좋습니다 점심식사 할 수있는 중식당과 이태리 음식점이 있습니다', '점심 먹고 땅을 밞으며 한바퀴도는코스로', '도심속에 이렇게 좋은 산책코스와 안창호선생을 생각할 수 있는곳이 있다는것이 너무 좋았다']"
4,63,4_카페_맛있_전망대_중식,"['카페', '맛있', '전망대', '중식', '식사', '풍경', '커피', '식당', '요리', '거리']","['전망대의 경치가 좋습니다~^^ 놀거리와 즐길거리가 너무쳐나고 그곳에 있는 식당도 맛있어요', '낮은 산둘레길도있고 언덕위 잔디밭에서 내려다보는 전체풍경도 한가로이좋다 미술관쪽으로 내려가면 정원뷰 카페도있다 타워전망대에서 서울풍경보며 커피한잔, 맛있는 중국집도 있으니 식사도 해결된다', '중식당 메이린에서 가족과 식사를 하고 왔는데 주말이라 주차장이 협소하여 불편하였으나 찹쌀탕수육,메생이누릉지탕 맛있게 먹었음 그리고 전망대카페에서 커피도 좋음 평일에 가면 더 좋을 듯함']"
5,61,5_전망_날씨_전망대_하늘,"['전망', '날씨', '전망대', '하늘', '전체', '행복', '아름답', '조경', '만들', '공기']","['또한 높은 위치에 있어 전망 또한 좋음', '전체적으로 깨끗하고 전망도 좋아요', '전망이 좋아요, 잘 꾸며 놓았고요']"
6,60,6_반려_동반_환경_강아지,"['반려', '동반', '환경', '강아지', '화장실', '놀이터', '동물', '견과', '사람', '피크닉']","['산책하기 좋은 숲 가족과 함께하기에 좋아요 반려견 동반 환경 넓은숲 공간 입니다', '강북의 아주 큰 공원 뷰와 휴식공간이 좋아요 화장실 깨끗해요 반려견 동반 환경 반려동물과 함께 나온 사람들이 많아요', '가족끼리 강아지 산책하고 걷기 좋음 반려견 동반 환경 강아지들 많이옴']"
7,60,7_주말_주차_놀이_물놀이,"['주말', '주차', '놀이', '물놀이', '뛰어놀', '돗자리', '안내', '주차장', '가능', '공놀이']","['물놀이도 하고 놀이터도있어서 아이들과 주말 나들이 하기 좋습니다 다만 주차가 힘든 단점은 있습니다', '정말 잘 만든 놀이공간 휴식공간 문화공간입니다 입소문이 나면서 주말에는 사람 진짜많네요 주말 주차는 오래걸리니깐 참고하시구요 아이들 풀어놓고 돗자리 깔고 쉬어도 되고 2층 커피솦에서 커피한잔하면 밖을 바라봐도 좋아요 저는 그림도시락 행사 참여로 매주 주말마다 다녔습니다 그림도시락 행사도 추천이요', '주차가 매우 힘들어요 대중교통 추천드립니다 오후 2시쯤 와서 1시간 기다리고 주차함 10분당 30원 저렴하니 주차요금은 괜찮아요 구경할거 많고 편의점도 있고 아이들과 뛰어놀고 물놀이하기 최고입니다']"
8,54,8_벚꽃_허브_예쁘_장미,"['벚꽃', '허브', '예쁘', '장미', '향기', '가을', '종류', '정원', '다양', '맛집']","['봄에 벚꽃이 좋지요', '벚꽃이 너무 예쁘게 피어있어요 오늘이 제일 예쁘데요', '봄이면 벚꽃이 예쁘게 펴요']"
9,36,9_선선_휴식처_가볍_스트레칭,"['선선', '휴식처', '가볍', '스트레칭', '휴식', '담소', '중심부', '부담없이', '한가로이', '가을']","['휴식처, 힐링공간, 산책코스', '선선하니 산책하기 좋은 곳입니다', '요즘날씨가 선선해서 산책하기좋다']"
10,30,10_사슴_방목장_전망대_농장,"['사슴', '방목장', '전망대', '농장', '미술관', '강북구', '활용', '동물', '주차장', '연못']","['사슴도 볼 수 있어서 좋았어요 늘 가족 나들이 코스로 좋은 곳입니다^^', '사슴도 있고 전망대도 좋습니다', '아주넓고 좋아요 사슴도 있구요']"
11,25,11_사랑_야경_놀기_남녀노소,"['사랑', '야경', '놀기', '남녀노소', '비온뒤', '금지', '타워', '민족', '야간', '조성']","['야경이 멋있는 북꿈숲~', '도산 선생의 민족사랑을 느끼게 잘 조성된곳', '율현공원 야옹이들 너무 예쁘요 같이 사는 생명 사랑합시다 ^ ^']"
