Topic,Count,Name,Representation,Representative_Docs
-1,435,-1_동물원_구경_대기_호랑이,"['동물원', '구경', '대기', '호랑이', '주말', '예약', '방문일', '리프트', '서울대', '시설']","['날씨 좋을 때 나들이 가기 좋아요 방문일 평일 대기 시간 대기 시간 없음 예약 권장 예', '아이와 같이 동물원 구경을 할 거라면, 리프트 두번타고 정상까지 가서 내려오는게 편할거같아요 방문일 주말 대기 시간 최대 10분 예약 권장 예 가족나들이&연인 데이트 장소로 최고인거같아요', '몇만년만에 동물원 구경 ^^ 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요']"
0,184,0_대기_방문일_예약_주말,"['대기', '방문일', '예약', '주말', '가족', '장소', '단풍', '대공원', '권장', '날씨']","['매우 좋아요 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요', '방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요', '방문일 주말 대기 시간 대기 시간 없음 예약 권장 예']"
1,151,1_동물원_실내_코로나_생각,"['동물원', '실내', '코로나', '생각', '관람', '식당', '사람', '구경', '다양', '보이']","['엄청나게 넓고 맨위부터 모든것을 다보려면 많이 걸어야한다 그러므로 미리 입구에서 리프트를 타고 올라가는 것이 체력을 아끼는데 도움이 될듯하다 코로나 때문에 실내로 들어가서 보는 곳이 다 닫혀서 아쉬웠다 우리나라에서는 이정도면 아주 훌륭한 동물원이라고 생각된다 많은 종류의 동물이 있지만 각 개체수는 많지 않다 낮이라 많은 수의 동물이 자는 모습만 보여서 아쉬웠다 9', '아이랑 나들이 하기 좋은 동물원 가격도 저렴하고 좋으나 코로나로 인해 실내 전시관 대부분이 문을 닫음', '날씨도 좋았고 오랜만에 나들이겸 산책한 기분이 들어서 힐링이 되었어요ㅎㅎ 주말이라 그런지 아이들을 데리고온 가족들이 많았고 사람도 꽤 있었어요 코로나로 인해 실내 전시관들은 관람할수 없었고 관람시간이 정해져있는 동물들도 있어서 더 많이 보지 못한게 아쉬웠어요']"
2,52,2_코끼리_열차_리프트_이용,"['코끼리', '열차', '리프트', '이용', '유모차', '내려오', '주차장', '동물원', '패키지', '방문']","['대공원의 전체를 보고싶으면 코끼리열차를 타면 열차안에서 볼수 있어요(대인:200,소인:700) 이에요', '주말에 11시 너무어가면 주차하기 힘들지만 저렴하게 아이에게 동물을 보여줄수 있습니다 가급적이면 지하철을 타고 이동하는 것이 좋습니다 동물원패키지권을 사서 코끼리열차를 타고 리프트를 타고 올라가 위에서부터 보면서 내려오는 것을 추천합니다', '아이들과 같이 가기 너무 좋아요~ 여성전용주차쪽이 코끼리열차 타는 곳과 가까워서 주차해놓고 코끼리 열차 이용해서 입장했어요~ 리프트 이용하실분들은 패키지권(동물원입장권+리프트)이 있어서 이용하심 되요(리프트 유모차도 실어줘요) 저흰 리프트 이용안하고 걸어올라갔다가 내려왔네요~ 리프트 2번 이용하셔서 맨 위에 내리면 호랑이 보는 곳이 있어요~ 걸어올라가려니 꽤 올라가야하더라구요 리프트타고 위에서 부터 내려오면서 봐도 좋을거 같아요~ 음식점은 중간에 있긴한데 저흰 김밥이랑 간식 싸가지고 의자,정자같은곳에 앉아서 밥 먹었어요 주차료도 하루종일이 5천이었어요 입장료랑 주차료 부담없어서 자주가기 좋아요^^']"
3,51,3_음식_주차_대기_사람,"['음식', '주차', '대기', '사람', '권장', '방문일', '예약', '어른', '준비', '주말']","['기린랜드 방문 키즈카페느낌이라서 날씨가 추운데 비해 사람이 많음 1층은 안내소 / 거울방 2층은 여러가지 놀이시설 (기차 회전목마 정글짐 등등) 3층은 조금 각도 있는 언덕에서 튜브타고 내려오기 자전거 타기 등등 시설은 좀 노후화되었지만 그럭저럭 놀만합니다 아쉬운점은 휴게시설(앉아서 밥먹고 쉬는곳)을 일부 인원이 사석화 하고 있어서 가방만 올려져있고 정작 필요한 사람은 계단에 앉아서 식사하곤 하더군요 가성비는 아슬아슬 한데 사람마다 호불호 있을듯요 ㅎㅎ 주차는 서울대공원에 하시면 되요 (일5,00원 카드가능)', '가족들 놀러가기 좋아요 준비 잘해서 하루종일 즐기면 좋을장소에요 단 음식은 준비해가세요 가성비 최악입니다', '아기도 어른도 좋은 산책코스 ( 그런데 동물들은 아닌듯 ㅠ ㅠ) 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요']"
4,45,4_가족_서울대_장소_즐기,"['가족', '서울대', '장소', '즐기', '소풍', '입장료', '친구', '만들', '피크닉', '코스']","['아무튼 가족들과 마음껏 산책을 즐기면서 여유롭게 가족에게 집중하고 싶다면 서울대공원으로 놀이기구와 같은 놀이가 목적이라면 서울랜드로 가면 될듯합니다~ 저희가족 11월 나들이는 서울랜드로~ 매점들중에 저희 엘앤피튀김기로 매점을 회오리감자 등 튀겨 판매하시는 사장님들이 있어서 서울대공원, 서울랜드 매점 운영조건을 조금은 아는탓에 제품당 이정도 가격은 이해하는 입장이에요 매점들 먹거리가격이 좀 비싼감이 있지만 이정도는 이해합니다', '오전 일찍 오면 주차문제도 없으며 한가로운 분위기에 나들이후 점심 먹고 집에 돌아가는 가벼운 가족 데이트코스로 추천합니다 여름엔 워터파크 봄가을엔 서울대공원 겨울엔 아쿠아리움 키즈카페 등지로 가족나들이가 가능하지만 날이 선선하고 좋은 계절엔 서울대공원이 최고입니다 접근성이 떨어지는 단점이 있으나 서울수도권에서 가볍게 소풍 나들이코스로 와서 자주 즐기시기에 좋습니다', '주변에 산책로가 매우 잘 만들어져 있어서 가을에는 가족이나 모임 단의로 깨끗하고 쾌청한 공기를 만끽할 수 도 있는 좋은 장소입니다 가족 또는 연인들이 함께 즐길 수 있는 복합적인 공원입니다 학교에서는 체험할 수 없는 귀중한 시간을 가족들과 가질 수 있는 귀한 장소입니다']"
5,41,5_대기_예약_방문일_리뉴,"['대기', '예약', '방문일', '리뉴', '주말', '모르', '별도', '다니', '두기', '애기']","['또 호랭이를 보러감~♡ 펜자패밀리~♡ 방문일 주말 대기 시간 1시간 이상 예약 권장 예', '아직은 좀 쌀쌀한듯 방문일 주말 대기 시간 대기 시간 없음 예약 권장 모르겠음', '방문일 주말 대기 시간 대기 시간 없음 예약 권장 예 입구 리뉴얼도 잘 된듯하고 오랜만에 즐거웠습니다']"
6,29,6_코끼리_열차_리프트_패키지,"['코끼리', '열차', '리프트', '패키지', '추천', '내려오', '차비', '어차피', '올라가', '간식']","['어차피 대공원이나 서울랜드나 들어가면 많이 걸어야 하는데 그 전부터 힘뺄 필요 없이 코끼리 열차로 이동하는게 좋을듯 코끼리 열차는 가격도 싸고 좋네요 어차피 돌아가는거 조금만 가격을 낮춰도 더 많은 사람이 탈 수 있을듯', '리프트 코끼리열차 다 패키지로 끈어서 리프트로 꼭대기까지 2번타고 올라가서 내려오면서 관람 입구에서 주차장까진 코끼리열차 추천', '그 동물별 먹이주는 시간을 맞춰가시오 코끼리열차뿌웅우 리프트 타고 올라가서 내려오면서 관람을 추천']"
7,27,7_최고_장소_행복_추억,"['최고', '장소', '행복', '추억', '가도', '만드', '순간', '연간', '유치원', '초등']","['아이와의 행복한 시간 만들기 우리가족의 행복한 순간을 만드는곳', '아이들과 오기에는 최고 놀이공원도 오는길 가는길에 갌수 있는 최고의 장소임', '평일 여유롭게 산책하며 동물구경도 할수있고 즐길수있었다 아이들과 함께할수있는 최고의 장소']"
8,27,8_대기_예약_방문일_공사,"['대기', '예약', '방문일', '공사', '주말', '권장', '막히', '공휴일', '재밌', '개선']","['근데 동물들이 별로 없어서 아쉽네요ㅜ 방문일 주말 대기 시간 대기 시간 없음 예약 권장 예', '해가 너무 쨍쨍해서 그런지 너무 힘들어서 그냥 보고 왔어요 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 예', '동물들도 잘 봤네요 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요 비 소식 때문인지 사람이 없어서 좋았어요']"
