Review,Topic_ID
구립 도서관이 들어있는 구립 근린공원 이 있어 구민들 축제인 구민잔치가 자주 있는 즐거운마을 재래시장도있어 다른 지역보다 물가도 싸고 저렴해서 서민들 살기엔 딱 좋은곳 이라고생각듭니다 운동할수있는 공원 체육시설 동양의 체대형 구립 수영장이있고,1
가을에는 단풍이 아름답고 겨울은 소나무위의 눈꽃송이가 보석처럼 빛나고 봄에는 관리자들에 의해 잘 가꾸어진 철쭉 꽃들 여름에는 분수대가 시원하고 땀흘려 운동하며 가족들과 함께 여유있는 시간을 갖기에 딱 좋은 구로구의 멋진 공원입니다 근린공원 가을단풍이 참아름답습니다,1
화살나무가 빨갛게 매력적으로 물들었구요 기타 다른 나무들도 알록달록 예쁘게 물들고 있어서 산책하기 딱 좋아요 가을이 물들어 예쁘네요,1
물이나 음료 자판기가 더 많이 설치되면 좋겠음 지역주민의 훌륭하고 넓은 공원굠 운동장,-1
"그리고 도서관도 있는데 넓고 참 좋아요 책도 많구 매점도 있구용 ㅎㅎ 공원 입구 건너편에는 ' 두둥 ' 소공원도 있어요 ~ : - ) 소공원안에는 배드민턴장과 놀이터가 있는데 놀이터 새로 만들었더라구요 ㅎㅎ 고척근린공원 참 좋은거같아요 피아노 , 요가 , 베드민턴 , 농구등 여러가지있어서 좋더라구요 : ) 운동기구도 여러가지 있고 공연장도 있답니다 ~ 공연장에서 여름엔 에어로빅도 해요 ㅋㅋ 놀이터도 참 좋더라구요 👍 또 공원 안에 걷기길도 있어서 걷기 참 좋아요 저는 항상 이 공원 갈때마다 생각합니다 : -) 고척근린공원이 제 집 근처 있어서 참 좋다 , 다행이다 라는 생각들이 나곤합니다 ❤ 저녁에 공원 가면 선풍기가 필요없죠 ㅎㅎ 바람이 선선하게 불어옵니다 공원안에는 축구장 , 농구장이 당연히 있구요 체육…",1
운동하러 자주 아용하는데 주택가 주변이라 이용하기 좋아요,2
"운동장, 넓은광장, 도서관, 체육관 등등 인접해있어 아주좋아요",-1
나무가 많아 계절의 변화를 느낄 수 있어요~산책로가 잘 되어있어 운동할 수 있습니다,1
옆에 봄날카페에서 커피한잔해보시면 더좋아요,0
큰 공원은 아니지만 남녀노소 다양한 체육활동과 놀이를 즐길 수 있는 공원으로 동네 명소같은 곳입니다,1
"가까운곳에 공원이 있어서 참 좋고 깨끗하고 여러 운동기구도 있고, 농구, 축구, 배드민턴, 테니스장도 있어 다양한 운동 하기 편하고 걷기운동하는 둘레길이 잘 되어있어서 아주 좋은 공원입니다",1
서울시 도서관은 다공유되서 강아지산책겸 고척도서관에서 책 빌리고 좋네요,2
"초딩땐 놀이터로, 중딩땐 축구 농구하러, 고딩땐 공부하러, 대딩-취준땐 면접이미징트레이닝으로 늘 좋은 장소를 제공해줌 ㅎ",-1
시설관리가 잘되고 있으며 주차시설(유료) 도 있어 이용이 편리합니다 동네 주민들에겐 아주 좋은 복지 인듯 합니다,1
공원내 편안한 분위기 너무 좋아 요~𝕙𝕒𝕡𝕡𝕪🍀 휴일𝆸⃟⃙𝆶̿ 𝆸֟𝆸𝆸⃟⃙𝆶̿ 𝆸֟𝆸⃟⃙𝆶̿ ⊰✦⊱ 𝆸⃟⃙𝆶̿⊰✦⊱⊰✦⊱ ⃟⃙𝆶̿감사하는~ 𝆸֟𝆸⃙𝆸֟𝆶⫷🤗⫸ 마음으로 보내기욧 ~    ~,0
"도서관, 넓은 광장과 산책로, 놀이터까지 쉼과 가벼운 운동에 적합한 공간입니다",1
사는 동안은 좋은 줄 몰랐는데 이사오니까 이렇게 한 부지 안에 한 번에 다 모여있는 곳이 잘 없더라구요 얼마 전에 유퀴즈에도 나왔어요~체육센터도 있고 운동 시설도 있고 도서관도 있고요,1
조용하고 세대를 아울러 휴식과 운동을 즐길 수 있는 곳,3
작지만 좋네요 걷기운동할때좋아요,0
넓고 좋습니다 트랙도 길고 운동장도 넓고 농구장과 배드민턴 놀이터 간단한 체육시설까지 매일매일다니면 건강해지겠지요^^ 지하공영주차장도 있어서 조금 멀다면 자차이용도 편리하답니다,1
가꾸운곳에 공원과 도서관 체육시설이 있어 좋아요,-1
"각종 스포츠 시설과 숲속 산책길이 조성되어 있고, 주변에 도서관과 헬스장까지 있어 다양한 복합문화공간으로 주민들의 문화적 욕구를 충족시킬 수 있다",1
사실 아이들도 많이 오는 이곳에 아주 어린애들이 자주 찾아오며 함께 놀 수 있을지 몰라도 놀이 시설들은 작은 아이들이 놀기엔 조금 위험해보인다 하지만 놀이터가 새로 바뀌며 유아위주의 시설로 변했다 깔끔하고 조용한 공원이다,1
살짝 경사가 있는 넓은 공터에서 아이들 자전거 알려주기 좋아요,2
운동장도 잊고요 분수대 조깅코스너무좋아요,2
-코로나로 인해 운동기구 사용 불가 -더위 쉼터용 정자도 사용 불가 그냥 산책용입니다 아 도서관은 평소대로 문 엽니다 다른 공원에 비하면 크지만 빈공간이 많습니다,2
도서관도 잘되어있고 산책길도 좋습니다 주말에도 크고 작은 행사가 많아서 아이들과 함께 놀러가기 좋습니다,1
그 외에는 산책하기 좋습니다,3
아이들과 함께하기 좋은 장소,3
고척 그린공원 축구장 도서관 수영장여러가지 운동기구가 많아요 트랙이800 미터 그 외 둘레길이 운동하기 좋은곳 산책 길도잘된길 저도 매일매일 꾸준히 운동을 합니다,1
