Topic,Count,Name,Representation,Representative_Docs
-1,315,-1_장소_사진_관리_공간,"['장소', '사진', '관리', '공간', '예쁘', '힐링', '도심', '대기', '운동', '자연']","['관리가 잘되고 있어서 산책하기에 좋은 장소입니다', '도심의 최고 힐링 장소', '주차시설 나무관리 잘 되어있습니다 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요']"
0,201,0_동네_차비_기분_너무너무,"['동네', '차비', '기분', '너무너무', '가볍', '가족', '운동', '강아지', '예쁘', '여유']","['아담하고 가까운 동네 산책로', '동네분들ㅎ가볍게 산책하고 운동하기좋아요', '걷기운동 끝나면 몸이 가볍고 기분이 상꽤해요']"
1,128,1_대기_예약_권장_방문일,"['대기', '예약', '권장', '방문일', '주말', '평일', '카페', '입구', '차비', '입장료']","['예쁜 꽃들도 많고 힐링되는 공원이였어요 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요', '여기서 종이비행기도 날리고 산책도 하기 좋아요 😀 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요', '슢과 꽃과 새들과 하나될 수 있는 가족 공원 방문일 평일 대기 시간 대기 시간 없음 예약 권장 아니요']"
2,60,2_근교_부천_출구_식물,"['근교', '부천', '출구', '식물', '접근', '천왕역', '강추', '저수지', '위치', '시골']","['서울,부천 경계지점의 작은 공원으로 근처에 지나가다 들리고 산책하기 좋은 곳입니다 또한 자세히 살펴보면 연꽃 및 여러 종특의 나무,식물을 볼수있습니다 비가 약간 오는날에 갔는데도 산책하기 좋았습니다 사진은 많이 못 찍어서 살짝 아쉽네요^^', '서울 구로구 푸른수목원은 7호선 천왕역 2번출구에서 15분거리 이며 1호선 오류역에서 20분거리 입니다 각 지하철역에서 수목원아파트쪽으로 가시다가 철길이 나오면 철길따라가면 수목원 후문이 나옵니다', '운치 있는 산책길로 변모한 항동철길이 근방에 있다 탁 트인 항동저수지 주변이 사진도 잘 나오고, 쉬어가기도 좋은 장소다 * 7온수역2번 출구에서 도보 25분 * 온수역 3번출구 ~온수남부역 정류장(17989)~구로07~푸른수목원후문']"
3,60,3_주차_주차장_차비_커피,"['주차', '주차장', '차비', '커피', '입장료', '입구', '공사', '사람', '카페', '쓰레기통']","['항동철길은 사진찍기 좋구요 주차장이 다소 작아 주말에는 주차난이 있어요', '꽃과 나무도 많고 잘 가꾸어 놓아 산책하기 딱 좋습니다 입구에 카페가 있긴하지만 음료를 사가지고 가는게 좋을것 같아요 안엔 쓰레기통이없어요 사람이 많을때는 주차장 진출입이 어렵네요 주차정산기를 조금더 주차장 쪽으로 옮기면 덜 붐빌것같아요', '기차가 다니지 않는 기차길을 쭉 걸을 수 있어서 좋아요 호수를 따라 산책길과 각종 나무들이 잘 꾸며져 있고 도서관도 짓고 있어요 입장료는 없고 매점이 없지만 들어가는 입구에 커피점이 있네요 화장실은 정문입구에 있구요 주차장은 크진 않지만 계속 차들이 나가니깐 붐비진 않아요 전 일요일11시쯤에 갓는데 차들이 많이 주차해있었지만 군데군데 비어 있어서 문제없이 주차했어요 ㅣ시간 좀 너무게 있었는데 2천백원 냈어요']"
4,60,4_크기_힐링_나무_수목,"['크기', '힐링', '나무', '수목', '접근성', '옛날', '어울리', '무료', '자라', '가을']","['가족과 함께 무료로 힐링할 수 있는 편한 자연공간', '접근성 괜찮고 적당한 크기의 수목원입니다', '나무와 꽃이 잘어울리게 조성되어 힐링하기 참 좋고 주변에 더불어 숲길, 항동철길, 천왕산 등이 있어 더불어 트랙킹하기 좋습니다']"
5,49,5_식물_나무_계절_장미,"['식물', '나무', '계절', '장미', '종류', '다양', '아름답', '편하', '마음', '단풍']","['갖가지 많은 종류의 식물들과 예쁜 환경 호젓이 걷기에 좋은곳입니다', '나무와꽃 종류도많구요 너무깨끗하고마음에들어요', '각종 나무들과 꽃의향기가 마음을 편하게하고 계절마다 바뀌는 꽃이있어 더 좋다 지금은 장미가 너무도 아름답고 향기에 취할수 있답니다']"
6,34,6_장소_겨울_힐링_실망,"['장소', '겨울', '힐링', '실망', '수변', '공기', '더없이', '조깅', '운동', '무료입장']","['너무 신선하고 산책하기좋은 장소입니다', '산책하기 좋은 장소', '혼자 산책하기 좋은 장소']"
7,23,7_잔디밭_구역_피크닉_잉어,"['잔디밭', '구역', '피크닉', '잉어', '식물원', '도서관', '카페', '자연', '식물', '반려']","['무료입장 주차장 사용료 있음 입구에 카페있음 다양한 식물들과 친절한 이름표들 산책하기 좋음 연못에 다양한 색깔의 잉어 구경 계절 바뀔 때 마다 자연의변화를 아름답게 즐길 수 있음', '구석에는 작은 온실식물원이 있고, 식물원 옆의 뒷문은 현재는 운행하지 않는 철길이 있어 오류역까지(는 가봄) 연결되어 있다 포고 유저들에게는 포켓스탑이 많고 나름 체육관도 4개나 있큰 좋은 파밍장소 잔디밭 옆에는 작은 도서관과 카페가 있음', '놀이터 수목원 놀이터 반려견 동반 환경 수목원이 있어서 산책하기 매우 좋음 피크닉 구역 수목원 잔디밭 가능 낮은 층수대와 넓은 평수를 가진곳 답게 부지 대비 사람이 적어서 조용하고 살기 좋고 바로 앞이 넓은 수목원과 낮은 뒷산 그리고 천왕산이 있어서 운동 하기도 좋음 뒤쪽 하천으로 가면 자전거 라이딩으로 한강까지 갈수 있고 그 근처만 타도 하천 구경하면서 라이딩하기 좋음']"
8,19,8_지금_산보_나무_근처,"['지금', '산보', '나무', '근처', '자주', '괜찮', '기찻길', '운치', '식물원', '풍경']","['근처에 항동철길이 있어 다녀와봤습니다~ 겨울이라 앙상한 나무들만 많고 볼거리가 별로없어요~ 실내활동할곳도 없고 카페도 15분정도 걸어가야 1곳 나오네요', '산보하기좋고 사진찍기도 괜찮긴한데 근처 공사중이라 공기가 막좋진않더라구요 수목원내에 식물원에서 벌레에 물리지않게 조심하세요', '6월부터는 기차운행예정이라고 되어있던데 문제는 푸른수목원이 이 기찻길옆이라 더욱 가치있었던것인데요 지금 이 기찻길 바로옆을 재개발하는것같더라구요 운치는 간데없고 먼지가 많고 코스모스는 혙체도 없이 사라졌습니다 그러나 수목원 관리는 정말 잘 하는것이어서 지금도 자주 갑니다']"
