Review,Topic_ID
비가 많이오고 난뒤에 습지는 매우 건강해보이고 기대를 저버리지 않은곳이다,0
"바로 북쪽 방향으로, <평화문화진지> 라고 독특한 분위기의 문화 시설 등이 있고요, 동쪽으로는, 중랑천 산책길이 있어요 총 거리 157km <서울둘레길>의 시작점이자, 완주 인증서 발급 등 방문자 센터가 있는 곳 입니다 여름에 돗자리 하나 가지고 힐링 하기에 좋아요",-1
부분 재정비 하여 더 깔끔하며 푸른 잔디밭 여러종류 꽃과 식물들을 곳곳에 꽃밭으로 꾸며져 있어요 물놀이 시설은 아직 미개방 다음주 쯤이면 개방이 될것 같아요 이렇게 아름다운 공원으로 재탄생 만들어 주신 분들과 관계자분들 날씨가 많이 더운데 오랜 시간 수고하셨어요 감사합니다 꾸벅꾸벅,1
동네에 잇어 너무좋아요 사계절이 아름다운곳,0
도심속에서 조용하고 고즈넉한 생태공원멋쪄요 피크닉 구역 정원안에 정자가 있어서 휴식하기 좋음,-1
"생긴건 오래전부터 알았지만 오늘 방문해 보았습니다, 창포원은 조금 어르신들이 많이 계시고 즐기시는 분위기이고 옆에 있는 공간은 젊은 사람들이 많은 느낌입니다, 이런 힐링공강 들이 많아지는건 반가운 일이지만 어떤곳은 추억이 송두리째 사라지는것 같아서 아쉽습니다, 이곳도 일부의 존취와 공존올 하였지만, 조금 아쉽네요 놀이터 아이들이 좋아하는 물분수 놀이터가 있어요 화장실 깨끗하고 잘관리되는 화장실 반려견 동반 환경 목줄만 잘 채우면 동반 가능 합니다 피크닉 구역 가족단위 피크닉 나온 분들이 많아요",4
서울 근교에 있어 접근성도 좋고 계절 느끼면서 걷기에 더없이 좋은 곳 입니다,5
"7호선 종점 도봉산역에 걸쳐있어 접근성이 좋고, 주차장은 다락원에 주차하면 3시간까지 무료다 자리가 없어도 도로쪽 혹은 건너편 중랑천변에 주차할 수 있다 5월에 오면 꽃창포, 붓꽃을 많이볼 수 있다",1
굉장히 넓어서 머리 아플때 한번씩 걷기도 좋고 사진도 잘 나와서 한번쯤 방문하는 것도 나쁘지 않겠다는 생각이 듭니다,0
공원 조성이 아주 잘되어 있어요~그늘도 많고 중간중간에 테이블 의자가 있어 피크닉 하기도 아주좋아요~예쁜 꽃들도 많아요~,-1
"창포원 안에는 북카페도 있고 작은 못이 있어서 짧게 산책하기에 무척 좋습니다 입구가 두 곳인데, 도봉산역 앞에 있고 뒤쪽에는 따릉이가 있는 입구가 있어서 좋습니다 아담하고 아름다운 곳입니다",-1
"각종 나무와 꽃들이 있어, 먼 곳에서 특별히 방문하기 보다는 가까운 곳에 사시는 분들이 산책하기 좋은 곳이다 화장실이 잘 갖추어져 있고 도서관도 있으며, 가볍게 차 한잔 할 수 있는 카페도 있으며, 온도 많은 분들이 이용하고 계셨다 우리도 4남매가 식사후에 차 한잔하고 산책을 즐겼다 5월이 계절의 여왕이라 했던가 오늘 아직 5월은 멀었지만, 싱그러움을 느낄 수 있었던 하루였다",4
친구들과 만남 후 여유 시간이 있어 방문하였습니다 혼자만의 한적한 시간을 꽃들과 나무와 함께 즐겼어요,-1
창포원은 사계절 사진촬영 하기좋은 장소이다 관리를 잘하여서 항상 깨끗하게 잘 정리 되어있어서줗아한다,0
"지하철 1호선 도봉산역 바로뒤에 있어서 찾아가기도 쉽고, 산책하기 좋은 곳입니다 바로옆 평화문화진지도 함께 가보시길",-1
"아이들, 가족, 연인, 친구들과 함께 소풍, 데이트, 놀이 다녀오기 더없이 좋은 맑고 청명한 공간이었습니다 (주말의 경우, 인근 도로에서 묵시적으로 허용되는 무단주차가 폭넓게 진행되고 있는 형편입니다) 다만 한가지, 주차공간이 충분하지 않은 점은 '옥의티'입니다",-1
봄부터 가을까지 아주 예쁠 듯 좀 삭막하여 4점만 주려고 했었는데 어디에서나 보이는 도봉산이 매력임 대전차방호시설을 이용한 평화문화진지도 꼭 들러보라고 권하고 싶음(안보고 가는 사람이 대부분),-1
한가지 아쉬운것은 공원에 편의점 정도는 하나 있었으면 한다 잘 설계된 공원입니다,-1
"축제 준비할때는 화장실의 청결도 신경써주길 바란다 창포원 축제당일 오전 9시 10분경 남녀 화장실 앞에는 청소중 푯말이 세워져 있었는데, 잠시후 다시 가보니 푯말은 보이지 않았다 화장실은 청소가 되어있지 않았고 냄새가 났다",4
도봉산 등산객들로 붐비는 도봉산역에 하차하면 넓다란 창포공원이 우리를 반겨 주네요 다른 공원과 달리 여러 식물들이 자생하기도 하지만 그중 일반공원에서 만날수 없는 동강 할미꽃은 역서만 볼수있고 옜날 창포물에 머리를깜던 수중생물 창포도 이곳만의 특색 입니다,1
지하철 1호선과 7호선 도봉산역 바로 옆에 있어 접근성도 아주 좋구요 전망대도 설치되어 있어 도봉산과 수락산의 멋진 조망도 있답니다 내가 살고 있는 도봉파크빌3단지와 이웃하고 있고 창포원과 함께 다락원체육공원도 있고 대전차방호벽이 있던 곳도 공원으로 바뀌었고요,-1
"도봉산역에서 내리면 바로 앞에 있으며 중랑천 길을 따라 오다가 만날수도있습니다 무료로 방문할 있고 산책하거나 벤치에 앉아 쉴수있는데 까치가 제법 많이 보였고 넓은 잔디밭과, 습지가 있습니다 창포원은 쓰레기통이 없다고하니 방문중 발생한 쓰레기는 챙겨가야 하겠습니다",4
2020 걷기에도 산책하기에도 좋은 쾌적한 곳 평화문화진지도 옆에 바로 있어요 도봉산역 2번 출구 혹은 1-1번 출구 입니다 일찍 도착해서 평화문화진지도 둘러보고 걷고 ~ 언제쯤 올라가볼 수 있을까,0
지하철 1호선 2번출구앞이라 찾기쉽고 가기 쉬운곳 바로옆에 있는 평화문화진지와 다락원체육공원 방문은 보너스 요즘엔 창포가 한창인때라 가보면 더욱 좋구요,-1
동네에 이렇게 편하고 예쁜 공원이 있다니 최고예요 꿈의숲까지 안 가도 되고~,0
학생때 등산부였는데 담임 선생님이 가끔 다니던 공원이였죠 당시에는 비둘기 먹이주는 분들과 고양이 먹이가 널부러져 있었기 때문에 그리 아름다운 곳은 아니였습니다만 어릴때 추억이있었어요 최근에 가족과 함께 여행했는데 생각보다 뜻 깊었습니다,-1
의정부에사는데 예전에 노원에도살고 근데 호수공원이나 서울숲같은 큰공원제외하곤 작은규모지만 식생환경좋고 역사가깝고 서울경기 경계라 양옆 도봉산 수락산끼고있어서 먼곳나온기분도들고 화장실환경도잘되어있고 두루두루 뭐하나뺄게없어요 요즘은 평화진지,4
그옆에 붙은 곳에 도봉구에서 운동을 할 수있는 많은 공간을 확보하여 놓았고 또 옛날 방어벽을 개조하여 그때에 어떻게 사용되었는지를 상세하게 설명하여 우리의 눈길을 끌고 있습니다 다만 장소가 조금은 좁은듯하여 안타깝기도 하지만 도심에서 조금벗어난 곳에 이런 좋은 곳이 있다는 것은 도시인들에게 좋은 쉼터와 자연학습관이 될 수 있습니다 습지로 조성되기도 하고 창포원에는 매절기마다 각종 예쁜꽃들이 피기도 하고 지기도하는 자연을 관찰하는 곳입니다,1
아이들이랑 시간 보내기 좋은곳입니다 안에 카페도 있고 바로 옆에 다락원체육공원도 있어요,-1
지역 주민들에게 쉼터와 산책로를 아낌없이 주는 곳 특히 마주보는 도봉산의 위엄이 마치 어른처럼 창포원의 정원을 어루만지는 손길을 느낄 수 있어서 자주 찾는 곳입니다 사계절이 다 다른 아름다운 얼굴을 단장하는 곳,1
"꽃창포가 활짝 피고 또 다른 예쁜 꽃과 초록 나무들로 산책하기 좋습니다 여긴 사계절 언제나 좋지만, 꽃창포를 보려면 5월, 지금 가세요",0
"(쓰레기는 다시 집으로 가져가세요~^^) 화장실도 있고, 방문자센터 2층엔 북카페도 있어요 산책하기 좋고, 소나무가 많은 ""늘푸른원""쪽엔 나무 벤치랑 테이블이 여러개 있어요 배달은 못들어오고, 쓰레기통은 없지만, 간단한 도시락챙겨서 소풍 할 수 있어요",4
편하게 산책하기 좋고 다양한 식물을 접할수 있습니다 면적은 넓진 않습니다,1
가족 단위로 놀기에 좋다 화려하고 예쁜 꽃들도 많고 호숫가와 어우러진 경치가 좋다,1
집에서 가까운 곳에 이렇게 좋은 공원이 있다는게 큰 행복입니다 강아지와 자주 산책하는 곳이에요 다양한 생물들이 함께 공존하는 곳이라 저의 힐링장소이지요,-1
쉴곳이 많이 있고 연못에는 고기들이 있는듯 먹이를 주지 말라는 안내문이 있었다 바로 옆에는 방호벽이 있어 안보를 생각 할수도있어 좋은 곳이었다 시끄러운 차길을 떠나 도봉산역 옆으로 잠시 들어같는데 자연스럽고 여러가지 꽃들과 나무,-1
서울 중심권에서의 접근성은 좀 떨어지는 편이나 전철 동봉산역을 가까이 두고있어 방문하기에 큰 불편은없는곳이다 지역주민들의 사랑을 듬북받고있는 창포원 수백종의 식물과 나무들이 어우려져 가족동반 나들이히기에 최적인 장소이다 서울북부에 위치한 창포원 규모는 그리 큰편은 아니지만 주변에 도봉산과 수락산의 뛰어난 조망과 함께하고 있어 공기도 맑고 풍경이 가히일품이다,5
화장실 공사중인것같아요 (리뷰올린날 기준) 피크닉 구역 넓고 좋아요 바로 옆에 지하철역도 있어서 좋습니다 뒤에 산도 보이고 적적하고 좋아요,-1
계절마다 다른 매력을 느낄 수 있을 듯 합니다~ 식물도 꽃도 다양하고 오리와 개구리도 구경할 수 있습니다 잔디밭에 돗자리깔고 쉬시는 분들도 많고 서울에서 보기힘든 잘 정리된 흙길이 정말 걷기 좋습니다 :) 서울에 이렇게 넓고 좋은 공원이 있습니다,1
공원은 작지만 주변 경관이 좋은 곳입니다 도봉산과 수락산을 볼수있는 전망대도 있습니다,2
차 가져오실꺼면 주차를 창포원 뒷길가에 해야하는데 가끔씩 딱찌 떼더라구요 주차 문제만 해결되면 더할 나위없는 도봉구 최고 명소라 하고 싶습니다 도봉산역 바로 옆이니 차 없어도 쉽게 접근 가능한곳 입니다,0
"오리가족, 올챙이, 딱정벌레, 다양한 곤충 가까이 보고, 숲도 경험해서 좋네요 주차는 다락 공원에 해야 해요 다락공원 땅굴 구경도 의미있어요",0
"전망대도있고 산채과피크닉에 좋은곳,식물들이 잘가꾸어져있고 연못이 있어요~ 반려견 동반 환경 반려견동반가능하고 피크닉하기좋아요~ 피크닉 구역 잔디밭이나 큰나무아래 돗자리깔고 하시면될듯",2
겨울 철마다 좋은곳 입니다 크게 한바퀴 돌면0,0
산책하기에 정말 쾌적한 공원^^ 대전차방호시설의 흔적을 볼수있고 병풍처럼 펼쳐진 도봉산이 있음,0
서울 끝자락이지만 편한마음으로 자연을 느낄수있는 공원입니다,5
산책하기 좋은 공원,2
도봉산역 바로앞에 무공해 신선한공기와 각종 야생화들을 보면서 쉴수있는 숲그늘이 좋음,2
"휠체어 타고 다니기에 좋고, 여러종류의 꽃들과 나무들과 작은 연못 등이, 답답할때 한바퀴 둘러보기 좋은 곳입니다 북카페도 있어 책을 골라 읽으며 쉬기 좋은 장소지요",4
"주차는 불편하니 지하철 이용하시는게 좋아요 넓은 공원과 물, 잔디가 어우러진 휴식처에요 가족 나들이로 딱이에요",0
정원 관리가 잘 되어있고 걷기 편한 곳입니다 여기저기 야생화 조성도 잘 되어있어요,1
"서울 창포원 도봉산이 바로 보이고요,관리가 잘된 창포원을 오가며 들리는 곳 입니다",3
휴일에는 주차가 어려워 외부 갓길주차 많이함 근처에 공영주차장 있음 내부에 그늘은 많으나 쓰레기 버리는곳 없음,7
"카페등,겨울빼고 산책하기좋습니다 겨울에도 눈싸이고 산책로옆에는 도봉산역 강아지와같이 산책하는 이들만습니다 사진은 거리두기중이라 텀블러에 커피받아서 벤치에서 커피잠깐 마시며 쉼",4
어르신들이 많으시고 그냥 가까이 계시는 분들 가기 좋을 정도네요 몇년 사이 나무들도 우거지고 좋아졌습니다,-1
"복합문화공간, 체육시설과 함께 있는 녹지 공원 주변 지역 주민들에게 유용한 공원",2
크진 않지만 현대와 잘 어우러진 자연공원은 그 어디에 내놔도 전혀 손색없는 진짜 아름다운 공원 그 자체였네요,-1
처음 가봤는데 걷기좋고 아담하니 예쁜 공원이네요,0
무료입장이라 부담없이 가볼만한 장소 아기자기 시원해요 카페에서 아아한잔^^,0
잘 정리된 공원으로 절철역에서 연결된 공원이 토요일 일요일은 공연도하고 각종 축제의 공원 도봉산 산행후 귀가전에 공원에서 휴식의 공원 아름답습니다,-1
공기 좋을 때 가면 도봉산과 수락산을 모두 볼 수 있어 좋아요,0
"여러가지 꽃들이 활짝피었어요 능소화, 후록스, 부처꽃, 기린초, 원추리, 참나리 등등 찬찬히 걸으면서 산책하는 재미가 솔솔해요",1
"교통좋고,산책하기좋고 애완견과놀기도,어린이들과도 놀기좋네요 우리 노원구에 이런좋은곳이 있었다니 믿기지가 않네요",0
깔끔한 공원과 산책로가 아주 좋습니다 이 넓은 공원에 주차 가능대수는 고작 9~10대 정도 입니다 교통 편하고 가까운 곳에 이런 장소가 있었다니,-1
잘조화된 공원이고 다양한 식물과 꽃과 나무가 계절에 조화가 잘 되어 있다,1
너무 좋습니다 자연을 느낄수 있습니다 공기좋은 공원,0
창포꽃과 붓꽃 등 꽃들이 수줍게 아름답다,1
아기자기 이쁜공원 도봉산을 배경으로 사진찍기 좋은 곳 창포꽃 영문명이 아이스리라는 것 알려준 곳 강추합니다,1
한적한 곳이고 도 봉산이 보이는 풍광 좋은 곳입니다 서울 끝자락에 있는 공원입니다,5
가을을 느끼며 산책하기 좋은곳~^^,3
산책하기 매우 좋은곳 가을을 듬뿍 느꼈어요,0
가족가 나들이겸 산책하기에 아주 좋습니다 딸아이가 정말 좋아하는 장소입니다 창포원 안에 카페도 추천합니다,0
바람쐬며 산책하기 딱 좋은 곳이예요,0
겨울의 서울창포원은 조금 휑한 분위기이지만 시원한 공기를 마시면서 산택하기 좋아요,-1
