Review,Topic_ID
경의선숲길공원은 봄꽃이 활짝피었고 초록 숲이 우거져 걷기 명상 산책하기 좋아요,11
사진은 지나가는 사람들 초상권 때문에 자연부분만 찍었지만 거닐기 좋습니다 사람이 많아서 비좁지만 그래도 도시 한 가운데 공원이 있다는 것에 대해서 긍정적인 마음입니다,4
외국관광객이나 내국인 산책자들이 나날이 늘어가고 주변 먹거리 음식점도 다양해지고 있다 철길 변 아파트와 분위기가 마치 뉴욕의 센트럴파크 주변처럼 새롭게 단장 중이다 철길의 변신이 무죄이고 변화무쌍하다,1
"말해주는 사람이 없어서 타고 들어갔다가 통행금지 표지판 보고 조용히 끌고 갔습니다;; 공덕에서 연남, 어쩌면 홍제나 상암까지 길게 길게 산책 즐기시는 분들이라면 추천합니다 마포시민 워크온 깔아서 누가누가 더 많이 걷나 경쟁하는 것도 재밌고 가끔 날 좋을 때 하천길에서 자전거 타면 그날은 유산소 끝입니다",-1
"숲길 공원이 있어서 여유롭게 앉아 쉴 수도 있고 좋네요 날씨 좋은 오후에 산책하기에 딱 좋은 것 같습니다 주변에 먹을거리, 쇼핑, 볼거리가 있어서 좋습니다",1
"어제 처음으로 경의선숲길 여러구간중 홍대입구역에서 홍제천까지의 연남동구간을 갔었는데, 휴일이라 수많은 사람들이 공원에서 휴식과 산책을 즐기고 있던데 아주 좋네요",11
길고 걷기 좋은 공원 화장실 중간에 화장실 가는 표지판이 나옴 겨울이라서 그렇다 쳐도 주변을 둘러싼 식물들도 조성이 잘 되어있는 것 같습니다,4
"나무와 잔디, 산책로가 잘 어우러져 있고 주변에 카페가 많아서 인테리어 구경하는 재미도 있다 특히 봄이되면 만개하는 벚꽃으로 운치가 절정이 됨",11
주택가 사이로 난 철길을 숲으로 조성한 결정에 있어서 이곳만큼 눈부신 곳이 있을까 싶습니다 최근에 숲길이 끝나는 지점에 특색있는 가게들이 들어서면서 운치를 더하고 있는데요 정겹게 걸을 수 있는 길이 많지 않은 도심에 보석과 같은 세례라는 생각이 자주 듭니다,4
도시에 철길을 따라 꾸며진 공원이 색다른 분위기고 양옆으로 이쁜카페도 있어 여유 있다면 커피한잔 하며 시간보내기 좋을 것 같습니다 화장실 중간에 공중화장실 있습니다,1
서울 하늘 아래 이렇게 여유로운 곳이 있는 줄 오늘 처음 알았다,8
옆에 물길이 있어 시원한 느낌도 주고 길을 따라서 개성있거나 예쁜 상점들이 많아서 걸어갔다 오기도 좋았습니다 산책하기 좋은 곳입니다,-1
"옛날 철길이 숲길로 새롭게 탄생한이곳 효창공원역에서 가좌역까지 산보하기 너무 좋아요 각종 조형물도 훌륭하고 다양한 볼거리(책거리, 수변공원, 정자, 간이역, 조형물 등)가 많이 조성되어 멋진곳입니다 봄에 벚꽃이 만발할 때면 또다른 장관을 연출합니다",11
"밤 늦게도 정말 많은 사람들이 숲 길을 즐겨요, 운동하는사람, 산책하는사람, 즐기는사람 , 모두 편안하고 즐거워보여요 :) 밤늦도록 잔디밭에 모여 앉아서 이야기도 하고, 맥주도 마시고, 모두의 안전하고, 즐거운 숲 아, 이곳은 귀요미 강아지들도 산책을 많이 나와 있어요♡",6
^^ 실시간으로 변하는 서울의 따뜻한공간이 아닌가 생각되어요 따뜻한 햇살이 있는 날 책구경가기도 좋고 나만의 책만들기샵도 정겹고 멀리지방에서 1박2일이나2박3일와도 내짐을 보관해주는 짐보관소도 보이고 전철역에서 내리면 바로 꽃향기가 가득한 꽃가게에 소녀가 되어가는느낌이 들어요^^ 가까이살면 꽃다발 사가고 싶었어요^^★ 또 놀러가고 싶어요^^★ 아주 사랑스런 장소예요 여유와 바쁨과 즐거움이 동시에 공존한다고 할까요,-1
구경거리도 많아서 좋네요 주변의자에 앉아서 커피나 맥주한잔해도 좋구요 주변환경이 너무 좋은거 같아요,-1
크지 않지만 인근에 산책할 수 있는 이런 공원이 있으면 무척 좋을 듯하다 중앙로도 걷기 좋지만 한 블럭 안쪽으로 가도 걷기 좋다,0
매일 산책하는 길 입니다 도심속에있는 공원이 아주좋아요 길옆으로 예쁜 거피숍 등 도 있는 아주 재미있는 장소랍니다,-1
"-길게 늘어진 공원으로 구경하기도 좋은 상점과 카페, 식당 들이 곳곳에 있다 -봄에는 벚꽃, 가을에는 은행과 단풍을 보기에도 좋다 그러나 요즘은 사람이 더 많아짐 -평지라 러닝하기도 좋다",-1
이 숲길을 따라서 사람들이 모여들고 주변에 다시 예쁜찻집과 음식점이 생겨나서 더욱 유명해졌다 3KM의 용산선이 지하화되면서 옛 철길에 숲길이 조성되었다 요즘 젊은이들의 데이트 코스로 많은 각광을받고있다,1
"1903년에는 신의주 부산 2 구간이 개통되었으며, 전국 철도 운수 교통량이 가장 많은 국내 교통의 대동맥이 이루었다 그후 개성공단이 열리면서 일부구간이 개통되기도 했으나 개성공단이 폐쇄되고 남북연락사무소가 폭파되면서 수난이 시작되었다 현재 대흥역 주변이 이 경의선 구간은 공원으로 조성되어 업무에 시달린 서울시민들의 안식처가 되고 있다 경의선은 서울과 신의주를 잇는 길이 513,5km이다",-1
"경의선 책거리 ㅡ 구경하기에도 좋고 책방 서점도 있고 갤러리에서 전시 관람도 무료 ~ 체험, 강연 프로그램도 있어요 디지털북, 종이책도 있는 고품격 문화공원 문화 거리 입니다 자세한 정보는 경의선 책거리 홈페이지를 통해 확인하세요",-1
"카페 꼼마&얀 쿠브레 동교점, 연남동 경의선 숲길에 있는 카페예요, 이국적인 건물의 카페에서 경의선 숲길을 보면서 차한잔 마시는 여유 시간 가는줄 모른답니다",1
"길 양옆으로 핫플레이스가 많고 많은 사람들이 산책을 하거나 쉬기도 하고, 모임도 하는곳이였어요",1
산책하기도 좋고 여기저기 맛집 볼거리가 다양하고 가볍게 걷기 좋은길,1
"이곳을 공원으로 만들어 놓아서 상당히 좋네요 주변에 많은 상가들이 들어서고 있는데, 너무 상업적이지 않았으면 좋겠네요 도심속 알맞은 곳에 적당한 공원이 사람들의 따듯한 휴식처가 되고 있네요",-1
바쁘고 역동적인 도심속에서 느릿느릿 여유를 느낄 수 있는 공간입니다,5
걷기좋은 평지코스 옛 경의선 서울역에서 문산까지 옛 기차길을 지하에 그리고 그위에 옛 경의선 기찾길을 공원 으로~ 책거리 홍대거리 볼거리 맛집이 너무쳐나는 경의선 숲길 함께하시여 즐겁고 행복한 시간되시길~,-1
도심의 조용하고 한적한 숲길을 목표로 조성된 공간 작은 실개천과 오솔길 같은 분위기가 있고 인근에 다양한 카페와 식당이 있어서 좋다 잔디밭에 돗자리 펴고 소소한 시간을 보내는 것도 좋다 어쩐지 젊음과 낭만이 가득한 것 같다 전에는 버스킹도 많았는데 지금은 8시 전까지만 버스킹이 있는것 같다,1
공원 옆으로 작은 카페와 음식점들이 있어 산책하기 좋으며 야외에서 다양한 콘서트나 행사가 있으며 뷰가 좋은곳에서 차와 음식을 먹을 수 있어 좋다,1
"주변에는 카페와 음식점들이 있고 외국인 포함 젊은이들이 많은편이다 길이가 1km 정도, 폭은 30~50m 쯤 되어 좁고 긴 공원 과거 철길이었던 곳을 옮기며 공원화 하였다",1
연인도 가족도 함께 할뿐만 아니라 주변인들의 산책과 더불어 건강을 위한 친환경적 운동 코스로 참 좋내요,1
"도심 속에 신선한 공기, 나무와 풀밭 가운데 벤치와 화장실, 추억의 기찻길옆 각종 기록물 등 역사적인 자료들과 산책 운동하기 좋은 곳",-1
코로나 전후로 많이 달라진 곳 중 하나인 장소 예상과 다르게 다양한 연령과 인종들이 분포되어 있어서 놀러온 사람 산책하는 사람 등이 있어서 편하게 있을 수 있음,5
양 옆으로 커피숍도 많아서 산책하면서 쉬기 좋아요 도심내에 걸을 수 있는 공원으로 적당한 한적함과 복잡함이 공존합니다,1
🙌 지하철 이용시 홍대입구역 3번 출구로 나오면 바로 경의선 숲길이 뻗어있다 낮에도 밤에도 산책하기 참 좋은 쉼터 같은 공간,0
"지하철역과 가까운 곳은 인파가 많지만 뒤로 갈수록 사람도 적고 산책하기 좋습니다 크지는 않지만, 도심속에서 지하철역 나오자마자 이런 길을 만날수 있는게 좋네요",0
서울 도심 속 걷기 좋은 길입니다 홍대 쪽에는 사람이 많고 효창공원 쪽에는 아직 사람이 그다지 많지 않습니다,8
보통 사람이 많긴 하지만 돗자리 깔고 놀기 좋아요☺ 홍대입구역쪽 말고 신촌쪽이나 연남동쪽으로 가면 더 한적하고 좋은듯,-1
관광지처럼 맛있는 음식점도 많고 너무 아름답게 자연과 거리를 꾸면서 아이도 신나게 놀았습니다,1
"마포에서 산책하면서 여유로움을 느끼고 싶다면 좋아요 주인과 산책나온 개도 자주 만날 수 있으니 간식을 챙겨가서 줘도 좋아요 도시락을 준비해서 돗자리를 들고 가족, 연인과 함께 한다면, 한국에서도 잔디밭과 여유로움을 한껏 만끽할 수 있는 장소예요",6
풍경좋고 운동하기좋고 분위기도 나쁘지 않고 분수와 잘 꾸며논 조경이 인상적이였어요,-1
다만 쓰레기 투기나 소음 문제가 조금 아쉬운데 시민의식이 좋아져야겠죠 북적대도 도심 속에서 나름의 여유를 즐길 수 있습니다 이런 공원이 생겼다는건 참 좋습니다,4
놀거리 볼거리가 가득한 경의선숲길 앉아서 쉴수 있는 공간도 있고 가을을 느끼기 좋아요,-1
예쁜 카페와 이색적인 술집들이 줄지어 있는 매력적인 곳,1
사람들이 아주많아요 예쁜분들도 많고 돗자리 가지고 휴식하고 벤치가 아주 많아 젊고 예쁜분들 많아 기분좋은 장소입니다~^)♡♡,-1
시야 넓고 이쁜 카페도 많고 평인인데도 사람들 진짜 많아요,5
도심 한 가운데 이런 공원이 있어서 참 좋습니다 먹을 거리 볼거리가 풍부해서 더 좋아요,-1
도심속 경의선 숲길 쉬어갈 수도 산책할 수도 있는 곳이어서 너무 좋음,-1
공원으로 조성해놔서 쉬다가기 좋고 산책 하기도 좋다 신촌에서 홍대로 너무어가는 길에 있는 경의선책거리 경의선책거리 거닐기만하다가 다리위에선 처음봐서 찍어 봄,-1
"대학가라 남녀 내, 외국인들이 삼삼오오 길거리를 활보합니다",0
