Topic,Count,Name,Representation,Representative_Docs
-1,298,-1_사람_거리_도심_장소,"['사람', '거리', '도심', '장소', '경의선', '주변', '숲길', '홍대', '휴식', '카페']","['가을하늘도 맑고 숲길도 도심속에 공원같은 숲길과 양옆으로 예쁘고 아기자기한 상가들이 마치 여행온느낌과 서울에 이런 경의선숲길이 있다는건 감사하고 축복받은것 같아요^^', '도심속 경의선 숲길 쉬어갈 수도 산책할 수도 있는 곳이어서 너무 좋음', '도심속에 물길따라 숲길 너무 아름다운 것들 과 많은 사람들도 한가롭게 보였어요']"
0,116,0_사람_거리_데이트_여유,"['사람', '거리', '데이트', '여유', '강아지', '맥주', '철길', '주변', '들어가', '동네']","['밤에 맥주마시기 좋은곳 반려견 동반 환경 강아지와 산책하는 주민들이 많아요 도보가 깔끔해서', '반려견 동반 환경 산책로 좋아요 가난한 연인을 위한 데이트코스로는 최고죠', '예쁘요 데이트코스로 좋구 요즘 코로나때매 사람 빠져서 다행히도 앉을 자리 있었네요']"
1,92,1_카페_주변_레스토랑_식당,"['카페', '주변', '레스토랑', '식당', '상점', '쇼핑', '홍대', '거리', '양쪽', '먹거리']","['다양한 레스토랑/카페가 있어서 산책하기 매우 좋습니다', '길을 따라 좋은 상점, 카페, 레스토랑도 많이 있습니다 서울에서 사람 구경하기 좋은 거리입니다', '주변에 예쁜 카페와 식당, 플리마켓이 많지만 거기마저도 사람이 너어어무 많다']"
2,63,2_아름답_예쁘_낭만_가볍,"['아름답', '예쁘', '낭만', '가볍', '도시', '사진', '기분', '다니', '코스', '발전']","['아름답고 상쾌한 곳', '아름답고 낭만이 있는곳', '도시 한가운데서 산책하고 휴식을 취하기에 너무 아름답고 기분 좋은 곳이에요']"
3,42,3_아침_장소_데이트_산책로,"['아침', '장소', '데이트', '산책로', '날씨', '친구', '코스', '일찍', '일어나', '최적']","['날씨좋을때 데이트하기 좋은곳', '산책하고 데이트하기 좋은 장소', '데이트하기 좋은 장소']"
4,34,4_숲길_쓰레기_연남동_주민,"['숲길', '쓰레기', '연남동', '주민', '경의선', '사람', '겨울', '화장실', '지역', '도시']","['경의선 숲길 산책하기 좋습니다 경의선 산책할 때 화장실가기는 힘듭니다 주변거주하시는 분들도 두루두루 산책하기 좋은 거 같아요', '연남동 뒷길을 숲길로 만들어 다양한 상권이 형성될 수 있도록 한 점은 좋았습니다 하지만 무분별하게 버려지는 쓰레기와 담배꽁초들, 연남동 고유의 특색을 가진 상권들의 몰락, 천편일률적인 상점들로 인해 연남동이 가진 개성들이 사라져버린 점은 매우 아쉽습니다', '한 동안 저녁에 술 판이 벌여지고 버스킹에 동네 주민으로써 너무 불편했지만 사람들이 몰이기 전 시간에 가면 너무 평화로운 경의선 숲길 이다 토박이기도 하지만 내가 이곳을 좋아하는 이유이기로 하다~^^ 연트럴파크란 촌스러운 이름 말고 경의선숲길 이라 불리길^^ 개인적으로 이상한 연트럴 파크가 아닌 경의선숲길 이라는 이쁜 공원 명칭으로 불렸으면 하는 바램입니다']"
5,34,5_사람_구경_볼거리_산책로,"['사람', '구경', '볼거리', '산책로', '카페', '맛집', '주말', '양쪽', '생동감', '가격']","['구경하기좋은곳이지만 요즘사람이 많음', '시야 넓고 이쁜 카페도 많고 평인인데도 사람들 진짜 많아요', '산책하기 좋은 길이지만 사람이 좀 많음']"
6,32,6_반려_강아지_동반_동물,"['반려', '강아지', '동반', '동물', '환경', '사람', '피크닉', '잔디밭', '애완', '구역']","['주말 방문에 좋은 곳 놀이터 아래를 참조하세요 반려견 동반 환경 여기 있는 모든 사람들은 머리가 완벽하게 다듬어진 애완동물과 하루 종일 뽐내고 있습니다 피크닉 구역 사람들이 음식과 음료를 사서 새벽 3시까지 잔디밭에 앉아 쉬는 모습을 볼 수 있어요 좋은 일이든 나쁜 일이든 여기서는 이런 일들이 일어나고 있어요', '반려견 동반 환경 많은 사람들이 개를 데리고 나갑니다 흥미롭게도 거리에서 난장판을 본 적이 없습니다', '홍대 한복판에서 산책하기, 반려동물과 함께 걷기, 혹은 아이들과 함께 걷기에 가장 좋은 곳일 거예요 반려견 동반 환경 개들이 너무 많아요 여기는 개 사교 시간이에요 하하']"
7,22,7_도시_한가운데_도심_휴식,"['도시', '한가운데', '도심', '휴식', '생각', '활용', '지구', '정원', '선형', '공간']","['도시 내의 작은 공원', '도시 한가운데에 있는 멋진 공원', '번화한 도시 한가운데에 있는 아름다운 공원']"
8,15,8_최고_저녁_아래_고요,"['최고', '저녁', '아래', '고요', '한복판', '이전', '아마도', '산책로', '시설', '그다지']","['서울 하늘 아래 이렇게 여유로운 곳이 있는 줄 오늘 처음 알았다', '겨울 저녁에 산책했는데, 저녁 불빛이 비치는 매우 아름답고 고요한 곳이었습니다 :) 아마도 서울에서 했던 가장 아름다운 산책이었을 겁니다', '서울의 부동산을 생각해보면 당연히 필요한 시설이면서도 이런 산책로를 구축해 놓기 어렵다는 사실을 깨닫게 할 만큼 긴 산책 공간']"
9,14,9_조용히_비둘기_트렌디_버리,"['조용히', '비둘기', '트렌디', '버리', '분위기', '담소', '행복', '공연', '음료', '쓰레기']","['주말 보다는 주중에 공원내 술보다는 가벼운 음료와 조용한 담소로,,', '길이 조용히 부드럽고 좋다', '조용히 산책함에 좋다']"
10,14,10_철도_오래_현대_철길,"['철도', '오래', '현대', '철길', '선로', '도시', '자연', '개조', '나무', '모습']","['많은 나무, 관목, 물, 앉을 수 있는 장소가 많고 나무 그늘이 있는 산책로로 개조된 오래된 철도 서울 도심 속에서 걷고, 앉아서 자연을 즐기기에 안성맞춤 자연과 어우러진 도시경관이 아주 좋은 맛으로 어우러져 있습니다', '놀이터 아니요, 공원에는 놀이터가 없습니다 이 철도를 현대적 맥락에서 재정의하기 위해 마포구는 이 철도를 뉴욕의 센트럴파크와 유사한 현대적인 공원으로 개조했습니다 이 공원은 조선과 중국의 북쪽 경계 도시인 의주와 서울 사이의 철도로 사용되었습니다', '경의선 대로는 경의선 철도가 지하화되면서 조성되었으며, 폐선로를 휴식과 산책을 즐길 수 있는 녹지공원으로 재탄생시켰습니다 이곳에 오면 화목하게 산책하는 가족, 함께 시간을 보내는 친구들, 함께 시간을 보내는 커플의 모습을 볼 수 있습니다 새로운 모습의 도시 여가공간은 편리한 교통은 물론, 다양한 녹지공간 자원이 집약되어 있어 자연과 생동감 너무치는 도시문화를 동시에 느낄 수 있습니다']"
11,12,11_벚꽃_구간_가좌역_나무,"['벚꽃', '구간', '가좌역', '나무', '새롭', '공덕역', '특히', '숲길', '아름답', '경의선']","['옛날 철길이 숲길로 새롭게 탄생한이곳 효창공원역에서 가좌역까지 산보하기 너무 좋아요 각종 조형물도 훌륭하고 다양한 볼거리(책거리, 수변공원, 정자, 간이역, 조형물 등)가 많이 조성되어 멋진곳입니다 봄에 벚꽃이 만발할 때면 또다른 장관을 연출합니다', '벚꽃이 벌써 피었어요, 산책하기 좋아요', '봄에는 아름다운 벚꽃을 보기에 딱 좋아요']"
