Review,Topic_ID
매번 마음이 아플 것 같아 발길을 선뜻 내딛지 못하던 장소 큰 맘 먹고 가족들을 이끌고 찾아간 곳 입구에서의 엄청난 혼잡함에 놀라기도 했던 이 곳 맞은 편에 임시정부기념관이 있구나 하며 간신히 안내원의 안내에 버스 주차장에 슬쩍 주차 주위를 둘러보다 수많은 수형표가 있는 공간에선 눈시울이 뜨겁더라는 바른 어른이 되고 싶으나 여전히 아직도 철부지 같아지는 공간이다 이곳은,-1
독립문과 참배할수 있는 독립관 서대문형무소 유관순 동상 서재필동상 순국선열추념탑등과 주민이 쉴 수 있는 녹지공간 뒤로는 안산자락길이라는 산이있어서 한 번 쯤 가 볼만합니다,0
"역사적인 곳이고, 안산과 인왕산을 같이 하고 있어서 산책 혹은 트레킹도 좋은 곳이라 생각되요",0
서대문형무소 가는길에 잠시 들리거나 독립문역에 오는길에 잠시 들렀던 공원 입니다,-1
"서대문형무소, 독립문과 함께 방문하기 좋다 산책길로도 훌륭하고 한국사람들에게는 의미있는 공원이다 화장실 무료 공중화장실이 있다",-1
독립문과 서대문독립공원을 지나 안산자락길은 가족들과 함께 할 수 있는 좋은 산책 코스입니다 서울구치소가 1987년 의왕시로 옮겨감에 따라 1992년 8월 15일 독립공원으로 조성하였습니다,-1
일제 강점기를 다시 한번 생각해 볼수 있는 서대문 형무소가 있는 곳이다 형무소를 중심으로 공원이 조성 되어 있다 산책 할수 있고 역사를 돌이켜 볼수 있는 유일한 동네 공원 인거 같다 독립문의 우아한 자태가 아주 인상 적이며 간혹 영화 촬영도 하는 공원 이다~ 여백의 풍요 앞으로도 이런 공원이 많이 생겼으면 좋겠다 사진 올리니 함들 보셔요^^,0
독립공원내 유일한 유료 관람 시설이다 각종 할인 혜택도 있으니 참고 하시길~ 관람료 비싸지 않으니 절대 아깝다 생각 마시고 자주 자주 그리고 오래오래 마음으로 머물렀다 가시길 1963년 국민의 성금으로 탑골공원에 건립되었던 것을 1992년 독립공원 안으로 옮겨왔다,0
오늘아침 출근길은 서대문 연희숲속쉼터 에서 서대문독립공원을 거쳐 종로3가 낙원동 도착코스중에,-1
공원 경계를 따라 산책로가 마련되어있어서 빙글빙글 돌며 경사로와 평지를 반복하여 산책하기 좋다 버스 주차장 말고 일반 차량 주차장은 따로 어딨는지 매번 못 찾겠다 도로 소리가 좀 시끄러운 편이나 산책 하고 운동하기엔 불편함이 있는 정도는 아니다,-1
