Review,Topic_ID
서울 야경 구경을 간단하게 연인과 함께 즐길 수 있는 소소한 장소라 아주 좋습니다 반려견 동반 환경 강아지와 함께 즐길 수도 있어요,0
미취학 어린이에게 어울리는 놀이터도 있어 지루해할 아이들을 신나게 할 수도 있는 공원입니다 둘다 똑같이 한강 파노라마 뷰를 감상할 수 있는데 다만 2023년 10월 18일에 아래 전망대는 공사중이네요 매봉산 팔각정보다 여기가 한강뷰는 훨씬 더 좋습니다,0
올해 추석에는 100년만에 가장 동그란 보름달을 볼 수 있다고 해서 저녁 7시에 옥수역 4번출구 나와서 달맞이하러 올라갔는데 날씨가 흐려서 잠시만 보았지만 의미있는 날이었어요,0
관리가 섞 잘되는 편은 아니지만 그럭 저럭 손질은 되고있고 옥수동 한강고수부지 강변4로와 연결이 수월하고 강남권이 한눈에 들어와 전경이 수려하며 공기맑고 번잡하지 않으며 깨끗해서 산책코스로는 딱인곳 입니다 동산이므로 계단이 많으니 독서당로 272 대우아파트 옆길로 걸어올라 고수부지나 옥수역쪽으로 걸어내려가면 상당한 경치구경을 할 수 있는 좋은 곳이랍니다,0
10분이면 오를만한 공원으로 계단을 오르면 전망대도 있고 포토스팟도 있고 운동기구도 있어서 여러 사람들이 올라와서 즐길 수 있는 달맞이공원임 자주는 아니지만 가끔 오르면서 공원을 잘 활용하면 좋을 것 같음 2024년 봄에 날씨 좋아 올랐더니 개나리가 피기 시작했다,0
서울야경 보는곳 명소입니다 옥수역 바로 옆 에있어서 접근성도 좋습니다 Located on Near oksu stn where is enjoying the night view im hangang river and have some photo shoot zoon in there,-1
지하철을 타고 옥수역 4번 출구를 이용하면 편리하게 갈 수 있으며 계단과 데크가 잘 설치되어 있습니다,0
임원 항 마을 뒤 산 해발 약 220m 해맞이 공원 날씨가 좋을때는 울릉도 까지 보이는 동해바다 노약자 분 들 께서는 엘레베이터 를 타고 올라갈수도 있서 서 좋습니다 뷰 정말 끝내 주는군요,0
사진 잘 나와서 연인끼리 가면 좋은 데이트 공간입니다 산책로라기 보단 한강 야경을 보러 가길 추천합니다 공원 불은 11시에 꺼지는듯 합니다,-1
"5-10분 정도 올라가면 산 중턱의 전망대, 정상에는 운동시설과 정자가 설치되어 있습니다 옥수역 2, 3번 출구로 나와서 아파트 단지 쪽으로 걸어가다 보면 진출입로가 나옵니다 서울 야경, 해돋이/해너무이 보기 정말 좋은 곳입니다",-1
계단 좀 있는데 그래도 올라가면 예쁘네요,0
여름에 간단히 산책하러갈겸 오르거나 들리기 좋은 곳 입니다,-1
"멀리롯데타워와 동호대교까지한눈에보이는 뷰가 장난아님 가을햇쌀좋은날 ,흐린날 ,눈오는날,모든날이 좋은 풍경입니다",-1
날씨만 좋으면 달과 함께 촬영할수있어요 야경 촬영하기 좋은 장소인것 같아요,0
금호동과 옥수동 주민들에게 운동할 수 있는 좋은 공원으로 전망도 좋고 운동시설도 잘 갖춰져 있습니다 그리 높지 않아 오르내리기 좋아요,0
지나다니면서 와봐야지 하다가 이번에 방문했는데 높지 않으며 전망이 좋은 곳,1
야경이 아름다운 공원 봄에는 개나리가 활짝피어서 상춘객이 많아요,0
야경 맛집 큰힘 들이지 않고 멋진 야경을 보고 적당히 산책이 가능하다,0
"낮은 언덕으로 체력이 약한분들이나 어린이도 쉽게 오를수 있고, 산책하기 좋은 곳이며, 한강 전망이 좋습니다",-1
