Topic,Count,Name,Representation,Representative_Docs
-1,504,-1_서울숲_주차_가족_공간,"['서울숲', '주차', '가족', '공간', '시설', '사진', '사람', '주변', '주말', '가을']","['사계절을 다 느끼고 볼 수 있는곳이며 지금 오시면 아름다운 벚꽃구경 할 수 있어요 5월에는 튤립 구경하기 정말 좋은 곳이죠 놀이터 넓은 놀이터가 있어서 모래놀이도 하기 좋아요 주말에는 아이들이 많답니다 화장실 화장실은 깨끗하고 관리도 잘하려고 하지만 방문객들이 지저분하게 잘 처리안하기도 한 것 같아요 반려견 동반 환경 강아지 동반 가능한 곳이라 강아지의 만남의 장소예요 벌써 서울숲공원을 다닌지 10년이 되었다 서울시에서 관리하는 곳이며 서울에선 최고의 공원', '숲길을 따라 산책을 하다 보면 사슴 방사장도 만나고, 아이들과 놀기 좋은 놀이터나 잔디밭, 피크닉 하기 좋은 공간도 많아요 특히 봄에는 벚꽃이 흐드러지게 피고, 가을 단풍도 아름다워 사계절 내내 즐기기 좋습니다 서울숲 갤러리와 카페도 있어서 문화와 여유를 함께 즐길 수 있는 복합문화공간 느낌이에요', '남녀노소 및 가족,연인,지인, 반려견 등 산책이나 피크닉을 즐기기 좋은장소 화장실과 편의점등 시설이 잘되어있고 공원옆 갤러리아팰리스 상가나 언더스텐드에비뉴 등이 있어 카페 등의 시설 이용이 가능함 공원전반적으로 주로 평지이고 경사가심하지않아 산책시에 무리가 없음 밤에도 조명이 어느정도 유지되고 치안이 좋은편이라 24시간 산책가능 함 공원내에 소규모 운동기구가 비치되어있고 농구장 인라인(스케이트보드) 트랙이 있음 (기물일부 설치됨) 계절에 따라선 사슴 방사장에서 먹이를 구매해서 줄 수도 있음']"
0,252,0_사람_주차_주말_주차장,"['사람', '주차', '주말', '주차장', '강아지', '가족', '관리', '여유', '바람', '날씨']","['벚꽃 사진 찍기 좋네요 ㅎㅎ 사람이 너무 많아서 주차하기가 좀 힘들지만 ㅜㅠ 사진 찍을 곳이 많아서 너무좋아요 ㅎㅎ', '날씨가 좋은날에 산책하기 좋은곳~^^ 단, 주말에 사람이 정~말 많아요 ㅋㅋ그래도 넓어서 다 돌면 한시간 더 걸려요', '주말엔 사람이 많다 주차도 힘들다 날씨가 좋을땐 여기만한 곳도 없다']"
1,60,1_나무_도심_조성_관리,"['나무', '도심', '조성', '관리', '공간', '힐링', '장소', '잔디', '규모', '자연']","['도심속의 푸른공원 숨쉴수잇는 공간', '도심에서 힐링할 수 있는 숲이 있는 귀한 공간입니다', '다양한 공간조성으로 도심내 숲을 즐길 수 있은 곳']"
2,54,2_서울숲_시민_친구_나무,"['서울숲', '시민', '친구', '나무', '가족', '여유', '자연', '도심', '벚꽃', '아름답']","['서울숲은 4계절내내 예쁜 꽃과 나무들이 잘 정리되어있고 잔디밭과 벤치등 여유롭게 즐길수있어서 좋타 넓어서 볼거리도 많고 나무와 꽃이 너무 예쁘고 아름답게 가꿔져있다 주말에는 사람이 너무 많아 힘들지만 평일에는 여유로운편이다', '서울숲 너무 아름답고 넓어서 수중, 육지 생물들과 어우러져 있어 아이들, 가족, 연인, 친구 두루두루 즐겁게 가서 힐링할 수 있어요^^ 앞으로도 쭉 아름답게 잘 가꿔나가는 서울숲이 되었으면 해요 ㅎㅎ', '도심속의 멋진 휴식공간인 서울숲공원 혹은친구들과 만나 여유롭게지낼수있는']"
3,51,3_평화_힐링_단풍_주말,"['평화', '힐링', '단풍', '주말', '페스', '아프리카', '반나절', '여건', '휴식', '데크']","['평화롭고 좋은 곳❤', '오늘 아프리카페스티발 신나게 즐겼네요', '늘 평화롭고 좋아요ㅎ']"
4,49,4_가족_카페_연인_주변,"['가족', '카페', '연인', '주변', '장소', '맛집', '꾸준히', '시절', '단위', '데이트']","['성수동카페골목이나 갤러리아포레의 다양한 식당,카페와도 인접해있어서 연인이나 친구, 가족끼리 와 하루종일 있을만 함 날 좋을 때 돗자리 펼쳐놓고 누워있기 좋음 길이 널찍하고 조경이 잘 되어 있음', '가족,연인,부부에게 특별한 날도 아니지만 행복한 느낌을 오래 갖도록 해주는 곳이네요 주변에 맛있는 카페도 있고 디저트가게도 있고 소신껏 멋진 구두 만드는 공장 겸 매장도 많으니 다양한 하루 즐길수있는 코스가 가능합니다 잘가꿔진 튜울립축제도 하고 생태공원처럼 자연을 그대로 느낄수있는 곳도 있고 놀이터도 잘되어있어 꾸미지않은듯 꾸며놓은 공원입니다', '연인들이나 가족들이랑 산책하기 좋습니다 주변에 이쁜 카페들도 많아서 한 번 들려보시면 좋을 것 같습니다']"
5,48,5_도심_계절_엄청_피크닉,"['도심', '계절', '엄청', '피크닉', '공연', '동물', '생각', '장소', '바람', '즐기']","['4계절 어느 계절이나 그 시기에 맞추어 우리에게 좋은 쉼을 주는 가까운 도심 쉼터 ^^', '당연히 계절마다 분위기도 다르고 낮도 좋지만 밤에가면 정말 예뻐요 생각보다 엄청 크고 넓습니다', '도심 속 아름다운 공원이에요']"
6,40,6_튤립_예쁘_벚꽃_여름,"['튤립', '예쁘', '벚꽃', '여름', '가을', '나무', '새싹', '봄날', '목련', '명소']","['튤립이 예쁘게 피어있네요 4월에 튤립 보러가세요', '예쁜 튤립이 형형색색 너무 예쁘게 피었어요', '아기자기한 공원입니다 튤립가든이 예쁘요']"
7,34,7_시민_축복_문화_보로,"['시민', '축복', '문화', '보로', '여가', '건강', '조성', '예술', '장소', '거리']","['서울도심에 넓고다양한 상상력과, 감성 그리고 건강을 충전할 수 있는 문화예술공원임', '서울 도심에 친환경공원이 있다는것은 시민의 건강한 삶을위한 큰 축복이죠', '*대중교통:지하철 분당선 서울숲역 3번 출구 도보로 약 5분 거리 2호선 뚝섬역 8번 출구 도보로 약 10분 거리 또한 서울숲공원은 조성부터 프로그램 운영까지 시민의 참여로 이루어진 최초의 공원입니다 서울숲은 문화예술공원, 체험학습원, 생태숲, 습지생태원 네 가지의 특색 있는 공간들로 구성되어 있으며, 한강과 맞닿아 있어 다양한 문화여가공간을 제공합니다']"
8,28,8_서울숲_가능_여름_대신,"['서울숲', '가능', '여름', '대신', '동반', '맛있', '경마장', '지하철', '관리', '구경']","['서울에서 트렌디하게 즐기는 젊은 공원 놀이터 적당히 있어요 화장실 충분히 있어요 반려견 동반 환경 가능 피크닉 구역 가능', '지금은 아름답게 도심숲으로 가꾸어 많은이들이 찾는 명소가되어있다 도심속 숲속 공원 서울숲 많은인파가 몰리는곳이다 예전에 뚝섬 경마장이있던곳 과천으로 경마장이 옮겨 가기전까지 경마를 하던 곳이다', '아이들데리고 나들이하기엔 좋음 서울숲역 에서 내려서 200m정도 수준 놀이터 곳곳에 놀이터있음 반려견 동반 환경 동반가능']"
