Topic,Count,Name,Representation,Representative_Docs
-1,378,-1_올림픽_나무_사진_가족,"['올림픽', '나무', '사진', '가족', '방문', '가을', '사람', '장소', '최고', '피크닉']","['그 유명한 나무 곁에는 늘 그렇듯 사진을 찍으려는 사람들이 지천이다', '5 날씨좋을때 돗자리 가지고 나홀로 나무 가기 좋음 배달 가능하지만 나홀로 나무까진 배달안해주고 다리(이름모름) 갖다달라하면 오심 거기서매우가까움 나홀로 나무 갈때는 몽촌토성 역에서 내려서 가는게 더 효율적, 사진 잘 찍고 싶으면 사람 없는 화,목요일 오전에 가는게 좋음/문화재 발굴중이라 경치 생각보다 안좋아요 , 88잔디 개방 자주 안함, 올림픽 공원 공연자주 해서 공연 하는 날 맞춰서 가면 노래 듣거나 or 사람 많아서 치이기 딱임 제작년인가 어린이 공연이랑 엑소랑 임창정 공연이 동시 같은 날에 해서 평생 볼 사람들 다본듯 올림픽 공원역에 파리크라상 은근 존맛집이에요 가격대 좀있는데 무화과빵이랑 스파게티랑 자몽차 추천해요♡ 따릉이 이용 가능 올림픽공원역 몽촌토성역>잠실아파트단지 안 이용해야함 올림픽회관…', '올림픽공원은 1988년 서울 올림픽을 기념해 조성된 대형 공원으로 평화의문과 호수 올림픽경기장 호수공원, 88잔디마당 등 다양한 명소가 있어 산책하기 좋습니다 특히 평화의문은 올림픽의 평화적 의미를 담고 있어 멋진 사진 촬영지로도 유명하죠 겨울 저녁에 방문하니 차가운 공기 속 평화의문이 더욱 고즈넉하고 신비롭게 느껴졌어요 호수공원을 걸으며 바라본 고요한 물결은 마음을 편안하게 해주었고 공원 곳곳에 산책로가 잘 정비되어 있어 걷기 좋았어요 올림픽경기장 근처의 넓은 잔디밭은 여유로운 분위기를 더해 주고정원에서는 다양한 식물과 꽃들을 볼 수 있어 자연 속에서 힐링할 수 있습니다 넓은 공간에 잔디 밭고 정원에서 가족 연인 친구 등 봄이 되면 피크닉을 즐기기에도 좋아요']"
0,134,0_사진_관리_사람_날씨,"['사진', '관리', '사람', '날씨', '여유', '생각', '토성', '차비', '잠실', '백제']","['산책하기 좋고 사진 찍기 좋습니다 여유를 즐길 수 있는 공원입니다', '사진에 다른사람이 조금씩 걸리는건 어쩔수 없지만 그래도 조금만 노력하면 요령껏 예쁜 사진을 잘 담아낼 수 있어요 올림픽공원 주변 석촌호수도 방문하면 좋습니다 코스모스도 유명하다고 해요', '전체 공원을 천천히 돌면 총 3시간 정도 걸린다고 하는데, 원하는 코스나 spot 중심으로 산책해도 좋음 - 평화의 문 - 엄지손가락 - 음악분수 - 대화 - 몽촌토성 산책로 - 나홀로 나무 - 88호수 - 들꽃마루 - 장미광장 공원관리사무소에서 종이로 스탬프를 주기도 하지만, 앱스토어에서 “올림픽공원 앱”을 다운 받는 걸 추천~ (기념품은 올림픽공원 관련 자석 냉장고 부착용) 개인적으론 몽촌토성 산책로, 들꽃마루, 조각공원은 꼭 방문하는 걸 추천함']"
1,112,1_자연_도심_휴식_힐링,"['자연', '도심', '휴식', '힐링', '역사', '사계절', '전망', '공간', '산책로', '사람']","['도심속 아름다운 자연공간이 일품인 장소', '잘아시죠 올립픽공원은 도심속에 휴식공간', '도심속의 자연을 느낄수 있어 좋다']"
2,83,2_평화_대표_올림픽_시내,"['평화', '대표', '올림픽', '시내', '최고', '자연', '시설', '축복', '분위기', '방문']","['아이들을 데리고 서울 시내의 자연을 즐길 수 있는 최고의 장소 중 하나', '공원은 규모가 크며 아름다운 산책로, 조각품, 평화로운 녹지가 있습니다 휴식을 취하거나 사진을 찍거나 분위기를 즐기기에 좋은 장소입니다 우리는 서울올림픽공원을 방문하여 자연, 예술, 역사가 어우러지는 것을 정말 즐겼습니다', '- 올림픽공원 세계평화의 문: 79피트 높이의 랜드마크 문으로 그 아래에는 영원한 불꽃인 평화의 횃불이 있어 민족의 화합과 화합을 상징합니다 오늘날에도 많은 스포츠 시설이 여전히 다양한 스포츠 행사에 사용되고 있으며 이곳에서는 일년 내내 많은 축제가 열립니다 이 조경 공원은 1988년 하계 올림픽을 개최하기 위해 건설되었습니다']"
3,48,3_자전거_피크닉_반려_즐기,"['자전거', '피크닉', '반려', '즐기', '동반', '사람', '환경', '장소', '구경', '잔디밭']","['놀이터 큰 지역 반려견 동반 환경 개에게 좋다 이 공원은 도심에서 벗어나 하이킹과 산책을 즐기기에 완벽한 곳입니다 많은 지역 주민들이 산책, 피크닉, 자전거 타기를 즐깁니다', '경비원 출입 금지 화장실 깨끗하고 편안해요 반려견 동반 환경 나는 주변에 개 몇 마리를 보았다 피크닉 구역 잠깐 앉을 수 있는 작은 매트를 가져왔어요 놀이터 깨끗하고 친절한 자연이지만, 아이들은 운동장 안에서 놀 수 없습니다 올림픽 공원은 자전거, 피크닉, 산책을 즐기기에 최고예요', '원래는 그냥 산책만 하고 싶었는데, 공원이 이렇게 넓고 아름다울 줄은 몰랐어요 벚꽃철과 가을에는 더욱 아름다울 거예요 가족과 함께 잔디밭에서 피크닉을 하거나, 햇볕을 즐기거나, 자전거를 탈 수도 있습니다']"
4,46,4_장소_아침_최고_힐링,"['장소', '아침', '최고', '힐링', '코스', '날씨', '가족', '엄지', '단점', '운동화']","['아침 산책코스 선거후 오후에,', '도심 한가운데서 힐링할 수 있는 장소~', '공원산책 장소로는 최고ᆢ']"
5,36,5_최적_장소_저녁_일상,"['최적', '장소', '저녁', '일상', '햇살', '변화', '매년', '비추', '아름답', '인상']","['운동 산책에 최적화된 곳', '애견과 산책하기에 최적의 장소', '산책하기 최적의 장소']"
6,26,6_올림픽_스포츠_관리_아름답,"['올림픽', '스포츠', '관리', '아름답', '시설', '역사', '시민', '문화', '조성', '경기장']","['올림픽공원은 면적이 넓어 방문할 가치가 충분히 있습니다 공원은 무료이며 체육공원, 문화예술공원, 자아공원, 역사체험공원 등의 구역으로 나누어져 있다 넓은 잔디밭도 있습니다', '올림픽 동상, 완벽한 체육관 홀, 일부 스포츠 경기장 및 레크리에이션 장소가 있는 깨끗하고 큰 공원 잘 관리되고 깨끗해요', '따뜻한 어느날의 올림픽공원 사진들']"
7,24,7_카페_레스토랑_광장_지하철,"['카페', '레스토랑', '광장', '지하철', '음식점', '화장실', '주변', '편의점', '곳곳', '식사']","['알고있는 공원중에 최고의 공원 넓은 공원에 멋진 조경과 조각들이 있으며 평화의 문이나 나홀로나무 몽촌토성 들꽃광장등 볼거리도 많고 뒷편으로는 실제 사용되고 있는 스포츠 경기장이 있는 공원 너무 커서 제대로 다 보려면 하루정도는 잡아야 걷다가 쉬다가 하면서 널널하게 볼수 있음 지하철이나 버스등 교통편도 잘되어 있고 인근에 롯데타워나 롯데월드 석촌호수가 있어 다양한 볼거리가 연계되어 있으며 주변에 식당이나 한강공원도 멀지않아 가족이나 친구끼리 가도 좋고 혼자 가더라도 편하고 쉬고 구경하고 운동하기 좋은 최고의 공원 사계절 언제 가더라도 다양하고 아름다운 모습의 멋진 공원', '잘 다듬어진 야생 숲, 시냇물, 호수, 언덕, 조각 공원, 어린이 놀이터, 박물관과 같은 문화 건물, 스케이트장 등을 포함하여 다양한 지역과 풍경을 갖춘 아름다운 대규모 공원입니다 화장실, 피크닉을 위한 그늘진 공간, 카페, 레스토랑 등 편의시설이 완비되어 있습니다 주변을 산책하거나 자전거나 소형 자전거 차량을 대여할 수 있습니다', '- 꼭 가보길 추천함 편의점 : 올림픽공원역 근처 CU, 한얼광장 GS25, 평화의 광장 미니스톱 화장실 : 곳곳에 표지판이 있음 음식점 : [만남의 광장--파리크라상, 차이나팩토리, 빕스, 제일제면소] [평화의 광장--계절밥상, 롯데리아] 카페: EAT, 커피빈 자전거 대여소 : 우리금융아트홀 앞, 평화의 광장 굉장히 넓으며 자전거타기, 산책, 사진찍기 등 다양한 여가활동을 즐길 수 있음']"
8,19,8_가을_나무_피어나_언덕,"['가을', '나무', '피어나', '언덕', '일몰', '멋지', '공기', '장소', '여름', '야외']","['아침 산책이나 야외 활동을 즐기기에 이상적인 장소입니다 작은 언덕과 강, 그리고 수많은 나무들로 조경된 드넓은 잔디밭이 펼쳐져 있습니다', '해질무렵 몽촌토성 길을 한바퀴 산책하면 세속의 번뇌를 내려놓게되고 토성안 잔디밭 벤치에 앉아 나무들을 보면 정화되는 마음이 되는 곳 봄에 피는 벚꽃이 일품이고 가을 단풍또한 최고임 아마도 전철타고 올 수있는 국내 최고의 공원일듯', '아직 또 다른 산 하이킹을 하고 싶지 않다면 자연 속에서 멋진 산책을 즐길 수 있는 정말 아름다운 곳입니다 작은 언덕 위에서 바라보는 일몰은 롯데타워에서 보는 일몰과 크게 다르지 않으며, 그 결과 사진은 덜 붐비고 좀 더 솔직하며 멋지고 향수를 불러일으키는 분위기를 풍깁니다 도시의 분주한 중심부에서 조금 벗어난 이곳의 공기는 더 깨끗하고 신선하며 계절마다 아름다운 경치를 자랑합니다']"
