Topic,Count,Name,Representation,Representative_Docs
-1,416,-1_호수_사람_강아지_가족,"['호수', '사람', '강아지', '가족', '공간', '힐링', '분수', '관리', '비행기', '예쁘']","['공항 인접지역이라 항공기 소음 공해가 상존하는 입지조건이나 기존의 정수장 시설을 공원으로 조성 녹지공간을 시민이 자유롭게 이용할 수 있는 힐링 공간으로의 기능을 높이 평가 하고 싶다 서울의 서쪽을 대표하는 공원으로 호수의 소리 분수가 큰 볼거리를 제공하고 있는 곳이다', '호수공원에 사람들이 토요일 일요일 너무 많아요', '사람들이 아주많아요 강아지들도 많이나오는데 띠놀곳이없어 데리고 걸으려니 줄이엉키고 피해가는분도 있고 빈공간에 따로 강아지들 놀이터 만들어 주심 안될지요 간절하더라고요']"
0,98,0_사람_예쁘_주차_텐트,"['사람', '예쁘', '주차', '텐트', '관리', '가까워', '동네', '가족', '둘레길', '가을']","['운동하는 사람들도 있다는걸 알아주길', '좋은만큼 사람들도 많이 모여요', '넓고 깨끗한데 사람이 많음']"
1,57,1_근처_사람_너구리_가족,"['근처', '사람', '너구리', '가족', '공사', '추천', '동네', '주차장', '견과', '반려']","['관리하는 측에서도 좀 제지하든가 해야지, 원 시민의식이 사라진 못 볼꼴 보고 기분 상해서 바로 자리 떳네요😔 근처에 산도 있어서 사진 하는 사람들이라면 가보는 것 추천드립니다 제에에발 부탁인데 애들 동반하는 부모들아 개념이란게 있음, 아이들이 물가 주위의 생물을 함부로 채집 못 하게 하세요 표지판 앞에서 잡는건 좀 씨게 선 너무었는데', '대신 화장실과 같은 편의시설은 괜찮음 사람 많고 주말에도 근처에 큰 건물공사중이라 산책하는 동안 계속 시끄럽다', '좋아요~ 앉을곳도 많고요 대신 식당은 가까이 없으니깐 먹을꺼 챙겨가던지 아님 역근처로 나오셔야 해요 커피는 앞에 작은 카페가 있으니 거기서 드셔도 되고요 비행기 소리나면 작동하던 분수대 작년에 공사중이던데 공사 끝났겠죠']"
2,42,2_반려_동반_화장실_피크닉,"['반려', '동반', '화장실', '피크닉', '강아지', '환경', '호수', '놀이터', '가능', '물놀']","['운동하기에 호수공원을 끼고 있어 뷰가 너무 좋아요 화장실 깨끗해요 반려견 동반 환경 동물들도 함께 할수 있어요 피크닉 구역 네 가능합니다', '세곳에 시설이 있고 깨끗하고 넓어서 사용하기 좋아요^^ 반려견 동반 환경 반려견과 산책하기 좋고 넓은 잔디광장이 있어서 많은 반려견이 모여서 서로 교감하기도 좋아요^^ 피크닉 구역 여러곳에 피크닉을 할 수있도록 해놓아서 사용하기 좋아요^^ 넓은 공원안에 호수가 있어 편안함을 주고 산책로와 정원이 잘되어 있어 반려견과 산책을 하기에도 좋은 곳이에요^^ 그리고 호수 옆에 음식을 가져와서 먹을 수있는 평상도 잘되어 있고 정문 앞 분식집에서 떡복이랑 오뎅 순대등을 사다가 먹어도 맛있더라구요^^ 놀이터 아이들이 놀 수 있도록 잘 꾸려진 놀이터가 있어요^^ 화장실 정문 옆에랑 호수 앞이랑 후문 쪽', '아이들과 함께 놀거나 운동하기 좋아요~^^ 연인들도 좋고요~ 놀이터 아이들이 놀기 좋은 놀이터가 있어요~^^ 화장실 화장실은 살짝 지저분한데 사용할만해요 반려견 동반 환경 강아지와 산책하기 좋아요 피크닉 구역 호수 앞에 피크닉할만한 장소 있어요~ 넓고 좋아요~']"
3,42,3_비행기_분수_소음_공항,"['비행기', '분수', '소음', '공항', '호수', '착륙', '김포', '생각', '항공기', '지나가']","['공원이 크고 좋으나 비행기 소음이 심함', '결론 : 소음도 음악이 되는 곳 - 서울 주거지에 있는 멋진 공원 - 사실 이 주변 동네는 김포공항에서 들이는 비행기 이 착륙 소음이 심각한 곳인데, 복지성 인프라가 생겨 좋음 - 비행기 소음을 인식해 비행기가 뜰 때마다 호수의 분수가 작동하는건 좋은 아이디어 - 공원 내 농구 코트, 야구장 등 인프라가 아주 좋음 - 그러나 주변에 식당이나 먹거리가 한참 부족 - 교통도 좋은 편은 아님 - 가까운 곳에 스타벅스가 있어서 커피 한 잔 사와서 산책하기 좋음 - 주차장은 있지만 자리가 적어서 경쟁이 심함', '넓고 정돈 잘 된 공원이며 비행기 지나갈 때마다 분수가 켜지는 색다른 공원이예요']"
4,36,4_장소_가볍_도심_부근,"['장소', '가볍', '도심', '부근', '참으로', '괜찮', '공기', '장애', '건강', '공간']","['산책이나 운동하기 좋은장소', '산책하기 좋은 장소입니다', '산책 하기 좋은 장소']"
5,33,5_장소_주차_코스_다니,"['장소', '주차', '코스', '다니', '가볍', '저녁', '산보', '사계절', '정성', '자전거']","['저녁 산책 자주 다니는 곳', '산책다니기좋음 주차 힘듬', '장소 좋음 주차 시설 별로']"
6,31,6_느낌_개구리_조경_아침,"['느낌', '개구리', '조경', '아침', '바람', '지역', '아름답', '공기', '햇살', '풍경']","['동네 근처라면 정말 산책하기 좋을 것 같은 공원이에요 선유도공원 같은 느낌도있고 조경이 잘 되어 있어서 분위기가 좋아요', '매일 가는 공원이지만 갈때마다 새로운 느낌도 주지만 새싹이 나고 꽃이 피기 시작하면 늦게까지 꽃을 볼수도 있고 꽃이 지고 나면 예쁜 열매들이 달려 있는 것이 계절을 말해 주고 있지요 지금의 열매는 얼었다 녹았다 색바랜 산수유 열매와 고개를 위로 올려봐야만 보이는 양버즘내무 열매 이열매로 장난도 많이 치면서 놀기도 하였는데 봄이면 딱딱한 열매가 서서히 갈라지듯이 하나씩 씨앗은 바람의 도움을 받아 이사를 하는데 이사도중에 날리는 열매의 먼지 같은 날개가 사람들에게 알레르기를 일으킨다 해서 지금은 나무를 많이 베어 열매를 많이 볼수가 없지만서서울공원에서는 볼수있다 가까운 곳에 있는데도 모르는 사람이있고 알면서도 안가본사람도 있을것이다 잠시 시간내어 가볼만한곳이다', '계절에 맞게 개구리 울음소리도 들리고 산책로도 잘 되어있어서 가족끼리 나들이 하기에 아주 좋으며 공기도 아주 좋아요']"
7,31,7_비행기_소음_소리_시끄럽,"['비행기', '소음', '소리', '시끄럽', '분수', '착륙', '가까이', '구경', '지나다니', '가동']","['비행기 관심있으신분들은 아주 좋을것 같습니다', '호수있는공원 넓고산책하기좋음 비행기소음이심함', '비행기소리 소음으로 시크러움']"
8,29,8_굉장히_러닝_저녁_아쉬움,"['굉장히', '러닝', '저녁', '아쉬움', '나가', '여행', '책방', '빨리', '쓰레기', '골산']","['굉장히 넓고 좋아요^^', '해지면 가볍게 러닝하기 좋은곳 너무예쁘다 러닝 산책 데이트 모두 가능^^', '주차가 굉장히 불편함']"
9,26,9_조성_테마_친환경_신월동,"['조성', '테마', '친환경', '신월동', '개장', '호수', '양천구', '위치', '부천', '경계']","['능골산을 숲으로 복원하고 등산로를 정비하였다 이후 물과 재생을 주제로 한 친환경공원으로 조성하여 2009년 10월 개장하였다 비행기소음을 활용한 소리분수, 추상 미술기법을 도입한 몬드리안정원, 100인의 식탁 등을 설치되어 있다', '*4번출구에서 버스정류장(16192) 653번 버스타고 서서울호수공원 정류장(15338) 하차 2009년10월에 개장한 서서울호수공원은 양천구의 옛 신월정수장에 ‘물’과 ‘재생’을 테마로 조성된 친환경공원입니다', ""또한 부천시와 경계를 이루는 능골산 또한 건강한 숲으로 복원하고 등산로를 정비하여 함께 공원으로 조성하여 여의도공원, 양재 시민의 숲에 버금가는 규모를 자랑하며 서남권 최대 규모의 테마공원으로 다시 태어났습니다 이후 청소년 유스타운 건립, 임대주택 건립, 영어체험마을 건립 등 다양한 개발계획이 거론되었으나 2006년경 서울의 지역 간 불균형을 해소하고 서남권의 대표적인 테마공원을 만들어 지역 활성화의 발판을 삼고자 최종적으로 공원을 조성하기로 결정되었습니다 2009년 10월 개장한 서서울호수공원은 양천구 신월동에 위치한 옛 신월정수장을 공원 조성 사업을 통해 '물'과 '재생'을 테마로 한 친환경공원입니다""]"
10,25,10_돗자리_힘들_주차장_주차,"['돗자리', '힘들', '주차장', '주차', '까치산역', '정신없', '시소', '동산', '짜증', '생기']","['서서울공원 열린광장에서 돗자리깔고 입구에서 파는 떡볶이 랑 분식거리 사먹었네요', '아이나 반려견과 함께 오기 너무 좋아요 주차가 상당히 힘들어요', '분수대 앞 빼곤 숲 속에 더 많은 의자 벤치가 필요함 돗자리 가져가면 좋을듯']"
11,24,11_유일_가을_예쁘_도심,"['유일', '가을', '예쁘', '도심', '참으로', '동산', '가슴', '느끼', '부담', '자전거']","['평평한 동산이라 트레킹에 부담이 없고, 탁트인 전망에 가슴이 뻥 뚫리는 느낌입니다', '가을 단풍이 곱게 물든 어 참으로 아름다운 풍경을', '접근성및 환경, 미관 모두 좋아요^^ 이근처 유일한 서민공원']"
