Review,Topic_ID
"운동도 할 수 있게 운동기구도 설치되어 있고 놀이터도 있고 좋은 공원 같다 간단히 한 바퀴 돌거나 산책하면 좋은 곳이다 넓고 쾌적한, 도심 한가운데 있는 공원이다",6
첫째 아이의 학원이 근방에 있어서 둘째와 자주 가는데 관리도 잘되있고 아이와 할게 많다 그물망도 있고 넓은 공터가 있어서 자전거나 공놀이도 할수있다 여름에는 물놀이까지 할수있고 더우면 들어가서 쉬면서 무료로 보드게임까지 할수있는 곳도 있다 도서관도 있어서 하루종일 놀수있는 곳,-1
산책하기 좋고 살롱에서 장기까지 하면 좋음,1
이번에 다시 리모델링해서 재개장 했습니다 파리공원은 물놀이 시간 때 방문하면 가족들끼리 물놀이 할수 있습다 중앙광장에 도서관과 화장실 파리공원을 설명하며 문화 교육을 할 수 있는 실내 휴게공간등을 잘 갖추고 있는 공원입니다 공간공간이 잘 설계되어 보는 눈이 즐거우며 산책하기 깔끔한 공원입니다,-1
"# 어쩌다 들를 만한 장소 나들이로 들를 만한 곳은 아니고 한번 쯤 산책해볼 만한 공원이에요 한국 - 프랑스 수교 100주년 친선 목적으로 조성한 곳이라, 에펠탑 조형물과 화단 등 현지를 일부 수용한 시설이 보입니다 입구 쪽엔 ‘살롱 드 파리’라는 어르신들이 시간을 보낼만한 센터도 있습니다",4
벤치와 파라솔 테이블 등 편의 시설들도 추가되고 야간에도 조명 시설 변경으로 인해 기존의 어두운 사각지대를 많이 줄였습니다,-1
새롭게 조성된 파리공원 ) 파리공원 양쪽으로 한 쪽은 절이 그 반대편에는 성당이 있다 파리공원은 프랑스 파리와 수교를 기념하며 만들어진 공원이다,4
리뉴얼되어 운동기구가 최신형으로 운동하기 좋아요,-1
잘 정비가 되어 아이들이 뛰어 놀기 좋아요 파리 올림픽을 기념하여 파리공원에 놀러가는것도 재미 있습니다,-1
"인근에 양천도서관이 있고, 공원 근처에 노변 주차장을 갖추고 있다 오래된 공원이라 수목이 울창하고 소나무들도 멋지지만 관리가 너무 소홀한곳입니다 또 농구대와·철봉·역기 등 체육시설과 산책로도 갖추어져 있다",-1
멋져브러~ 한국과 프랑스는 사이가 좋은 혈맹관계이다,4
지난봄 파리공원 산책로에서 밤에 성당의 모습은 최고예요 사계절이 모두 아름다운 역시 오랜시간 조성된 공원이라 으뜸입니다,-1
"29,618㎡로 공원 크기는 크지 않지만, 목동 아파트 단지 사이에 있어 시민들의 휴식처로 사랑받고 있는 공원입니다 도심속 작은 공원, 파리공원 양천구 목동에는 우리나라와 프랑스 수교 100주년을 기념하여 만든 파리공원이 있습니다",4
"파리공원은 목동 2단지, 목동 3단지, 목동 5단지와 접하고 있으며 주변에 학원가와 도서관까지 있어서 그런지 산책하는 주민들도 많고 학생들도 많은 편이에요 파리공원 주변으로 산책로가 잘 조성되어 있어서 개를 산책시키는 주민들도 심심찮게 볼 수 있어요 파리공원 노상공영주차장은 평일 19시 이후, 토요일 15시 이후에는 무료이며, 공휴일과 일요일에는 무료로 개방되요 또한 파리공원에는 운동기구도 많고 바닥분수도 있어서 가족단위로 운동과 산책을 즐기기에 좋은 것 같아요",-1
"리뉴얼 후 운동하기 더욱 좋아졌고 깔끔하니 좋습니다, 일주일에 3번 이상 방문하고 있어요",-1
"주차공간은 없지만, 아파트숲에 작은 공원이 있어 좋습니다",-1
그 문턱에 공원은 나의 사랑의 놀이터 였네요 파리공원 사곁에 30년전 추억이 있슴은 오늘의 아련함으로 다가옵니다 아이들과 카메라를 찍는 아가씨가 오늘따라 정감있게 다가옵니다,-1
탁 틔여있어서 산책하기 좋다 깔끔하고 시설이 잘 정돈되어있음,-1
새로이 정비된 모습이 너무 보기 좋네요 우선 앉을 수 있는 다양한 공간이 너무 인상적 입니다,-1
"운동 기구며 테이블이며, 아이들 놀이터, 탁구대, 분수대 등 편의 시설을 많은것은 좋은데, 사람이 너무많고, 테이블에서 술을 먹는 사람도 있고, 이래저래 뭔가가 아쉬운 느낌이 드네여 ㅜㅜ 2023년 06월 06일 : 요즘 분수도 나오고 해서 막내랑 다시 찾은 파리 공원 분수때문에 아이들이 많네여",-1
아이들 어렸을 때 바닥분수에서 즐겁게 놀던 기억이 리뉴얼 후 공원이 조금 더 세련되고 모던해졌다,-1
길막고 포크레인이 지나가며 공사 중인데 오픈은 왜 한거냐 리모델링 했다는데 그다지 안 바뀜,1
"외부활동과 실내활동이 적절히 이루어질 수 있는 여건이 갖추어진 곳이 드문데, 화장실에 인접한 실내공간에 도서방이 있어 잠시 쉬며 독서도 할수 있어요 유료이긴 하지만 인근에 주차 가능 공간이 있고, 지자체 이용 주차구역의 경우 비용도 부담없내요",-1
산책하기 좋고 아이와 같이 놀기 좋아요,-1
한불수교 기념 명명된 파리공원 커뮤니티센터에서 보드게임과 책보기도 가능합니다 주차가 불편해요 걸어가거나 대중교통 이용하심 좋습니다,-1
목동 파리공원 책쉼터 파리공원내에 있는 책쉼터는 뛰놀던 아이들이 책을 읽으며 쉴수 있는 좋은 공간이에요,-1
더운 계절에 아이들 물놀이 장소로 매우 좋네요 리모델링이 매우 성공적이네요 물놀이 계절이 아닐때도 활용도가 높으면 더,1
아직 그늘은 충분하지 않지만 분수도 운영해주고 좋네요,3
"공원 전체를 두르는 산책길과 원형공연장, 연못, 농구장, 운동시설 등이 잘 갖춰져있어 가벼운 산책이나 배드민턴 같은 운동을 즐기기에도 좋고 개들을 데리고 산책하는 주민들도 많다 목동 주민들의 문화와 생활이 공유되는 공원으로 프랑스 수교 100주년을 기념해서 건립되어 에펠탑과 개선문이 축소모형으로 전시되어 있다",-1
나무와 그늘이 있어서 점심시간에 여유롭게 산책했어요~,-1
"공원주변 공영주차장 이용가능 운동하기 좋은곳 (다양한운동기구,농구대 있음) 봄벚꽃,여름분수,가을단풍,겨울 아이들 강아지들 모두 놀기 좋음",-1
인기만점에 미어터짐 5월이 이정도인데 여름되면 ㅎㅎ 건너편 아파트분들 밤늦게까지 주무시길 힘드실듯,1
동네공원이라 접근성도 좋고 깨끗하며 가까이 카페도 많아서 자주가요,1
최근 전체적으로 리모델링해서 아주 좋아졌어요 편히 앉아서 즐길 공간도 많아졌습니다,0
어린이 청소년 가족나들이 하기에 좋은 곳입니다,-1
산책하거나 쉬기에 좋았습니다,5
