Topic,Count,Name,Representation,Representative_Docs
-1,186,-1_공간_가족_파리_사람,"['공간', '가족', '파리', '사람', '화장실', '주변', '분수대', '주민', '벤치', '분수']","['파리공원은 목동 2단지, 목동 3단지, 목동 5단지와 접하고 있으며 주변에 학원가와 도서관까지 있어서 그런지 산책하는 주민들도 많고 학생들도 많은 편이에요 파리공원 주변으로 산책로가 잘 조성되어 있어서 개를 산책시키는 주민들도 심심찮게 볼 수 있어요 파리공원 노상공영주차장은 평일 19시 이후, 토요일 15시 이후에는 무료이며, 공휴일과 일요일에는 무료로 개방되요 또한 파리공원에는 운동기구도 많고 바닥분수도 있어서 가족단위로 운동과 산책을 즐기기에 좋은 것 같아요', '가족, 어린이, 그리고 사랑스러운 강아지들을 산책시키는 사람들로 가득합니다 공원에는 농구장, 축구 골대, 다양한 휴식 공간, 벤치프레스 및 웨이트 트레이닝 기구가 있는 나무 공간, 그리고 노인들을 위한 운동 공간이 있습니다 아름다운 경관을 자랑합니다', '파리공원 음악분수나 바닥분수도 보기좋고 공원 둘레를걷거나 산책길 걷기 좋습니다 나무가우거져 그늘이 많아 낮에 걸어도 좋아요 농구대 아이들 놀이공간 앉을수있는 벤치 테이블이 많아 쉼터로 좋아요 운동기구있어 남녀노소 즐기기 좋습니다 화장실 화장실 깨끗하고 이용하기 편리합니다 반려견 동반 환경 반려견 산책하기 좋아요']"
0,72,0_동네_공사_단장_광장,"['동네', '공사', '단장', '광장', '생기', '전체', '근처', '예쁘', '새로', '여유']","['얼마전 수리를 통해 예쁘게 잘 단장되었습니다', '새로 단장해서 예쁘고좋습니다', '04 공사하고 공원 개편했는데 공원 내 헬스장생기고 전체적으로 깔끔해졌습니다 파리공원 레전드입니다 22']"
1,48,1_코스_분수_공사_너무너무,"['코스', '분수', '공사', '너무너무', '최근', '가족', '카페', '놀이터', '동네', '여름']","['어렸을때부터 다니던 공원이라 너무너무 좋아함 가족단위 나들이도 좋고, 혼자 공원에서의 여유를 즐기기 좋음', '중앙에 무대 건물은 좀 오래되었고 관리가 잘 안되어서 화장실도 낡고 지저분함 넓은 분수대와 농구대, 운동기구, 산책 코스, 작은 무대까지 마련되어 있음', '여름엔 분수도 나오고, 가족끼리 가벼운 운동 및 산책에 좋습니다 최근에 공사해서 도서카페도 생겼어요']"
2,32,2_시민_도심_동네_주택가,"['시민', '도심', '동네', '주택가', '크기', '주민', '느낌', '심속', '정원', '가깝']","['주택가에 위치한 넗고 잘 설계된 주민의 휴식처로서 편의 시설이, 완비된 공원', '시민의,시민에 의한,시민을 위한 공원', '도심 한가운데 소규모 공원으로서 시민의 건강에 큰 도움이 되고 있습니다']"
3,29,3_가볍_산책로_가깝_큰개,"['가볍', '산책로', '가깝', '큰개', '콘크리트', '전시', '별거', '도심지', '냄새', '벌레']","['좁은 느낌과 콘크리트 산책로에 다리가 놀랐다', '목동 도심지에서 가볍게 산책하기 좋은곳이네요', '사랑하는 사람과 가볍게 산책하기에도 나쁘지 않아요']"
4,27,4_파리_프랑스_기념_수교,"['파리', '프랑스', '기념', '수교', '에펠', '한국', '개선문', '조성', '추억', '양천구']","['29,618㎡로 공원 크기는 크지 않지만, 목동 아파트 단지 사이에 있어 시민들의 휴식처로 사랑받고 있는 공원입니다 도심속 작은 공원, 파리공원 양천구 목동에는 우리나라와 프랑스 수교 100주년을 기념하여 만든 파리공원이 있습니다', '내겐 추억이 있는 곳 파리가 많아서 파리공원이 아니라 설마 프랑스의 그 파리가 맞다는 것에 놀랐음', '새롭게 조성된 파리공원 ) 파리공원 양쪽으로 한 쪽은 절이 그 반대편에는 성당이 있다 파리공원은 프랑스 파리와 수교를 기념하며 만들어진 공원이다']"
5,23,5_조용히_아침_휴식_저녁,"['조용히', '아침', '휴식', '저녁', '가볍', '바람', '날씨', '즐기', '벤치', '그늘']","['그닥 넓지않지만 조용히 산책하기엔 안성맞춤 입니다', '아침운동 , 산책에 시설 및 관리가 잘되어있음', '아침 저녁으로 운동하기 좋은곳']"
6,20,6_분수_광장_피크닉_카페,"['분수', '광장', '피크닉', '카페', '농구장', '대표', '코트', '여름', '의자', '연못']","['농구장,헬스장, 작은도서관, 화장실, 산책로,분수등 보유 피크닉 구역 의자와 책상이 있어 앉아 쉴수있으며 위에 가림막이 있다', '여름에 분수 멋지고 공원이 광장도 크고 산책로도 길고 농구장코트도 많음', '최근리모델링 쉴수있는 분위기좋은 카페형 야외테이블과 의자가 인기 농구장, 야외무대, 작은 도서관, 카페형 문화공간 등 최고급시설 작지만 알찬 시설로 꽉찬 멋진공원']"
7,17,7_나무_사계절_활기_오픈,"['나무', '사계절', '활기', '오픈', '언제나', '만점', '역사', '공연', '다양', '재미']","['다양하게 편하게 즐겁게 쉴 수 있는 공원입니다', '삼나무숲에서 힐링 만점입니다', '공간 오픈형 공원 재미 공연 운동 가능']"
8,12,8_강아지_사람_기구_접근성,"['강아지', '사람', '기구', '접근성', '불편', '자전거', '반려', '보이', '겨울', '둘레']","['저녁때 강아지 산책들을 많이 하는데 끈을 너무 길게하거나 큰개를 입마개 없이 산책 나온 사람들이 많아 운동할때 불편하긴하나 많은 사람들이 운동하더라고요 운동코스에서 휴대폰하느라 길을 막고 있거나 좁은길을 둘이서 나란히 걷느라 길다막고 잘 비켜주지도 않습니다 집에서 두번째로 가까운 공원입니다', '아이들도 사람들도 반려견을 산책시키는 사람들도 적당히 보기좋게 있는 편이에요 여름이든 겨울이든 운동하고 산책하기엔 좋은 공원입니다 가을부터는 여름에 비해 삭막해보이는듯 하지만, 간혹 반려견 산책시키는 분들이 보이고 유동인구는 보통으로 있는 편입니다', '강아지 데리고 산책하기도 좋고 아이들 자전거 타기도 좋고 드론 날리기도 좋고 농구 하기도 좋은 곳이고 공원 옆 주차장엔 전기차 충전시설도 있어요 공원 둘레를 돌면서 운동하가도 좋은 아파트 단지 사이의 접근성 뛰어난 공원이에요']"
