Topic,Count,Name,Representation,Representative_Docs
-1,355,-1_사진_가족_날씨_예쁘,"['사진', '가족', '날씨', '예쁘', '힐링', '도심', '계절', '경치', '사람', '시설']","['가을단풍으로 예쁘고 불들어온 한강 다리들로 예쁜 사진 소장가능 연인과 데이트하기엔 좋음~', '데이트하기 좋네요 사진 예쁘게 나와요', '사람도 많고 공원도 아기자기 하게 예쁘니 좋았다 날씨 좋은날에 가면 더 좋을 공원']"
0,344,0_사람_데이트_여유_날씨,"['사람', '데이트', '여유', '날씨', '바람', '주차', '자전거', '돗자리', '평일', '화장실']","['하늘공원, 망원시장이랑 같이 데이트코스로 가면 정말 좋을거같다 여유를 즐기기 좋다', '주차는 양화공원에 하고 가야함 잔디밭에 돗자리 깔고 누워서 한강과 날씨를 즐기기에 좋음', '사람없구 경치 좋음 데이트 춧천']"
1,67,1_풍경_자연_강의_양화대교,"['풍경', '자연', '강의', '양화대교', '주변', '힐링', '나무', '아름답', '조망', '유교']","['나무와 꽃들이 어우러져서 한강의 풍경을 한층 돋보이게 하고 여유로운 산책을 하기에 좋은 명소', '자연 친화덕이고 나무 한강조망 힐링하기에는 최고의 장소 입니다,~^^', '푸른 나무와 넓은 잔디밭이 어우러져 여유롭게 걷기 좋으며, 공원 내 산책로가 잘 정비되어 있어 편안하게 걸을 수 있습니다 이 공원은 가까운 위치에 있어 접근성이 좋고, 날씨만 좋다면 부담 없이 산책하기에 완벽한 장소입니다 조용하고 평화로운 분위기 속에서 스트레스를 풀고, 자연과 함께하는 힐링의 시간을 즐길 수 있는 곳입니다']"
2,62,2_버스_주차장_카페_편의점,"['버스', '주차장', '카페', '편의점', '이용', '주차', '관리', '생각', '입구', '예쁘']","['합정이나 홍대입구에서 버스로 선유도공원 입구 정류장으로 접근하면 편리함 사람이 많지 않아 조용히 돌아다니기 좋으며 조경이 잘되어 있음 공원 내 카페에서 야외 취식 시 몰려드는 비둘기와 참새에 유의할 것', '넓고 산책로가 잘되어있고 시설물들이 독특하고 신기함 사진출사하기에 좋은곳 곳곳에 포토존도 많고 중간에 쉴 수 있는 공간도 마련되어있음 주차장은 양화한강공원 도보 10-15분거리, 버스 잘되어있음 돗자리 가지고와서 휴식을 취하는 사람도 많고 화장실도 관리가 잘되서 편하고 깨끗함 나들이 하기 좋은곳 화장실 화장실 쾌적 깨끗 관리잘됨', '지하철역에서는 생각보다 도보로 거리가있는편입니다 하지만 버스로는 다리바로밑에 정차합니다 선유도내에 카페겸 편의점이있습니다 뷰는 좋지만 카페자체는 그렇게 깨끗하진않습니다']"
3,54,3_자연_여유_단풍_사진,"['자연', '여유', '단풍', '사진', '처음', '개방', '건너편', '공기', '대중교통', '풍경']","['가을 끝자락 가족나들이로 다녀왔습니다 서울 한복판에서의 자연을 느끼게 잘 꾸며놓으셨네요 코로나 땜인지 날씨 탓인지 사람이 적고 좀 쓸쓸해(', '대중교통이나 승용차로도 접근성도 좋고 작지도 않으면서 경치도 좋은 공원입니다 가을 단풍도 좋습니다 60이 너무게 서울에 살았어도 이런 공원이 있다는 것을 처음 알게 되었습니다', '서울에 살면서 말로만듣고 처음가본 매력만점 공원입니당:-) 많은 나무들과 너른 잔디밭에 여러가지 수생식물과 꽃들, 탁트인 한강풍경까지 정말 최고예요^-^Vvv 자연속에서 여유를 느끼며 쉬어가기 좋은 장소로 강추에요~* 사진찍기 좋은 장소도 곳곳에 많고요']"
4,32,4_사진_사람_스팟_자주,"['사진', '사람', '스팟', '자주', '국적', '아기자기', '거니', '붐비', '주위', '신비']","['좋아요 사진찍기 좋은곳', '사진찍기 좋은곳 많아요', '어딜 찍어도 감성담긴 사진을 남길 수 있는 곳']"
5,26,5_벚꽃_예쁘_날씨_코로나,"['벚꽃', '예쁘', '날씨', '코로나', '가을', '휴게', '꽃피', '수국', '개나리', '강도']","['요즘 벚꽃이 예쁘네요^^ 날씨도 따뜻하고 코로나에 힐링이 좀 되네요~', '선유도공원은 처진 벚꽃이 예쁘요 벚꽃이 활짝 폈어요', '벚꽃이 예쁘고 좋네요']"
6,25,6_도심_심속_만들_아름답,"['도심', '심속', '만들', '아름답', '특별', '관찰', '이국', '역사', '바탕', '아기자기']","['도심중의 가볼만한 공원으로 보임', '도심속 잘 만들어진 공원', '역사를 바탕으로 잘 만들어진 공원']"
7,24,7_여름_고요_겨울_규모,"['여름', '고요', '겨울', '규모', '벌레', '조용히', '소풍', '사람', '평화', '돌아다니']","['사람이 없는 8시 이후는 굉장히 조용하고 아늑하다 봄이나 가을 즈음에 가면 벌레도 없고 습도도 적당해서 즐겁게 있다 갈 수 있다 여름이나 겨울은 벌레나 날씨가 장애요인이 될 수 있다', ')곳 여름 산책 코스로 내륙 공원보다 100배 더 추천한다 또한 공원 내 나무와 담쟁이덩쿨이 많은것이 이 곳 만의 특징으로써 풀내음 하나는 왠만한 수목원 만큼 마음껏 느낄 수 있다:) 여름에 와도 섬이라 그런지 바람이 꽤 불어서 시원하다, 여름에 돌아다니는걸 극혐하지만 그나마 물가라 산책해도 덜 힘든(', '확실히 겨울이 한적하며 고요하고 사색하기 좋지만 봄과여름에 많은 사람들이 찾아와서 생기는 활기도 좋다']"
8,22,8_웨딩_촬영_연인_가족,"['웨딩', '촬영', '연인', '가족', '사진', '친구', '날리', '홀로', '여기저기', '가을']","['사진 수업 듣기 위해서 실습 교육하러 간 곳인데 예쁜 포인트가 많아서 돌아다니며 찍기 좋았다 나들이객도 많았고 우리처럼 사진 찍는 사람들도 있었고 듣기로는 웨딩 촬영도 많이 한다고 하더라 앉을 곳도 많고 편의 시설도 잘 되어 있어서 가족이든 커플이든 친구든 누구랑 와도 편하게 놀다가 갈 수 있는 곳 조만간 날 더워지기 전에 또 한번 가고 싶다 사진 찍기 좋은 포인트가 진짜 많다 다만 내가 방문했을 때는 5월 초라서 꽃가루가 진짜 미친듯이 날리고 있었다 알러지가 있는 분들이라면 이 시기는 피하는 게 좋을듯 심각하게 많이 날리고 있다 ㅋㅋ 다시 본론으로', '산책하기도 좋고 사진을 찍기에도 좋은 공원 연인, 가족, 친구들이 찾기에 모두 좋다', '가을 철로 사진 촬영 명소이고 연인들 데이트 장소로 좋고 가족 친구들 나들이 장소로 좋습니다']"
