Review,Topic_ID
"산책로도 오르락내리락 지루하지 않게 되어 있습니다 일제강점기 때 나라의 독립을 위해 희생하신 애국지사 분들의 유해를 모신 공원 입니다 규모가 크지는 않지만, 조경이 아름답게 잘 되어 있어요",1
"지하철 효창공원역 1번출구에서 650m 정도 걸어가면 된다 백범 김구 선생을 비롯하여 안중근,윤봉길,이봉창,백정기 의사들의 묘역과 백범기념관까지 있어 다시 한 번 나라의 소중함을 깨닫게 되고 의의 의미를 되새기는 계기가 될 것이다 오늘날 대한민국을 있게 한 독립운동가들의 묘역이 있는 공원이다",3
반려견 동반 환경 반려견에게 좋습니다 동네 강아지들의 산책 공간 및 러닝하시는 분들이 많이 계시는 곳입니다 멀리서 굳이 오시기보다는 근처에 계시면 방문하기 좋은 곳입니딘,0
대한민국 자주독립과 나라의 건국을 위해 생을 바치신 위인들이 계신 곳이다,3
아주 큰 규모의 평지 공원은 아니지만 지형을 그댜로 살려 공원을 조성해 산책로의 높낮이가 있어 신책하면서 지루하지 않아 좋고 도심속 여유로움을 느낄 수 있어 쉬엄쉬엄 걸으면서 생각하기 좋은 공원인듯,1
"넓고 쾌적하고 조용하고, 의미까지 깊게 담겨있어 곁에 두고 오래오래 함께 하고 싶어지는 도심 속 공원 산스장 수준도 꽤 수준급 참 기분 좋은 공원",1
마침간날이 23년12월19일 매헌윤봉길의사순국91주년추념식이 있었네요 김구선생님의묘,-1
"순국열사들의 묘와 얼이 모셔진 공간에 현재를 살아가는 후손들이 함께 있을수 있다는,도심속에 이렇게 산책하기 좋은 곳이 있다는게 얼마나 감사한 일인지 자녀들 교육에도 참 좋은 곳이다 숙대입구역,남영역등(기사식당거리,용문시장등) 접근성도 먹거리도 플러스",1
"광복후 1946년에 김구선생의 주도로 일본에 있던 이봉창, 윤봉길, 백정기의사의 유해를 모셔와서 안장했고, 안중근의사는 유해를 향후 찾으면 안장하기로 하고 가묘를 만들었다 우리나라의 독립운동을 대표하는 문화재로써, 공원내에 백범김구선생의 묘소와 기념관, 의열사, 의열문, 사의사묘, 임정요인묘, 이봉창의사의 동상 등이 설치되어 있다 1998년에 정부 주도로 공원 재정비공사를 시작해서 의열사와 창열문이 세워졌고, 선열들의 영정을 모셨다",3
녹지가 많고 아기자기 해서 아이들과 산책 하기가 좋네요 이곳은 주로 숙대 쪽에 가족과 함께 식사를 하고나서 산책을 하는 정도 입니다 숙대 방향 후문 쪽에는 농구장과 놀이 시설이 있다보니 갈때마다 아이들로 항상 북적북적 하네요,0
비가 내려 우산 쓰고 걷기 운동 했는데 나무들이 많아서 공기가 정말 향기로워요 꼭 한번 가보세요,-1
지금쯤은 단풍나무가 다 졌을거 같은데 그래도 잠깐 산책하거나 조깅하기 좋은 공원이에요 곳곳에 휴식공간이 많아서 차를 준비해서 가는게 좋구요 봄여름가을에 데이트하기도 좋은 공원이에요 1주일 전만해도 효창공원은 가을이 한창이었어요,0
무엇보다도 우거진 숲에 빨리 걸으면 20분 정도 걸리는 제법 다양한 코스의 산책로가 꽤 괜찮습니다 먼 곳에서 굳이 찾아 올 곳은 아니라고 생각하지만 백범기념관이나 독립 유공자들을 기념하는 묘소를 방문할 계획이시라면 2시간 정도 효창공원에서 쉬고 산책할 일정을 함께 잡으시는것 추천드립니다 적당히 넓은 놀이터와 농구장이 있구요 군데군데 쉬기 좋은 밴치와 운동기구가 많구요,0
"하지만, 주차장은 여유가 별로 없는 것 같고, 근처 주민들의 휴식처 같은 공원이어서, 공원이 좀 관리가 안되는 듯한 느낌이 들기도 합니다 아이들과 역사공부하기에 귀중한 곳인 것 같습니다",1
"날씨 좋은날은 그 어느공원보다 볕이 좋고 우리나라의 위대한 조상들의 심의사묘도 안장되어있고 교육적으로나, 산책을 위해서나 꼭 와볼만한곳 악 햇볕이 쨍쨍하게 들어오는곳도 그늘진 어두운곳도 없는 그런 공원",1
"여러 산책로들이 만들어져 있으며, 위, 아래 입구에는 여러 의자와 테이블이 있어 가볍게 쉬며 숲을 느낄 수 있다 조만간 효창동 재개발로 인해 조금은 시끄러워질 예정이지만, 재개발 후에 부동산 가격의 상승은 효창공원의 숲세권 영향이라해도 과언이 아닐 듯 용산구에 여러 공원들이 있으나 효창공원의 매력은 오래된 수목과 만리동 고개길과 숙대 사이에 위치한 고요함이다",1
서울에서 손꼽히는 지역민들의 공원 도심 속에 이런 숲이 조성되어 있다는 건 용산 최고의 축복 그러면서도 이 공원에 조성된 순국선열들의 정신을 다시금 뒤돌아보자,4
지인이 공원 옆쪽으로 이사를해서 예전보다 조성도 잘됐고,0
화장실 깨끗 1층보다는 2층이용이 좋아요 초등축구리그 하고 있는데 관중석도 넓고 잔다상태좋아요 주차공간이 좁아요,0
관리가 잘 되는 운동이나 산책하기 좋은 집앞 공원 화장실 여러군대에 있고 관리가 잘 되어있음 반려견 동반 환경 반려견 반려묘 동반 가능,0
"경의중앙선 효창공원앞역 1번출구에서 도보로 10분내 거리 효창공원 산책로 산책 효창 공원(孝昌公園)은 원래 5살 어린 나이에 죽은 정조의 첫째 아들 문효세자와 몇달 후 죽은 그의 어머니 의빈 성씨의 무덤으로 효창원(孝昌園)이었으나, 두 무덤은 서삼릉으로 강제 이장 당하고, 이름도 효창공원이 되었다",3
