Review,Topic_ID
좀 더 발전시키면 좋은 랜드마크가 될 수 있을 거 같은데 개인적으로는 아쉬웠다 반려견 동반 환경 좋음 피크닉 구역 없음 서울로-주변 상가와 다리나 엘리베이터로 이어지는 접근성이 떨어지기 때문에 할 게 없는 게 단점 여름에 가면 카페도 아닌 작은 책방 휴게소가 하나 있는데 이걸로 뭘 하라는건가 싶음,-1
"지리상으로는 남대문시장에서 시작하여, 서울역을 거쳐 서울역 동부 지역인 회현동과 서부 지역인 중림동을 이어주고 있으며 , 공원 중간중간에 나있는 17개의 보행길로 접근할 수 있다 서울교통공사가 1호선과 4호선을 운행하는 전동차 각각 1편성씩 가장자리 칸에 한해 서울로 7017밤에 가면 서울역 환승센터와 숭례문 야경, 서울스퀘어 미디어 파사드가 보인다 서울역에서 이 길을 따라 퇴계로 쪽으로 쭉 가면 끝부분에 남산육교는 물론 회현역으로도 엘리베이터가 있어 남산과 회현동으로도 쉽게 연계된다",6
여름엔 덥지만 봄가을엔 산책하기 좋습니다 이전 차량고가도로를 보행자도로로 만든 산책로입니다,-1
서울역 고가를 철거하지않고 공원으로 만들어 아주 좋습니다 연결성이 좀 더 확장된다면 더 많은 사람들이 찾을 것 같아요,5
"전체 코스중 2/3가 선로와 도로뷰 시작 지점인 만리동 광장에는 윤슬이라는 공간 조형물이 있는데 이색 사진 포인트라 한번쯤은 갈만 해요 1970년 개통해 2017년 공원으로 개장, 높이 17m, 17개 통행로라고 해서 7017 입니다 위와 같은 이유로 방문객 평가가 일부 좋지만은 않은데 가보니까 어느정도 알 것 같습니다",-1
요즘 한창 장미가 예쁘게 피어 있는 계절이라 더 걷기 좋습니다,2
서울역에 가게 된다면 들리길 추천하는 잘 만들어진 관광 코스 걷다 보면 주변의 도시 풍경이 가깝게도 멀게도 보여 이색적이며 중간 중간 들어가 햇빛을 피해 쉴 수 있는 쉼터도 있어 좋다 다리의 폭과 길이가 제법 크고 다양한 식물군의 화단이 잔뜩 배치되어 도심 속 자연을 걷는 기분을 느끼게 해준다,4
쭉 걷기 심심하지 않게 나름 잘 꾸며놓은 것 같았고 밑에 기차가 지나가는 것도 봐서 신기했다 250216 여기가 어딘지도 모르고 서울역 가는 길에 그냥 거쳐간 곳이었다,-1
화장실 가는 길 중간 중간에 무료 화장실 안내가 되어있음 건물안 화장실인데 자유롭게 사용 가능 Free bathroom in the middle of the street,1
서울로 7017은 낮과 밤 모두 산책하며 걷기 좋다 원래 도로였던 길을 다시 활용하여 도심속에서 산책하며 나무들과 함께 산책할 수 있는 산책로이다 밤에 7017에 조명이들어오면 낮과는 새로운 느낌으로 산책할 수 있는 도심속에 산책로이다,4
"남대문시장쪽으로 가는 길을 택하여 걸어가다보면 중간중간 쉼터도 있고 까페도 있어서 시간이 있다면 햇빛도 즐기며 천천히 즐기면 좋을장소라 생각했다 옛서울역 광장, 연남방앗간 좌측에 위치한 엘볘를 타고 하늘공원으로 올라갔다 지금도 밤에는 야경이 꽤 멋있다는 말을 들었는데 곳곳에 조명이 있는 것을 보니 그럴만도 할 것 같았다",-1
윗쪽은 남대문시장과 연결되어 한국의 전통미를 구경할수 있구요 남쪽은 만리단 길과 연결되어 예쁜 카페들을 많이 구경하실수 있습니다 이른 새벽에 조깅하기도 아주 좋은 코스랍니다 화장실 서울역이나 롯데마트 이용하세용,-1
