Topic,Count,Name,Representation,Representative_Docs
-1,333,-1_도심_도로_야경_고가,"['도심', '도로', '야경', '고가', '사람', '서울역', '느낌', '공간', '시설', '여름']","['또한 17은 고가도로의 높이가 17m이며, 17개의 사람이 다니는 길과 연결된다는 의미입니다 서울역을 동서로 가로지르는 고가도로가 공원으로 재탄생한 곳입니다', '일욜밤9시쯤 방문 사람들은 북적이진않음 오만가지나무와 식물을 많이 심어놔서 예쁘고 분위기는좋았음 빌딩의 네온사인도 야경으로 볼만함 중간에 피아노가 군데군데 9대정도 있어서 치고놀수있어서 좋았으나 막상 끝까지 생각나는곡이없어서 악보가있음 좋았겠단생각이듬 생각외로 죽치고 치는사람도있어서 한곡정도 치고가도 눈치보이진않음 서울로 중간에 다리로 연결된 빌딩으로 들어가서 식사나 커피도 사먹을수있음 주차는 중간다리와 연결된데서 사먹고 주차하면 될것같고 본인은 롯데마트에 주차하고 장보고 공짜주차했음 참고로 롯데마트 외국인관광객겁나많아서 붐빔', '남대문에서 맛난것을 먹은후 산책코스로 너무어와서 즐기다가 서울역에서 버스타고 집에 가면 될듯은 한되 서울역 7017 프로젝트는 서울역 고가 도로를 ‘차량길’에서 ‘사람길’로 재생하고, 단절된 서울역 일대를 통합 재생하여 지역 활성화와 도심 활력 확산에 기여하는 사람 중심 도시재생의 시작입니다 걸어볼만한 코스 입니다']"
0,149,0_예쁘_괜찮_만들_생각,"['예쁘', '괜찮', '만들', '생각', '점심', '지금', '근처', '여유', '사람', '장소']","['예쁘게 잘 꾸며놨어요', '최악의 장소예요 사람도 별루 안가고 아스팔트위에 나무 몇그로 도대체 무슨 생각으로 지은건지 교통방해에 잘 쓰던 고가도로를 쓰레기로 만들었네요 좋아진건 옆건물 장사만 도게했네요', '왜 막아놓고 공원으로 만들었는지 모르겠음 야간에 야경으론 예쁘서 별두개']"
1,91,1_심속_화장실_산책로_기차,"['심속', '화장실', '산책로', '기차', '노숙', '가볍', '예쁘', '기다리', '점점', '관리']","['기차 기다리는동안 산책하기 좋아요', '밤 기차 기다리는 시간에 내려가볼만함', '화장실 가는 길 중간 중간에 무료 화장실 안내가 되어있음 건물안 화장실인데 자유롭게 사용 가능 Free bathroom in the middle of the street']"
2,77,2_나무_식물_관리_정원,"['나무', '식물', '관리', '정원', '생각', '여름', '자라', '느낌', '마음', '장소']","['차가 다녔던 옛 고가다리를 나무들을 조성해 여유롭게 걸으며 지나다닐수 있다 한여름이었던 지금은 아직 나무들이 다 자라지 않아 마치 커다란 화분을 군데군데 놓여져 있는듯한 느낌이었지만 나무들이 크게 자라 숲을 형성해 준다면 한여름 뙤약볕은 피할수 있을듯해 걷기가 훨씬 좋을듯 하다', '하지만 높은지대는 볼 나무도 많고 뷰도 좋음', '나무가 좀 더 무성했으면 좋겠네요']"
3,70,3_서울역_야경_바라보_코스,"['서울역', '야경', '바라보', '코스', '도로', '산책로', '빌딩', '고가', '남대문', '위치']","['서울야경을 보면서 산책하기 좋은 곳으로 세종대로, 대우빌딩, 서울역 등 수 많은 불빛들로 아름다운 서울 야경을 감상 할 수 있습니다 데이트 코스로 추천드립니다', '서울로 위에서 바라보는 서울역의 야경이 아름답고 저녁 산책으로 좋음', '서울역 앞 산책하기 너무 좋은곳']"
4,43,4_나무_식물_서울역_고가,"['나무', '식물', '서울역', '고가', '조성', '연결', '도로', '도심', '산책로', '이야기']","['각종 식물을 심어 놓았고 산책로도 그런대로 잘 조성해 놓음 서울역 고가도로를 변형하여 고가도로 공원으로 조성한 장소임', '고가도로였던곳을 개방하여 산책로로 나무등 식물을 테마별로 거리를 조성하였으며 남대문에서 서울역까지 연결되어 있고 또한 지하철역등으로 연결되는 엘리베이터도 있어 편리하게 접근이 가능합니다 롯데마트를 비롯한 쇼핑과 식당가가 있고 서울역을 통해 각지방을 통하는 길목이라 교통', '1970년 건설된 서울역 고가도로를 2017년 사람들이 걸어다닐 수 있는 고가인도 공원으로 만들었다 해서 7017이라 명명했다 한다 회현역 5번 출구부터 만리동 까지 풀, 꽃, 나무를 나름 정리하여 심고 군데군데 안내소, 카페, 빵집, 다방, 기념품점,빌딩 연결로, 엘리베이터 를 설치하고 나무를 그늘삼아 벤치도 만들어 쉴 수 있게 하였다 각각의 나무는 입양절차를 밟아 개인에게 입양도 하는듯하다 꽃과 나무를 좋아하거나 공부하는 사람에게는 조은 쉼터이자 참고장소가 될듯 한데 유난히 덥고 가물었던 탓인지 나무들 상태가 만족스럽지는 않았다']"
5,36,5_서울역_주변_이어지_명소,"['서울역', '주변', '이어지', '명소', '전경', '남대문', '연결', '여유', '가볍', '가까워']","['서울역 주변을 고가에서 보니 좋아요', '서울역까지 걸을 수 있어서 좋아요', '높은곳에서 서울역을 볼수 있어 좋았다']"
6,35,6_서울역_남대문_시장_과거,"['서울역', '남대문', '시장', '과거', '현재', '도로', '지역', '교통', '회현역', '역사']","['지리상으로는 남대문시장에서 시작하여, 서울역을 거쳐 서울역 동부 지역인 회현동과 서부 지역인 중림동을 이어주고 있으며 , 공원 중간중간에 나있는 17개의 보행길로 접근할 수 있다 서울교통공사가 1호선과 4호선을 운행하는 전동차 각각 1편성씩 가장자리 칸에 한해 서울로 7017밤에 가면 서울역 환승센터와 숭례문 야경, 서울스퀘어 미디어 파사드가 보인다 서울역에서 이 길을 따라 퇴계로 쪽으로 쭉 가면 끝부분에 남산육교는 물론 회현역으로도 엘리베이터가 있어 남산과 회현동으로도 쉽게 연계된다', '남대문 시장부터 서울역까지 이어진 산책로이다', '회현역에 위치한 남대문시장과 서울역을 연결하는 고가도로로 과거에는 차가 다니는 도로였지만 현재는 내부에 나무도 심고, 여러 시설을 조성해서 도보로 걸을 수 있는 길이다 지하철로 이동 시 1정거장 거리, 서울로 7017을 통해서 걸을 경우 10- 15분정도 걸리니 선택하여 이동하면 될 듯 서울역에서 엘리베이터나 계단을 이용해 올라가면 되는데, 서울역에서 출발해 회현 -명동까지 쭉 걸을 수 있고, 반대 방향에서 출발해 서울역으로 걸어도 된다']"
7,33,7_점심_코스_힘들_저녁,"['점심', '코스', '힘들', '저녁', '장소', '남산', '가을', '관광지', '운치', '날씨']","['점심먹고 산책하기 좋은 곳', '점심먹고 산책 한바퀴하기 좋은곳', '인근 직장인들에겐 점심식사 후 산책하기에 딱 좋은 코스다']"
8,23,8_콘크리트_공간_시민_그늘,"['콘크리트', '공간', '시민', '그늘', '즐기', '부족', '주변', '바닥', '도심', '가볍']","['사람들이 걷는 공간이 좁기는 하지만 시민들이 쉴 수 있는 도심공간이 생긴 것이 의미있어 보입니다', '다듬어지지 않은 콘크리트의 향내가 풍기는 공간이지만, 주변을 내려다볼 수 있는 거의 유일의 공간', '산책로 들어가는 길도 좁고 불편함 녹색보다는 삭막한 회색빛 콘크리트로만 이루어진 산책로 다만 위에서 볼 수 있는 주변 경치는 좋음']"
