Review,Topic_ID
"서울 시내 공원에 위치한 캠핑장, 시설도 좋고 관리도 잘 되는 편 사이트 안쪽에도 화장실과 개수대 시설은 추가로 있으며, 올해 리모델링해 시설도 깨끗합니다 사이트 간격은 좁은 편이나 바로 옆 주차 가능하며 도심속 공원 등의 이유로 장작사용은 불가능합니다",1
"장작사용 금지 대여 용품에 숯불이 없고 직접 작업해야한다 식기류와 토치, 설거지용품이 있다 화장실 청결했고 개수대 무난함 11시 - 21시 이용 시간은 장점이다 기준인원 4인, 최대 6인 가능 (추가 5 현장 결제) 매점은 20시까지 텐트 상태 우린 뽑기를 잘해서 청결했다 양원역 앞이라 뚜벅이도 접근이 쉽고 오토 캠핑이 가능",1
감성셀프바베큐 좋아서 다음번엔 이지캠핑도 해보려구요~전반적으로 관리 잘되고 매점도 있어서 좋았어요 놀이터도 있어서 아이랑 피크닉하기도 좋아요 서울셀프바베큐장 좋았어요~ 감성캠핑 하기 좋았던 중랑캠핑숲,1
그리고 경사도 급하여 평지가 없음 그래도 이 가격에 서울이라면 오케이,-1
특히 대중교통으로 접근도 나쁘지않고 택시도 오기좋음 평일은 여유있는 편 관리자 분도 비교적 여유있음 구리시민공원 캠핑장 대비 가격과 서비스 만족함,1
바로 근처에 전철역 양원역도 있구 아담하고 하루 쉬었다가기 좋다 이곳은 서울시내에 있는 중랑구에 있는 오토캠핑장이다,-1
9-3 사이트는 입구 초입으로 화장실과 계수대 거리는 좀 먼 편입니다 하지만 앞쪽으로 길이 쭉 나있는 3거리 형태로 뷰는 시원시원 합니다 일방통행 구조라서 귀가 차량이 무조건 지나가야 하는 구조로 나홀로 조용히 이용하기를 원하시는분들에게는 조금 비추입니다 (조용하고 아늑한 곳은 7구역이 최고) 인기가 많아 예약이 어렵긴 하지만 계속 시도해 봐야겠네요,1
서울에서 이만한 숲을 보기도 쉽지 않은데 캠핑장까지라니 궂이 캠핑이 아니라도 나들이겸 나와서 서늘한 그늘에 시원한 바람이 좋으니 즐기시는 동네분들도 많은듯 합니다,1
서울시내에 이런 캠핑장이 있는 줄 처음 알았네요 캠핑장 마트에 없는 건 가까운 마트에서 살 수 있어 좋네요,2
둘레길도 좋고 주변에 산책로가 있어서 너무 좋음 새로 시공한 물놀이터가 있어서 여름에 아이드루놀기 좋을듯,-1
다만 이지캠핑은 가격15만원인데 텐트랑 탠트 윗천막에 곰팡이가 많아요 관리가 필요합니다 가깝고 오붓한분위기에 조용하고 좋습니다,1
주차료는 게스트도 만원입니다~^^ 걷기좋은 코스도 있어서 좋은 캠핑장이에요,2
서울안에 있는 캠핑 장 이다 전철역으로 갈수있곳 270번버스로갈수있는곳 접근이 수월하다,-1
봄이면 복사꽃과 벚꽃 등등이 만개하고 너른 잔디광장이 어린이의 천국으로 변합니다,-1
시설은 깔끔하며 잘관리되고 있음 서울이라 지하철 양원역인가가 가까운거 말고는 장점 없음,3
다만 사이트가 입구쪽은 짜투리 공간 우겨넣어서 만든거 같이 약간 아쉽습니다 이외 전반적으로 괜찮은거 같습니다 매점 무진장 잘되어있습니다,2
편이시설은 잘되어있지만 놀거리는 별로없음 옆에 동산 산책이나 공원 산책정도,1
"주말엔 예약하기힘든 중랑캠핑숲, 평일 퇴근박 다녀왔어요 지하철역 양원역에서 가까워서 좋고 일단 서울에 있다는게 가장 큰 장점👍 밤10시면 이른 매너타임 화장실이 고장나 멀리 있는 화장실까지 다녀와야하는게 좀 불편했지만 주말에 예약할수 있다면 꼭 다시 오고 싶네요🎵",3
점심 먹고 산책한후 커피 한잔하면 심신이 깨끗해진 느낌이네여~,-1
나무도많고 깨끗하고좋아요~ 그런데 맞은편팀에 젊은부부들이 친구들을 엄청불러서 10명이상이 어찌나 떠들던지,2
다만 근처 산책하기도 좋고 넓은 잔디마당도 있어서 아이들과 놀기도 좋습니다 도심 속 가까운 캠핑장이라 부담없이 가기 좋아요,-1
서울 안에서 이렇게 자연과 함께할 수 있는게 참 좋습니다,3
서울에 있어 접근성 좋은 캠핑장~ 가까워 좋지만 예약이 어렵고 요즘 공기가 너무 안좋아요~,-1
"도심 끝에 숲과 접해있는 조용한 캠핑장, 주차 등 나름 체계가 잘 잡혀있어 편리하게 이용가능",1
둘레길과 공원엔 어린아이들과 어르신들이 산책하기도 최고예요,2
장점 : 접근성이 좋고 윗쪽의 몇몇 사이트들은 공간과 독립성이 좋음 주변에 큰 공원도 있음 단점 : 데크의 컨디션이 조금 나쁘고 아래쪽 몇몇 사이트들은 너무 좁고 데크도 없으며 옆 사이트와 가까워서 불편함,1
서울에 접경하고 있는 캠핑장으로 네이버에 중랑캠핑숲으로 예약가능하다 캠핑용구 일체를 대여받을 수 있다 차박 캠핑으로 만족할 수 있다,3
숲과 산으로 둘러쌓여있고 깨끗해요 도심내의 이정도 캠핑장이면 아주 좋습니다 물론 지방만큼 넓고 그렇진 않지만요,1
단 화장실에서의 흡연등의 몰지각한 행위가 가끔 자행되는데 신고 적발등을 통해 이용제한등의 조치도 필요하다고 봄 도시에서 즐길수있는 좋은공간,2
서울에 좋은캠핑장이 있어서 너무좋아요~ 사용료도 저렴하고 깨끗하게 관리되었어요~ 조용하게 쉬다올수있는 캠핑장입니다,1
개별 전력차단기가 있어서 툴콘 하나 돌리고 전기요 틀면 바로 전력 차단되니 난로 없는 캠퍼는 극동계에는 피히는게 좋을듯 한 사이트에 여러집 와서 먹고 즐기는 분위기이며 아이들 뛰놀 공간도 충분하다 서울에 있어서 간단히 캠핑가기 좋은 곳이다,1
"화장실과 개수대 샤워장이 각각 따로 있어 좀 걸어야하는 번거로움은 있지만, 온수가 잘 나와서 좋았습니다 바베큐장만 따로 이용이 가능하고, 매점에서 캠핑용품 대여도 가능합니다",1
근처 초안산보다 더 숲속 느낌이납니다,0
규모는 좀작지만 도심속 여유공간이라 좋아요,0
"서울에 위치한 캠핑장이란게 우선 좋고 자리관리도 잘해서 구획관리도 잘되어있다 세척장,화장실도 깔끔하고 전기 사용도 용이하게 캠핑에 맞게 잘 해두었고 낮에는 중랑캠핑숲을 이용할수있게 가까워서 좋다",1
아이들하고 사간보내기 너무 좋아요,0
공기도 맑고 조용하고 대중교통 접근성도 좋은듯,1
강아지 산책 시키기도 좋습니다 한강공원처럼 텐트 치고 누워있기 좋아요 가족끼리 놀러오기 좋습니다,-1
잡근성은 좋음 사이트간격좁음 산책길 좋음 모기가 지이이인짜 많음 특히 밤애 화장살은 기겁함,2
가까운 곳에 잔디에서 아이들이 놀수있는 곳이 있다는게 감사하네요,0
좀더 방역을 잘 하고 시설청소가 잘되면 좋겠어요 글램핑이 13만원이라 기대했는데 가격치곤 실망스러웠습니다,2
관리사무소에서 단속을 좀 하면 좋을것 같아요 다 좋은데 저녁 늦게 떠드는 사람들 때문에 점수 깎습니다,2
"예약하기도 힘들다고 했던얘기를 지금에서야 알겠더라고요 관리하시는 분도 다니시면서 친절하게 도와주시고 배려해주셔서 너무 감사했습니다 화장실도 방범센서가 감지된다는 멘트가 참 안심이 되더라구요 다음에도 기회가되면 또가고 싶어요 가족,연인,친구,모임장소로도 충분히 아주 좋아요 처음가는 캠핑장 근처에 살면서 이렇게 좋은곳을 지금 알았다니",2
아 모든 시설이 잘되있네요 서울에 이런곳이 최고예요,3
퇴근박이 가능하고 가족단위로 많이들 오기에 밤되면 귀가하는 사람도 많아 조용한편임,2
사용하기 좋고 서울도심안에서 이용하기 좋다,3
깨끗하고 공기 좋은 도심내 캠핑장소,1
하지만 서울 내에서 캠핑을 즐길 수 있어서 좋았어요 큰 차 가져오시거나 초보운전이면 텐트 옆에 주차하기 힘들거 같아요 ) 그래도 분위기는 좋아서 별 3개,1
사회복지사 등반대회^^ 푸른 숲 사이로 산길 걷기 좋은 곳^^,3
전반적으로 좋았지만 일반 바베큐장은 코로나시대 에 무관 한듯 간격 유지가 않되는게 불편 했습니다,1
도심에서 가깝고 강원도에 있는 기분 ㅎㅎ 좋아요,0
주변은 굉장히 조용하나 숲속에 활기가 너무침,1
서울 시내에서 가볍게 1박하기 좋은 곳,3
전기도 되고 매점도 있고 캠핑장비도 대여해주네요,0
멀리 가지 않아도 캠핑을 즐길 수 있어 좋음,0
아이들과도 즐겁게 시간보냈어요 화장실도 쓰레기수거장도 청결하게 관리되어있어서 이용하기에 편리했어요 글래핑 준비물 별도없이 음식만 가져가서 즐겼어요,1
다만 주차장에 차가 많이 안들어감 아마 비싼거 빌리는 사람들은 위쪽에 따로 각자 개인공간에 주차가 가능한거같긴 했었음 아이들이랑 와서 바베큐하기에 좋음,2
밤새 고성방가에 몇몇 사이트빼고 화장실 개수대 멀리있어서 불편합니다,2
습도가 90% 너무고 잔뜩 흐린 날 저녁에 시원한 물을 마시며 중랑숲 한 켠에서 멍때리다 왔다 전철역에서 500m도 안되는 거리다 그냥 멀리 와있는 느낌을 준다,2
시설과 접근성 모두 좋습니다,-1
주차도 무료이고 갈때마다 느끼지만 참 잘 해 놓은 곳입니다,-1
오늘하루 아들네 딸네 우리내외 하루즐겁게놀다갑니다 날씨도좋고 고기맛있게 구워먹고 내일을위해 집으로갑니다,-1
숲 놀이터와 물 놀이터 둘다 있어 아이들이 좋아합니다 화장실과 부대시설이 깨끗한편입니다,1
접근성 좋구요 싸구요,0
아이들이 좋아하고 전기및 이용시설이 편리하다,4
화장실도 노후되고 바닥타일이 들떠있고 취사장도 냄새가 많이남,-1
"다만 캠핑장 내 길에는 경사가 있다보니 아이들 놀 때 조심해야하고, 매점 등에 다녀올 때 조금 귀찮았네요 숲이 잘 되어 있어서 서울 안이지만 숙박도 좋을 듯 합니다 가까우니 힘들게 숙박이 아니라 낮에 가서 고기 구우면서 간단히 기분 내고 오기에도 좋네요",1
다음에는 9구역으로 가야겠어요~ 마주보는 사이트가 없고 놀이터랑 가까워서 좋은듯 가까워서 당일캠핑으로 다녀오기 너무 좋습니다,-1
유료화및내부공사로 이면도로에 차가많아 길이 막혀요,2
주변에 위치한 산과 공원은 둘래길로 이루어져있어 산책하기 좋습니다 이마트 코스트코 홈플러스등 다양한 대형마트와 인접하고있어 큰 준비 없이 가벼운 마음으로 캠핑하기에 적합합니다 큰 도로와 격리되어 있어 찻소리를 듣지 않고 즐길 수 있습니다,1
시설 깨끗하고 화장실 식기세척장동 따뜻한물 잘나와요,-1
평일이어서 더욱 조용하고 집근처에 이렇게 좋은곳이 있다는것에 감사합니다,0
우리 주변에 이런 캠핑장이 있는줄 몰랐어요 차를 바로 옆에 대놓고 텐트치고 고기도 구워먹고 할수있는데 주말은 예약하기 정말 힘드네요~ 고기만 구워먹고 오는것도 좋겠더라구요~ 주변 산책도 할수있고 음식들 세척할수 있는곳도 있구요~ 담에 예약성공해서 꼭 와보려구요~ 오늘은 답사로도 만족이네요~^^,1
가까운 시내에서 캠핑과 트래킹을 즐길 수 있는곳,1
"서울 또는 경기시민들의 가까운 인접성 요즘 트렌드인 밀키트를 대체 해 줄 수 있는 50개 너무는 배달음식점 편의시설은 잘 되어있으나, 도심이라 그런지 자연적인 느낌은 잠시 배달 오토바이, 출퇴근 차량, 스피드를 즐기시는 운전자분들의 소음이 너무 가까이 들려 잠은 푹 자기 힘듬",1
깨끗하고 서울외곽이고 당일 바베큐장 이용했는데 너무좋았어요 조카들도 잘뛰어놀고 부모님도 산책잘하시고 해먹에세 잘주무시고,1
"장점: 도심에 위치해서 접근성이 좋음, 사이트 바로 옆에 주차 가능, 시설이 잘 관리되어 깔끔하고 깨끗함 단점: 좁은 사이트간격, 행랑객들이 많아서 새벽까지 시끄러움, 오전11시 퇴실이라 아침에 여유가 없음, 화장실이 빈약함, 오후 7시에 매점을 닫음 총평: 술먹고 놀기 위한 야영장",1
패밀리 바베큐존 이용 우선 이용 시간 저녁9~10시 9시 정리하라고 아내 및 부담 주면서 권고함 9시 30분되면 나가라고 대놓고 말함 가격 패밀리존 5만원 가성비 너무 떨어짐 강동그린웨이캠핑장 비교했을때 가격 2배 비싸고 이용시간 강동 1박2일이용가능 5만원이면 강동은 그릴 숯 모든 대여가능 한데 비해 별루 옆 캠핑이용 숙박객 늦게까지 놀아도 바베큐존은 무조건 퇴장 조건임 이용시간 정해져 있음 다음엔 무좀건 강동 이용할것 같네요 어쩔수 없이 예약당시 강동 코로나로 운영 안해서 중랑캠장 예약했는데 가격 이용 서비스 모든면에서 불만족 같이간 지인들 부담 준다고 그냥 가자고 함 5만원주고 갈것 같은면 강동캄핑징 1박 2일 이용하고 나머지도능로 그릴대요에 숯다 구매가능하고 옆 사이트 간섭 없이 텐트도있고 대여품도…,-1
캠핑장도 좋지만 이때쯤엔 과수원 배꽃도 좋지요,2
