Review,Topic_ID
"운좋게 주차하고, 매점이가깝고 놀이터가있어서 좋았습니다 뙤약볕이긴한데 아이들은 신나게 잘놀았어요 화장실도 깨끗했습니다",-1
10 최근에 간 건 아닌데 자주가요 강아지 산책하기도 좋고 간단히 산책하기 좋아요 뚝섬같은 크고 막 그런 한강은 아닌 거 같은데 그냥 날씨 좋을때나 밤에 가볍게 가기 좋아요,0
천호쪽 광나루 한강은 제 힐링장소입니다 노을 지는 해질녘 방문시 강물도 반짝반짝 너무나 이쁩니다,1
"공원이 넓어 산책하기도 좋고, 가볍게 뛰기도 참 좋습니다",1
한강중 아차산을 마주하고 있어 그 풍광이 수려하고 자전거 공원과 강아지들 뛰어 노는 모습을 보고 있으면 잠시 스트레스에서 벗어 나네요~ 살쪄서 주인 따라가기 힘들어 하는 강아지들 보면 너무웃겨요~ 개 산책 시키러 나왔다가 주인끼리 눈 맞는 아~ 아름다운 곳이죠 ㅎㅎ^^,0
화장실 5분거리마다 화장실이 있는듯 단언컨대 그 어떤 한강공원보다 강물을 가까이서 볼 수 있음 암사역에서 도보로 10분 가량 걸으면 나오는 공원,0
산책로가 잘 되어 있어서 걷기에도 좋다 한강을 가까이 볼 수 있어서 좋고 수풀향기도 그대로 맡을수 있어 좋다,0
아이들 놀기 좋고 놀잇감도 다양해요 앉아서 쉬기도 좋고 주말에 방문하기에 부담 없이 좋아요,0
2주차장 가니 잔디밭하고 자전거 렌트하는곳 가깝네요 주차장은 3곳 있는거 같네요 주차비도 저렴하고 사람도 많이 없네요,0
야외수영장 아이들 놀기좋음 수심 얕음 수영장 옆 놀이터도 너무좋아요,0
광진교 부근으로 자리를 잡았는데 체육시설과 치안센터가 있고 음주단속 그리고 광진교도 걷기 너무좋은곳이다 텐트등 단속이 잘되서 좋았다,0
놀이터도 좋고 드론날리기도 좋고 편의점에서 라면 먹기도 좋아요,0
한강에 인접한 광나루 주차창과 함께 장미로 인해 야외 결혼식이 자주 예약된다고 한다,-1
"천호역에서 접근성도 좋고 한강뷰도 멋져요 날씨도 폰근하고 개나리, 벚꽃도 활짝 피어 돗자리 들고 사람들이 많이 나왔네요",-1
저렴하고 외부 음식 반입 가능하니 간단하게 놀기 좋음 9라서 저학년 아이들도 부담없이 놀수 있음 다만 수질은 좀 아쉬움,0
준비물 필요없이 산책 걷고 달리고 자전거 족구 농구 배구 축구 배드민턴 연날리기 체육시설 식음료 모든게 갖춰진 서울의 자랑거리 일상 스트레스는 시원한 강바람에 날려가고 한강변 잔디밭에 앉은 가족과 친구와 이웃과는 건강의 자리이자 행복의 광장,0
"사람이 많지 않고 조용히 산책하기 좋은 한강공원 데크길이 있어 잠실, 여의도쪽 한강공원가는 느낌이 조금 다름 한강공원(10/30) -",1
놀이터도 너무 좋고 아이들과 놀기에 좋은장소입니다 놀이터 규모도 크고 시설이 좋음 화장실 깨끗한편 반려견 동반 환경 반려견 다니기에도 좋음,-1
자전거 타고 힐링하기 좋아요^^ 언제 가도 경치가 좋습니다,0
"다른곳보다 조용하고, 더 평온한 한강공원",1
"주차장, 편의점과 가깝지만 땥볕을 피할 공간은 적은편",1
장미꽃들이 만발하여 너무 예쁘구 힐링이 아주 잘되는곳임니다,-1
가족과 연인과 함께 휴식을 취하러 방문하기 좋습니다,0
편의시설이 잘 되어있는 것 같습니다,0
"아이들 놀이터, 매점, 운동기구, 화장실, 그늘막 허용 잔디밭, 드론비행장, 인라인스케이트장, 간이 야구장과 축구장, 무궁화공원, 생태공원 숲 산책로 등이 있어 가족끼리 연인끼리 남녀노소 누구나 힐링하며 시간 보낼 수 있음",0
늦게가서 주차는 못했어요 놀이터도 큰 편이고 그물망이 되어 있어 아이들이 좋아하더라구요 특히 모래놀이가 특히 잘되어 있는 것 같아요 모래만 모아 놓은 곳 안에 수돗물 나오는 곳도 있어서 모래로 하고 싶은건 왠만하면 다 할 수 있을 것 같아요 장애인도 쓸 수 있는 그네는 처음 봤었는데 그네 무서워 하는 애들은 좋을 것 같아요 바로 옆에 (가을이라 운영은 안했지만)수영장도 있고 드론운동장 도 있더라구요 그 앞에 나무도 가지런하게 있어서 사진찍으면 예쁘게 나오는 것 같아요 장미꽃을 길 따라서 심어 놓았는데 장미 피는 시기에 가면 좋을 것 같아요 또 조금만 걸어가면 한강이 있어서 좋았어요 추석 연휴에 아이들이랑 같이 갔어요 주차장이 무료로 제공되었는데,0
조용조용하고 도심지의 한강보다 공기가 너무 좋음,-1
하남가기전 보급할 수 있는 국토종주코스 정신과 시간의 방전에 보급 필수,0
"멀리 잠실, 반포 안가도 되겠음",0
"아이들 데리고 한번쯤 와볼만한 곳,수영장에 선배드에 누워서 쉬고 옆에있는 공원에서 맘껏뛰어 놀 수 있는곳",-1
"걷고,자전거 타고 시원하고 너무 좋네요~",0
나가면 이리 좋은걸,0
깨끗하고 관리 잘 되는 수영장,-1
가족과 함께 물놀이하기에 좋습니다 사람은 제법 많은 편이고 야외 수영장이라서인지 물은 깨끗하지 않아요,0
한강공원치고 특별한 건 많이 없습니다 다만 자전거 타기에는 환경조성이 잘 되어 있고 부지도 널찍한 곳들이 많아서 시끄러운 거 싫어하고 한적하게 한강 보고 싶으면 상당히 괜찮은 선택지 입니다,1
암사동으로 올라오시면 축구장 앞 풍경임니다,0
주차는 힘들어요 텐트치는곳은 그늘없음주의,0
화장실 에어컨이 돌아가는 시원한 화장실인데 문을 활짝열고다녀서 전력낭비가 심각합니다,0
아름다운곳 숨어있는 놀이터를 찾으삼 ㅋ,0
"가족들과 자전거를 타거나 인라인스케이트, 보드등을 탈 수 있는 전용공간이 있어 좋습니다 다만 장기주차 차량으로 인해 주말에는 주차하기가 쉽지 않네요",0
자전거 국토종주 인증이 가능한 곳이에요^^ 화장실 100m떨어진곳에 화장실 있습니다^^,0
"다만, 사람들이 화장실 시설을 바르게 사용하지 않아 지저분합니다 아이들 킥보드, 자전거, 스케이트보드, 인라인 등 타기 좋아요 잔디 구역이 있어 아이들과 함께 나와 휴식을 취하기 좋습니다",0
매일 운동하고 산책하기,-1
차대고 한강거닐기 좋아요 화장실도 깨끗하게 관리가 잘 되어있어요,0
12개한강시민공원 중 광나루 한강 시민공원은 서울시의 유일한 상수원 볼호구역으로 각종 수상레저활동이 금지되어있는 물이맑고 깨끗한 지역이다 한강 상류로 부터 유입된 토사가 퇴적되어 자연스럽게 형성된 모래톱과 대규모 갈대군락지로 자연 그대로의 한강모습을 잘 유지하고 있는 곳이다,1
놀이기구가 신식이었음 작지만 놀기좋고 물놀이장 공사중임,0
넓은 공원과 편안하게 자전거를 즐길 수있고 드론공원도 있어 연습도 할 수 있습니다 또 인라인스케이트도 탈수있는 트렉이있어 가조기리 레포츠를 즐기기에 좋은 장소입니다,-1
생각보다 넓고 깔끔했습니다 화장실은 좀 먼듯,0
분명히 19시까지만 텐트 운영이 가능 하다고 안내문이 있지만 아무도 지키지 않는 현실 나무 근처에 참치캔 놔두는 무개념 아지매들까지 관리가 필요한것같다,0
도시내 간단하게 정서적인 힐링을 하기 좋은곳입니다,-1
그만큼 이곳에 관심과 투자가 이루어지느 것 같다는 느낌을 시간간격을 두고 갈때마다 변화되는 환경과 시설에서 느끼게 됩니다 드론 비행이 가능하고 시설또한 굉장히 잘되있으며 이용하는 분들이 매너가 좋습니다,-1
코로나 시대 가족과 나들이 하기 좋은 곳,1
시민들의 낭만적인 공원 연인들데이트 가족들 산책 강아지두,-1
"자전거 타다가 쉬기 딱 좋은 자리에 있는데, 쓰레기통이 테이블에서 가까워요",0
아름다운 한강의 봄을 만끽할 수 있습니다,-1
아이와 함께놀기 매우 좋습니다,0
"주차장은 일요일에 무료개방입니다 넓고 경치좋고, 잘 정비되어있는 한강공원입니다",1
공원 시설도 다양하고 접근성도 좋아서 좋은데 자전거 도로가 좀 가깝네여,1
다만 주차장이 협소하여 걸어서나 대중교통으로 오시면 좋습니다 수질도 좋고 분위기도 좋고 사용도 편리합니다,1
깨끗하게 뒷정리늨 필수``,0
