Review,Topic_ID
선유공원 한강중 가장 아름다운거 같아요,-1
"양화한강공원은 여의도 샛강 하구에서 강서구 가양대교까지로 한강남단에 위치하고 있으며, 둔치에 넓게 조성된 잔디밭에서 바라보는 탁 트인 전망이 다른 곳에서 쉽게 보기 힘든 풍광을 제공합니다 양화한강공원은 서울특별시 영등포구 노들로 221 (당산동 98-1번지)에 위치한 공원 및 스포츠 시설입니다 1 주경기장 시설은 토사 필드가 갖춰진 경기장이며, 1988년에 준공되었습니다",-1
"ㆍ 이곳엔 한강 전망대와 카페, 놀이터, 매점, 화장실과 자전거 도로 등의 편의 시설이 있어 하루종일 휴식을 취한다 한들 불편함을 전혀 느끼지 못할듯 ~ ㆍ 이곳에서 휴식을 취하는 시민들을 보며 마치 이곳이 미국이나 호주의 도시공원 같다는 생각을 했다 ■ 서울 수변공원중 으뜸 ㆍ 아마도 내가 아는한 서울의 수변공원중에서는 양화한강공원이 필드뷰와 한강뷰 모두 최고로 멋진 곳이 아닌가 싶다 ㆍ 제 1, 2 주차장이 비좁은 것을 제외하곤 단점이 거의 없는듯 ㆍ 선유도공원과 마주한 이곳은 잔디밭이 풍부해 도로면에 가까운 곳엔 시민들이 설치한 그늘막이 군데 군데 놓여 있고 한강면이 가까운 곳엔 돗자리와 비치의자, 간이테이블 등이 점거하고 있다",-1
"사람이 많은 여의도보다 벚꽃을 구경하기에 더 좋은 것 같습니다 국회의사당 쪽으로 가면, 벚꽃 사진을 찍기 좋은 장소가 있습니다 차량은 통제되니 택시나 대중교통을 타고 가시면 좋을 것 같습니다 반려견 동반 환경 자유롭게 반려견을 데리고 돌아다녀도 됩니다",0
"모레바닥 아니고 우레탄 화장실 중간중간에 공중화장실 있음 반려견 동반 환경 반려견 동반 가능 피크닉 구역 거의 모든 구역 가능 중간중간 편의점도 있고 공중 화장실도 있으며 양화대교 아래에는 운동기구들이 있어서 유용함 2, 9호선 당산역과 9호선 선유도역이 근접해 접근성도 좋음",1
주차도 편리해서 자주 갔었는데 차 말고 걸어서 다녀야겠습니다 저녁먹기전 산책 다녀왔는데 예전에 비해 많이 가꿔지고 쉴곳이 많이 생겼네요,0
선유도공원 가는길에 잠시 들어가 보았고 장미단지에 피어난 아름다운 장미🌹꽃들과 함께 주변에는 다양한 동물 모형의 조형물도 있어서 가족나들이도 좋을 것 같습니다,1
17 현재 양화한강공원 상태,0
산책하면서 강가에서 조용히 멍때리기도 좋고 편의점도 가까워 편리하다 화장실 곳곳에 설치되어 사용하기가 편해요,1
선유도에 과거 정수처리장을 공원으로 만든 멋진곳입니다,1
삼겹살 먹고 한강공원 산책중,0
사람이 붐비지않아좋습니다 주차장과 편의점 그리고 자전거 대여점이 시설의 전부인지라 한적한가 봅니다 자전거 타러 오기엔 아주 적합한곳입니다,2
새로 개점하기 어려우면 정리라도 깨끗히 해 놓았으면 좋겠습니다 강쪽으로 가면 시멘트로 둑이 있는게 보통인데 이쪽은 강물쪽으로 바로 가 볼 수 있어요 좋아요 양화대교우에 까페가 있는데 문을 닫은지 오래되어 주변이 보기가 좋질 않네요,0
밤산책하기 좋았어요 다들 돗자리 깔고 밤바람을 즐기네요 강아지들도 많이 보이고요 하지만 곧 벌레가 창궐할 듯 합니다,0
양화한강공원에서 선유교를 건너 선유도의 가을을 살피다,0
나무 그늘과 잔디가 조화롭게 잘 조성되어 있습니다 여름엔 수영장도 있고 매점도 곳곳에 있어서 좋아요 선유도 공원과도 이어질 수 있어서 다양한 즐거움과 서울의 야경을 즐기기 좋습니다,1
+ 한강공원의 매력을 완전 느낄수있는 휴식을위한 최고의 장소에요~ 어쩜 이렇게 잘되어 있는지 외국에 유명한 공원들에 온듯했어요+ 선유도공원 처음가본 오늘,0
평일 낮에 조용하고 화장실도 깨끗하고 좋았습니다 편의점이 있어서 더 편리했어요,1
한강공원 중 한적하고 평화로운 스팟 단 강북에서 보는 뷰를 좋아하는데(노을때문) 그게 아니라 별한개 깎음,1
자전거도로및 공원시설이 잘 되어 있는곳,2
그리고 아이들데리고 산책나오기 가장 좋은 환경 한강공원 중 가잘 배스가 잘 잡히는 곳,1
풍경좋고 노을 좋고 넓고 좋지만 벤치나 도보길(성산대교쪽)이 잘 되어있지않아 아쉬웠어요,1
을 기대하는 마음으로 방문했는데 생각보다 자그마하네여 ㅎㅎ 많은 분들이 사진찍기 위해 줄을 서계셨구 아예 각잡고 찍으시는 분들도 꽤 계시더라구요 ㅎㅎ ㅅㅏ람들 많은 건 백번 이해하는데 ㅎㅎ 장미구간이 너무 소박해서 아쉬웠어요 ㅎㅎ 나머지는 걍 걷기 좋구 눕기 좋구 앉기 좋은 평화로운 한강 공원 역이랑도 가깝고 (당산역 선유도역 다 가능~) 좋아여,0
진짜 분위기 좋은 공원 사람들이 대체로 선유도만 많이 가는데 여기도 진짜 좋음,0
"산책도하면서,여유를즐길수 있어요",0
"아직 날씨은 바람이 차서 쌀쌀했지만, 산책하며 기분전환으로 아주 좋았습니다",4
편히 쉬다 올 수 있는 주차장과 가까운 편의시설 등 잘 갖추어진,-1
당산역 쉽게 이동하기 쉽게 연결되어 점심먹고 가볍게 산책할 수 있는 최고의 장소,-1
"봉제산부터 가양대교 지나 한강공원 월드컵대교 당산철교 , 여의도 증권빌딩 국회의사당 까지 자전거 여행",3
"주기적으로 찾는곳, 언제든 각종 레저활동 및 여가를 즐길수있는곳으로 도시인들의 힐링명소가 아닐까 합니다",2
2주차장으로 주차후 3주차장쪽으로7분정도 이동하면 텐트 칠수있는곳 있음 아주 좋음,0
가을이 되어 코스모스꽃이 활짝피어 아름답고 예뻐서 사진 찍끼에 바쁘다,1
코로나 영향으로 집콕탈출~ 탁 트인 장소와 한강 변을 거닐 수 있어 좋음~ 더불어 선유도 공원을 들를 수 있다는 장점~,0
봄날 잔차타기 딱좋습니다 물론 걷기운동하는데도 한강과꽃들 구경하면 더좋을듯싶습니다♥ 좋은하루들보내세요,0
주변에 사신다면 들려보시길,0
편의점 있어 편하고 당산역에서 이동 하기 편하다,0
"양화대교 전망쉼터, 선유카페 여기가 개장하면 더 좋을 것 같아요 하지만 사람도 덜 모이고 더 한강하고 가깝게 앉아서 시간 보낼 수 있어서 좋아요 근처 미니스톱에서 다른 한강 공원처럼 라면도 먹을 수 있습니다",1
주차장에 주차를하고 선착장옆 공터에서 드론을 이륙시켰다 서울 스카이라인을 드론으로 촬영하기 위해 방문했다,0
"여의도, 반포 한강공원보다는 덜 유명하지만 선유도도 있고 합정, 망원 방향 한강 뷰도 멋있는 여유로운 한강공원입니다 적당히 여유로운 한강공원",1
이곳은 밤도깨비야시장과는 다르게 그늘막텐트를 금지합니다 (돗자리만 가능) 그래서 그런지 사람이 거의없네요 편의점도 엄청 한산하고 밤도깨비야시장과 매우 대조되네요 밤이되면 주변이 너무 어두워요 군데군데 조명이 있으면 좋겠습니다,1
당산역에서 내려서 지하도보로 걸어가면 나옵니다 8월 저녁의 강 바람도 좋고 산책하기 괜찮은 장소 입니다,0
청명한 하늘 적당한바람 깨끗한공원 모든것이 완벽했다,0
다른곳은 차가 못들어기는곳이 많은데 이곳은 차를 댈수가 있었어요 바람이라도 쐬니 좋네요,0
계절마다 다른 느낌의 풍경을 제공해주어 좋습니다,0
주차장도 가깝게 있어요,0
소형 선박면허 시험보러갔는데 주차도 편하고 바로 앞이라 좋았어요 경치도 좋음,0
다른 한강공원에 비해 사람이 적고 한산한 듯 평화로운 분위기가 좋았어,0
사람도 많이 없구 저녁에 산책하러갔는데 너무 좋았어용,0
자전거 도로가 잘 되어있고 조깅하기 좋아요,3
근처 선유도도 있고 주차도 편하고 좋더라,0
공원이 걷기 좋고 사람들도 많지만은 않아서 산책하기 좋아요,1
분위기가 가족 단위로 나들이온 분위기라 친구들이랑 앉아서 술먹고 놀기에 좋은 환경은 아니네용,0
철봉 평행봉 턱걸이용철봉 있음 커플많음 가끔버스킹함 여름에 따릉이타고 밤에 오기좋음,0
날씨 좋은날 낮에 가면 기절 가능,0
한강 옆 나무그늘 때문에 잠시 휴식을 취하고 강바람 시원하게 불고 입구에 있는 편의점에서 구입한 간단한 간식을 먹기도 좋습니다,1
한강 공원 중에 가장 운치 있는 곳,-1
한적하니 너무 좋네요 모처럼 따뜻한 가을 날씨,0
한강이 바로 있어서 너무 좋아요,0
주차장 대기 시간도 없었어요 가족단위로 오기 너무 좋아요~ 해지는 풍경을 즐기기 너무 좋네요,0
가을에 붉어지는 나무들 보기 좋은곳 길냥이들 많이 봐서 너무좋았어요 약간 유럽의 공원느낌이라 한적하고 좋았습니다,1
길이 아닌곳으로는 들어가지 말아주시기를 ^^,0
편의점이 군데군데 있는데 컵라면이나 막걸리 한잔하면 좋죠 춥고 덥지 않을때만 가면 아주 좋아요,0
주차공간이 협소해요 한적하고 여유있어 좋네요 낚시할 수 있어요,0
선유도공원과 같이 한강의 정취를 즐길 수 있는 휴식처,1
자연친화적인 참새가 가득한 아름다운 공원 입니다,1
다른 한강공원과는 조금 다른 분위기,0
걷고 자전거타기 좋음 가는길이 힘듬,3
한강공원은 어디라도 좋은편 선유도와 연결된 공원,-1
반포나 압구정과는 또 다르게 예쁘고 풍경도 좋아요,-1
봄이 시작되는 길목에서 피크닉 구역 잔디와 한강을 가까이서 볼수있는 최고,1
이번에는 지인들과 만나 식사 후 한강공원에서 걷기를 함 좋은 일들만 다 가득하길 오랜만에 한강 바람을 맞으며 걸으니 정말 기분도 좋고 행복한 사람들과 함께 하신 더욱 기분이 좋다,1
점심 식후 산책을 위한 좋은 곳,-1
시원한 강가길을 산책해요,0
오늘 날시도 좋고 오랜만에 자전거도 타서 재밌었어요,0
"한강 접근, 자전거 타기, 걷기가 모두 용이하고, 대중교통 인접성도 좋음",2
가을에는 선선한 바람에 산책하기 좋아요,-1
한스장 양화대교점 벤치프레스 무게가 바 제외 30이 최대지만 한적하여 좋았습니다,0
부부가 가끔 산책하러 갑니다,0
주말에 주차하기 편합니다,0
미세먼지 없는 날 놀러오기 너무좋네요^^,0
사람만 산책한다면 생태공원길도 있고 나쁘지 않음 반려견 동반 환경 여의도한강공원쪽으로는 길이 끊기는 부분도 있고 자전거도로와 너무 가깝고 좁아 위험했음 양화한강공원에서 여의도 방면으로 강아지와 산책겸 들렀는데 강아지 산책로로는 좋지않았음 길이 끊기고 좁고 자전거도로와 너무 가까워서 위험했음,1
양화대교 위의 카페에서 한잔 마시며 바라보는 경치가 아주 좋아요,0
날씨 좋은날 잘 쉬다 갑니다,0
아기자기한 공원구성 저녁사진찍기좋은 포토스팟,1
"분위기 너무 좋습니다, 실종된 시민정신이 큰 문제입니다",0
자전거도로 타고 갈수 있는 아주 좋은 한강 입니다,3
한강변 주민을 위한 레저공원,1
다리위에서 보이는 야경이 너무 예쁘고 복잡하지 않아서 좋아요~,-1
피크닉에 진심인편 😎 양화한강공원 비교적 사람 많지않고 초록초록해서 좋아해요,1
자전거 타는 규칙만 잘 지키면 서로 좋은 시간이 될것 같네요 저녁 때 벚꽃이 빛나는 느낌도 좋구요 지금이 자전거타기 제일 좋네요,0
마음을힐링 시원한 저녁바람을 맞으며 야경도구경하고,1
트레킹및 조깅코스로도좋고 혼자 산책하기도 좋네요 ^^,0
작지만 좋아요 조용하고 걷기 좋아요 주말 저녁에 갔는데 화장실도 너무 깨끗해요 남자 관리자분이 너무 깨끗하게 관리하고 계신것 같아서 기분좋게 시설 이용했어요,-1
낮에 가도 좋고 야경도 볼만하다,0
"당산한강매점(새로 크게 짓는중)에 운동삼아 갔는데 비가 주르륵쥬르륵~빗소리가 너무좋고 우비입고 자전거타는 사람들, 우산쓰고 산책하는 사람들",0
자전거도로나 에스컬레이터로 다리위로 올라가 나가고 들어오기기 좋고 운동기구도 있고 산책로가 수변과 가까이 있어서 좋다 근처에 선유도가 있어서 산책하기 좋다,2
시기적으로 뭘 보려니 하지않았고 지나가는 길이었는데 코스모스가 것두 실하게 큰송이로 넓게 펴있어서 눈호강을 했네요,0
"자전거, 피크닉 뭘로 가든 좋음",0
대중교통으로부터의 접근성도 매우 좋고 승용차를 이용해 접근하기도 용이한데다 편의점도 곳곳에 위치하고 텐트나 자리를 준비해서 놀고 휴식을 취하기에 아주 최적화된 가족 연인 단체 모두에게 적합한 여유공간^^,-1
밤산책겸 들렀어요 강변주변엔 낚시하는 분들도 꽤 있으시더라구요 친구랑 둘이 한잔하며 불금을보내는 외국인도 있구요 좀 어둡긴 했지만 밤다리는 아름다웠어요 주차20 여분했는데 100원 냈어요 국회의사당이 바로 옆에서 보여요 좀 일찍와서 밝을때도 산책 해보고싶드라구요^^,1
