구,공원명,네이버맵 기준 블로그 리뷰 수,카카오맵 기준 블로그 리뷰 수,리뷰 수 총합
중구,서울로 7017,3282,192,3474
중구,남산공원,1216,124,1340
중구,서소문역사공원,396,45,441
중구,손기정체육공원,254,24,278
중구,훈련원근린공원(훈련원공원),104,10,114
중구,순화문화공원,3,1,4
용산구,용산가족공원,3745,401,4146
용산구,효창근린공원(효창공원),1137,63,1200
종로구,인왕산도시자연공원(인왕산),8249,331,8580
종로구,낙산공원,6192,296,6488
종로구,북한산국립공원(북한산),3993,126,4119
종로구,마로니에공원,1855,137,1992
종로구,경희궁,1693,107,1800
종로구,북악산도시자연공원(북악산),1423,72,1495
종로구,삼청근린공원(삼청공원),582,39,621
종로구,세종로공원,373,219,592
종로구,탑골근린공원,364,71,435
종로구,와룡근린공원(와룡공원),351,8,359
종로구,숭인근린공원,104,16,120
종로구,사직근린공원,39,7,46
송파구,올림픽공원,22371,1546,23917
송파구,송파나루근린공원(석촌호수),20825,1146,21971
송파구,오금근린공원(오금오름공원/오금공원),340,24,364
송파구,아시아근린공원(아시아공원),220,23,243
송파구,문정근린공원,133,4,137
송파구,천마근린공원,33,3,36
송파구,장지근린공원(장지공원),29,1,30
강남구,도산근린공원,2081,26,2107
강남구,율현공원,222,30,252
강남구,청담근린공원,207,15,222
강남구,도곡근린공원(도곡공원),97,9,106
강남구,대모산도시자연공원,77,1,78
강남구,봉은공원,8,0,8
마포구,경의선숲길,4935,34,4969
마포구,문화비축기지,2553,196,2749
마포구,월드컵공원,1996,10,2006
마포구,와우근린공원,70,11,81
마포구,상암근린공원,37,4,41
은평구,서오능도시자연공원,,,0
은평구,신사근린공원,76,4,80
은평구,봉산도시자연공원,,,0
은평구,북한산국립공원(북한산),3993,126,4119
은평구,불광근린공원,57,2,59
은평구,진관근린공원(구파발폭포/이말산),118,6,124
은평구,연신내물빛공원,,,0
서대문구,안산도시자연공원(안산),365,43,408
서대문구,백련근린공원(백련산),419,20,439
서대문구,북한산국립공원(북한산),3993,126,4119
서대문구,독립공원(서대문독립공원),706,70,776
서대문구,궁동근린공원(궁동공원),114,3,117
성북구,성북근린공원(성북공원),31,2,33
성북구,북한산국립공원(북한산),3993,126,4119
성북구,개운산근린공원(개운산),260,10,270
성북구,청량근린공원(천장산),332,8,340
강북구,북서울꿈의숲,6556,587,7143
강북구,솔밭근린공원,913,46,959
